stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A078600,대주전자재료,20190129,19700,20200,19200,20100,209759,142842,-13692,19250,18502,17780,21911
A078600,대주전자재료,20190128,20000,20300,19500,19800,241359,152901,-7896,19010,18372,17756,21998
A078600,대주전자재료,20190125,18600,20000,18350,19650,372327,170834,42006,19070,18235,17703,22096
A078600,대주전자재료,20190124,17800,18750,17800,18350,182416,130503,-31071,19200,18088,17659,22193
A078600,대주전자재료,20190123,18600,19050,18250,18350,191599,105503,-37765,19490,18035,17631,22306
A078600,대주전자재료,20190122,19950,20100,18300,18900,335734,73458,-69710,19820,18020,17623,22423
A078600,대주전자재료,20190121,20350,20600,19500,20100,184514,72451,-18731,19890,17922,17623,22535
A078600,대주전자재료,20190118,20050,20500,19600,20300,212347,88340,26929,19670,17705,17598,22616
A078600,대주전자재료,20190117,19900,20300,19400,19800,215455,105933,21251,19350,17430,17591,22697
A078600,대주전자재료,20190116,19200,20000,18650,20000,250665,119891,21375,19200,17168,17613,22786
A078600,대주전자재료,20190115,19000,19700,18900,19250,246957,127709,53745,18900,16875,17632,22856
A078600,대주전자재료,20190114,19100,19300,18650,19000,122564,142462,8433,18300,16672,17678,22911
A078600,대주전자재료,20190111,19400,20300,18600,18700,417052,144171,23170,17810,16480,17743,22968
A078600,대주전자재료,20190110,18500,19500,18150,19050,449762,199108,85385,17170,16245,17806,23038
A078600,대주전자재료,20190109,16350,19050,16250,18500,661943,237942,59330,16460,16080,17858,23105
A078600,대주전자재료,20190108,16550,16850,16100,16250,163407,216417,-28452,16040,16010,17922,23177
A078600,대주전자재료,20190107,15650,16750,15650,16550,223839,248718,29802,16290,16048,18009,23262
A078600,대주전자재료,20190104,15350,15700,14950,15500,183948,209464,-72498,16390,16125,18108,23342
A078600,대주전자재료,20190103,16500,16650,15000,15500,271447,214556,-12543,16630,16255,18234,23430
A078600,대주전자재료,20190102,17600,17750,16250,16400,188542,253543,-55829,16990,16422,18365,23507
A078600,대주전자재료,20181228,17000,17550,16600,17500,139717,297472,19466,17320,16495,18505,23569
A078600,대주전자재료,20181227,17200,18000,17000,17050,158807,315858,-840,17210,16455,18628,23627
A078600,대주전자재료,20181226,16850,17300,16550,16700,205514,340995,-9494,16950,16452,18758,23688
A078600,대주전자재료,20181224,18050,18150,17200,17300,242369,350692,-845,16570,16480,18928,23748
A078600,대주전자재료,20181221,16700,19000,16650,18050,713106,418618,104166,16020,16458,19079,23803
A078600,대주전자재료,20181220,15550,17300,15300,16950,458196,380997,48716,15240,16378,19203,23853
A078600,대주전자재료,20181219,15000,16500,14650,15750,528047,360731,103498,14890,16405,19349,23909
A078600,대주전자재료,20181218,14250,14950,14150,14800,127463,322305,28914,14770,16500,19538,23983
A078600,대주전자재료,20181217,14000,14750,13700,14550,178679,325156,11346,14610,16635,19751,24065
A078600,대주전자재료,20181214,15100,15150,14000,14150,196794,301829,-59289,14850,16832,19967,24152
A078600,대주전자재료,20181213,15100,15850,14800,15200,312087,286670,-12111,15440,17050,20195,24240
A078600,대주전자재료,20181212,14150,15150,13750,15150,454933,268972,-22940,15800,17205,20393,24305
A078600,대주전자재료,20181211,15700,15850,13450,14000,679882,291716,-35073,16390,17362,20614,24360
A078600,대주전자재료,20181210,16800,16850,15300,15750,262691,410615,-61489,17210,17598,20870,24425
A078600,대주전자재료,20181207,17100,17450,16750,17100,99754,431767,-21870,17830,17775,21101,24488
A078600,대주전자재료,20181206,18400,18400,16850,17000,137365,425656,-1386,17980,17910,21318,24539
A078600,대주전자재료,20181205,17550,18100,17500,18100,82097,466412,1876,17920,18068,21540,24593
A078600,대주전자재료,20181204,18900,19000,18000,18100,154815,484525,13202,17700,18118,21735,24638
A078600,대주전자재료,20181203,17950,19150,17950,18850,216566,506377,23889,17530,18180,21942,24682
A078600,대주전자재료,20181130,17000,18200,16850,17850,314710,524149,57542,17130,18255,22111,24725
A078600,대주전자재료,20181129,17500,17650,16700,16700,135872,474702,4821,16850,18342,22307,24768
