stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A079180,내일신문,20190129,18900,18900,18900,18900,0,0,0,22620,26350,28135,28661
A079180,내일신문,20190128,18900,18900,18900,18900,1,0,0,23040,26905,28320,28744
A079180,내일신문,20190125,27000,27000,27000,27000,5,0,0,25260,27460,28505,28816
A079180,내일신문,20190124,21000,21000,21000,21000,0,0,0,25760,27610,28555,28784
A079180,내일신문,20190123,14700,27300,14700,27300,2,0,0,27460,28060,28722,28801
A079180,내일신문,20190122,21000,21000,21000,21000,1,0,0,27900,28195,28800,28849
A079180,내일신문,20190121,30000,30000,30000,30000,56,0,0,28210,28645,28967,28933
A079180,내일신문,20190118,29500,29500,29500,29500,0,0,0,26720,28645,28983,28942
A079180,내일신문,20190117,29500,29500,29500,29500,0,0,0,25330,28670,29008,28955
A079180,내일신문,20190116,29500,29500,29500,29500,55,0,0,25280,28695,29033,28969
A079180,내일신문,20190115,22550,22550,22550,22550,0,0,0,23880,28720,29058,28982
A079180,내일신문,20190114,22550,22550,22550,22550,0,0,0,25770,29092,29199,29053
A079180,내일신문,20190111,22550,22550,22550,22550,0,0,0,27660,29465,29340,29125
A079180,내일신문,20190110,15800,29250,15800,29250,2,0,0,29550,29838,29465,29196
A079180,내일신문,20190109,22500,22500,22500,22500,1,0,0,29500,29875,29478,29211
A079180,내일신문,20190108,32000,32000,32000,32000,0,0,0,31000,30250,29604,29283
A079180,내일신문,20190107,32000,32000,32000,32000,0,0,0,30600,30150,29571,29275
A079180,내일신문,20190104,32000,32000,32000,32000,1,0,0,30200,29768,29541,29268
A079180,내일신문,20190103,29000,29000,29000,29000,3000,0,0,29800,29228,29524,29260
A079180,내일신문,20190102,30000,30000,30000,30000,0,0,0,30000,29148,29591,29278
A079180,내일신문,20181228,30000,30000,30000,30000,0,0,0,30000,29015,29629,29287
A079180,내일신문,20181227,30000,30000,30000,30000,41,0,0,30000,28568,29671,29296
A079180,내일신문,20181226,30000,30000,30000,30000,0,0,0,30000,28568,29704,29305
A079180,내일신문,20181224,30000,30000,30000,30000,0,0,0,30000,28472,29714,29315
A079180,내일신문,20181221,30000,30000,30000,30000,0,0,0,30000,28055,29718,29324
A079180,내일신문,20181220,30000,30000,30000,30000,68,0,0,30000,28055,29648,29333
A079180,내일신문,20181219,30000,30000,30000,30000,0,0,0,30000,28055,29554,29342
A079180,내일신문,20181218,30000,30000,30000,30000,0,0,0,30000,28055,29550,29351
A079180,내일신문,20181217,30000,30000,30000,30000,0,0,0,30000,28055,29432,29360
A079180,내일신문,20181214,30000,30000,30000,30000,130,0,0,30000,28055,29412,29370
A079180,내일신문,20181213,21700,30000,21700,30000,56,0,0,30000,28055,29412,29379
A079180,내일신문,20181212,30000,30000,30000,30000,0,0,0,30000,28055,29412,29388
A079180,내일신문,20181211,30000,30000,30000,30000,100,0,0,28870,28055,29389,29397
A079180,내일신문,20181210,30000,30000,30000,30000,40,0,0,27110,28055,29389,29406
A079180,내일신문,20181207,30000,30000,30000,30000,0,0,0,26590,28055,29389,29415
A079180,내일신문,20181206,30000,30000,30000,30000,147,0,0,26060,28055,29298,29425
A079180,내일신문,20181205,24350,24350,24350,24350,0,0,0,24270,28055,29071,29434
A079180,내일신문,20181204,21200,21200,21200,21200,0,0,0,25400,28338,29131,29490
