stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A079440,오렌지라이프,20190129,29400,29450,28650,29250,113990,30057627,-11450,29670,27848,29487,32000
A079440,오렌지라이프,20190128,29900,30150,29350,29700,124966,30058319,-12356,29710,27785,29512,32115
A079440,오렌지라이프,20190125,30300,30350,29750,29950,80073,30051621,-2993,29550,27750,29528,32219
A079440,오렌지라이프,20190124,28950,30050,28950,30050,93911,30045480,6241,29340,27730,29537,32315
A079440,오렌지라이프,20190123,28950,29500,28900,29400,99641,30014190,-4217,29130,27688,29544,32405
A079440,오렌지라이프,20190122,28500,29450,28500,29450,108248,30004750,293,28790,27650,29579,32500
A079440,오렌지라이프,20190121,28850,29150,28100,28900,98582,29985820,-5216,28380,27608,29618,32597
A079440,오렌지라이프,20190118,29250,29450,28500,28900,374925,29986841,-9776,28090,27598,29666,32696
A079440,오렌지라이프,20190117,28100,29050,28000,29000,208549,29970668,21779,27750,27572,29703,32785
A079440,오렌지라이프,20190116,27450,27900,27100,27700,89079,29962722,2671,27440,27512,29741,32878
A079440,오렌지라이프,20190115,27450,27650,27100,27400,90376,29963636,-690,27120,27568,29803,32989
A079440,오렌지라이프,20190114,27200,27450,26800,27450,99718,29965945,-1717,26720,27642,29873,33103
A079440,오렌지라이프,20190111,27750,27950,26850,27200,314730,29956006,-29408,26240,27718,29948,33209
A079440,오렌지라이프,20190110,26250,27750,26250,27450,239953,29924520,-17251,25690,27788,30023,33313
A079440,오렌지라이프,20190109,25400,26150,25400,26100,312620,29837933,10829,25550,27830,30093,33425
A079440,오렌지라이프,20190108,25250,25650,25200,25400,136143,29823674,-19457,25810,27985,30172,33548
A079440,오렌지라이프,20190107,24650,25350,24650,25050,292531,29799849,-37082,26330,28205,30259,33679
A079440,오렌지라이프,20190104,26550,26650,24300,24450,645580,29702836,-62297,27120,28492,30378,33816
A079440,오렌지라이프,20190103,27250,27600,26250,26750,204559,29840165,-70168,28140,28820,30496,33954
A079440,오렌지라이프,20190102,28150,28300,27400,27400,83370,29787309,-1777,28630,28990,30586,34068
A079440,오렌지라이프,20181228,28550,28900,27800,28000,149682,29778155,17530,28880,29125,30657,34176
A079440,오렌지라이프,20181227,28850,29000,28100,29000,171993,29817100,44898,29000,29265,30732,34270
A079440,오렌지라이프,20181226,29050,29900,28600,29550,213231,29854842,53294,28940,29342,30808,34361
A079440,오렌지라이프,20181224,28900,29350,28850,29200,183439,29917979,25693,28710,29422,30884,34447
A079440,오렌지라이프,20181221,28600,28800,28300,28650,251885,29957897,31092,28430,29475,30977,34552
