stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A080160,모두투어,20190129,25350,25400,24750,25000,132535,5301831,-12435,25660,24618,24827,23906
A080160,모두투어,20190128,25850,25850,25250,25350,138783,5320403,-25504,25670,24572,24813,23915
A080160,모두투어,20190125,25700,26300,25700,25900,100782,5281797,-4929,25650,24492,24782,23914
A080160,모두투어,20190124,26300,26350,25650,25900,135633,5278857,-4696,25500,24378,24731,23902
A080160,모두투어,20190123,24850,26400,24800,26150,231524,5288913,81874,25290,24252,24679,23896
A080160,모두투어,20190122,25050,25400,24950,25050,68894,5255140,13713,25090,24092,24636,23884
A080160,모두투어,20190121,25250,25300,24700,25250,78953,5238081,21827,25030,23975,24612,23877
A080160,모두투어,20190118,24700,25150,24150,25150,191573,5250199,1403,24920,23870,24592,23867
A080160,모두투어,20190117,25350,25700,24500,24850,131496,5264524,-3435,24920,23778,24576,23854
A080160,모두투어,20190116,25200,25200,24750,25150,84212,5255607,17345,25010,23730,24571,23856
A080160,모두투어,20190115,24550,24950,24550,24750,56865,5268465,7218,24730,23678,24552,23866
A080160,모두투어,20190114,25150,25500,24400,24700,116966,5269175,-493,24370,23658,24525,23892
A080160,모두투어,20190111,25600,25600,25000,25150,138298,5282893,27440,24070,23658,24504,23912
A080160,모두투어,20190110,23850,25300,23650,25300,302001,5294138,62117,23560,23628,24456,23931
A080160,모두투어,20190109,23100,23950,23000,23750,225363,5236422,47064,23040,23545,24408,23942
A080160,모두투어,20190108,23400,23400,22950,22950,65123,5223138,-5742,22990,23585,24360,23963
A080160,모두투어,20190107,22800,23200,22800,23200,79310,5228502,3816,23220,23665,24308,23991
A080160,모두투어,20190104,22450,22850,22150,22600,131413,5232755,-24337,23330,23785,24280,24020
A080160,모두투어,20190103,23350,23700,22650,22700,180109,5209207,6632,23530,23950,24273,24052
A080160,모두투어,20190102,24150,24250,23500,23500,76041,5227404,11168,23670,24102,24281,24085
A080160,모두투어,20181228,23600,24250,23600,24100,122660,5201545,10414,23560,24232,24281,24101
A080160,모두투어,20181227,23800,23950,23500,23750,112169,5245796,23998,23280,24338,24272,24111
A080160,모두투어,20181226,23000,23700,22700,23600,138434,5280692,47174,23160,24462,24301,24127
A080160,모두투어,20181224,22700,23450,22600,23400,86452,5325688,15685,23100,24592,24327,24142
A080160,모두투어,20181221,22400,23300,22400,22950,102092,5316917,13520,23200,24732,24355,24174
A080160,모두투어,20181220,22900,23150,22200,22700,161423,5334626,-6544,23430,24892,24378,24208
A080160,모두투어,20181219,23350,23450,23000,23150,120298,5342769,-24579,23760,25130,24413,24249
A080160,모두투어,20181218,23500,23700,23050,23300,120897,5351882,12908,24070,25295,24420,24292
A080160,모두투어,20181217,24100,24250,23650,23900,60500,5376878,12508,24320,25432,24432,24337
A080160,모두투어,20181214,24250,24450,23750,24100,146133,5389371,14805,24270,25538,24444,24371
A080160,모두투어,20181213,24700,24750,24050,24350,217459,5393813,-12377,24360,25658,24449,24411
A080160,모두투어,20181212,24250,24800,24150,24700,70665,5458882,9098,24400,25750,24447,24454
A080160,모두투어,20181211,23750,24700,23500,24550,100913,5458794,8983,24580,25768,24418,24486
A080160,모두투어,20181210,24250,24750,23450,23650,227492,5463817,-11322,24850,25785,24395,24531
A080160,모두투어,20181207,24800,25150,24050,24550,159867,5461000,5072,25270,25835,24382,24591
A080160,모두투어,20181206,25250,25450,24550,24550,246818,5467438,44811,25580,25842,24358,24650
A080160,모두투어,20181205,25400,25800,25400,25600,182651,5502402,38398,25910,25840,24339,24716
A080160,모두투어,20181204,25800,26150,25350,25900,252389,5535105,-9555,26040,25795,24316,24772
A080160,모두투어,20181203,26350,26500,25550,25750,268065,5527271,-836,26100,25722,24290,24826
A080160,모두투어,20181130,26700,26700,25550,26100,227226,5610052,15706,26190,25688,24233,24880
A080160,모두투어,20181129,26500,26800,26050,26200,130038,5631619,23694,26200,25630,24174,24928
A080160,모두투어,20181128,26200,26500,25650,26250,257665,5621690,-8874,26450,25530,24108,24975
A080160,모두투어,20181127,26400,26450,25900,26200,190460,5640318,17825,26490,25392,24041,25026
A080160,모두투어,20181126,26500,26950,26200,26200,151795,5639027,1208,26460,25222,23977,25088
