stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A080530,코디,20190129,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3590
A080530,코디,20190128,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3590
A080530,코디,20190125,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3590
A080530,코디,20190124,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3590
A080530,코디,20190123,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3590
A080530,코디,20190122,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3590
A080530,코디,20190121,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3590
A080530,코디,20190118,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3575
A080530,코디,20190117,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3560
A080530,코디,20190116,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3545
A080530,코디,20190115,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3530
A080530,코디,20190114,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3515
A080530,코디,20190111,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3500
A080530,코디,20190110,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3485
A080530,코디,20190109,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3470
A080530,코디,20190108,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3455
A080530,코디,20190107,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3440
A080530,코디,20190104,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3425
A080530,코디,20190103,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3410
A080530,코디,20190102,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3396
A080530,코디,20181228,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3381
A080530,코디,20181227,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3366
A080530,코디,20181226,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3351
A080530,코디,20181224,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3336
A080530,코디,20181221,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3321
A080530,코디,20181220,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3306
A080530,코디,20181219,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3291
A080530,코디,20181218,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3276
A080530,코디,20181217,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3261
A080530,코디,20181214,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3246
A080530,코디,20181213,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3231
A080530,코디,20181212,3590,3590,3590,3590,0,98664,0,3590,3590,3590,3216
A080530,코디,20181211,3590,3590,3590,3590,0,96664,0,3590,3590,3590,3201
A080530,코디,20181210,3590,3590,3590,3590,0,96664,0,3590,3590,3590,3186
A080530,코디,20181207,3590,3590,3590,3590,0,96664,0,3590,3590,3590,3171
