stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A082660,삼우엠스,20190129,572,573,537,541,2131865,341036,-62,566,809,901,1076
A082660,삼우엠스,20190128,574,584,567,572,1644538,423700,0,590,827,911,1083
A082660,삼우엠스,20190125,573,588,569,573,2152718,493240,0,655,843,920,1089
A082660,삼우엠스,20190124,581,620,555,577,8642479,322947,0,719,859,930,1095
A082660,삼우엠스,20190123,466,616,466,565,32721976,310364,-189951,783,874,939,1102
A082660,삼우엠스,20190122,909,909,638,665,3422207,367663,-899742,850,888,948,1109
A082660,삼우엠스,20190121,896,899,870,894,280615,218193,-99936,897,898,958,1115
A082660,삼우엠스,20190118,900,907,876,896,155395,202815,63,900,898,967,1120
A082660,삼우엠스,20190117,899,906,886,893,129494,197906,64,902,898,976,1124
A082660,삼우엠스,20190116,891,900,871,900,238398,196694,64,906,901,985,1129
A082660,삼우엠스,20190115,887,908,885,900,171695,173261,63,906,902,994,1132
A082660,삼우엠스,20190114,895,913,895,909,74060,130427,63,908,905,1003,1134
A082660,삼우엠스,20190111,911,917,888,910,122530,117560,63,910,905,1011,1138
A082660,삼우엠스,20190110,911,911,888,910,138505,116632,0,912,906,1020,1141
A082660,삼우엠스,20190109,919,919,890,899,135001,112618,6,912,910,1032,1144
A082660,삼우엠스,20190108,920,937,890,913,121715,108259,0,917,916,1042,1149
A082660,삼우엠스,20190107,928,955,910,920,182654,103302,0,915,920,1054,1154
A082660,삼우엠스,20190104,895,919,895,919,101474,118596,63,908,922,1066,1159
A082660,삼우엠스,20190103,924,935,880,910,114956,134828,62,901,919,1076,1164
A082660,삼우엠스,20190102,909,933,907,922,489872,132752,63,893,914,1083,1168
A082660,삼우엠스,20181228,887,908,852,902,177385,121709,0,882,908,1088,1171
A082660,삼우엠스,20181227,921,930,885,887,129514,108034,63,874,904,1093,1176
A082660,삼우엠스,20181226,837,884,831,884,142874,122857,0,875,900,1097,1180
A082660,삼우엠스,20181224,917,921,850,872,133007,131429,-71,877,897,1103,1183
A082660,삼우엠스,20181221,862,881,848,864,172759,141550,-73,892,893,1108,1185
A082660,삼우엠스,20181220,882,882,830,862,210363,136014,0,904,888,1112,1188
A082660,삼우엠스,20181219,897,910,880,894,138822,137710,0,924,886,1117,1191
A082660,삼우엠스,20181218,939,939,876,894,310352,131853,0,928,885,1121,1193
A082660,삼우엠스,20181217,947,947,903,945,160745,120470,0,933,884,1127,1196
A082660,삼우엠스,20181214,985,985,886,925,333486,125460,0,943,888,1132,1198
A082660,삼우엠스,20181213,940,1030,920,960,242940,137646,0,959,891,1138,1201
A082660,삼우엠스,20181212,918,938,912,917,381846,133953,0,967,893,1143,1201
A082660,삼우엠스,20181211,1005,1005,886,918,493926,113805,-53,976,898,1147,1201
A082660,삼우엠스,20181210,1010,1010,966,997,293791,133621,-53,963,906,1150,1202
A082660,삼우엠스,20181207,1005,1050,990,1005,463212,123963,-50,928,912,1153,1200
A082660,삼우엠스,20181206,962,1020,942,1000,1153074,178575,0,888,918,1156,1199
A082660,삼우엠스,20181205,845,1040,840,962,4290344,177872,0,851,926,1158,1197
A082660,삼우엠스,20181204,828,858,823,853,544033,426141,0,820,935,1161,1196
A082660,삼우엠스,20181203,812,827,806,820,204426,524724,-48,813,952,1167,1195
A082660,삼우엠스,20181130,815,815,802,803,165336,478781,-45,808,970,1173,1195
A082660,삼우엠스,20181129,821,823,801,815,270316,487686,-50,803,985,1179,1195
A082660,삼우엠스,20181128,817,824,797,811,202843,513772,0,802,1000,1185,1195
A082660,삼우엠스,20181127,792,821,785,818,603136,552501,71,813,1017,1191,1195
A082660,삼우엠스,20181126,770,840,770,791,957728,548396,73,825,1034,1197,1195
A082660,삼우엠스,20181123,803,841,778,778,801879,340833,0,871,1051,1204,1195
A082660,삼우엠스,20181122,865,877,798,810,1448753,310153,-53,915,1066,1210,1195
A082660,삼우엠스,20181121,863,876,833,870,1221252,360862,-43,953,1091,1217,1195
A082660,삼우엠스,20181120,1010,1015,815,877,4498678,412454,-41,983,1117,1222,1194
A082660,삼우엠스,20181119,998,1035,982,1020,445950,335881,-39,1021,1145,1227,1193
A082660,삼우엠스,20181116,1010,1015,980,998,694941,225201,-39,1042,1167,1231,1192
A082660,삼우엠스,20181115,1025,1050,982,999,896951,189418,16,1069,1188,1234,1190
A082660,삼우엠스,20181114,1070,1075,1020,1020,457980,153852,53,1100,1210,1236,1189
A082660,삼우엠스,20181113,1090,1095,1020,1070,427086,131930,53,1124,1228,1237,1187
A082660,삼우엠스,20181112,1115,1150,1090,1125,287628,110901,13,1146,1250,1238,1185
A082660,삼우엠스,20181109,1145,1155,1110,1130,279911,99627,-36,1157,1274,1240,1182
A082660,삼우엠스,20181108,1175,1175,1135,1155,398852,83832,0,1153,1294,1242,1180
A082660,삼우엠스,20181107,1200,1200,1095,1140,574859,76415,-37,1147,1317,1245,1178
A082660,삼우엠스,20181106,1210,1235,1165,1180,1216041,105321,10,1148,1340,1246,1175
A082660,삼우엠스,20181105,1195,1320,1145,1180,5610582,53722,7,1142,1358,1247,1173
A082660,삼우엠스,20181102,1125,1150,1100,1110,1006083,345598,-30,1132,1367,1249,1170
A082660,삼우엠스,20181101,1175,1205,1120,1125,645255,260368,-48,1126,1372,1252,1168
A082660,삼우엠스,20181031,1150,1165,1110,1145,390724,252343,-49,1163,1374,1255,1166
A082660,삼우엠스,20181030,1090,1150,1055,1150,367135,240653,-47,1215,1375,1257,1163
A082660,삼우엠스,20181029,1085,1215,1080,1130,1208542,121043,-48,1271,1377,1260,1161
A082660,삼우엠스,20181026,1310,1340,1035,1080,3325928,101384,2,1336,1380,1265,1159
A082660,삼우엠스,20181025,1375,1380,1270,1310,933787,220664,-7,1404,1382,1271,1157
A082660,삼우엠스,20181024,1450,1465,1370,1405,506914,132922,-8,1429,1373,1272,1153
A082660,삼우엠스,20181023,1490,1490,1405,1430,500294,156096,39,1426,1362,1273,1149
A082660,삼우엠스,20181022,1385,1455,1375,1455,582607,234506,39,1439,1352,1273,1144
A082660,삼우엠스,20181019,1400,1475,1350,1420,955411,219231,-49,1470,1343,1272,1139
A082660,삼우엠스,20181018,1430,1505,1395,1435,1276266,137729,0,1491,1334,1269,1134
A082660,삼우엠스,20181017,1450,1510,1350,1390,2321827,174664,0,1530,1326,1265,1130
A082660,삼우엠스,20181016,1590,1590,1460,1495,2133113,116938,-12,1571,1313,1264,1126
A082660,삼우엠스,20181015,1520,1650,1490,1610,2270570,191424,-13,1580,1296,1262,1120
A082660,삼우엠스,20181012,1590,1620,1495,1525,2036029,149497,-50,1529,1274,1257,1113
A082660,삼우엠스,20181011,1530,1630,1460,1630,2370665,273210,-11,1465,1255,1255,1107
A082660,삼우엠스,20181010,1545,1630,1445,1595,5129022,340387,28,1374,1230,1254,1100
A082660,삼우엠스,20181008,1395,1565,1390,1540,8957360,105998,38,1288,1209,1252,1093
A082660,삼우엠스,20181005,1205,1535,1205,1355,17223374,187020,-9,1219,1191,1251,1087
A082660,삼우엠스,20181004,1200,1230,1185,1205,746096,76633,48,1183,1182,1252,1082
A082660,삼우엠스,20181002,1175,1185,1130,1175,567731,87432,49,1169,1180,1255,1079
A082660,삼우엠스,20181001,1200,1210,1165,1165,394032,73478,47,1160,1181,1258,1076
A082660,삼우엠스,20180928,1180,1255,1180,1195,724734,60334,48,1163,1181,1262,1073
A082660,삼우엠스,20180927,1150,1175,1095,1175,471266,86828,51,1169,1181,1264,1070
A082660,삼우엠스,20180921,1125,1200,1125,1135,504085,78750,50,1190,1180,1263,1067
A082660,삼우엠스,20180920,1175,1185,1125,1130,525099,91876,49,1212,1182,1264,1065
A082660,삼우엠스,20180919,1225,1235,1175,1180,626528,89387,0,1241,1186,1265,1062
A082660,삼우엠스,20180918,1275,1275,1215,1225,486830,105897,0,1231,1186,1266,1059
