stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A086280,현대글로비스,20190129,138500,143000,137500,142000,141344,12327008,28951,141900,138550,127850,124871
A086280,현대글로비스,20190128,139000,140500,138000,138000,105919,12299398,-11785,141700,137900,127350,124838
A086280,현대글로비스,20190125,143500,146000,137500,138500,251637,12299454,-123451,142600,137400,126950,124829
A086280,현대글로비스,20190124,142000,147000,140500,146500,87933,12295305,7286,143300,136925,126425,124838
A086280,현대글로비스,20190123,141000,145000,140500,144500,63222,12291300,7815,142300,136150,125750,124750
A086280,현대글로비스,20190122,143000,143500,138000,141000,85781,12286009,-18474,141200,135475,125142,124654
A086280,현대글로비스,20190121,143000,147500,142000,142500,102303,12275604,8179,141100,135100,124550,124575
A086280,현대글로비스,20190118,142000,143500,138500,142000,80633,12271214,2722,139700,134700,123992,124483
A086280,현대글로비스,20190117,139000,142500,137500,141500,100983,12253823,26738,138600,134200,123400,124408
A086280,현대글로비스,20190116,140500,141000,137500,139000,59178,12255822,18511,137800,133675,122892,124333
A086280,현대글로비스,20190115,136000,140500,135500,140500,101532,12271038,49121,137400,133200,122400,124250
A086280,현대글로비스,20190114,136000,137000,133500,135500,35880,12278465,-6717,136600,132750,121825,124133
A086280,현대글로비스,20190111,137500,138500,134500,136500,47280,12270350,-2846,136600,132525,121442,124058
A086280,현대글로비스,20190110,136500,137500,133500,137500,74633,12270271,-6477,136900,131675,121033,123992
A086280,현대글로비스,20190109,136500,138500,135500,137000,58584,12262299,-157,136000,130825,120592,123862
A086280,현대글로비스,20190108,136500,138000,134000,136500,80550,12259623,23662,133700,130075,120158,123721
A086280,현대글로비스,20190107,140000,140000,134000,135500,60285,12274281,-4842,132200,129475,119725,123525
A086280,현대글로비스,20190104,132000,140000,130500,138000,206871,12278203,80765,130700,128800,119400,123342
A086280,현대글로비스,20190103,126000,134500,126000,133000,122377,12283005,34946,128900,128050,119067,123138
A086280,현대글로비스,20190102,128500,129000,123500,125500,53956,12270211,8325,128500,127550,118875,122992
A086280,현대글로비스,20181228,127500,129500,127000,129000,38715,12270324,-2018,129600,127450,118817,122896
