stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A086460,에스엔피제네틱스,20190129,4400,5000,4400,5000,2,0,0,5010,5380,6343,6567
A086460,에스엔피제네틱스,20190128,5070,5070,5070,5070,0,0,0,4930,5494,6381,6574
A086460,에스엔피제네틱스,20190125,5180,5180,5180,5180,0,0,0,4836,5590,6413,6586
A086460,에스엔피제네틱스,20190124,5200,5200,5200,5200,1,0,0,4856,5696,6444,6591
A086460,에스엔피제네틱스,20190123,4600,4600,4600,4600,0,0,0,4872,5801,6475,6595
A086460,에스엔피제네틱스,20190122,4600,4600,4600,4600,0,0,0,5008,5936,6518,6606
A086460,에스엔피제네틱스,20190121,4605,4605,4600,4600,119,0,0,5162,6060,6563,6620
A086460,에스엔피제네틱스,20190118,5280,5280,5280,5280,0,0,0,5322,6190,6600,6636
A086460,에스엔피제네틱스,20190117,5280,5280,5280,5280,0,0,0,5266,6286,6627,6646
A086460,에스엔피제네틱스,20190116,5280,5280,5280,5280,0,0,0,5210,6362,6654,6657
A086460,에스엔피제네틱스,20190115,5370,5370,5370,5370,0,0,0,5310,6408,6671,6667
A086460,에스엔피제네틱스,20190114,5400,5400,5400,5400,1,0,0,5392,6504,6686,6676
A086460,에스엔피제네틱스,20190111,5000,5000,5000,5000,0,0,0,5672,6588,6718,6685
A086460,에스엔피제네틱스,20190110,5000,5000,5000,5000,300,0,0,5872,6692,6756,6700
A086460,에스엔피제네틱스,20190109,5780,5780,5780,5780,0,0,0,6110,6787,6794,6715
A086460,에스엔피제네틱스,20190108,5780,5780,5780,5780,0,0,0,6192,6848,6819,6724
A086460,에스엔피제네틱스,20190107,5100,6800,5100,6800,3301,0,-300,6492,6894,6845,6732
A086460,에스엔피제네틱스,20190104,6000,6000,6000,6000,200,0,200,6532,6893,6852,6732
A086460,에스엔피제네틱스,20190103,6190,6190,6190,6190,0,0,0,6792,6936,6874,6739
A086460,에스엔피제네틱스,20190102,6190,6190,6190,6190,0,0,0,7012,6971,6892,6744
A086460,에스엔피제네틱스,20181228,5950,7290,5950,7280,31845,0,-300,7232,7022,6910,6749
A086460,에스엔피제네틱스,20181227,7290,7290,7000,7000,2,0,0,7194,7000,6910,6745
A086460,에스엔피제네틱스,20181226,7300,7300,7300,7300,1,0,0,7232,6995,6913,6743
A086460,에스엔피제네틱스,20181224,7290,7290,7290,7290,1,0,0,7212,6975,6911,6739
A086460,에스엔피제네틱스,20181221,7290,7290,7290,7290,1,0,0,7114,6970,6911,6735
A086460,에스엔피제네틱스,20181220,7090,7090,7090,7090,1,0,0,6896,6971,6914,6731
A086460,에스엔피제네틱스,20181219,7190,7190,7190,7190,1,0,0,6936,6981,6918,6729
A086460,에스엔피제네틱스,20181218,7200,7200,7200,7200,1,0,0,6914,6972,6918,6725
A086460,에스엔피제네틱스,20181217,6800,6800,6800,6800,1,0,0,6894,6922,6921,6722
A086460,에스엔피제네틱스,20181214,6200,6200,6200,6200,0,0,0,6912,6944,6929,6724
A086460,에스엔피제네틱스,20181213,7290,7290,7290,7290,1,0,0,7072,6948,6946,6730
A086460,에스엔피제네틱스,20181212,6100,7080,6100,7080,2,0,0,6952,6899,6944,6728
A086460,에스엔피제네틱스,20181211,6000,7100,5860,7100,1436,0,0,6894,6850,6946,6727
A086460,에스엔피제네틱스,20181210,6890,6890,6890,6890,1,0,0,6844,6785,6946,6722
A086460,에스엔피제네틱스,20181207,7000,7000,7000,7000,1,0,0,6846,6740,6948,6718
A086460,에스엔피제네틱스,20181206,6690,6690,6690,6690,1,0,0,6886,6700,6947,6716
A086460,에스엔피제네틱스,20181205,6790,6790,6790,6790,1,0,0,6920,6666,6952,6716
A086460,에스엔피제네틱스,20181204,6850,6850,6850,6850,1,0,0,6940,6662,6955,6715
A086460,에스엔피제네틱스,20181203,6900,6900,6900,6900,1,0,0,6950,6624,6954,6714
A086460,에스엔피제네틱스,20181130,7200,7200,7200,7200,1,0,0,7010,6629,6953,6712
A086460,에스엔피제네틱스,20181129,6880,6880,6860,6860,3,0,0,7030,6626,6943,6709
A086460,에스엔피제네틱스,20181128,6890,6890,6890,6890,1,0,0,7116,6648,6938,6709
A086460,에스엔피제네틱스,20181127,6900,6900,6900,6900,1,0,0,7138,6654,6930,6708
A086460,에스엔피제네틱스,20181126,7200,7200,7200,7200,1,0,0,6998,6659,6921,6708
A086460,에스엔피제네틱스,20181123,7300,7300,7300,7300,1,0,0,7006,6654,6894,6705
A086460,에스엔피제네틱스,20181122,7290,7290,7290,7290,1,0,0,6806,6649,6864,6702
A086460,에스엔피제네틱스,20181121,7000,7000,7000,7000,1,0,0,6608,6649,6836,6699
