stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A086820,바이오솔루션,20190129,39400,39450,38250,38250,59102,0,-1500,39040,37292,38582,0
A086820,바이오솔루션,20190128,40500,40500,39500,39700,66659,0,0,38830,37010,38696,0
A086820,바이오솔루션,20190125,39450,40700,39150,39950,100801,0,5000,38410,36712,38830,0
A086820,바이오솔루션,20190124,37750,39650,37500,39300,104639,0,918,38120,36355,38939,0
A086820,바이오솔루션,20190123,37000,38500,36650,38000,52287,0,5000,38110,36115,39068,0
A086820,바이오솔루션,20190122,37450,37950,36300,37200,87959,0,-11021,38260,35952,39151,0
A086820,바이오솔루션,20190121,38500,39100,37350,37600,60342,0,0,38770,35800,39198,0
A086820,바이오솔루션,20190118,39100,39500,38450,38500,65876,0,0,38830,35682,39238,0
A086820,바이오솔루션,20190117,38800,39950,37450,39250,120920,0,-3756,38930,35535,39258,0
A086820,바이오솔루션,20190116,39800,39800,38650,38750,83273,0,-8000,38250,35388,39297,0
A086820,바이오솔루션,20190115,37900,40950,37550,39750,190836,0,-6817,37610,35332,39297,0
A086820,바이오솔루션,20190114,39000,39450,37750,37900,99297,0,-528,36430,35230,39263,0
A086820,바이오솔루션,20190111,36100,39100,36100,39000,257097,0,13319,35680,35230,39287,0
A086820,바이오솔루션,20190110,35450,36750,34850,35850,115789,0,13202,34690,35115,39278,0
A086820,바이오솔루션,20190109,33900,35550,33600,35550,82746,0,0,34260,35138,39295,0
A086820,바이오솔루션,20190108,34150,34500,33400,33850,67993,0,-4000,34260,35152,39322,0
A086820,바이오솔루션,20190107,34600,34850,33600,34150,53793,0,-2409,34010,35170,39336,0
A086820,바이오솔루션,20190104,32950,34600,32750,34050,103106,0,-47,33930,35340,39408,0
A086820,바이오솔루션,20190103,36300,36750,33700,33700,109831,0,-4646,33680,35592,39522,0
A086820,바이오솔루션,20190102,33400,35550,33050,35550,191055,0,16925,33840,35862,39684,0
A086820,바이오솔루션,20181228,34050,34700,31550,32600,225219,0,0,33680,35995,39877,0
A086820,바이오솔루션,20181227,33550,35100,33550,33750,246858,0,6895,33990,36285,40103,0
A086820,바이오솔루션,20181226,33750,34050,32250,32800,207836,43818,0,34290,36575,40399,0
A086820,바이오솔루션,20181224,34650,35300,34000,34500,117198,72949,1347,34840,36902,40696,0
A086820,바이오솔루션,20181221,34150,36050,34150,34750,126700,57328,5391,35200,37155,40948,0
A086820,바이오솔루션,20181220,34950,35800,34150,34150,109188,46478,0,35780,37268,41148,0
A086820,바이오솔루션,20181219,35600,36150,35150,35250,87863,39180,0,36490,37518,41338,0
A086820,바이오솔루션,20181218,35900,36550,34950,35550,73588,36702,0,37020,37798,41536,0
A086820,바이오솔루션,20181217,37650,38000,34900,36300,85489,28856,0,37250,38085,41820,0
A086820,바이오솔루션,20181214,37500,39100,37450,37650,84578,28579,-7,37250,38450,42105,0
A086820,바이오솔루션,20181213,37850,38200,37250,37700,48765,24482,-60,36890,38622,42252,0
A086820,바이오솔루션,20181212,37000,37950,36500,37900,87242,22900,-984,36190,38732,42399,0
A086820,바이오솔루션,20181211,37700,39550,36650,36700,201773,17239,-15877,36120,38972,42468,0
A086820,바이오솔루션,20181210,35350,36750,34600,36300,69093,17790,0,36600,39288,42532,0
A086820,바이오솔루션,20181207,34400,36900,33550,35850,135600,13681,3583,37160,39622,42511,0
A086820,바이오솔루션,20181206,37600,37800,34000,34200,227765,8545,-12839,37630,40100,42480,0
A086820,바이오솔루션,20181205,38100,38400,37150,37550,95981,7908,0,38470,40722,42402,0
A086820,바이오솔루션,20181204,39100,39500,38600,39100,67731,9911,-1000,38870,41220,42233,0
A086820,바이오솔루션,20181203,39050,39600,38500,39100,71840,10808,-3500,38920,41702,42026,0
A086820,바이오솔루션,20181130,38000,39150,37100,38200,77544,9726,-420,39010,42058,41825,0
A086820,바이오솔루션,20181129,40300,40400,38400,38400,71899,9401,-3228,38770,42458,41644,0
A086820,바이오솔루션,20181128,39350,40750,39100,39550,121372,11176,-4162,38920,42792,41442,0
A086820,바이오솔루션,20181127,39600,40000,38600,39350,83304,12206,-1916,39180,43202,41225,0
A086820,바이오솔루션,20181126,37000,39550,36800,39550,133304,15017,-6270,39570,43560,41013,0
A086820,바이오솔루션,20181123,39000,39950,37000,37000,148894,10733,0,40380,43932,40822,0
A086820,바이오솔루션,20181122,40950,41300,38950,39150,165470,11530,-4353,41200,44232,40645,0
A086820,바이오솔루션,20181121,40900,41800,39500,40850,139213,13065,-7482,41350,44275,40442,0
A086820,바이오솔루션,20181120,42800,43250,41100,41300,138375,11824,-2272,41720,44232,40230,0
