stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A086890,이수앱지스,20190129,7120,7340,7020,7100,183623,266959,219,6990,6547,6568,7490
A086890,이수앱지스,20190128,6970,7350,6940,7120,234955,295399,10532,6898,6510,6561,7496
A086890,이수앱지스,20190125,7190,7190,6950,6990,106113,300035,282,6756,6458,6555,7500
A086890,이수앱지스,20190124,6640,7150,6620,7100,431664,323305,7411,6638,6412,6550,7504
A086890,이수앱지스,20190123,6630,6720,6500,6640,69258,299276,2219,6500,6369,6540,7510
A086890,이수앱지스,20190122,6440,6700,6410,6640,111683,317777,-10808,6456,6348,6544,7518
A086890,이수앱지스,20190121,6400,6490,6310,6410,82446,306666,11167,6434,6326,6553,7524
A086890,이수앱지스,20190118,6380,6440,6350,6400,35967,303417,-285,6440,6320,6569,7534
A086890,이수앱지스,20190117,6420,6540,6340,6410,40048,298691,5569,6486,6312,6587,7545
A086890,이수앱지스,20190116,6540,6550,6280,6420,111299,303470,-477,6564,6309,6612,7558
A086890,이수앱지스,20190115,6410,6690,6370,6530,58242,303849,106,6536,6314,6632,7572
A086890,이수앱지스,20190114,6600,6600,6440,6440,51287,308029,1131,6490,6320,6650,7586
A086890,이수앱지스,20190111,6830,6880,6600,6630,78886,320137,1122,6472,6316,6670,7603
A086890,이수앱지스,20190110,6420,6900,6270,6800,266762,339608,-1100,6386,6300,6688,7619
A086890,이수앱지스,20190109,6310,6350,6230,6280,72324,328619,631,6228,6276,6701,7632
A086890,이수앱지스,20190108,6350,6380,6170,6300,46363,328051,257,6206,6291,6726,7651
A086890,이수앱지스,20190107,6400,6470,6240,6350,74282,329054,0,6218,6306,6747,7669
A086890,이수앱지스,20190104,5990,6230,5960,6200,72142,340349,-22111,6162,6326,6775,7688
A086890,이수앱지스,20190103,6170,6210,5980,6010,113033,330794,4308,6136,6362,6810,7707
A086890,이수앱지스,20190102,6290,6310,6140,6170,62408,341341,925,6184,6406,6856,7726
A086890,이수앱지스,20181228,6070,6380,6070,6360,65468,340948,0,6196,6440,6905,7743
A086890,이수앱지스,20181227,6120,6210,6050,6070,68628,331581,0,6164,6466,6946,7759
A086890,이수앱지스,20181226,6060,6240,5970,6070,101521,344809,0,6208,6498,7000,7776
A086890,이수앱지스,20181224,6230,6330,6150,6250,46873,358389,0,6240,6536,7062,7793
A086890,이수앱지스,20181221,6080,6280,6080,6230,60137,358273,0,6260,6563,7128,7812
A086890,이수앱지스,20181220,6350,6350,6120,6200,53016,359457,0,6316,6582,7194,7833
A086890,이수앱지스,20181219,6190,6370,6150,6290,48873,368758,0,6410,6610,7258,7857
A086890,이수앱지스,20181218,6300,6410,6200,6230,46954,367172,0,6422,6640,7334,7881
A086890,이수앱지스,20181217,6490,6490,6240,6350,40444,408837,0,6440,6674,7410,7905
A086890,이수앱지스,20181214,6670,6670,6400,6510,47479,417216,0,6434,6690,7481,7924
A086890,이수앱지스,20181213,6420,6770,6280,6670,100076,425808,0,6446,6689,7552,7943
A086890,이수앱지스,20181212,6370,6410,6300,6350,29650,425165,0,6434,6672,7617,7960
A086890,이수앱지스,20181211,6330,6470,6240,6320,36086,416352,0,6510,6676,7685,7975
A086890,이수앱지스,20181210,6570,6570,6250,6320,78360,424837,-6245,6630,6679,7752,8001
A086890,이수앱지스,20181207,6830,6830,6500,6570,39240,433452,-4545,6746,6678,7809,8033
A086890,이수앱지스,20181206,6640,6720,6500,6610,76085,437575,4545,6802,6684,7861,8064
A086890,이수앱지스,20181205,6860,6860,6610,6730,89778,451614,0,6856,6701,7913,8094
A086890,이수앱지스,20181204,6910,6980,6850,6920,36470,454491,0,6852,6706,7958,8123
A086890,이수앱지스,20181203,6920,7020,6620,6900,53555,452955,0,6836,6705,7999,8152
A086890,이수앱지스,20181130,6930,6930,6730,6850,43160,451120,0,6812,6709,8032,8185
A086890,이수앱지스,20181129,6940,6940,6760,6880,54679,459538,0,6764,6716,8058,8216
A086890,이수앱지스,20181128,6850,6910,6710,6710,41496,458838,0,6740,6707,8078,8246
A086890,이수앱지스,20181127,6840,6940,6710,6840,59660,465883,0,6778,6708,8101,8279
A086890,이수앱지스,20181126,6570,6900,6510,6780,53250,469414,0,6790,6704,8122,8310
A086890,이수앱지스,20181123,6900,6900,6600,6610,44497,456087,0,6766,6688,8146,8339
A086890,이수앱지스,20181122,6920,6920,6730,6760,46980,463593,0,6744,6703,8170,8372
A086890,이수앱지스,20181121,6700,6900,6670,6900,59681,475293,0,6660,6722,8189,8408
A086890,이수앱지스,20181120,6530,6900,6510,6900,89931,479043,-1887,6562,6746,8206,8444
A086890,이수앱지스,20181119,6520,6670,6520,6660,56210,484370,-15823,6460,6776,8225,8480
A086890,이수앱지스,20181116,6380,6550,6270,6500,59386,470622,0,6386,6836,8241,8517
A086890,이수앱지스,20181115,6490,6490,6190,6340,89723,446479,-17720,6426,6894,8256,8558
A086890,이수앱지스,20181114,6250,6590,6250,6410,129934,461046,-4000,6548,6958,8270,8598
A086890,이수앱지스,20181113,6130,6420,6100,6390,119503,454853,-25000,6632,7017,8288,8633
A086890,이수앱지스,20181112,6600,6600,6210,6290,154103,462546,-21060,6734,7086,8304,8667
A086890,이수앱지스,20181109,7000,7000,6640,6700,83036,513143,-13360,6872,7150,8326,8705
A086890,이수앱지스,20181108,7100,7180,6920,6950,98218,540182,300,6930,7204,8342,8739
A086890,이수앱지스,20181107,7010,7180,6810,6830,91768,560576,0,6880,7233,8358,8775
A086890,이수앱지스,20181106,7050,7150,6820,6900,78947,590805,0,6862,7294,8376,8814
A086890,이수앱지스,20181105,7020,7080,6710,6980,69614,624683,0,6830,7364,8389,8845
A086890,이수앱지스,20181102,6820,7140,6820,6990,93876,630952,0,6730,7454,8400,8871
A086890,이수앱지스,20181101,6760,6980,6680,6700,119980,608701,0,6712,7558,8411,8904
A086890,이수앱지스,20181031,6750,6800,6510,6740,42550,611577,0,6802,7666,8430,8945
A086890,이수앱지스,20181030,6300,6900,6090,6740,259909,618407,-64039,6928,7792,8444,8983
A086890,이수앱지스,20181029,6900,7050,6390,6480,110940,593197,-3504,7078,7945,8458,9027
A086890,이수앱지스,20181026,7150,7240,6770,6900,103821,587710,12250,7358,8131,8479,9081
A086890,이수앱지스,20181025,7100,7270,6940,7150,118375,602317,-23370,7510,8298,8491,9133
A086890,이수앱지스,20181024,7610,7610,7220,7370,75249,606638,-250,7604,8441,8494,9171
A086890,이수앱지스,20181023,7800,7870,7490,7490,112341,625412,-27536,7646,8615,8500,9209
A086890,이수앱지스,20181022,7650,7980,7490,7880,97774,654583,1308,7700,8780,8502,9247
A086890,이수앱지스,20181019,7550,7660,7320,7660,67122,655727,0,7638,8916,8505,9287
A086890,이수앱지스,20181018,7550,7680,7500,7620,39022,662921,0,7662,9074,8512,9326
A086890,이수앱지스,20181017,7800,7930,7520,7580,121904,663590,-44294,7646,9220,8522,9373
A086890,이수앱지스,20181016,7570,7800,7550,7760,56267,681988,0,7738,9364,8536,9427
A086890,이수앱지스,20181015,7780,8000,7550,7570,128684,671937,-47331,7846,9493,8550,9484
A086890,이수앱지스,20181012,7590,7780,7500,7780,125380,674676,-39698,8088,9600,8563,9542
A086890,이수앱지스,20181011,7700,7890,7360,7540,370366,653607,-112234,8348,9696,8575,9595
A086890,이수앱지스,20181010,8300,8480,7830,8040,174928,611624,-65518,8610,9805,8591,9656
A086890,이수앱지스,20181008,8750,8870,8300,8300,109006,563296,-41034,8858,9875,8600,9715
A086890,이수앱지스,20181005,9030,9090,8440,8780,169186,554019,-42590,9156,9929,8604,9769
A086890,이수앱지스,20181004,8910,9200,8670,9080,173573,566666,0,9440,9934,8596,9815
A086890,이수앱지스,20181002,9280,9400,8670,8850,359701,607617,-29702,9674,9898,8581,9848
A086890,이수앱지스,20181001,9920,9920,9030,9280,330299,597782,-83061,9904,9860,8573,9880
A086890,이수앱지스,20180928,10150,10200,9720,9790,188092,586951,0,10218,9802,8552,9907
A086890,이수앱지스,20180927,10050,10400,10050,10200,198605,607899,-25573,10420,9717,8524,9932
A086890,이수앱지스,20180921,10100,10400,10000,10250,314584,589615,-36140,10500,9617,8496,9957
A086890,이수앱지스,20180920,10900,11100,9990,10000,518823,538862,10423,10610,9507,8472,9976
A086890,이수앱지스,20180919,11050,11100,10750,10850,238100,528999,48993,10720,9402,8457,9994
A086890,이수앱지스,20180918,10600,10800,10400,10800,187376,537303,33822,10640,9257,8428,10008
A086890,이수앱지스,20180917,10900,10900,10250,10600,298110,528406,23840,10550,9120,8399,10018
A086890,이수앱지스,20180914,10650,11100,10450,10800,417020,547290,5755,10372,8970,8368,10028
A086890,이수앱지스,20180913,10550,10750,10200,10550,224784,536663,30925,10152,8799,8334,10050
A086890,이수앱지스,20180912,10400,10600,10150,10450,323963,575001,26535,9986,8632,8303,10078
A086890,이수앱지스,20180911,9710,10350,9600,10350,314392,611599,78229,9784,8482,8264,10109
A086890,이수앱지스,20180910,9720,9920,9520,9710,124442,602024,35225,9590,8332,8250,10139
A086890,이수앱지스,20180907,9710,9920,9530,9700,138672,628776,38318,9424,8228,8256,10178
A086890,이수앱지스,20180906,9410,9970,9040,9720,350065,660890,44120,9158,8128,8267,10216
A086890,이수앱지스,20180905,9430,9690,9210,9440,249243,677559,76383,8832,8036,8274,10247
A086890,이수앱지스,20180904,9000,9380,8800,9380,458569,710400,60909,8564,7958,8287,10280
A086890,이수앱지스,20180903,8310,8920,8310,8880,244465,764229,27169,8308,7874,8305,10311
A086890,이수앱지스,20180831,7980,8490,7980,8370,81746,755833,1225,8172,7812,8338,10346
A086890,이수앱지스,20180830,8120,8160,8060,8090,30370,749029,0,8108,7778,8374,10383
A086890,이수앱지스,20180829,8100,8200,8000,8100,33432,750629,956,8072,7764,8414,10424
A086890,이수앱지스,20180828,8230,8370,8060,8100,57033,752791,0,8040,7740,8457,10469
A086890,이수앱지스,20180827,8050,8210,8050,8200,77624,756049,0,8030,7712,8498,10506
A086890,이수앱지스,20180824,7960,8050,7800,8050,39318,742544,0,7910,7690,8533,10543
A086890,이수앱지스,20180823,7910,8000,7880,7910,38383,739580,0,7778,7668,8574,10579
A086890,이수앱지스,20180822,8120,8120,7880,7940,64244,739766,0,7636,7640,8627,10621
A086890,이수앱지스,20180821,7700,8070,7600,8050,138752,755240,0,7540,7627,8682,10660
A086890,이수앱지스,20180820,7400,7690,7400,7600,74274,744654,0,7402,7606,8734,10705
A086890,이수앱지스,20180817,7240,7500,7200,7390,46032,735158,0,7404,7629,8793,10754
A086890,이수앱지스,20180816,7360,7400,7000,7200,60917,727960,1,7468,7663,8860,10812
A086890,이수앱지스,20180814,7400,7540,7330,7460,18759,731032,0,7602,7716,8927,10871
A086890,이수앱지스,20180813,7590,7590,7350,7360,47357,732373,0,7690,7762,8978,10926
A086890,이수앱지스,20180810,7790,7790,7590,7610,26432,738149,0,7754,7826,9031,10980
A086890,이수앱지스,20180809,7990,7990,7400,7710,67620,741139,0,7762,7862,9084,11031
A086890,이수앱지스,20180808,7900,7960,7750,7870,37913,743665,0,7756,7901,9136,11080
A086890,이수앱지스,20180807,7680,7950,7670,7900,45615,752212,0,7746,7932,9192,11126
A086890,이수앱지스,20180806,7690,7720,7620,7680,16858,743471,0,7688,7968,9252,11168
A086890,이수앱지스,20180803,7680,7800,7600,7650,35457,739530,-543,7662,8010,9300,11209
A086890,이수앱지스,20180802,7820,7850,7620,7680,49421,733723,-3000,7684,8042,9341,11256
A086890,이수앱지스,20180801,7610,7930,7610,7820,41151,734012,0,7672,8068,9397,11301
A086890,이수앱지스,20180731,7470,7730,7470,7610,19007,723445,0,7574,8094,9460,11353
A086890,이수앱지스,20180730,7700,7700,7370,7550,63800,718031,-12067,7590,8114,9521,11404
A086890,이수앱지스,20180727,7600,7780,7600,7760,30472,716986,0,7608,8143,9596,11458
A086890,이수앱지스,20180726,7450,7650,7330,7620,38375,716161,0,7666,8182,9682,11516
A086890,이수앱지스,20180725,7700,7710,7310,7330,75648,706261,1,7756,8242,9774,11579
A086890,이수앱지스,20180724,7700,7780,7500,7690,58612,712729,500,7940,8329,9848,11648
A086890,이수앱지스,20180723,8050,8100,7630,7640,78279,711362,0,8082,8402,9918,11713
A086890,이수앱지스,20180720,8070,8170,7930,8050,27286,729318,100,8280,8472,9991,11766
A086890,이수앱지스,20180719,8070,8190,7950,8070,53528,731523,-4148,8334,8506,10069,11807
A086890,이수앱지스,20180718,8340,8400,8010,8250,98096,747238,-3000,8420,8539,10141,11844
A086890,이수앱지스,20180717,8650,8760,8070,8400,71801,754240,-10797,8466,8562,10224,11880
A086890,이수앱지스,20180716,8380,8890,8380,8630,68964,766615,0,8510,8548,10318,11913
A086890,이수앱지스,20180713,8500,8590,8320,8320,56544,747302,0,8490,8592,10417,11932
A086890,이수앱지스,20180712,8400,8550,8250,8500,52438,742167,0,8486,8680,10521,11958
A086890,이수앱지스,20180711,8600,8600,8260,8480,50942,734922,0,8422,8773,10614,11984
A086890,이수앱지스,20180710,8650,8680,8520,8620,57557,738577,0,8394,8856,10722,12003
A086890,이수앱지스,20180709,8230,8670,8230,8530,49232,738449,0,8274,8936,10830,12019
A086890,이수앱지스,20180706,8170,8340,8050,8300,61577,726980,325,8194,9032,10935,12035
A086890,이수앱지스,20180705,8430,8460,8010,8180,74740,709928,-14570,8244,9159,11033,12051
A086890,이수앱지스,20180704,8020,8390,8020,8340,62221,705827,0,8368,9278,11115,12072
A086890,이수앱지스,20180703,8130,8300,7750,8020,131959,685373,-7807,8516,9383,11188,12090
A086890,이수앱지스,20180702,8500,8570,8110,8130,135781,660451,0,8740,9517,11262,12112
A086890,이수앱지스,20180629,8800,8820,8310,8550,98220,637597,-6357,8924,9638,11341,12131
A086890,이수앱지스,20180628,9040,9180,8800,8800,96514,638907,-23254,8960,9726,11417,12142
A086890,이수앱지스,20180627,9280,9280,8850,9080,65078,642106,6089,8946,9813,11480,12142
A086890,이수앱지스,20180626,8800,9250,8790,9140,72856,653487,3000,8870,9912,11531,12136
A086890,이수앱지스,20180625,8700,9190,8650,9050,94056,647352,3850,8666,10017,11587,12129
A086890,이수앱지스,20180622,8690,8920,8170,8730,87881,622712,150,8758,10124,11636,12122
A086890,이수앱지스,20180621,8750,8970,8560,8730,110372,600833,0,9032,10243,11687,12115
A086890,이수앱지스,20180620,8290,8750,8170,8700,246700,596518,15646,9356,10376,11766,12110
A086890,이수앱지스,20180619,8900,9100,8010,8120,754200,517961,-126672,9646,10504,11853,12105
