stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A090080,평화산업,20190129,3055,3140,2970,3030,1519651,848152,-141963,3035,2818,2398,2530
A090080,평화산업,20190128,3275,3280,3020,3045,3003344,758855,46083,3047,2790,2379,2529
A090080,평화산업,20190125,3010,3120,2945,3020,2187128,947626,-55,3084,2756,2360,2526
A090080,평화산업,20190124,3095,3120,2990,3025,1343772,906295,-5,3106,2724,2340,2523
A090080,평화산업,20190123,3020,3115,2965,3055,1590239,998402,-458,3059,2691,2318,2521
A090080,평화산업,20190122,3250,3260,3055,3090,2790292,928079,-102,3002,2659,2300,2518
A090080,평화산업,20190121,3180,3295,3145,3230,5863116,805577,-2121,2924,2635,2282,2514
A090080,평화산업,20190118,2840,3360,2840,3130,23573608,808123,175011,2815,2600,2263,2510
A090080,평화산업,20190117,2795,2920,2720,2790,4374764,842036,-52,2711,2576,2248,2507
A090080,평화산업,20190116,2740,2810,2710,2770,2785846,719573,12,2683,2566,2242,2508
A090080,평화산업,20190115,2695,2750,2625,2700,1357673,686442,-158,2659,2554,2236,2512
A090080,평화산업,20190114,2610,2690,2540,2685,879765,862243,-39,2642,2546,2232,2518
A090080,평화산업,20190111,2725,2740,2595,2610,1009745,707578,-3397,2610,2538,2227,2523
A090080,평화산업,20190110,2670,2800,2615,2650,2664744,708618,3603,2609,2510,2223,2527
A090080,평화산업,20190109,2710,2870,2620,2650,7283557,699789,-14,2593,2481,2217,2533
A090080,평화산업,20190108,2560,2615,2450,2615,1337000,726834,64,2576,2446,2211,2539
A090080,평화산업,20190107,2630,2680,2520,2525,924088,768763,-1008,2546,2412,2205,2545
A090080,평화산업,20190104,2570,2635,2520,2605,1238936,784554,-189,2515,2387,2206,2550
A090080,평화산업,20190103,2600,2740,2480,2570,5185915,729261,-3265,2468,2361,2205,2555
A090080,평화산업,20190102,2525,2595,2425,2565,3615430,830413,-1882,2428,2334,2202,2558
A090080,평화산업,20181228,2370,2470,2370,2465,1047957,891323,-96,2400,2307,2200,2564
A090080,평화산업,20181227,2415,2515,2360,2370,1733527,721803,1824,2428,2288,2199,2571
A090080,평화산업,20181226,2315,2440,2315,2370,1232380,882007,191,2462,2274,2203,2580
A090080,평화산업,20181224,2380,2650,2345,2370,3067337,746078,-558,2514,2262,2206,2592
A090080,평화산업,20181221,2595,2640,2410,2425,1419053,700177,-911,2558,2248,2211,2599
A090080,평화산업,20181220,2550,2695,2520,2605,2608353,743190,-217,2583,2228,2215,2604
A090080,평화산업,20181219,2715,2980,2510,2540,11223951,734185,67,2569,2204,2215,2610
A090080,평화산업,20181218,2565,2765,2520,2630,9619859,702675,180,2563,2185,2218,2612
A090080,평화산업,20181217,2495,2675,2465,2590,5380356,696824,1079,2449,2165,2222,2614
A090080,평화산업,20181214,2560,2570,2450,2550,2862385,853015,539,2346,2146,2226,2610
