stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A090150,광진윈텍,20190129,2500,2525,2430,2455,36975,308231,0,2503,2400,2357,2467
A090150,광진윈텍,20190128,2550,2555,2500,2500,32118,304936,0,2505,2392,2351,2467
A090150,광진윈텍,20190125,2515,2580,2505,2555,32710,301915,0,2500,2378,2344,2466
A090150,광진윈텍,20190124,2495,2545,2495,2510,32364,297602,0,2473,2359,2335,2465
A090150,광진윈텍,20190123,2465,2560,2430,2495,66360,292014,-5500,2450,2348,2326,2463
A090150,광진윈텍,20190122,2525,2710,2455,2465,822867,278619,-3000,2440,2342,2322,2462
A090150,광진윈텍,20190121,2490,2640,2455,2475,152033,266550,296,2426,2341,2317,2460
A090150,광진윈텍,20190118,2390,2625,2390,2420,217911,262689,0,2410,2339,2313,2460
A090150,광진윈텍,20190117,2465,2490,2395,2395,60605,242471,0,2405,2336,2312,2460
A090150,광진윈텍,20190116,2395,2465,2385,2445,43251,249075,0,2401,2338,2313,2460
A090150,광진윈텍,20190115,2380,2425,2365,2395,51940,238962,0,2370,2337,2313,2461
A090150,광진윈텍,20190114,2400,2420,2375,2395,39773,236743,0,2345,2340,2314,2462
A090150,광진윈텍,20190111,2400,2415,2350,2395,54649,235013,0,2325,2342,2315,2464
A090150,광진윈텍,20190110,2300,2390,2295,2375,54094,232286,0,2299,2342,2316,2466
A090150,광진윈텍,20190109,2335,2335,2270,2290,19529,224461,0,2284,2345,2316,2467
A090150,광진윈텍,20190108,2270,2350,2270,2270,23420,215414,-3000,2287,2352,2317,2470
A090150,광진윈텍,20190107,2270,2330,2260,2295,27578,210315,0,2292,2358,2318,2472
A090150,광진윈텍,20190104,2305,2305,2210,2265,20425,207574,0,2277,2366,2321,2474
A090150,광진윈텍,20190103,2290,2305,2255,2300,32658,206906,0,2259,2386,2327,2475
A090150,광진윈텍,20190102,2295,2345,2295,2305,28142,205623,0,2257,2400,2331,2477
A090150,광진윈텍,20181228,2215,2300,2200,2295,51197,205990,0,2270,2413,2336,2477
A090150,광진윈텍,20181227,2195,2240,2195,2220,23764,191330,0,2301,2428,2343,2479
A090150,광진윈텍,20181226,2230,2275,2130,2175,66084,183300,0,2345,2450,2353,2482
A090150,광진윈텍,20181224,2370,2385,2255,2290,50183,178273,0,2380,2444,2363,2486
A090150,광진윈텍,20181221,2430,2465,2370,2370,59529,197593,0,2409,2431,2369,2491
A090150,광진윈텍,20181220,2435,2460,2390,2450,71756,196853,0,2421,2417,2375,2496
A090150,광진윈텍,20181219,2330,2450,2330,2440,59595,188858,0,2420,2400,2379,2499
A090150,광진윈텍,20181218,2430,2430,2330,2350,120417,171443,0,2423,2387,2386,2503
A090150,광진윈텍,20181217,2415,2450,2390,2435,49836,144162,0,2428,2380,2396,2506
A090150,광진윈텍,20181214,2450,2465,2375,2430,70115,134929,0,2430,2370,2402,2509
A090150,광진윈텍,20181213,2480,2480,2425,2445,68867,137273,0,2431,2359,2408,2511
A090150,광진윈텍,20181212,2380,2455,2380,2455,113101,130748,0,2417,2348,2414,2514
A090150,광진윈텍,20181211,2445,2450,2360,2375,76172,108080,0,2421,2341,2419,2516
A090150,광진윈텍,20181210,2420,2450,2310,2445,98125,108500,0,2475,2338,2426,2520
A090150,광진윈텍,20181207,2375,2475,2375,2435,106899,96803,0,2504,2332,2431,2523
A090150,광진윈텍,20181206,2450,2485,2355,2375,328209,93240,0,2530,2329,2436,2527
A090150,광진윈텍,20181205,2560,2560,2455,2475,310650,85928,0,2575,2326,2444,2531
A090150,광진윈텍,20181204,2565,2665,2545,2645,704666,77792,0,2611,2318,2451,2535
A090150,광진윈텍,20181203,2560,2660,2520,2590,905278,86142,0,2491,2298,2454,2538
A090150,광진윈텍,20181130,2575,2590,2475,2565,758085,97866,-9399,2381,2277,2457,2543
A090150,광진윈텍,20181129,2815,2820,2525,2600,1786079,102147,-17722,2287,2258,2459,2547
A090150,광진윈텍,20181128,2200,2655,2145,2655,2275560,118481,0,2187,2233,2460,2551
A090150,광진윈텍,20181127,2045,2190,2045,2045,36266,133891,-4531,2094,2204,2461,2554
A090150,광진윈텍,20181126,2090,2095,2035,2040,33969,133132,-3481,2127,2203,2472,2562
A090150,광진윈텍,20181123,2175,2175,2095,2095,6052,131685,-14,2166,2200,2483,2570
