stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A090470,제이스텍,20190129,8300,9980,8280,8840,2603276,603973,-3808,7946,6306,6234,6995
A090470,제이스텍,20190128,8240,8700,8170,8300,462273,649346,3081,7418,6129,6188,7000
A090470,제이스텍,20190125,8050,8490,7840,8240,888177,606383,12930,7008,5979,6151,7008
A090470,제이스텍,20190124,6290,8190,6270,8050,2362708,660296,22490,6602,5832,6115,7017
A090470,제이스텍,20190123,6100,6380,6100,6300,49377,782972,-10014,6242,5698,6071,7027
A090470,제이스텍,20190122,6250,6300,6130,6200,29211,779394,-290,6214,5656,6062,7050
A090470,제이스텍,20190121,6210,6310,6140,6250,42170,783248,-763,6146,5620,6057,7070
A090470,제이스텍,20190118,6250,6260,6070,6210,66698,788274,-8096,6046,5584,6054,7090
A090470,제이스텍,20190117,6160,6600,6100,6250,272716,793604,-20524,5944,5548,6053,7110
A090470,제이스텍,20190116,5850,6190,5810,6160,98669,788897,5870,5814,5514,6055,7133
A090470,제이스텍,20190115,5750,5920,5750,5860,54333,793153,-4926,5704,5486,6058,7156
A090470,제이스텍,20190114,5670,5760,5640,5750,39190,794286,-146,5634,5478,6068,7182
A090470,제이스텍,20190111,5630,5860,5570,5700,82297,785841,-466,5558,5472,6081,7213
A090470,제이스텍,20190110,5650,5660,5560,5600,20765,801408,-522,5464,5468,6094,7246
A090470,제이스텍,20190109,5500,5730,5500,5610,68271,805010,-3813,5404,5466,6105,7280
A090470,제이스텍,20190108,5430,5660,5300,5510,79397,811959,-218,5362,5472,6118,7314
A090470,제이스텍,20190107,5290,5500,5290,5370,104906,817166,-27067,5318,5491,6131,7348
A090470,제이스텍,20190104,5220,5290,5040,5230,67790,818580,154,5304,5528,6159,7384
A090470,제이스텍,20190103,5400,5470,5240,5300,25096,841250,1782,5318,5582,6195,7419
A090470,제이스텍,20190102,5410,5460,5310,5400,26137,851420,-58,5332,5634,6227,7452
A090470,제이스텍,20181228,5360,5520,5290,5290,37297,827158,-1153,5344,5682,6263,7482
A090470,제이스텍,20181227,5330,5410,5250,5300,51659,850842,-310,5384,5735,6303,7513
A090470,제이스텍,20181226,5240,5370,5240,5300,44587,846203,8290,5426,5782,6345,7544
A090470,제이스텍,20181224,5470,5470,5280,5370,64408,845975,10235,5468,5832,6389,7574
A090470,제이스텍,20181221,5470,5530,5380,5460,32393,862587,-196,5508,5877,6431,7608
A090470,제이스텍,20181220,5520,5600,5400,5490,38050,868262,-16,5536,5918,6474,7644
A090470,제이스텍,20181219,5450,5650,5450,5510,27199,868376,-1825,5574,5982,6516,7680
A090470,제이스텍,20181218,5570,5570,5280,5510,35772,865003,1231,5602,6045,6560,7718
A090470,제이스텍,20181217,5340,5570,5340,5570,45298,874822,-1147,5620,6128,6605,7754
A090470,제이스텍,20181214,5610,5680,5510,5600,28860,875825,-143,5620,6204,6652,7788
A090470,제이스텍,20181213,5720,5720,5560,5680,51323,886498,-9266,5648,6274,6701,7823
A090470,제이스텍,20181212,5590,5650,5540,5650,37314,889857,-10003,5688,6326,6747,7860
A090470,제이스텍,20181211,5580,5620,5450,5600,48126,893146,-9701,5778,6380,6792,7894
A090470,제이스텍,20181210,5740,5740,5540,5570,40249,896285,-9939,5922,6442,6842,7931
A090470,제이스텍,20181207,5900,5980,5710,5740,56456,902269,-10350,6078,6518,6894,7974
A090470,제이스텍,20181206,6100,6100,5860,5880,63180,896665,261,6200,6590,6943,8016
A090470,제이스텍,20181205,6200,6230,6020,6100,93210,909953,836,6294,6657,6994,8060
A090470,제이스텍,20181204,6360,6430,6240,6320,51949,926519,-9521,6324,6687,7042,8105
A090470,제이스텍,20181203,6350,6440,6310,6350,54297,927485,-18779,6318,6716,7080,8149
A090470,제이스텍,20181130,6430,6540,6260,6350,61609,925912,-24,6302,6714,7115,8193
A090470,제이스텍,20181129,6340,6380,6240,6350,48367,936218,-9806,6286,6714,7150,8238
A090470,제이스텍,20181128,6450,6450,6210,6250,49509,927819,-9996,6374,6700,7184,8280
A090470,제이스텍,20181127,6280,6440,6220,6290,44909,934692,4,6476,6692,7221,8326
A090470,제이스텍,20181126,6270,6440,6250,6270,64441,934324,-3004,6650,6682,7257,8371
A090470,제이스텍,20181123,6730,6790,6270,6270,115534,930557,-10007,6816,6637,7292,8419
A090470,제이스텍,20181122,6780,6880,6700,6790,58601,953029,-9848,6962,6614,7321,8471
A090470,제이스텍,20181121,7060,7060,6750,6760,113662,935568,-9542,6948,6569,7343,8520
A090470,제이스텍,20181120,7010,7170,6930,7160,123288,986754,-9765,6940,6532,7369,8572
A090470,제이스텍,20181119,7000,7100,6870,7100,126596,977674,226,6880,6482,7384,8622
A090470,제이스텍,20181116,6840,7150,6800,7000,108477,988997,-2130,6874,6447,7397,8675
A090470,제이스텍,20181115,6650,6790,6560,6720,31719,963665,575,6914,6415,7410,8727
A090470,제이스텍,20181114,6860,6890,6700,6720,33156,962093,-32,7012,6399,7426,8781
