stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A091340,S&K폴리텍,20190129,3810,3845,3740,3760,25373,175196,0,3828,3697,3831,4008
A091340,S&K폴리텍,20190128,3870,3925,3855,3860,29395,177867,0,3831,3690,3840,4007
A091340,S&K폴리텍,20190125,3840,3905,3825,3900,33094,179955,0,3807,3674,3846,4005
A091340,S&K폴리텍,20190124,3780,3950,3745,3840,56346,176900,0,3788,3656,3846,4003
A091340,S&K폴리텍,20190123,3775,3810,3735,3780,22777,183632,0,3784,3645,3844,4000
A091340,S&K폴리텍,20190122,3730,3785,3705,3775,35968,182119,0,3789,3637,3857,3998
A091340,S&K폴리텍,20190121,3825,3830,3725,3740,47305,183283,0,3793,3632,3874,3997
A091340,S&K폴리텍,20190118,3820,3855,3775,3805,29130,181472,0,3785,3627,3892,3997
A091340,S&K폴리텍,20190117,3805,3830,3775,3820,19656,182575,-15,3748,3619,3906,3998
A091340,S&K폴리텍,20190116,3795,3815,3760,3805,24610,187605,-15,3702,3615,3922,3999
A091340,S&K폴리텍,20190115,3700,3890,3670,3795,59717,188813,191,3652,3614,3941,3999
A091340,S&K폴리텍,20190114,3620,3700,3620,3700,37686,193583,3055,3598,3610,3956,3998
A091340,S&K폴리텍,20190111,3590,3620,3565,3620,49810,190519,0,3563,3604,3968,3999
A091340,S&K폴리텍,20190110,3555,3590,3530,3590,13937,190404,750,3535,3602,3983,4000
A091340,S&K폴리텍,20190109,3550,3580,3450,3555,23572,190873,0,3513,3602,3997,4002
A091340,S&K폴리텍,20190108,3530,3565,3485,3525,15561,189694,0,3518,3610,4012,4004
A091340,S&K폴리텍,20190107,3475,3525,3450,3525,40324,189311,2000,3539,3617,4024,4005
A091340,S&K폴리텍,20190104,3425,3480,3345,3480,72409,184156,1172,3542,3630,4039,4008
A091340,S&K폴리텍,20190103,3560,3580,3450,3480,47059,187506,0,3552,3650,4056,4010
A091340,S&K폴리텍,20190102,3630,3650,3540,3580,23702,187944,0,3580,3669,4074,4013
A091340,S&K폴리텍,20181228,3540,3635,3540,3630,26368,189324,0,3588,3681,4093,4013
A091340,S&K폴리텍,20181227,3540,3680,3540,3540,22558,202551,0,3596,3690,4111,4011
A091340,S&K폴리텍,20181226,3560,3610,3425,3530,53887,205316,-2533,3618,3706,4130,4009
A091340,S&K폴리텍,20181224,3610,3715,3595,3620,34315,216589,-2533,3641,3723,4145,4008
A091340,S&K폴리텍,20181221,3620,3670,3610,3620,37685,225825,-2534,3664,3737,4159,4007
A091340,S&K폴리텍,20181220,3605,3735,3605,3670,44445,231635,15,3697,3746,4169,4006
A091340,S&K폴리텍,20181219,3650,3715,3595,3650,38563,231853,15,3705,3755,4180,4004
A091340,S&K폴리텍,20181218,3670,3735,3630,3645,68310,231683,0,3693,3768,4191,4003
A091340,S&K폴리텍,20181217,3890,3890,3660,3735,29168,230473,181,3680,3786,4202,4003
A091340,S&K폴리텍,20181214,3700,3805,3700,3785,18016,238233,0,3652,3806,4208,4002
