stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A092460,한라IMS,20190129,7750,7750,7400,7500,37339,92387,0,7806,7358,7066,7021
A092460,한라IMS,20190128,7860,7970,7600,7700,29531,99202,0,7842,7332,7053,7015
A092460,한라IMS,20190125,7940,8050,7790,7860,24761,105771,0,7826,7293,7032,7008
A092460,한라IMS,20190124,7990,8120,7900,7980,50494,110321,0,7728,7239,7004,6999
A092460,한라IMS,20190123,7680,7990,7660,7990,69689,111866,-534,7570,7188,6976,6989
A092460,한라IMS,20190122,7550,7700,7530,7680,14358,95759,-900,7420,7136,6950,6978
A092460,한라IMS,20190121,7340,7700,7340,7620,63392,94855,0,7324,7100,6933,6969
A092460,한라IMS,20190118,7300,7390,7190,7370,12499,87066,0,7238,7066,6919,6961
A092460,한라IMS,20190117,7270,7290,7180,7190,7842,85185,0,7218,7040,6911,6955
A092460,한라IMS,20190116,7300,7300,7190,7240,7141,85197,0,7236,7030,6908,6952
A092460,한라IMS,20190115,7190,7270,7170,7200,11332,84796,0,7198,7022,6905,6948
A092460,한라IMS,20190114,7340,7340,7170,7190,21046,84112,0,7168,7016,6900,6944
A092460,한라IMS,20190111,7350,7350,7210,7270,14126,82405,0,7148,7014,6895,6942
A092460,한라IMS,20190110,7100,7330,7020,7280,45572,82413,0,7082,7000,6886,6939
A092460,한라IMS,20190109,7110,7110,7000,7050,9139,69519,0,7020,6984,6875,6936
A092460,한라IMS,20190108,7090,7170,7010,7050,6641,69083,0,7006,6982,6868,6936
A092460,한라IMS,20190107,7030,7100,6940,7090,15245,68852,0,6996,6978,6859,6934
A092460,한라IMS,20190104,7000,7010,6920,6940,13244,64731,0,6960,6982,6856,6933
A092460,한라IMS,20190103,7050,7050,6930,6970,3592,59207,0,6928,6994,6858,6930
A092460,한라IMS,20190102,7070,7090,6940,6980,5693,59355,0,6924,7006,6861,6928
A092460,한라IMS,20181228,6910,7050,6880,7000,11396,58456,0,6922,7010,6862,6924
A092460,한라IMS,20181227,6850,6950,6720,6910,6808,57994,0,6910,7004,6863,6923
A092460,한라IMS,20181226,6870,6990,6720,6780,10016,57366,-1056,6916,7001,6866,6922
A092460,한라IMS,20181224,7000,7030,6950,6950,6959,58538,0,6932,7003,6874,6923
A092460,한라IMS,20181221,7000,7020,6910,6970,16310,58503,-115,6942,6993,6883,6925
A092460,한라IMS,20181220,6990,7000,6900,6940,7562,68082,0,6960,6978,6892,6927
A092460,한라IMS,20181219,6850,7000,6850,6940,10781,67875,1021,6992,6971,6902,6927
A092460,한라IMS,20181218,7050,7050,6850,6860,10365,66726,150,7034,6962,6912,6927
A092460,한라IMS,20181217,7170,7170,6900,7000,12812,66131,0,7056,6961,6923,6929
A092460,한라IMS,20181214,7050,7180,6990,7060,17579,66007,0,7050,6957,6928,6930
A092460,한라IMS,20181213,7200,7200,7010,7100,8575,65627,0,7038,6950,6932,6932
A092460,한라IMS,20181212,7090,7350,6880,7150,30597,64901,0,7016,6936,6937,6933
A092460,한라IMS,20181211,6980,7000,6910,6970,6453,61213,0,7018,6914,6938,6932
A092460,한라IMS,20181210,7070,7070,6790,6970,10940,61210,0,7060,6901,6941,6936
A092460,한라IMS,20181207,6990,7100,6910,7000,5120,61272,0,7106,6895,6944,6941
A092460,한라IMS,20181206,7220,7220,6780,6990,38539,60636,0,7120,6886,6947,6945
A092460,한라IMS,20181205,7180,7180,7120,7160,8305,59225,0,7098,6882,6951,6952
A092460,한라IMS,20181204,7200,7250,7140,7180,18660,58633,0,7036,6864,6951,6958
A092460,한라IMS,20181203,7210,7210,7070,7200,23812,57709,0,6964,6852,6950,6965
A092460,한라IMS,20181130,7400,7400,7060,7070,59111,56128,0,6874,6837,6948,6974
A092460,한라IMS,20181129,6900,6910,6610,6880,8475,55598,0,6796,6832,6948,6981
A092460,한라IMS,20181128,6890,6890,6790,6850,2076,56431,0,6778,6823,6951,6990
A092460,한라IMS,20181127,6770,6860,6710,6820,2283,56462,0,6760,6803,6955,6999
A092460,한라IMS,20181126,6680,6790,6680,6750,7087,56514,0,6764,6771,6960,7008
A092460,한라IMS,20181123,6790,6790,6680,6680,2990,56403,0,6798,6748,6962,7017
A092460,한라IMS,20181122,6800,6900,6760,6790,11004,56762,0,6844,6735,6967,7028
A092460,한라IMS,20181121,6710,6820,6630,6760,11628,58132,0,6854,6728,6971,7041
A092460,한라IMS,20181120,6650,6910,6650,6840,1729,58363,0,6842,6730,6976,7053
A092460,한라IMS,20181119,6770,6930,6770,6920,6544,58711,0,6816,6732,6979,7065
A092460,한라IMS,20181116,6880,6930,6840,6910,3345,57801,0,6802,6738,6980,7075
A092460,한라IMS,20181115,6740,6850,6650,6840,7965,57670,0,6786,6744,6978,7085
A092460,한라IMS,20181114,6710,6740,6650,6700,3472,58516,0,6798,6747,6980,7096
A092460,한라IMS,20181113,6890,6890,6690,6710,6612,59494,0,6820,6757,6982,7107
A092460,한라IMS,20181112,6830,6940,6710,6850,2840,59768,0,6862,6758,6986,7118
A092460,한라IMS,20181109,6800,6900,6790,6830,3703,60383,0,6874,6745,6990,7131
A092460,한라IMS,20181108,6850,6980,6850,6900,1411,59789,0,6902,6736,6988,7144
A092460,한라IMS,20181107,6890,6940,6800,6810,5113,59913,0,6862,6717,6985,7156
A092460,한라IMS,20181106,6980,6980,6850,6920,2932,60388,0,6790,6720,6984,7169
A092460,한라IMS,20181105,6800,7100,6800,6910,15096,60844,10000,6642,6730,6981,7177
A092460,한라IMS,20181102,6610,6990,6610,6970,15229,62136,10000,6516,6740,6979,7186
A092460,한라IMS,20181101,6380,6720,6380,6700,21669,64739,10000,6408,6742,6975,7197
A092460,한라IMS,20181031,6390,6520,6160,6450,31234,65465,10000,6400,6762,6977,7212
A092460,한라IMS,20181030,6180,6300,5760,6180,46950,66612,10000,6468,6794,6983,7230
A092460,한라IMS,20181029,6320,6600,6280,6280,28462,67261,10000,6606,6848,6994,7244
A092460,한라IMS,20181026,6790,6800,6380,6430,28907,69816,10000,6758,6910,7003,7258
A092460,한라IMS,20181025,6460,6700,6460,6660,31808,72517,10000,6880,6963,7007,7270
A092460,한라IMS,20181024,6870,6990,6760,6790,31398,71670,10000,6928,7006,7006,7278
A092460,한라IMS,20181023,6950,7040,6820,6870,19677,74614,10000,6950,7046,7003,7286
A092460,한라IMS,20181022,7040,7040,6900,7040,29213,76410,10000,6924,7076,7000,7296
A092460,한라IMS,20181019,6770,7070,6770,7040,16270,77027,10000,6832,7091,6995,7305
A092460,한라IMS,20181018,6850,6980,6800,6900,14214,79488,10000,6756,7104,6990,7310
A092460,한라IMS,20181017,6840,6920,6730,6900,16083,80591,10000,6678,7128,6988,7316
A092460,한라IMS,20181016,6500,6760,6500,6740,26217,82761,10000,6674,7144,6989,7323
A092460,한라IMS,20181015,6970,6970,6520,6580,23083,82074,5000,6748,7164,6992,7331
A092460,한라IMS,20181012,6210,6700,6210,6660,26225,87298,5103,6852,7193,6998,7339
A092460,한라IMS,20181011,6530,6830,6500,6510,51331,86334,5106,6926,7218,7004,7344
A092460,한라IMS,20181010,7000,7090,6800,6880,29785,93119,4764,7044,7253,7009,7353
A092460,한라IMS,20181008,7030,7180,7030,7110,8397,99450,4091,7082,7268,7010,7357
A092460,한라IMS,20181005,7030,7120,7030,7100,15463,100527,3112,7116,7268,7002,7361
A092460,한라IMS,20181004,7030,7130,7030,7030,16493,101021,4000,7196,7267,6995,7367
A092460,한라IMS,20181002,7070,7130,7010,7100,10445,103070,0,7290,7268,6988,7371
A092460,한라IMS,20181001,7140,7260,7010,7070,28391,103188,5000,7372,7268,6983,7369
A092460,한라IMS,20180928,7480,7490,7210,7280,23929,102774,0,7476,7269,6979,7369
A092460,한라IMS,20180927,7350,7550,7350,7500,19671,104260,0,7518,7261,6973,7367
A092460,한라IMS,20180921,7510,7680,7450,7500,10129,102809,378,7484,7229,6967,7365
A092460,한라IMS,20180920,7600,7710,7510,7510,35520,103240,0,7444,7204,6961,7363
A092460,한라IMS,20180919,7430,7700,7430,7590,53131,108691,202,7420,7179,6952,7360
A092460,한라IMS,20180918,7390,7630,7300,7490,68652,109819,38,7346,7152,6942,7357
A092460,한라IMS,20180917,7290,7360,7260,7330,19954,99386,4000,7276,7128,6936,7356
A092460,한라IMS,20180914,7470,7490,7220,7300,49803,97793,2712,7240,7110,6932,7353
A092460,한라IMS,20180913,7220,7390,7150,7390,37441,104183,686,7214,7087,6931,7354
A092460,한라IMS,20180912,7140,7250,7140,7220,14826,102999,433,7176,7064,6929,7355
A092460,한라IMS,20180911,7160,7250,7100,7140,16279,102044,0,7168,7045,6926,7358
A092460,한라IMS,20180910,7170,7190,7080,7150,30099,100452,1353,7160,7034,6930,7363
A092460,한라IMS,20180907,7200,7200,7060,7170,14272,99104,138,7148,7034,6937,7368
A092460,한라IMS,20180906,7290,7290,7150,7200,15532,99480,0,7126,7010,6942,7371
A092460,한라IMS,20180905,7090,7300,7040,7180,43847,101180,0,7106,6985,6954,7374
A092460,한라IMS,20180904,7130,7130,7010,7100,29211,95593,0,7086,6965,6965,7376
A092460,한라IMS,20180903,7000,7120,6990,7090,23668,98755,0,7090,6946,6981,7377
A092460,한라IMS,20180831,7090,7110,7030,7060,13785,96454,136,7044,6931,6999,7378
A092460,한라IMS,20180830,7160,7160,7030,7100,19103,95859,132,7030,6914,7014,7380
A092460,한라IMS,20180829,7210,7210,7070,7080,26193,94098,0,7014,6901,7028,7380
A092460,한라IMS,20180828,6860,7350,6860,7120,90790,97345,62,7010,6888,7042,7382
A092460,한라IMS,20180827,6950,7010,6860,6860,23828,92538,0,6986,6871,7056,7383
A092460,한라IMS,20180824,7070,7070,6880,6990,9835,93403,0,7010,6870,7072,7385
A092460,한라IMS,20180823,7060,7070,6900,7020,34629,93386,73,6978,6854,7090,7387
A092460,한라IMS,20180822,7100,7220,7000,7060,37939,94295,0,6962,6832,7111,7390
A092460,한라IMS,20180821,6920,7050,6890,7000,22557,90447,0,6916,6812,7130,7394
A092460,한라IMS,20180820,6830,7110,6770,6980,40595,89837,0,6898,6795,7151,7397
A092460,한라IMS,20180817,6950,7030,6830,6830,29453,86816,0,6932,6784,7171,7399
A092460,한라IMS,20180816,6770,7030,6750,6940,36756,85781,0,6904,6780,7191,7402
A092460,한라IMS,20180814,6870,6980,6700,6830,50336,82248,0,6858,6770,7211,7405
A092460,한라IMS,20180813,7020,7190,6880,6910,96218,81340,0,6848,6776,7231,7408
A092460,한라IMS,20180810,6690,8500,6680,7150,1215144,78704,0,6812,6778,7251,7409
A092460,한라IMS,20180809,6640,6750,6640,6690,8699,95302,0,6738,6768,7271,7408
A092460,한라IMS,20180808,6800,6800,6610,6710,595085,94794,0,6746,6784,7300,7411
A092460,한라IMS,20180807,6820,6820,6730,6780,1847,94268,0,6770,6790,7328,7414
A092460,한라IMS,20180806,6780,6780,6580,6730,588598,94413,0,6776,6798,7354,7417
A092460,한라IMS,20180803,6710,6800,6640,6780,7316,95253,0,6788,6793,7374,7421
A092460,한라IMS,20180802,6830,6830,6730,6730,1422,95758,0,6798,6787,7393,7424
A092460,한라IMS,20180801,6810,6860,6700,6830,5587,96214,0,6790,6780,7419,7431
A092460,한라IMS,20180731,6790,6850,6710,6810,911,96225,0,6740,6778,7446,7438
A092460,한라IMS,20180730,6750,6890,6670,6790,10742,96430,0,6706,6780,7476,7447
A092460,한라IMS,20180727,6650,6910,6600,6830,10936,96426,0,6682,6786,7495,7455
A092460,한라IMS,20180726,6540,6750,6540,6690,5208,96569,0,6668,6802,7514,7463
A092460,한라IMS,20180725,6640,6740,6460,6580,17180,95940,0,6682,6826,7532,7473
A092460,한라IMS,20180724,6470,6720,6470,6640,10553,98252,0,6714,6844,7549,7481
A092460,한라IMS,20180723,6760,7170,6560,6670,16967,98540,0,6776,6863,7570,7489
A092460,한라IMS,20180720,6760,6830,6670,6760,9217,100440,0,6828,6884,7591,7493
A092460,한라IMS,20180719,6740,6820,6670,6760,13678,101560,0,6870,6902,7614,7496
A092460,한라IMS,20180718,6950,7020,6710,6740,18428,100950,0,6918,6926,7630,7498
A092460,한라IMS,20180717,6970,6970,6860,6950,4910,102473,0,6934,6953,7644,7500
A092460,한라IMS,20180716,6970,7040,6890,6930,8937,103014,0,6932,6957,7658,7500
A092460,한라IMS,20180713,7010,7090,6910,6970,8692,103256,0,6874,6978,7670,7499
A092460,한라IMS,20180712,6850,7040,6760,7000,11864,103536,0,6812,7009,7680,7499
A092460,한라IMS,20180711,6940,6950,6800,6820,13602,105327,0,6728,7034,7684,7500
A092460,한라IMS,20180710,6640,6990,6640,6940,22165,106449,0,6726,7086,7697,7502
A092460,한라IMS,20180709,6730,6730,6520,6640,13673,105327,0,6706,7133,7705,7503
A092460,한라IMS,20180706,6590,6680,6530,6660,17733,109649,0,6760,7204,7720,7508
A092460,한라IMS,20180705,6800,6830,6550,6580,37873,109388,0,6856,7280,7740,7509
A092460,한라IMS,20180704,6940,6940,6790,6810,15862,110410,0,6974,7348,7754,7513
A092460,한라IMS,20180703,6900,7080,6800,6840,17094,111200,0,7004,7404,7756,7515
A092460,한라IMS,20180702,7150,7150,6910,6910,23421,115447,0,7038,7458,7759,7514
A092460,한라IMS,20180629,7120,7170,7000,7140,21821,116604,0,7072,7512,7762,7512
A092460,한라IMS,20180628,6960,7600,6910,7170,69254,117392,0,7068,7546,7764,7508
A092460,한라IMS,20180627,6900,7150,6900,6960,20722,120252,0,7082,7589,7764,7502
A092460,한라IMS,20180626,7070,7070,6810,7010,66084,121377,-13900,7148,7656,7767,7498
A092460,한라IMS,20180625,7020,7240,7020,7080,29688,128724,0,7152,7716,7772,7495
A092460,한라IMS,20180622,7130,7240,7040,7120,21687,126706,0,7206,7774,7776,7492
A092460,한라IMS,20180621,7210,7370,7210,7240,13101,132437,0,7300,7828,7773,7488
A092460,한라IMS,20180620,6880,7350,6880,7290,65828,133781,0,7350,7868,7777,7484
A092460,한라IMS,20180619,7350,7440,7030,7030,45729,122668,0,7466,7910,7781,7479
A092460,한라IMS,20180618,7630,7740,7340,7350,39893,123766,0,7636,7960,7791,7478
A092460,한라IMS,20180615,7490,7750,7490,7590,31392,124240,0,7778,7998,7797,7474
A092460,한라IMS,20180614,7870,7970,7490,7490,51263,124083,0,7896,8034,7799,7467
A092460,한라IMS,20180612,7960,8020,7800,7870,38573,127990,0,7986,8081,7800,7462
A092460,한라IMS,20180611,8100,8130,7750,7880,63111,131557,0,7998,8108,7794,7453
A092460,한라IMS,20180608,8230,8260,7990,8060,56071,131961,0,8008,8130,7787,7445
A092460,한라IMS,20180607,7940,8260,7900,8180,97215,141241,0,7992,8124,7773,7437
A092460,한라IMS,20180605,7870,8000,7800,7940,24869,121524,0,7920,8112,7757,7429
A092460,한라IMS,20180604,7930,8000,7820,7930,20030,120727,0,7938,8130,7745,7422
A092460,한라IMS,20180601,8000,8090,7910,7930,19870,120357,0,8012,8156,7733,7414
A092460,한라IMS,20180531,7830,8080,7830,7980,40791,120397,0,8068,8191,7722,7406
A092460,한라IMS,20180530,8000,8020,7760,7820,70049,113637,0,8118,8188,7709,7399
A092460,한라IMS,20180529,8380,8420,8030,8030,57062,119715,0,8196,8193,7698,7392
A092460,한라IMS,20180528,8240,8390,8090,8300,44088,131553,0,8196,8182,7684,7384
