stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A093190,빅솔론,20190129,6020,6050,5940,6040,18273,1686810,1157,6000,6070,6267,6253
A093190,빅솔론,20190128,6050,6100,6010,6010,11903,1685648,0,5982,6082,6272,6255
A093190,빅솔론,20190125,6000,6100,5950,6000,21103,1684677,-103,5940,6094,6276,6257
A093190,빅솔론,20190124,5960,6000,5890,6000,10028,1683373,0,5950,6110,6278,6258
A093190,빅솔론,20190123,5950,5980,5920,5950,12567,1683622,0,5958,6126,6278,6260
A093190,빅솔론,20190122,5890,6000,5840,5950,29056,1684135,1000,5978,6148,6282,6262
A093190,빅솔론,20190121,6050,6050,5620,5800,89300,1679871,3365,5998,6162,6286,6263
A093190,빅솔론,20190118,6010,6050,5950,6050,28613,1679668,-16089,6058,6186,6293,6265
A093190,빅솔론,20190117,6050,6080,5920,6040,57230,1677919,-33782,6092,6194,6290,6266
A093190,빅솔론,20190116,6120,6120,5990,6050,28390,1678646,-9019,6124,6206,6290,6267
A093190,빅솔론,20190115,6120,6140,6040,6050,35646,1679123,-7854,6156,6222,6290,6268
A093190,빅솔론,20190114,6240,6240,6050,6100,47731,1683279,-6815,6174,6238,6290,6272
A093190,빅솔론,20190111,6150,6270,6150,6220,28958,1682026,-10727,6186,6254,6289,6275
A093190,빅솔론,20190110,6210,6210,6160,6200,13060,1681352,-6290,6168,6262,6286,6276
A093190,빅솔론,20190109,6140,6230,6120,6210,29246,1680826,-10149,6148,6268,6282,6277
A093190,빅솔론,20190108,6170,6200,6110,6140,55926,1678201,-19880,6148,6280,6280,6278
A093190,빅솔론,20190107,6130,6190,6070,6160,51183,1675235,-45291,6174,6292,6278,6278
A093190,빅솔론,20190104,6130,6130,6040,6130,50847,1676193,-11335,6194,6305,6277,6279
A093190,빅솔론,20190103,6210,6480,5910,6100,93992,1676207,-5608,6228,6322,6278,6279
A093190,빅솔론,20190102,6210,6250,6170,6210,2967,1680255,0,6276,6340,6281,6280
A093190,빅솔론,20181228,6210,6280,6190,6270,8253,1621978,0,6308,6349,6282,6279
A093190,빅솔론,20181227,6280,6300,6220,6260,13613,1681676,-5989,6300,6355,6284,6278
A093190,빅솔론,20181226,6340,6340,6160,6300,54807,1681591,-27518,6306,6362,6287,6278
A093190,빅솔론,20181224,6390,6390,6290,6340,8158,1682517,-3321,6286,6365,6290,6277
A093190,빅솔론,20181221,6230,6380,6230,6370,35649,1688186,-15656,6276,6364,6292,6277
A093190,빅솔론,20181220,6220,6400,6190,6230,69941,1693557,-8307,6276,6364,6294,6278
A093190,빅솔론,20181219,6170,6320,6170,6290,37912,1698271,-15380,6306,6373,6299,6279
A093190,빅솔론,20181218,6250,6320,6150,6200,64780,1699677,-31682,6330,6378,6303,6280
A093190,빅솔론,20181217,6360,6390,6290,6290,53146,1709952,-27491,6364,6387,6310,6282
A093190,빅솔론,20181214,6380,6380,6270,6370,7325,1713247,4221,6372,6396,6313,6284
A093190,빅솔론,20181213,6410,6450,6260,6380,31884,1713528,-15000,6386,6400,6316,6286
A093190,빅솔론,20181212,6390,6410,6340,6410,14026,1715495,-2022,6388,6396,6314,6289
A093190,빅솔론,20181211,6330,6410,6290,6370,17585,1715196,-3053,6390,6390,6312,6292
A093190,빅솔론,20181210,6440,6440,6310,6330,3225,1714415,0,6412,6386,6309,6297
A093190,빅솔론,20181207,6390,6510,6390,6440,53238,1713961,-32279,6434,6386,6307,6302
A093190,빅솔론,20181206,6420,6510,6330,6390,67724,1712377,-5531,6426,6385,6303,6305
A093190,빅솔론,20181205,6470,6500,6400,6420,48099,1715070,-16873,6426,6390,6301,6310
A093190,빅솔론,20181204,6440,6510,6420,6480,46811,1716576,-14677,6424,6397,6297,6314
A093190,빅솔론,20181203,6360,6580,6360,6440,29266,1723605,-690,6398,6393,6294,6318
A093190,빅솔론,20181130,6410,6430,6350,6400,34545,1722595,-2694,6376,6384,6292,6324
A093190,빅솔론,20181129,6450,6460,6360,6390,17597,1712593,-2462,6370,6381,6291,6329
A093190,빅솔론,20181128,6350,6440,6300,6410,20808,1710513,2483,6372,6379,6290,6334
A093190,빅솔론,20181127,6300,6390,6300,6350,29157,1709231,-8000,6368,6372,6289,6338
A093190,빅솔론,20181126,6390,6390,6290,6330,12818,1708963,-996,6374,6358,6288,6343
A093190,빅솔론,20181123,6400,6450,6290,6370,21341,1708546,-7923,6400,6344,6288,6348
A093190,빅솔론,20181122,6390,6470,6300,6400,25866,1713385,-12368,6418,6333,6287,6352
A093190,빅솔론,20181121,6350,6450,6350,6390,2995,1714599,-1100,6396,6325,6284,6354
A093190,빅솔론,20181120,6460,6500,6380,6380,34128,1715636,1916,6376,6315,6281,6356
A093190,빅솔론,20181119,6430,6590,6430,6460,40711,1715738,-3200,6358,6290,6276,6359
A093190,빅솔론,20181116,6350,6520,6320,6460,36404,1706782,2000,6336,6270,6271,6361
A093190,빅솔론,20181115,6200,6340,6200,6290,38406,1705018,8603,6326,6248,6266,6363
A093190,빅솔론,20181114,6300,6350,6290,6290,33801,1706272,3138,6368,6236,6265,6365
A093190,빅솔론,20181113,6290,6390,6140,6290,77135,1702447,-26251,6420,6224,6264,6367
A093190,빅솔론,20181112,6430,6450,6300,6350,12817,1704681,-2441,6442,6212,6262,6368
A093190,빅솔론,20181109,6540,6540,6300,6410,58292,1703910,14396,6422,6193,6258,6369
A093190,빅솔론,20181108,6550,6680,6450,6500,105369,1706228,6871,6410,6174,6254,6369
A093190,빅솔론,20181107,6400,6690,6370,6550,174474,1713996,-17652,6380,6152,6248,6369
A093190,빅솔론,20181106,6290,6410,6270,6400,65775,1697917,21619,6322,6130,6242,6367
A093190,빅솔론,20181105,6450,6450,6200,6250,38495,1691698,9247,6260,6120,6240,6366
A093190,빅솔론,20181102,6280,6380,6280,6350,44044,1693822,5082,6220,6120,6242,6366
A093190,빅솔론,20181101,6260,6390,6250,6350,72804,1693439,3056,6178,6118,6240,6364
A093190,빅솔론,20181031,6090,6380,6080,6260,116951,1693299,2374,6156,6120,6238,6362
A093190,빅솔론,20181030,5930,6090,5870,6090,76878,1692419,5798,6142,6126,6237,6361
A093190,빅솔론,20181029,6140,6150,5940,6050,90860,1712988,32354,6102,6145,6239,6361
A093190,빅솔론,20181026,6200,6240,6020,6140,56602,1724336,20643,6100,6167,6242,6361
A093190,빅솔론,20181025,6100,6260,5980,6240,68026,1721753,16812,6080,6185,6242,6361
A093190,빅솔론,20181024,5910,6570,5880,6190,129427,1730018,4753,6042,6198,6239,6360
A093190,빅솔론,20181023,5920,6010,5890,5890,48556,1738991,4250,6014,6217,6238,6361
A093190,빅솔론,20181022,6040,6050,5990,6040,8844,1729161,0,6044,6254,6242,6364
A093190,빅솔론,20181019,6090,6090,5870,6040,120384,1729184,-36290,6030,6275,6244,6365
A093190,빅솔론,20181018,6050,6080,6010,6050,12081,1684497,0,6030,6298,6247,6367
A093190,빅솔론,20181017,6070,6140,5950,6050,32069,1687143,-9818,6028,6310,6253,6368
A093190,빅솔론,20181016,5990,6060,5970,6040,17835,1682505,5118,6042,6320,6260,6370
A093190,빅솔론,20181015,6040,6040,5940,5970,32706,1684077,10464,6074,6329,6266,6372
A093190,빅솔론,20181012,6040,6070,5990,6040,67784,1681306,6000,6130,6340,6272,6375
A093190,빅솔론,20181011,5980,6040,5720,6040,152867,1672943,-45372,6182,6350,6276,6377
A093190,빅솔론,20181010,6200,6220,6050,6120,54033,1682609,7000,6252,6361,6278,6380
A093190,빅솔론,20181008,6220,6220,6160,6200,14469,1686721,-394,6308,6365,6280,6383
A093190,빅솔론,20181005,6270,6270,6150,6250,26694,1688459,3837,6360,6368,6280,6384
A093190,빅솔론,20181004,6550,6550,6220,6300,32907,1691689,6000,6408,6373,6278,6384
A093190,빅솔론,20181002,6400,6420,6340,6390,11742,1696421,-2160,6448,6376,6275,6385
A093190,빅솔론,20181001,6460,6490,6340,6400,26723,1697490,2038,6470,6372,6272,6386
A093190,빅솔론,20180928,6460,6500,6420,6460,19049,1702048,965,6504,6368,6269,6387
A093190,빅솔론,20180927,6450,6510,6440,6490,22839,1703567,589,6538,6361,6264,6386
A093190,빅솔론,20180921,6440,6510,6400,6500,18532,1704009,4753,6532,6353,6263,6386
A093190,빅솔론,20180920,6630,6630,6430,6500,29376,1705893,5257,6534,6342,6261,6385
A093190,빅솔론,20180919,6640,6660,6440,6570,49824,1710856,-981,6492,6329,6260,6384
A093190,빅솔론,20180918,6460,6640,6390,6630,75701,1709489,5052,6428,6310,6257,6383
A093190,빅솔론,20180917,6540,6550,6400,6460,59193,1710310,1043,6344,6284,6254,6381
A093190,빅솔론,20180914,6330,6510,6290,6510,142951,1718620,-12512,6292,6269,6256,6382
A093190,빅솔론,20180913,6230,6380,6230,6290,36170,1707214,496,6238,6252,6255,6382
A093190,빅솔론,20180912,6230,6280,6170,6250,26182,1706172,2519,6230,6248,6263,6384
A093190,빅솔론,20180911,6260,6260,6180,6210,28006,1698379,2000,6220,6246,6273,6387
A093190,빅솔론,20180910,6200,6240,6160,6200,32379,1694178,7000,6230,6244,6284,6391
A093190,빅솔론,20180907,6280,6280,6190,6240,14765,1693099,1000,6260,6242,6296,6395
A093190,빅솔론,20180906,6170,6280,6170,6250,18008,1691286,5996,6282,6238,6306,6399
A093190,빅솔론,20180905,6250,6280,6170,6200,26738,1688705,3097,6296,6230,6319,6402
A093190,빅솔론,20180904,6280,6340,6210,6260,52864,1690254,-25221,6320,6230,6331,6406
A093190,빅솔론,20180903,6350,6350,6270,6350,23688,1685563,0,6332,6233,6343,6410
A093190,빅솔론,20180831,6250,6350,6250,6350,20374,1682132,-608,6328,6234,6356,6412
A093190,빅솔론,20180830,6370,6370,6280,6320,23907,1677591,-1902,6314,6227,6367,6415
A093190,빅솔론,20180829,6340,6380,6270,6320,30666,1666907,-2058,6298,6223,6378,6417
A093190,빅솔론,20180828,6350,6350,6250,6320,29382,1655144,1648,6274,6216,6388,6420
A093190,빅솔론,20180827,6280,6350,6210,6330,27895,1647766,0,6230,6212,6398,6422
A093190,빅솔론,20180824,6240,6350,6240,6280,36263,1646962,0,6196,6204,6409,6424
A093190,빅솔론,20180823,6200,6280,6190,6240,27911,1648573,-2251,6176,6198,6418,6427
A093190,빅솔론,20180822,6110,6210,6100,6200,31076,1642264,0,6170,6190,6424,6431
A093190,빅솔론,20180821,6160,6160,6080,6100,39610,1634305,-8992,6170,6186,6432,6435
A093190,빅솔론,20180820,6180,6180,6070,6160,33403,1635618,-684,6182,6188,6441,6440
A093190,빅솔론,20180817,6150,6200,6100,6180,30365,1636946,-1924,6184,6188,6451,6445
A093190,빅솔론,20180816,6200,6220,6130,6210,18330,1638027,-224,6182,6190,6459,6450
A093190,빅솔론,20180814,6160,6200,6110,6200,16320,1641481,-741,6158,6200,6465,6454
A093190,빅솔론,20180813,6210,6210,6100,6160,74570,1643465,-12833,6158,6214,6470,6458
A093190,빅솔론,20180810,6190,6200,6100,6170,16965,1629850,-347,6188,6226,6474,6464
A093190,빅솔론,20180809,6060,6200,6010,6170,44951,1629801,6828,6226,6234,6479,6471
A093190,빅솔론,20180808,6200,6310,6090,6090,55412,1627499,-712,6236,6238,6484,6478
A093190,빅솔론,20180807,6290,6300,6160,6200,13417,1622555,-716,6266,6244,6490,6485
A093190,빅솔론,20180806,6360,6380,6270,6310,17398,1623883,-870,6264,6246,6492,6492
A093190,빅솔론,20180803,6260,6370,6200,6360,46529,1622024,3001,6248,6240,6491,6496
A093190,빅솔론,20180802,6220,6240,6140,6220,18549,1619010,-2434,6212,6229,6489,6501
A093190,빅솔론,20180801,6190,6260,6130,6240,20852,1618524,-5876,6196,6224,6488,6509
A093190,빅솔론,20180731,6190,6280,6120,6190,19407,1613491,-3833,6168,6220,6486,6517
A093190,빅솔론,20180730,6160,6230,6090,6230,28483,1615129,-3450,6152,6222,6484,6527
A093190,빅솔론,20180727,6150,6240,6110,6180,26874,1615850,-3929,6132,6219,6482,6536
A093190,빅솔론,20180726,6110,6150,6070,6140,20074,1612136,-6000,6132,6230,6481,6544
A093190,빅솔론,20180725,6110,6160,6070,6100,19663,1613286,0,6144,6244,6480,6552
A093190,빅솔론,20180724,6130,6160,6030,6110,27126,1616976,2168,6208,6260,6482,6560
A093190,빅솔론,20180723,6140,6200,6010,6130,30218,1616340,3575,6284,6274,6484,6568
A093190,빅솔론,20180720,6200,6310,6140,6180,19757,1620327,0,6338,6291,6486,6576
A093190,빅솔론,20180719,6420,6420,6190,6200,67279,1620368,-370,6366,6310,6486,6583
A093190,빅솔론,20180718,6510,6550,6420,6420,15182,1630175,0,6376,6324,6486,6590
A093190,빅솔론,20180717,6400,6670,6360,6490,70228,1632277,-17083,6334,6342,6483,6595
A093190,빅솔론,20180716,6340,6410,6240,6400,40487,1621450,-3576,6282,6359,6480,6597
A093190,빅솔론,20180713,6270,6390,6200,6320,27618,1622127,-3000,6242,6383,6478,6598
A093190,빅솔론,20180712,6200,6270,6120,6250,69093,1620181,2708,6206,6414,6478,6601
A093190,빅솔론,20180711,6210,6240,6100,6210,18793,1624117,5079,6178,6443,6479,6604
A093190,빅솔론,20180710,6200,6280,6190,6230,20246,1626579,-1171,6170,6482,6482,6608
A093190,빅솔론,20180709,6140,6300,6100,6200,24136,1625110,4892,6170,6518,6485,6611
A093190,빅솔론,20180706,6090,6190,6060,6140,13024,1629394,-1077,6164,6557,6487,6614
A093190,빅솔론,20180705,6170,6210,6090,6110,31352,1631519,0,6218,6604,6489,6618
A093190,빅솔론,20180704,6230,6260,6150,6170,16466,1638480,-263,6280,6652,6494,6622
A093190,빅솔론,20180703,6260,6300,6150,6230,16750,1642067,5925,6330,6692,6500,6627
A093190,빅솔론,20180702,6310,6350,6160,6170,54218,1647097,-3755,6358,6726,6505,6631
A093190,빅솔론,20180629,6450,6450,6250,6410,44244,1655481,4741,6420,6763,6509,6635
A093190,빅솔론,20180628,6480,6480,6380,6420,13016,1664505,0,6448,6792,6508,6637
A093190,빅솔론,20180627,6370,6510,6350,6420,27858,1664195,-2960,6462,6810,6508,6639
A093190,빅솔론,20180626,6460,6460,6350,6370,17278,1658195,0,6532,6822,6508,6641
A093190,빅솔론,20180625,6480,6530,6470,6480,16363,1659047,2540,6626,6836,6508,6642
A093190,빅솔론,20180622,6510,6550,6310,6550,46841,1660051,7958,6706,6846,6508,6644
A093190,빅솔론,20180621,6760,6760,6450,6490,65569,1668860,-22736,6782,6854,6508,6645
A093190,빅솔론,20180620,6790,6820,6580,6770,60269,1664430,-8205,6852,6864,6509,6647
A093190,빅솔론,20180619,7060,7060,6830,6840,99475,1661969,1274,6894,6854,6505,6645
A093190,빅솔론,20180618,6940,6940,6610,6880,137918,1668354,110992,6918,6836,6502,6642
A093190,빅솔론,20180615,6790,6980,6790,6930,38021,1688005,30100,6938,6812,6497,6639
A093190,빅솔론,20180614,7000,7000,6740,6840,54755,1701174,7948,6970,6789,6493,6636
A093190,빅솔론,20180612,6960,7080,6910,6980,90341,1701005,23544,7012,6771,6491,6633
A093190,빅솔론,20180611,6980,7060,6900,6960,56316,1690868,8751,7014,6744,6486,6630
A093190,빅솔론,20180608,7090,7100,6930,6980,69705,1700876,6728,7004,6712,6481,6627
A093190,빅솔론,20180607,7050,7140,7000,7090,63785,1708475,13655,6988,6676,6476,6623
A093190,빅솔론,20180605,6990,7130,6960,7050,156795,1716056,40127,6966,6633,6469,6618
A093190,빅솔론,20180604,7000,7040,6850,6990,104035,1733982,37487,6916,6588,6462,6614
A093190,빅솔론,20180601,6840,6970,6760,6910,93696,1716260,22213,6850,6544,6456,6610
A093190,빅솔론,20180531,7050,7080,6840,6900,115717,1702228,21043,6794,6505,6451,6607
A093190,빅솔론,20180530,6880,7010,6810,6980,139153,1687563,23706,6750,6464,6446,6603
A093190,빅솔론,20180529,6700,6880,6630,6800,176455,1675381,29444,6698,6421,6440,6598
A093190,빅솔론,20180528,6650,6710,6610,6660,25279,1638406,5845,6678,6386,6437,6595
A093190,빅솔론,20180525,6620,6680,6470,6630,54903,1642314,4159,6656,6362,6437,6593
A093190,빅솔론,20180524,6720,6730,6650,6680,53387,1651218,-4328,6630,6342,6438,6591
A093190,빅솔론,20180523,6650,6760,6630,6720,66144,1654149,-9729,6572,6320,6439,6589
A093190,빅솔론,20180521,6610,6750,6560,6700,93195,1645425,-21567,6522,6294,6439,6587
A093190,빅솔론,20180518,6500,6590,6430,6550,50829,1642151,25522,6478,6271,6440,6584
A093190,빅솔론,20180517,6450,6520,6390,6500,37906,1636964,8326,6456,6254,6442,6583
A093190,빅솔론,20180516,6500,6500,6340,6390,55786,1630556,6804,6422,6244,6447,6583
A093190,빅솔론,20180515,6480,6550,6400,6470,54320,1630810,1008,6396,6240,6454,6585
A093190,빅솔론,20180514,6450,6520,6420,6480,69797,1636749,-15501,6346,6231,6462,6587
A093190,빅솔론,20180511,6340,6440,6340,6440,79803,1622801,4226,6280,6223,6472,6589
A093190,빅솔론,20180510,6340,6350,6260,6330,74756,1596770,1186,6216,6219,6480,6593
A093190,빅솔론,20180509,6260,6300,6190,6260,160027,1573891,-70334,6174,6224,6492,6597
A093190,빅솔론,20180508,6200,6370,6170,6220,184220,1535599,-108005,6138,6226,6502,6601
A093190,빅솔론,20180504,6190,6260,6090,6150,134111,1527086,-76794,6118,6230,6513,6605
A093190,빅솔론,20180503,6120,6190,6080,6120,46693,1527749,-22466,6110,6243,6530,6610
A093190,빅솔론,20180502,6080,6390,6000,6120,181253,1530486,-22640,6122,6262,6548,6614
A093190,빅솔론,20180430,6130,6130,6080,6080,58960,1506320,-10112,6144,6283,6569,6619
A093190,빅솔론,20180427,6150,6170,6050,6120,49068,1493060,-26008,6174,6299,6589,6624
A093190,빅솔론,20180426,6180,6230,6100,6110,64331,1493291,-33695,6190,6313,6606,6629
A093190,빅솔론,20180425,6230,6260,6150,6180,31713,1492818,-9583,6216,6327,6623,6633
A093190,빅솔론,20180424,6230,6260,6180,6230,25444,1491087,-5409,6224,6338,6639,6641
A093190,빅솔론,20180423,6200,6230,6140,6230,55290,1491782,2816,6236,6348,6653,6646
A093190,빅솔론,20180420,6260,6260,6150,6200,43059,1502343,-28103,6250,6360,6667,6650
A093190,빅솔론,20180419,6220,6240,6190,6240,30260,1503079,-6454,6270,6376,6681,6653
A093190,빅솔론,20180418,6290,6290,6200,6220,46499,1505790,-21006,6286,6391,6693,6656
A093190,빅솔론,20180417,6300,6310,6200,6290,17687,1507161,1210,6314,6407,6706,6657
