stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A093230,이아이디,20190129,205,205,198,199,520282,1787544,-794,204,202,199,230
A093230,이아이디,20190128,205,206,202,206,356374,1809874,-259,205,202,198,231
A093230,이아이디,20190125,203,207,203,203,309745,1786996,-14,205,201,198,232
A093230,이아이디,20190124,206,208,202,204,414653,1739312,-17,206,200,197,232
A093230,이아이디,20190123,203,209,202,206,258729,1699686,191,206,199,197,233
A093230,이아이디,20190122,205,209,205,207,295424,1679166,-477,205,198,197,234
A093230,이아이디,20190121,204,208,202,207,621452,1667309,-21754,205,197,197,234
A093230,이아이디,20190118,202,205,199,205,401115,1577492,336,205,196,197,235
A093230,이아이디,20190117,206,211,203,203,930538,1531847,-54,205,194,197,235
A093230,이아이디,20190116,205,207,201,205,651648,1480357,96,204,194,197,236
A093230,이아이디,20190115,206,207,200,205,461366,1432228,47,203,193,198,236
A093230,이아이디,20190114,206,207,202,205,321915,1406514,78,202,193,198,237
A093230,이아이디,20190111,200,205,198,205,344306,1402040,889,201,192,199,238
A093230,이아이디,20190110,203,206,199,200,296217,1395105,148,199,192,199,239
A093230,이아이디,20190109,199,202,197,202,373185,1416635,108,198,192,200,239
A093230,이아이디,20190108,201,201,197,199,154377,1407025,738,196,192,200,240
A093230,이아이디,20190107,193,203,193,199,443466,1409524,1074,195,193,201,241
A093230,이아이디,20190104,196,196,190,193,378091,1401491,-62,193,193,201,242
A093230,이아이디,20190103,196,198,190,197,461159,1417824,811,190,194,202,242
A093230,이아이디,20190102,194,198,193,193,378952,1422145,-770,188,194,203,243
A093230,이아이디,20181228,188,195,188,194,415769,1387885,-1020,186,194,204,244
A093230,이아이디,20181227,180,193,180,187,614791,1315947,-1251,184,194,206,244
A093230,이아이디,20181226,184,186,177,177,735484,1352033,2269,184,195,207,245
A093230,이아이디,20181224,185,206,178,187,4205109,1413879,-1834,185,196,209,246
A093230,이아이디,20181221,184,189,182,185,356779,1739752,2231,185,196,210,247
A093230,이아이디,20181220,186,188,182,186,206598,1812599,396,187,197,211,248
A093230,이아이디,20181219,185,188,181,184,321574,1847080,246,189,198,213,249
A093230,이아이디,20181218,182,188,181,184,629507,1859427,44,191,200,214,250
A093230,이아이디,20181217,190,190,181,187,799790,2374710,228,194,201,216,251
A093230,이아이디,20181214,198,208,191,192,556112,2445222,5293,197,202,218,252
A093230,이아이디,20181213,196,199,194,197,314964,2534507,3954,200,203,219,253
A093230,이아이디,20181212,194,201,193,196,642379,2514237,2441,202,203,221,254
A093230,이아이디,20181211,202,202,192,198,686063,2429889,31858,205,203,222,254
A093230,이아이디,20181210,209,209,199,201,750466,2522091,109,206,203,224,255
A093230,이아이디,20181207,209,213,202,208,873439,2529293,735,205,203,225,256
A093230,이아이디,20181206,210,223,204,209,3468197,2604653,267,203,202,226,257
A093230,이아이디,20181205,198,237,198,208,9797789,2786687,-127,201,201,228,258
A093230,이아이디,20181204,201,203,196,202,702164,3331044,-11,199,201,229,259
A093230,이아이디,20181203,200,201,195,199,636570,3282571,221,198,200,230,261
A093230,이아이디,20181130,200,201,197,198,455151,3235191,26,198,200,232,262
A093230,이아이디,20181129,196,207,196,198,1514208,3217275,245,199,200,234,263
A093230,이아이디,20181128,199,200,195,196,622299,3210446,361,202,199,235,264
A093230,이아이디,20181127,202,202,195,199,994048,3192188,-236,205,198,237,265
A093230,이아이디,20181126,205,206,197,200,586232,3216538,423,207,196,238,266
A093230,이아이디,20181123,210,213,202,202,386897,3111004,99,209,195,240,268
A093230,이아이디,20181122,212,215,208,212,516904,3158325,-203,211,195,241,269
A093230,이아이디,20181121,211,213,206,211,340013,3278840,379,208,194,243,269
A093230,이아이디,20181120,207,217,207,210,710311,3306611,68,204,195,244,270
A093230,이아이디,20181119,213,214,209,210,588424,3407279,1166,201,195,245,271
A093230,이아이디,20181116,197,232,196,213,7675814,3346896,64,198,196,246,272
A093230,이아이디,20181115,192,196,188,196,689365,3559261,2,194,197,247,273
A093230,이아이디,20181114,195,198,191,192,504451,3570533,57,194,198,249,275
A093230,이아이디,20181113,192,196,187,195,533337,3547041,641,195,201,250,276
A093230,이아이디,20181112,195,198,192,194,427440,3561473,76,195,202,252,277
A093230,이아이디,20181109,196,196,191,195,550038,3556446,860,195,204,253,278
A093230,이아이디,20181108,194,200,194,196,506317,3540480,84,194,206,255,279
A093230,이아이디,20181107,193,205,192,193,753538,3510389,83,192,208,256,281
A093230,이아이디,20181106,191,198,190,195,653626,3578874,88,189,210,258,282
A093230,이아이디,20181105,192,195,187,195,424519,3614890,167,183,213,259,283
A093230,이아이디,20181102,182,195,182,192,1139545,3626952,-51,178,216,261,284
A093230,이아이디,20181101,177,187,176,185,574251,3719570,5368,180,220,262,286
A093230,이아이디,20181031,166,177,166,176,1027804,3713727,377,184,224,264,287
A093230,이아이디,20181030,143,172,143,166,3427980,3482708,785,191,228,266,289
A093230,이아이디,20181029,198,199,173,173,1030097,3102739,490,201,234,268,290
A093230,이아이디,20181026,208,208,196,198,993828,2944308,350,212,238,269,292
A093230,이아이디,20181025,200,211,200,205,1339239,2915596,-1751,218,242,271,293
A093230,이아이디,20181024,221,223,208,212,550928,2741039,288,223,246,272,294
A093230,이아이디,20181023,226,228,215,219,599397,2754723,-322,228,249,273,296
A093230,이아이디,20181022,228,229,216,226,516137,2759100,204,231,252,274,297
A093230,이아이디,20181019,229,230,225,228,437303,2797298,818,232,255,274,298
A093230,이아이디,20181018,236,240,230,232,419961,2823998,-11,233,258,275,299
A093230,이아이디,20181017,233,241,233,236,443388,2883250,93,231,260,276,300
A093230,이아이디,20181016,230,234,229,234,156394,2896937,280,232,263,277,301
A093230,이아이디,20181015,231,236,229,232,607879,2906892,915,237,265,278,302
A093230,이아이디,20181012,221,233,220,232,518892,2921778,562,242,268,279,303
A093230,이아이디,20181011,226,240,222,223,1702142,2849393,251,248,271,280,304
A093230,이아이디,20181010,254,256,238,241,924617,2670010,568,256,274,281,304
A093230,이아이디,20181008,257,259,252,256,510575,2732058,442,262,276,282,305
A093230,이아이디,20181005,262,266,256,257,517327,2747390,155,265,278,282,306
A093230,이아이디,20181004,265,268,263,264,796154,2797019,554,268,280,283,306
A093230,이아이디,20181002,269,270,264,264,415996,2878115,250,269,281,283,307
A093230,이아이디,20181001,270,272,267,268,441536,2945064,345,271,282,283,308
A093230,이아이디,20180928,273,273,269,271,499775,2970751,336,273,284,283,309
A093230,이아이디,20180927,273,275,270,271,335850,2985587,15974,275,285,283,309
A093230,이아이디,20180921,273,274,270,273,296334,2960642,1536,278,286,284,310
A093230,이아이디,20180920,279,280,269,272,790598,2907467,92,280,287,284,311
A093230,이아이디,20180919,283,283,274,278,547196,2935496,12,283,288,285,312
A093230,이아이디,20180918,285,286,280,283,311589,2990360,112,284,288,285,313
A093230,이아이디,20180917,285,287,282,285,445567,3001451,2,285,288,285,313
A093230,이아이디,20180914,284,285,281,284,370671,2978286,-121,285,288,286,314
A093230,이아이디,20180913,284,284,280,284,548918,2964794,5,285,288,286,315
A093230,이아이디,20180912,287,287,279,284,768180,2947134,2104,285,288,286,316
A093230,이아이디,20180911,285,289,284,286,587217,2965047,171,286,288,287,317
A093230,이아이디,20180910,286,287,281,285,286131,2880141,5880,287,287,287,318
A093230,이아이디,20180907,285,287,282,286,413268,2873224,25,288,288,288,319
A093230,이아이디,20180906,289,289,284,284,473505,2808349,88,290,287,288,321
