stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A093520,매커스,20190129,4200,4235,4080,4095,67309,2481490,0,4198,4088,4126,4415
A093520,매커스,20190128,4285,4285,4200,4200,39762,2479788,0,4219,4089,4124,4425
A093520,매커스,20190125,4275,4280,4210,4250,96150,2483120,0,4223,4082,4117,4433
A093520,매커스,20190124,4195,4275,4195,4250,27610,2463069,0,4198,4075,4106,4441
A093520,매커스,20190123,4200,4240,4165,4195,44962,2465635,0,4168,4067,4094,4450
A093520,매커스,20190122,4195,4270,4100,4200,42666,2464466,0,4150,4063,4088,4459
A093520,매커스,20190121,4195,4235,4125,4220,82666,2454598,0,4130,4057,4083,4468
A093520,매커스,20190118,4060,4130,4060,4125,42909,2444666,0,4095,4050,4080,4475
A093520,매커스,20190117,4105,4170,4080,4100,32112,2434089,0,4075,4048,4080,4483
A093520,매커스,20190116,4100,4145,4080,4105,46176,2430887,0,4053,4045,4082,4494
A093520,매커스,20190115,4020,4115,4020,4100,68270,2423968,14,4030,4041,4084,4505
A093520,매커스,20190114,4025,4080,4020,4045,36424,2408794,0,3998,4040,4086,4517
A093520,매커스,20190111,4000,4025,4000,4025,36853,2409150,0,3971,4040,4089,4531
A093520,매커스,20190110,3990,4020,3990,3990,24063,2404920,0,3946,4040,4092,4548
A093520,매커스,20190109,3920,4015,3920,3990,41511,2405066,0,3949,4044,4094,4565
A093520,매커스,20190108,3900,3940,3880,3940,23320,2406018,14,3974,4055,4096,4580
A093520,매커스,20190107,3900,3970,3895,3910,27391,2402763,14,4008,4069,4098,4593
A093520,매커스,20190104,3995,3995,3810,3900,67726,2396949,-5080,4040,4088,4104,4607
A093520,매커스,20190103,4130,4135,3990,4005,32967,2402863,0,4080,4106,4110,4620
A093520,매커스,20190102,4130,4145,4030,4115,34150,2411565,2189,4098,4117,4114,4635
A093520,매커스,20181228,4050,4135,4050,4110,34705,2404496,-4305,4097,4120,4120,4649
A093520,매커스,20181227,4100,4135,4030,4070,48899,2396632,-5605,4092,4127,4126,4664
A093520,매커스,20181226,4050,4140,4000,4100,64287,2389845,-10058,4096,4137,4132,4678
A093520,매커스,20181224,4050,4120,4050,4095,40931,2403042,-7858,4093,4145,4139,4692
A093520,매커스,20181221,4115,4150,4085,4110,43313,2414631,-8385,4080,4155,4146,4703
A093520,매커스,20181220,4090,4090,4025,4085,31400,2413232,-4588,4063,4159,4156,4710
A093520,매커스,20181219,4090,4170,4020,4090,28765,2415627,-7828,4062,4166,4164,4717
A093520,매커스,20181218,3915,4135,3915,4085,30053,2422240,38,4054,4174,4174,4722
A093520,매커스,20181217,3965,4060,3965,4030,43078,2422913,-8640,4039,4182,4184,4727
A093520,매커스,20181214,4080,4180,4020,4025,49755,2419870,-30288,4050,4196,4195,4731
A093520,매커스,20181213,4020,4110,4020,4080,24916,2418241,0,4087,4207,4210,4737
A093520,매커스,20181212,4015,4080,4010,4050,14482,2420996,0,4113,4210,4226,4743
A093520,매커스,20181211,4175,4175,4010,4010,69748,2416345,-8599,4162,4213,4242,4747
A093520,매커스,20181210,4210,4210,4085,4085,60999,2403724,0,4211,4214,4259,4753
A093520,매커스,20181207,4180,4270,4180,4210,27171,2396626,0,4240,4215,4275,4759
A093520,매커스,20181206,4260,4345,4150,4210,71128,2398714,-4126,4233,4205,4290,4762
A093520,매커스,20181205,4250,4380,4230,4295,59834,2413593,-2062,4242,4198,4307,4767
A093520,매커스,20181204,4215,4300,4215,4255,43349,2404728,0,4236,4181,4322,4772
A093520,매커스,20181203,4180,4255,4180,4230,64118,2396272,0,4238,4173,4337,4777
A093520,매커스,20181130,4250,4250,4160,4175,57395,2383572,0,4251,4170,4353,4782
A093520,매커스,20181129,4320,4320,4225,4255,47856,2385162,0,4252,4171,4368,4790
A093520,매커스,20181128,4270,4350,4250,4265,63072,2383686,0,4247,4155,4381,4798
A093520,매커스,20181127,4320,4325,4240,4265,21918,2392619,0,4243,4132,4395,4806
A093520,매커스,20181126,4180,4295,4070,4295,71253,2402421,0,4242,4099,4409,4813
A093520,매커스,20181123,4200,4250,4165,4180,22645,2390858,0,4243,4059,4422,4819
A093520,매커스,20181122,4245,4285,4175,4230,30335,2391288,0,4257,4044,4435,4827
A093520,매커스,20181121,4245,4245,4145,4245,44663,2397360,0,4239,4027,4448,4834
A093520,매커스,20181120,4240,4285,4200,4260,47449,2404900,0,4212,4015,4463,4840
A093520,매커스,20181119,4370,4370,4250,4300,66408,2382871,0,4165,4009,4477,4847
A093520,매커스,20181116,4140,4315,4140,4250,77808,2387203,0,4127,4006,4491,4854
A093520,매커스,20181115,4085,4180,4085,4140,85759,2377137,-9192,4079,4003,4507,4861
A093520,매커스,20181114,4030,4115,4030,4110,70556,2389893,0,4062,4007,4526,4871
A093520,매커스,20181113,4090,4090,3985,4025,134916,2383673,-19973,4034,4013,4543,4879
A093520,매커스,20181112,3960,4110,3960,4110,59872,2378871,0,4047,4023,4559,4885
A093520,매커스,20181109,3990,4070,3980,4010,29233,2367851,0,4058,4023,4580,4891
A093520,매커스,20181108,3980,4095,3980,4055,54268,2365524,0,4095,4028,4603,4899
A093520,매커스,20181107,4090,4175,3960,3970,76042,2355532,0,4073,4028,4623,4905
A093520,매커스,20181106,4165,4180,4035,4090,42708,2361972,0,4038,4042,4647,4913
A093520,매커스,20181105,4180,4190,4060,4165,49837,2369907,0,3942,4050,4669,4919
A093520,매커스,20181102,3945,4195,3945,4195,115688,2383324,0,3809,4056,4690,4924
A093520,매커스,20181101,3830,4000,3815,3945,97002,2382428,-18928,3745,4070,4705,4928
A093520,매커스,20181031,3610,3800,3610,3795,83775,2384785,-10000,3735,4095,4726,4935
A093520,매커스,20181030,3480,3630,3480,3610,222225,2376836,-28875,3776,4128,4749,4940
A093520,매커스,20181029,3875,3960,3500,3500,242913,2280572,-10000,3881,4172,4777,4946
A093520,매커스,20181026,3900,3920,3730,3875,122370,2280147,4000,4028,4224,4807,4954
A093520,매커스,20181025,3945,3945,3765,3895,122398,2283657,-12822,4092,4264,4830,4958
A093520,매커스,20181024,4105,4155,3970,4000,97410,2284813,0,4159,4300,4852,4963
A093520,매커스,20181023,4265,4265,4110,4135,97868,2306770,0,4205,4334,4871,4967
A093520,매커스,20181022,4180,4250,4155,4235,22030,2303116,0,4221,4362,4887,4969
A093520,매커스,20181019,4180,4195,4130,4195,57166,2301407,0,4198,4382,4907,4971
A093520,매커스,20181018,4230,4245,4185,4230,63276,2302505,-20589,4182,4422,4926,4972
A093520,매커스,20181017,4255,4285,4225,4230,95354,2305248,-20000,4144,4460,4948,4973
A093520,매커스,20181016,4105,4250,4105,4215,87058,2320606,0,4147,4499,4974,4973
A093520,매커스,20181015,4135,4195,4115,4120,77196,2310265,0,4156,4539,5003,4974
A093520,매커스,20181012,3965,4175,3965,4115,127665,2307744,0,4190,4587,5035,4975
A093520,매커스,20181011,4080,4195,4040,4040,277355,2294978,0,4259,4637,5064,4977
A093520,매커스,20181010,4245,4300,4240,4245,121893,2307255,-1479,4341,4696,5088,4978
A093520,매커스,20181008,4245,4340,4245,4260,59992,2273451,0,4386,4742,5111,4977
A093520,매커스,20181005,4455,4490,4245,4290,256070,2260475,0,4429,4787,5130,4977
A093520,매커스,20181004,4440,4485,4430,4460,89740,2313293,0,4478,4832,5156,4976
A093520,매커스,20181002,4450,4495,4430,4450,71788,2312680,0,4522,4862,5177,4974
A093520,매커스,20181001,4435,4485,4410,4470,97502,2324731,1236,4557,4893,5202,4971
A093520,매커스,20180928,4535,4535,4450,4475,224105,2329741,0,4596,4924,5224,4969
A093520,매커스,20180927,4650,4705,4515,4535,273416,2369530,0,4640,4956,5244,4967
A093520,매커스,20180921,4625,4680,4590,4680,111613,2448345,0,4664,4983,5260,4965
A093520,매커스,20180920,4625,4695,4595,4625,123308,2444191,0,4723,4998,5265,4962
A093520,매커스,20180919,4660,4740,4650,4665,102020,2448133,0,4800,5018,5270,4958
A093520,매커스,20180918,4625,4715,4620,4695,73809,2462027,798,4867,5041,5270,4955
A093520,매커스,20180917,4930,4955,4635,4655,417268,2467589,-26287,4932,5061,5270,4950
A093520,매커스,20180914,5050,5050,4970,4975,135527,2545725,-11748,5017,5085,5268,4946
A093520,매커스,20180913,5000,5030,4970,5010,126252,2563640,1479,5044,5098,5264,4941
A093520,매커스,20180912,5020,5050,4985,5000,215653,2564489,-147,5084,5110,5259,4936
A093520,매커스,20180911,5120,5120,4990,5020,157762,2625051,0,5120,5116,5253,4933
A093520,매커스,20180910,5050,5130,5020,5080,126303,2623165,-32,5148,5116,5247,4928
A093520,매커스,20180907,5290,5410,5080,5110,649603,2627368,12137,5168,5128,5242,4922
A093520,매커스,20180906,5200,5230,5140,5210,126732,2726458,0,5160,5143,5235,4917
A093520,매커스,20180905,5180,5230,5100,5180,139046,2707469,0,5132,5146,5227,4910
A093520,매커스,20180904,5250,5250,5100,5160,140568,2695894,-25798,5112,5156,5222,4904
A093520,매커스,20180903,5070,5180,5070,5180,92215,2707709,7912,5106,5170,5218,4897
A093520,매커스,20180831,5050,5100,5040,5070,91021,2690723,0,5082,5180,5212,4890
A093520,매커스,20180830,5090,5180,5020,5070,98668,2680484,0,5066,5182,5212,4883
A093520,매커스,20180829,5200,5230,5080,5080,126389,2658998,0,5056,5189,5216,4876
A093520,매커스,20180828,5120,5220,5070,5130,218024,2667269,19973,5066,5194,5216,4870
A093520,매커스,20180827,4990,5110,4900,5060,178937,2643986,0,5058,5202,5216,4863
A093520,매커스,20180824,4985,5040,4925,4990,178814,2633667,0,5072,5214,5217,4857
A093520,매커스,20180823,5100,5140,5000,5020,190780,2636294,551,5120,5227,5218,4852
A093520,매커스,20180822,5100,5240,5080,5130,227687,2643221,-1287,5170,5237,5218,4846
A093520,매커스,20180821,5140,5150,5030,5090,234523,2648590,-19609,5164,5237,5217,4839
A093520,매커스,20180820,5280,5320,5090,5130,250113,2684941,-20290,5152,5238,5217,4833
A093520,매커스,20180817,5270,5380,5230,5230,165943,2734924,4419,5192,5253,5217,4827
A093520,매커스,20180816,5090,5330,5040,5270,249381,2718550,-15778,5226,5260,5216,4820
A093520,매커스,20180814,5310,5710,5100,5100,1893652,2674329,-30177,5226,5273,5215,4813
A093520,매커스,20180813,5310,5410,5010,5030,229163,2763649,-12355,5284,5308,5215,4805
A093520,매커스,20180810,5360,5430,5210,5330,148182,2769459,12945,5366,5354,5211,4797
A093520,매커스,20180809,5240,5400,5240,5400,78742,2773140,2671,5376,5390,5203,4787
A093520,매커스,20180808,5410,5460,5270,5270,116465,2756743,0,5316,5412,5194,4776
A093520,매커스,20180807,5450,5470,5330,5390,103682,2769847,-11161,5304,5423,5187,4766
A093520,매커스,20180806,5420,5540,5320,5440,163538,2801362,8778,5262,5434,5180,4756
A093520,매커스,20180803,5110,5410,5100,5380,241759,2849526,9569,5230,5432,5168,4745
A093520,매커스,20180802,5200,5310,5100,5100,169197,2786271,0,5214,5454,5158,4735
A093520,매커스,20180801,5230,5250,5150,5210,114153,2758105,-7834,5246,5488,5152,4727
A093520,매커스,20180731,5260,5270,5150,5180,139220,2733817,0,5248,5524,5145,4720
A093520,매커스,20180730,5280,5370,5220,5280,94270,2746694,0,5238,5555,5131,4714
A093520,매커스,20180727,5280,5430,5200,5300,200094,2753400,-1038,5206,5576,5115,4707
A093520,매커스,20180726,5300,5300,5100,5260,219277,2744211,-8799,5230,5583,5101,4700
A093520,매커스,20180725,5130,5330,5060,5220,350691,2737083,-11680,5252,5569,5086,4694
A093520,매커스,20180724,5120,5260,5070,5130,241883,2694797,-8746,5314,5555,5074,4688
A093520,매커스,20180723,5400,5410,5050,5120,568035,2666161,-7428,5446,5532,5063,4682
A093520,매커스,20180720,5330,5570,5310,5420,340472,2583113,19807,5614,5509,5051,4676
A093520,매커스,20180719,5600,5640,5320,5370,395564,2611362,3602,5740,5466,5035,4667
A093520,매커스,20180718,5800,5870,5510,5530,565215,2590727,6164,5836,5433,5018,4658
A093520,매커스,20180717,5970,6170,5790,5790,858659,2559173,-13112,5826,5394,4997,4647
A093520,매커스,20180716,6050,6050,5820,5960,550044,2689988,1965,5790,5335,4973,4634
A093520,매커스,20180713,5790,6080,5710,6050,981340,2750332,-8542,5676,5270,4945,4619
A093520,매커스,20180712,5770,6270,5700,5850,4182928,2600563,-52496,5634,5209,4916,4604
A093520,매커스,20180711,5660,5710,5480,5480,345150,2855642,15406,5616,5148,4889,4590
A093520,매커스,20180710,5380,5710,5360,5610,481894,2865245,11222,5708,5112,4868,4580
A093520,매커스,20180709,5840,5960,5390,5390,844349,2735089,4783,5746,5074,4844,4568
A093520,매커스,20180706,5800,6000,5660,5840,802624,2815530,7034,5806,5052,4824,4560
A093520,매커스,20180705,5860,6070,5660,5760,892508,2782938,74916,5728,5002,4796,4549
A093520,매커스,20180704,5720,5970,5520,5940,1122361,2762502,41038,5573,4967,4770,4538
A093520,매커스,20180703,5680,5930,5340,5800,1464857,2842457,25605,5372,4934,4740,4526
A093520,매커스,20180702,5770,6460,5580,5690,4764862,2706518,6843,5145,4900,4713,4514
A093520,매커스,20180629,5030,5510,4985,5450,1695229,2908549,117060,4940,4871,4690,4501
A093520,매커스,20180628,4905,5420,4905,4985,1514816,2854736,60718,4764,4854,4671,4491
A093520,매커스,20180627,4665,4960,4660,4935,211120,2863916,20190,4707,4857,4659,4484
A093520,매커스,20180626,4550,4665,4525,4665,44938,2876188,0,4669,4864,4646,4478
A093520,매커스,20180625,4600,4665,4545,4665,50163,2883475,-3954,4659,4881,4639,4475
A093520,매커스,20180622,4730,4745,4500,4570,123316,2872062,-11606,4659,4904,4631,4470
A093520,매커스,20180621,4825,4950,4610,4700,71911,2875919,-6940,4709,4932,4625,4466
A093520,매커스,20180620,4620,4800,4620,4745,59962,2953240,32,4698,4954,4618,4462
A093520,매커스,20180619,4625,4800,4580,4615,144073,2943861,0,4699,4979,4613,4461
A093520,매커스,20180618,4755,4855,4660,4665,98334,2898837,0,4746,5002,4613,4467
A093520,매커스,20180615,4645,4845,4645,4820,94268,2914900,0,4801,5010,4608,4464
A093520,매커스,20180614,4750,4785,4620,4645,121744,2926660,0,4807,5010,4602,4459
A093520,매커스,20180612,4890,4890,4705,4750,136491,2930173,0,4890,5022,4599,4455
A093520,매커스,20180611,4905,4980,4845,4850,121318,2936443,0,4996,5027,4593,4450
A093520,매커스,20180608,4865,4975,4775,4940,184400,2938273,0,5052,5031,4586,4445
A093520,매커스,20180607,5090,5140,4820,4850,400055,2926482,0,5084,5022,4576,4440
A093520,매커스,20180605,5300,5380,5010,5060,419459,2904767,0,5134,5019,4568,4437
A093520,매커스,20180604,5140,5320,5080,5280,236894,2979123,8306,5134,5001,4554,4434
A093520,매커스,20180601,5140,5180,5080,5130,115817,2976141,-257,5090,4976,4537,4427
A093520,매커스,20180531,5130,5210,5020,5100,161503,2971988,0,5068,4938,4523,4422
A093520,매커스,20180530,5060,5200,5000,5100,253400,2966059,0,5074,4899,4511,4416
A093520,매커스,20180529,5060,5150,4990,5060,153397,2945495,0,5080,4866,4498,4411
A093520,매커스,20180528,5020,5170,4965,5060,332150,2944673,0,5092,4832,4485,4409
