stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A094480,갤럭시아컴즈,20190129,3105,3105,2990,3035,56203,264110,0,3087,2980,2931,3287
A094480,갤럭시아컴즈,20190128,3100,3135,3090,3110,19238,265509,0,3112,2966,2925,3293
A094480,갤럭시아컴즈,20190125,3100,3160,3050,3100,18908,265267,0,3129,2946,2917,3298
A094480,갤럭시아컴즈,20190124,3110,3185,3015,3090,56282,264205,0,3147,2923,2908,3303
A094480,갤럭시아컴즈,20190123,3130,3135,3070,3100,30106,262255,0,3148,2917,2900,3308
A094480,갤럭시아컴즈,20190122,3170,3195,3055,3160,69857,259015,0,3136,2910,2898,3312
A094480,갤럭시아컴즈,20190121,3190,3230,3165,3195,73236,250431,0,3109,2898,2897,3317
A094480,갤럭시아컴즈,20190118,3120,3205,3120,3190,115182,243622,0,3068,2887,2899,3321
A094480,갤럭시아컴즈,20190117,3090,3250,3015,3095,258038,231946,0,3017,2876,2902,3326
A094480,갤럭시아컴즈,20190116,3125,3130,3025,3040,150048,229185,0,2978,2871,2906,3333
A094480,갤럭시아컴즈,20190115,2990,3040,2980,3025,75375,233629,0,2926,2870,2911,3339
A094480,갤럭시아컴즈,20190114,3000,3040,2880,2990,56605,232855,0,2869,2874,2917,3347
A094480,갤럭시아컴즈,20190111,2945,3050,2900,2935,111026,233975,0,2828,2872,2924,3356
A094480,갤럭시아컴즈,20190110,2780,2925,2735,2900,88645,237482,0,2800,2868,2930,3365
A094480,갤럭시아컴즈,20190109,2740,2785,2735,2780,15482,240408,0,2766,2864,2936,3375
A094480,갤럭시아컴즈,20190108,2825,2825,2715,2740,17163,238452,0,2769,2865,2946,3384
A094480,갤럭시아컴즈,20190107,2800,2845,2625,2785,24378,238249,0,2774,2868,2955,3393
A094480,갤럭시아컴즈,20190104,2795,2820,2710,2795,26526,237133,0,2757,2875,2969,3401
A094480,갤럭시아컴즈,20190103,2795,2825,2725,2730,22199,243495,0,2728,2883,2983,3410
A094480,갤럭시아컴즈,20190102,2765,2840,2705,2795,32520,243259,0,2775,2894,2999,3418
A094480,갤럭시아컴즈,20181228,2700,2800,2680,2765,34494,244250,0,2807,2901,3013,3426
A094480,갤럭시아컴즈,20181227,2720,2805,2660,2700,31693,242966,0,2841,2911,3028,3433
A094480,갤럭시아컴즈,20181226,2965,3050,2600,2650,214049,243900,0,2895,2921,3045,3442
A094480,갤럭시아컴즈,20181224,3055,3055,2870,2965,36009,246697,0,2960,2938,3064,3451
A094480,갤럭시아컴즈,20181221,2855,3090,2855,2955,107482,270545,0,2964,2940,3079,3457
A094480,갤럭시아컴즈,20181220,2970,2970,2935,2935,11395,263359,0,2978,2946,3092,3463
A094480,갤럭시아컴즈,20181219,3000,3000,2915,2970,13471,263886,0,3010,2948,3104,3471
A094480,갤럭시아컴즈,20181218,2960,3040,2905,2975,31512,262543,0,3008,2951,3116,3478
A094480,갤럭시아컴즈,20181217,2995,3190,2960,2985,28915,266838,0,2983,2952,3132,3486
A094480,갤럭시아컴즈,20181214,3205,3205,2885,3025,46346,268086,0,2949,2954,3148,3493
A094480,갤럭시아컴즈,20181213,3000,3200,2965,3095,122911,271790,0,2906,2951,3164,3499
A094480,갤럭시아컴즈,20181212,2850,2975,2840,2960,38338,270826,0,2848,2942,3178,3504
A094480,갤럭시아컴즈,20181211,2890,2895,2815,2850,31611,271254,0,2840,2937,3195,3510
A094480,갤럭시아컴즈,20181210,2810,2990,2735,2815,62128,274108,0,2861,2934,3213,3518
A094480,갤럭시아컴즈,20181207,2870,2870,2805,2810,17196,281279,0,2889,2933,3232,3528
A094480,갤럭시아컴즈,20181206,2975,2975,2805,2805,85174,284040,0,2913,2936,3251,3538
A094480,갤럭시아컴즈,20181205,2915,3000,2860,2920,63028,288131,0,2945,2939,3272,3548
A094480,갤럭시아컴즈,20181204,3000,3105,2945,2955,117325,287057,0,2941,2935,3290,3558
A094480,갤럭시아컴즈,20181203,2965,2995,2910,2955,18442,286022,0,2950,2928,3308,3567
A094480,갤럭시아컴즈,20181130,2970,2975,2905,2930,12357,283067,0,2959,2919,3328,3577
A094480,갤럭시아컴즈,20181129,2945,2975,2900,2965,32911,282294,0,2988,2911,3348,3587
A094480,갤럭시아컴즈,20181128,3000,3045,2880,2900,98185,278206,0,2990,2898,3367,3597
A094480,갤럭시아컴즈,20181127,3000,3110,2980,3000,39052,269414,0,3016,2884,3387,3607
A094480,갤럭시아컴즈,20181126,3080,3085,2970,3000,38567,267418,0,3016,2863,3402,3616
A094480,갤럭시아컴즈,20181123,2975,3540,2975,3075,230263,257277,0,3017,2844,3417,3624
A094480,갤럭시아컴즈,20181122,3050,3065,2950,2975,13574,261323,0,2996,2838,3432,3633
A094480,갤럭시아컴즈,20181121,3000,3050,2970,3030,22353,261687,0,2983,2844,3446,3643
A094480,갤럭시아컴즈,20181120,2950,3035,2950,3000,17224,261164,0,2950,2858,3460,3654
A094480,갤럭시아컴즈,20181119,2970,3070,2945,3005,21552,261315,0,2907,2876,3472,3666
A094480,갤럭시아컴즈,20181116,2950,2980,2880,2970,5733,259606,0,2866,2895,3483,3679
A094480,갤럭시아컴즈,20181115,2940,2940,2855,2910,27833,258597,0,2847,2912,3496,3693
A094480,갤럭시아컴즈,20181114,2810,2935,2810,2865,25071,258636,0,2838,2936,3509,3704
A094480,갤럭시아컴즈,20181113,2800,2855,2745,2785,13337,258513,0,2832,2962,3523,3716
A094480,갤럭시아컴즈,20181112,2795,2855,2785,2800,23782,261011,0,2837,2988,3537,3729
A094480,갤럭시아컴즈,20181109,2850,2890,2825,2875,4473,261622,0,2834,3012,3553,3741
A094480,갤럭시아컴즈,20181108,2840,2910,2830,2865,19898,261846,0,2814,3036,3567,3753
