stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A095910,에스에너지,20190129,6380,6680,6310,6440,497347,368660,0,6468,6006,5705,6316
A095910,에스에너지,20190128,6550,6550,6380,6410,65353,399500,0,6484,5980,5684,6322
A095910,에스에너지,20190125,6400,6560,6380,6480,108043,397306,0,6562,5946,5664,6328
A095910,에스에너지,20190124,6560,6690,6450,6460,125189,380435,0,6556,5902,5638,6334
A095910,에스에너지,20190123,6460,6580,6400,6550,104380,368799,0,6450,5869,5610,6340
A095910,에스에너지,20190122,6980,6980,6430,6520,200796,355955,622,6302,5835,5585,6343
A095910,에스에너지,20190121,6660,6960,6450,6800,538241,360731,0,6148,5811,5568,6346
A095910,에스에너지,20190118,6390,7290,6340,6450,2337950,388509,19450,5934,5774,5549,6348
A095910,에스에너지,20190117,5880,6030,5750,5930,228630,455271,0,5758,5739,5539,6352
A095910,에스에너지,20190116,5810,5810,5640,5810,38649,466077,0,5692,5720,5544,6362
A095910,에스에너지,20190115,5650,5850,5650,5750,27099,463848,0,5652,5712,5551,6374
A095910,에스에너지,20190114,5670,5740,5560,5730,47962,458677,0,5612,5714,5562,6387
A095910,에스에너지,20190111,5600,5650,5530,5570,25699,450610,0,5602,5716,5573,6402
A095910,에스에너지,20190110,5610,5670,5550,5600,19049,445698,0,5596,5718,5590,6414
A095910,에스에너지,20190109,5640,5680,5520,5610,26576,446316,-9,5580,5715,5612,6427
A095910,에스에너지,20190108,5610,5680,5550,5550,20044,441110,-10,5604,5720,5650,6439
A095910,에스에너지,20190107,5560,5690,5530,5680,20282,439049,0,5678,5728,5685,6451
A095910,에스에너지,20190104,5510,5570,5400,5540,36013,436261,0,5686,5722,5722,6463
A095910,에스에너지,20190103,5810,5840,5520,5520,76188,437864,0,5698,5716,5766,6475
A095910,에스에너지,20190102,5960,5960,5720,5730,45558,434846,0,5754,5706,5808,6488
