stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A096690,제이스테판,20190129,176,176,173,175,1290351,4416388,-358,176,170,184,222
A096690,제이스테판,20190128,178,180,175,175,1841994,4554144,0,176,169,184,223
A096690,제이스테판,20190125,175,179,173,178,2359656,4769598,0,178,168,184,224
A096690,제이스테판,20190124,177,179,174,175,897122,4250919,36,178,166,184,226
A096690,제이스테판,20190123,179,180,174,175,2304111,4087119,-62,177,165,184,227
A096690,제이스테판,20190122,184,185,177,179,1500921,3988973,-58,178,164,184,228
A096690,제이스테판,20190121,179,185,177,183,4373958,4198271,315,175,163,184,230
A096690,제이스테판,20190118,173,177,172,176,2131849,4504849,-36,172,162,185,231
A096690,제이스테판,20190117,180,183,171,173,5054695,4497177,-42,170,160,185,232
A096690,제이스테판,20190116,178,210,166,178,24556610,4298623,-32,168,160,186,233
A096690,제이스테판,20190115,167,171,164,165,2531584,4708371,-35,165,159,186,235
A096690,제이스테판,20190114,171,171,166,168,1091673,4550483,-30,164,159,187,237
A096690,제이스테판,20190111,163,170,162,168,1486507,4598236,-7,162,158,188,238
A096690,제이스테판,20190110,162,163,158,163,1157532,4449378,-286,160,158,189,240
A096690,제이스테판,20190109,162,169,158,160,2525440,4317128,77,160,159,190,241
A096690,제이스테판,20190108,159,160,157,160,569326,4117540,360,160,160,191,242
A096690,제이스테판,20190107,161,161,157,159,966036,4058260,72,160,161,192,244
A096690,제이스테판,20190104,163,165,153,160,2853700,3957027,80,159,163,193,245
A096690,제이스테판,20190103,166,174,160,162,3420865,3883540,69,157,165,194,247
A096690,제이스테판,20190102,160,184,156,161,13789738,4064812,-521,155,166,195,248
A096690,제이스테판,20181228,156,159,154,157,2668123,5138954,1,154,168,196,249
A096690,제이스테판,20181227,148,155,147,155,1571312,4770611,99,153,170,197,251
A096690,제이스테판,20181226,150,153,145,148,1462040,4524599,114,153,172,199,252
A096690,제이스테판,20181224,156,156,153,153,1010709,4523075,0,155,179,200,253
A096690,제이스테판,20181221,154,158,150,156,1769541,4594347,136,155,183,202,255
A096690,제이스테판,20181220,156,158,153,154,1344499,4466087,138,156,188,203,256
A096690,제이스테판,20181219,155,159,153,156,1677083,4387983,132,158,193,205,258
A096690,제이스테판,20181218,153,159,151,154,1433869,4715460,137,159,197,207,260
A096690,제이스테판,20181217,157,160,153,155,1389926,5584775,124,161,201,209,261
A096690,제이스테판,20181214,166,167,155,160,2101671,5523935,85,164,204,211,263
A096690,제이스테판,20181213,160,166,159,165,3070491,6016456,0,169,206,213,265
A096690,제이스테판,20181212,167,171,157,160,4751109,5454574,0,175,208,215,266
A096690,제이스테판,20181211,176,181,163,163,4225934,5093258,0,181,210,217,268
A096690,제이스테판,20181210,183,184,169,174,2945351,4768135,0,187,212,219,270
A096690,제이스테판,20181207,193,194,183,184,2557086,4390401,0,190,213,221,272
A096690,제이스테판,20181206,192,193,190,192,2075090,4625467,0,192,214,223,274
A096690,제이스테판,20181205,194,194,189,191,1838475,5105410,6,194,214,224,275
A096690,제이스테판,20181204,192,195,190,192,1195474,5110150,-2,197,214,226,277
A096690,제이스테판,20181203,194,197,190,193,1832647,5121869,5,212,215,228,279
A096690,제이스테판,20181130,200,202,193,193,3548772,4996485,-20,223,215,230,281
A096690,제이스테판,20181129,209,210,198,200,5997872,4994422,-23,234,215,232,284
