stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A097870,효성오앤비,20190129,12650,12850,12050,12400,373898,74523,-11407,12850,11190,9441,10274
A097870,효성오앤비,20190128,13300,13400,12300,12300,517805,59904,45,12890,10981,9369,10267
A097870,효성오앤비,20190125,13250,13950,13050,13400,575410,47682,604,13010,10766,9298,10258
A097870,효성오앤비,20190124,13500,14800,12850,13400,2517554,42749,73,13010,10488,9202,10245
A097870,효성오앤비,20190123,12450,13150,12250,12750,407560,110561,-497,12820,10230,9097,10230
A097870,효성오앤비,20190122,13050,13850,12500,12600,849547,91032,-93,12750,10009,9021,10220
A097870,효성오앤비,20190121,13850,13900,12700,12900,448985,98014,265,12720,9791,8958,10198
A097870,효성오앤비,20190118,12250,13650,12250,13400,458821,143805,-366,12620,9549,8896,10174
A097870,효성오앤비,20190117,12700,12700,12150,12450,153144,149840,-6,12240,9277,8834,10138
A097870,효성오앤비,20190116,12450,12500,12050,12400,284323,152123,1001,11524,9054,8786,10117
A097870,효성오앤비,20190115,12250,13300,11950,12450,1435525,146650,29,10862,8848,8746,10096
A097870,효성오앤비,20190114,12200,13550,11600,12400,3927173,118153,35749,10084,8645,8706,10079
A097870,효성오앤비,20190111,8870,11500,8730,11500,1717627,253832,458,9278,8438,8669,10068
A097870,효성오앤비,20190110,9160,9160,8860,8870,80286,294919,18,8618,8275,8636,10068
A097870,효성오앤비,20190109,8690,9100,8600,9090,114591,311223,23,8494,8259,8645,10092
A097870,효성오앤비,20190108,8510,8820,8370,8560,133662,300300,23,8296,8256,8650,10110
A097870,효성오앤비,20190107,8250,8440,8200,8370,67064,288473,39,8230,8263,8659,10135
A097870,효성오앤비,20190104,8170,8250,8030,8200,31181,279456,20,8156,8300,8682,10159
A097870,효성오앤비,20190103,8060,8480,8060,8250,69660,282041,32,8086,8350,8727,10185
A097870,효성오앤비,20190102,8400,8400,8100,8100,47195,275205,16,8082,8390,8778,10230
A097870,효성오앤비,20181228,8100,8240,7960,8230,31980,274251,25,8128,8424,8834,10279
A097870,효성오앤비,20181227,7900,8090,7870,8000,28114,265602,53,8130,8456,8884,10331
A097870,효성오앤비,20181226,8000,8160,7790,7850,58769,258452,63,8142,8503,8937,10386
A097870,효성오앤비,20181224,8390,8400,8140,8230,44355,259880,114,8164,8553,9000,10434
A097870,효성오앤비,20181221,8250,8420,8250,8330,53535,260997,221,8118,8578,9064,10486
A097870,효성오앤비,20181220,8480,8990,8180,8240,271992,237765,0,8104,8597,9127,10528
A097870,효성오앤비,20181219,8000,8120,7990,8060,17807,268466,0,8136,8618,9184,10581
A097870,효성오앤비,20181218,7950,8090,7850,7960,26186,266622,0,8174,8658,9247,10651
A097870,효성오앤비,20181217,8110,8230,7900,8000,45285,270610,0,8232,8701,9328,10709
A097870,효성오앤비,20181214,8400,8450,8150,8260,31800,270165,0,8342,8746,9410,10762
A097870,효성오앤비,20181213,8250,8460,8240,8400,24595,283825,0,8496,8764,9489,10819
A097870,효성오앤비,20181212,8230,8400,8190,8250,39100,278296,0,8556,8772,9566,10864
A097870,효성오앤비,20181211,8560,8640,8230,8250,30643,276765,0,8726,8782,9648,10907
A097870,효성오앤비,20181210,8810,8900,8550,8550,63169,281682,0,8916,8792,9727,10961
A097870,효성오앤비,20181207,8800,9070,8760,9030,58921,290472,0,9020,8792,9806,11018
A097870,효성오앤비,20181206,9220,9220,8590,8700,60769,284973,0,8966,8777,9863,11050
A097870,효성오앤비,20181205,9010,9250,9010,9100,43255,301009,0,9000,8788,9914,11097
A097870,효성오앤비,20181204,9130,9520,9070,9200,134633,299362,0,8970,8756,9958,11149
A097870,효성오앤비,20181203,8870,9070,8800,9070,56154,311804,0,8900,8736,10003,11182
A097870,효성오앤비,20181130,8810,8990,8710,8760,26562,297719,0,8834,8720,10043,11214
A097870,효성오앤비,20181129,9050,9090,8860,8870,40256,298206,0,8822,8710,10082,11249
A097870,효성오앤비,20181128,8790,8960,8680,8950,46096,297064,0,8780,8672,10120,11282
A097870,효성오앤비,20181127,8710,8870,8670,8850,26415,304695,0,8760,8624,10154,11316
A097870,효성오앤비,20181126,8800,8860,8660,8740,34203,293581,0,8756,8564,10190,11361
A097870,효성오앤비,20181123,8680,8930,8500,8700,47091,289153,0,8786,8482,10233,11403
A097870,효성오앤비,20181122,8870,8930,8640,8660,30213,289874,0,8770,8456,10292,11447
A097870,효성오앤비,20181121,8820,9050,8680,8850,82839,299048,0,8752,8466,10354,11502
A097870,효성오앤비,20181120,8710,8900,8710,8830,29250,296303,0,8674,8481,10415,11526
A097870,효성오앤비,20181119,8800,8940,8650,8890,46167,294813,0,8598,8525,10480,11561
A097870,효성오앤비,20181116,8720,8720,8530,8620,20793,288224,0,8530,8556,10544,11598
A097870,효성오앤비,20181115,8450,8620,8370,8570,35019,284785,0,8550,8626,10603,11643
A097870,효성오앤비,20181114,8650,8690,8400,8460,23936,269480,0,8622,8700,10659,11694
A097870,효성오앤비,20181113,8280,8600,7800,8450,42288,273935,1,8622,8786,10712,11744
A097870,효성오앤비,20181112,8540,8780,8500,8550,28654,258633,0,8692,8842,10756,11791
A097870,효성오앤비,20181109,8990,8990,8510,8720,55359,254901,0,8732,8884,10812,11855
A097870,효성오앤비,20181108,8830,9080,8690,8930,54699,259387,0,8698,8917,10860,11915
A097870,효성오앤비,20181107,8980,9700,8350,8460,287094,244551,0,8532,8926,10910,11970
A097870,효성오앤비,20181106,8760,8950,8650,8800,49362,261086,0,8438,8989,10961,12026
A097870,효성오앤비,20181105,8550,8870,8370,8750,46933,266048,0,8212,9094,11010,12077
A097870,효성오앤비,20181102,8160,8550,8160,8550,91604,260110,0,7882,9224,11059,12137
A097870,효성오앤비,20181101,8210,8390,8060,8100,73007,221117,0,7808,9369,11108,12208
A097870,효성오앤비,20181031,7840,8490,7840,7990,172707,213143,0,7958,9524,11165,12273
A097870,효성오앤비,20181030,6750,7740,6750,7670,183245,231911,0,8190,9684,11219,12337
A097870,효성오앤비,20181029,8000,8330,7100,7100,172517,181197,0,8598,9884,11288,12373
A097870,효성오앤비,20181026,8900,9070,8070,8180,180358,168987,0,9082,10131,11364,12403
A097870,효성오앤비,20181025,8800,9300,8710,8850,158155,165208,0,9446,10327,11420,12425
A097870,효성오앤비,20181024,9700,10050,9140,9150,205304,163953,0,9686,10467,11438,12441
A097870,효성오앤비,20181023,9690,11100,9690,9710,1110999,166529,0,9896,10602,11452,12461
A097870,효성오앤비,20181022,9790,9820,9500,9520,66071,184572,0,9866,10759,11442,12487
A097870,효성오앤비,20181019,9960,10150,9610,10000,102620,192922,0,9840,10928,11448,12504
A097870,효성오앤비,20181018,10150,10300,9920,10050,104155,198901,0,9716,11078,11446,12516
A097870,효성오앤비,20181017,9690,11250,9570,10200,897113,214807,0,9526,11226,11453,12520
A097870,효성오앤비,20181016,9260,9610,9260,9560,29632,208004,0,9432,11376,11468,12513
A097870,효성오앤비,20181015,9380,9630,9340,9390,59193,202679,0,9700,11548,11500,12511
A097870,효성오앤비,20181012,8920,9530,8920,9380,100419,200184,0,10092,11743,11538,12508
A097870,효성오앤비,20181011,8910,9650,8910,9100,231595,185562,0,10506,11894,11569,12504
A097870,효성오앤비,20181010,11000,11000,9730,9730,243389,136289,0,10926,12026,11610,12504
A097870,효성오앤비,20181008,11150,11450,10900,10900,66631,149764,0,11220,12130,11636,12501
A097870,효성오앤비,20181005,11350,11500,11000,11350,45915,151158,0,11370,12178,11644,12490
A097870,효성오앤비,20181004,11600,11650,11250,11450,93431,149610,0,11510,12185,11682,12472
A097870,효성오앤비,20181002,11000,11650,10900,11200,153788,147893,0,11640,12168,11723,12452
A097870,효성오앤비,20181001,11750,11750,11200,11200,127043,127933,0,11730,12165,11779,12433
A097870,효성오앤비,20180928,11900,12000,11600,11650,78380,131294,0,11860,12155,11835,12415
A097870,효성오앤비,20180927,12300,12300,11850,12050,64851,138980,0,12100,12122,11867,12392
A097870,효성오앤비,20180921,11750,12100,11550,12100,150914,133414,0,12270,12085,11908,12368
A097870,효성오앤비,20180920,12250,12400,11500,11650,197694,105745,0,12450,12092,11930,12341
A097870,효성오앤비,20180919,12850,13300,11850,11850,600842,84366,0,12720,12130,11979,12317
A097870,효성오앤비,20180918,12850,13000,12600,12850,148047,106387,0,12990,12162,12055,12288
A097870,효성오앤비,20180917,13150,13300,12800,12900,148861,94219,0,13020,12158,12090,12251
A097870,효성오앤비,20180914,13000,13200,12650,13000,148699,89150,-274,13100,12148,12115,12211
A097870,효성오앤비,20180913,13200,13300,12850,13000,111181,73924,0,12980,12105,12149,12170
A097870,효성오앤비,20180912,13100,13250,12750,13200,203265,77660,0,12730,12052,12161,12131
A097870,효성오앤비,20180911,13500,13600,12950,13000,344344,68161,0,12450,11975,12166,12091
A097870,효성오앤비,20180910,12550,13300,12250,13300,851273,102091,0,12220,11878,12196,12052
A097870,효성오앤비,20180907,11900,12400,11650,12400,378157,114414,0,11860,11810,12230,12012
A097870,효성오앤비,20180906,12150,12200,11250,11750,328263,76124,1575,11600,11768,12237,11978
A097870,효성오앤비,20180905,12000,12200,11550,11800,176060,76622,0,11480,11778,12280,11948
A097870,효성오앤비,20180904,11600,12200,11500,11850,601157,70944,0,11320,11765,12339,11919
A097870,효성오앤비,20180903,11400,11600,11200,11500,151390,99389,0,11150,11760,12361,11891
A097870,효성오앤비,20180831,11100,11200,10900,11100,78690,88417,0,11110,11768,12386,11864
A097870,효성오앤비,20180830,11050,11600,11050,11150,170645,83790,0,11340,11788,12416,11840
A097870,효성오앤비,20180829,10950,11200,10800,11000,110545,69288,0,11590,11805,12444,11814
A097870,효성오앤비,20180828,11350,11600,10950,11000,240216,68767,0,11890,11818,12478,11780
A097870,효성오앤비,20180827,11250,11550,11100,11300,286151,72857,0,12240,11858,12532,11747
A097870,효성오앤비,20180824,12600,12600,12150,12250,166225,55124,0,12520,11875,12574,11710
A097870,효성오앤비,20180823,12600,12850,12350,12400,151866,58174,0,12500,11840,12601,11665
A097870,효성오앤비,20180822,12700,12950,12250,12500,319641,52596,0,12410,11718,12649,11619
A097870,효성오앤비,20180821,13250,13400,12550,12750,548790,40267,0,12240,11592,12637,11572
A097870,효성오앤비,20180820,12200,12750,12050,12700,416536,67258,0,11900,11410,12641,11523
A097870,효성오앤비,20180817,12150,12500,11900,12150,297163,73041,0,11750,11268,12653,11475
A097870,효성오앤비,20180816,11800,12250,11500,11950,411152,84648,0,11630,11156,12683,11432
A097870,효성오앤비,20180814,11150,12100,10850,11650,457494,68171,0,11630,11082,12728,11391
A097870,효성오앤비,20180813,12050,12500,10900,11050,474867,42918,0,11610,11054,12776,11352
A097870,효성오앤비,20180810,12150,12350,11750,11950,650157,38770,0,11750,11074,12826,11318
A097870,효성오앤비,20180809,11900,12000,11500,11550,385811,53294,0,11690,11062,12897,11276
A097870,효성오앤비,20180808,11700,12700,11500,11950,2029295,70012,0,11680,11046,12970,11238
A097870,효성오앤비,20180807,11850,11950,11500,11550,156081,73972,0,11590,11026,13030,11197
A097870,효성오앤비,20180806,11450,12250,11250,11750,344452,81699,0,11530,11014,13090,11159
A097870,효성오앤비,20180803,12300,12600,11650,11650,696346,44882,0,11540,10994,13144,11119
A097870,효성오앤비,20180802,11500,11750,11100,11500,152358,93118,0,11540,11094,13216,11081
A097870,효성오앤비,20180801,11250,11700,11050,11500,240280,69901,0,11550,11214,13309,11046
A097870,효성오앤비,20180731,12100,12200,10950,11250,349637,59274,0,11242,11366,13382,11011
A097870,효성오앤비,20180730,11650,12650,11600,11800,773703,60500,0,10990,11532,13455,10981
A097870,효성오앤비,20180727,11400,13000,10950,11650,2613790,63347,0,10452,11622,13458,10945
A097870,효성오앤비,20180726,9970,12600,9970,11550,3209025,88322,0,10092,11764,13443,10912
A097870,효성오앤비,20180725,10000,10150,9630,9960,146944,161240,0,9766,11856,13430,10879
A097870,효성오앤비,20180724,9240,10300,9220,9990,309696,192966,-984,9864,12088,13444,10860
A097870,효성오앤비,20180723,9800,9850,9110,9110,233143,140729,984,10086,12409,13470,10840
A097870,효성오앤비,20180720,9980,10250,9750,9850,160080,121064,0,10554,12704,13531,10824
A097870,효성오앤비,20180719,10400,10700,9910,9920,360493,102812,0,10924,12928,13561,10800
A097870,효성오앤비,20180718,11100,11200,10250,10450,322664,101752,-1000,11190,13185,13586,10776
A097870,효성오앤비,20180717,11550,11550,11050,11100,131682,55667,0,11410,13350,13586,10748
A097870,효성오앤비,20180716,11800,11900,11400,11450,147022,58660,1000,11450,13470,13558,10713
A097870,효성오앤비,20180713,11450,11850,11300,11700,225689,51412,0,11430,13635,13522,10675
A097870,효성오앤비,20180712,11600,11800,11150,11250,240413,48547,0,11820,13820,13478,10634
