stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A098560,TIGER 방송통신,20190129,10420,10420,10185,10235,8343,0,-1574,10258,10306,10240,10366
A098560,TIGER 방송통신,20190128,10225,10345,10190,10295,39105,0,-29755,10242,10305,10235,10365
A098560,TIGER 방송통신,20190125,10245,10260,10210,10245,89542,0,62,10207,10290,10227,10364
A098560,TIGER 방송통신,20190124,10230,10270,10180,10245,4445,0,195,10218,10270,10220,10363
A098560,TIGER 방송통신,20190123,10215,10300,10215,10270,15991,0,-7375,10221,10258,10215,10361
A098560,TIGER 방송통신,20190122,10045,10155,10045,10155,10932,0,614,10221,10251,10212,10358
A098560,TIGER 방송통신,20190121,10410,10410,10100,10120,12852,0,-5873,10238,10252,10216,10356
A098560,TIGER 방송통신,20190118,10295,10365,10220,10300,7855,0,4455,10246,10257,10223,10354
A098560,TIGER 방송통신,20190117,10225,10285,10225,10260,2917,0,-2616,10220,10248,10230,10350
A098560,TIGER 방송통신,20190116,10275,10285,10180,10270,7103,0,-514,10243,10250,10241,10347
A098560,TIGER 방송통신,20190115,10095,10265,10095,10240,31776,0,21694,10270,10252,10247,10343
A098560,TIGER 방송통신,20190114,10175,10200,10090,10160,17728,0,-3702,10318,10260,10254,10340
A098560,TIGER 방송통신,20190111,10270,10270,10125,10170,45186,0,-166,10391,10274,10260,10338
A098560,TIGER 방송통신,20190110,10360,10435,10275,10375,11533,0,-1156,10460,10290,10263,10336
A098560,TIGER 방송통신,20190109,10480,10500,10360,10405,21311,0,-400,10487,10292,10262,10334
A098560,TIGER 방송통신,20190108,10525,10525,10440,10480,5261,0,2782,10474,10291,10260,10330
A098560,TIGER 방송통신,20190107,10560,10590,10480,10525,4039,0,171,10423,10286,10257,10327
A098560,TIGER 방송통신,20190104,10485,10605,10485,10515,34330,0,-79,10314,10280,10260,10322
A098560,TIGER 방송통신,20190103,10300,10570,10300,10510,4579,0,-438,10181,10278,10262,10315
A098560,TIGER 방송통신,20190102,10225,10390,10210,10340,12024,0,-655,10079,10286,10266,10308
A098560,TIGER 방송통신,20181228,10000,10235,10000,10225,490,0,-33,10038,10302,10274,10302
A098560,TIGER 방송통신,20181227,9890,10100,9890,9980,1919,0,-499,10030,10320,10282,10296
A098560,TIGER 방송통신,20181226,9900,9975,9805,9850,42021,0,856,10078,10347,10297,10293
A098560,TIGER 방송통신,20181224,10180,10180,10000,10000,1322,0,367,10133,10366,10318,10293
A098560,TIGER 방송통신,20181221,10185,10220,10135,10135,1256,0,270,10193,10374,10335,10291
A098560,TIGER 방송통신,20181220,10150,10185,10125,10185,443,0,-412,10227,10374,10346,10289
A098560,TIGER 방송통신,20181219,10085,10260,10085,10220,1282,0,-374,10267,10380,10356,10286
A098560,TIGER 방송통신,20181218,10315,10315,10090,10125,607,0,8,10313,10381,10367,10284
A098560,TIGER 방송통신,20181217,10220,10370,10220,10300,5486,0,-2421,10384,10388,10382,10282
A098560,TIGER 방송통신,20181214,10335,10335,10275,10305,3205,0,-296,10409,10379,10392,10280
A098560,TIGER 방송통신,20181213,10370,10425,10355,10385,2059,0,1388,10424,10370,10401,10278
A098560,TIGER 방송통신,20181212,10480,10525,10425,10450,3741,0,-456,10423,10347,10410,10274
A098560,TIGER 방송통신,20181211,10440,10515,10425,10480,86738,0,-1610,10416,10320,10415,10267
A098560,TIGER 방송통신,20181210,10355,10435,10285,10425,3460,0,1445,10416,10289,10416,10262
A098560,TIGER 방송통신,20181207,10300,10420,10275,10380,880,0,201,10461,10264,10418,10255
A098560,TIGER 방송통신,20181206,10425,10440,10330,10380,20184,0,-8714,10520,10245,10419,10249
A098560,TIGER 방송통신,20181205,10480,10485,10350,10415,31416,0,363,10562,10230,10420,10245
A098560,TIGER 방송통신,20181204,10600,10650,10480,10480,25321,0,-875,10582,10213,10419,10241
