stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A098660,에스티오,20190129,2605,2645,2585,2595,1084,7396,0,2612,2581,2639,2792
A098660,에스티오,20190128,2625,2650,2610,2635,1252,7396,0,2600,2585,2635,2798
A098660,에스티오,20190125,2635,2645,2620,2640,1488,7396,0,2586,2582,2629,2804
A098660,에스티오,20190124,2645,2645,2570,2635,1106,7396,0,2571,2584,2623,2810
A098660,에스티오,20190123,2530,2560,2525,2555,3709,9196,-21,2555,2587,2618,2815
A098660,에스티오,20190122,2565,2645,2535,2535,9796,9196,-21,2551,2594,2616,2821
A098660,에스티오,20190121,2540,2635,2525,2565,10096,9196,0,2549,2603,2616,2826
A098660,에스티오,20190118,2520,2570,2500,2565,5576,9196,1,2549,2608,2616,2832
A098660,에스티오,20190117,2535,2575,2535,2555,2145,9196,-21,2551,2615,2616,2837
A098660,에스티오,20190116,2510,2535,2450,2535,8529,9196,-21,2557,2619,2619,2844
A098660,에스티오,20190115,2575,2585,2520,2525,4053,9196,0,2567,2627,2623,2851
A098660,에스티오,20190114,2575,2580,2400,2565,3743,9196,0,2586,2634,2628,2857
A098660,에스티오,20190111,2570,2610,2540,2575,1517,8650,-221,2598,2642,2635,2864
A098660,에스티오,20190110,2585,2585,2565,2585,1815,8650,0,2608,2646,2640,2870
A098660,에스티오,20190109,2575,2615,2560,2585,1276,8650,0,2601,2650,2645,2877
A098660,에스티오,20190108,2620,2635,2590,2620,1142,8650,0,2593,2654,2649,2883
A098660,에스티오,20190107,2590,2645,2590,2625,878,8650,21,2606,2660,2650,2889
A098660,에스티오,20190104,2550,2650,2515,2625,3769,8650,22,2596,2664,2654,2895
A098660,에스티오,20190103,2545,2550,2445,2550,5259,8650,0,2607,2670,2659,2900
A098660,에스티오,20190102,2680,2680,2415,2545,77820,8650,0,2636,2678,2664,2906
A098660,에스티오,20181228,2575,2720,2575,2685,1878,8650,0,2667,2687,2670,2913
A098660,에스티오,20181227,2680,2680,2575,2575,531,8650,21,2671,2690,2673,2918
A098660,에스티오,20181226,2685,2685,2655,2680,247,8650,30,2691,2698,2678,2922
A098660,에스티오,20181224,2675,2695,2675,2695,243,8650,0,2695,2702,2683,2928
A098660,에스티오,20181221,2655,2705,2655,2700,1559,8650,38,2681,2704,2686,2935
A098660,에스티오,20181220,2620,2725,2605,2705,8569,8650,35,2680,2706,2690,2942
A098660,에스티오,20181219,2675,2710,2675,2675,331,8650,36,2674,2706,2693,2948
A098660,에스티오,20181218,2520,2700,2520,2700,6279,8650,-907,2682,2707,2698,2954
A098660,에스티오,20181217,2710,2710,2620,2625,533,8650,-34,2675,2708,2703,2959
A098660,에스티오,20181214,2620,2695,2590,2695,4046,8650,-63,2684,2710,2709,2964
A098660,에스티오,20181213,2675,2715,2675,2675,377,8650,0,2675,2708,2715,2970
