stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A100090,삼강엠앤티,20190129,5050,5070,4910,4930,202937,238308,-24320,5016,4876,5293,4877
A100090,삼강엠앤티,20190128,5100,5130,4980,5040,206408,229194,-81543,5060,4857,5304,4873
A100090,삼강엠앤티,20190125,5150,5160,4990,5030,254641,226611,-84710,5098,4828,5315,4866
A100090,삼강엠앤티,20190124,5140,5340,4995,5090,491916,216325,-42488,5158,4790,5323,4861
A100090,삼강엠앤티,20190123,5200,5200,4940,4990,444614,203453,-30267,5133,4760,5328,4853
A100090,삼강엠앤티,20190122,5370,5420,5100,5150,396167,191924,-22409,5124,4758,5333,4846
A100090,삼강엠앤티,20190121,5510,5600,5180,5230,772165,157966,-33301,5026,4751,5342,4836
A100090,삼강엠앤티,20190118,4970,5460,4970,5330,722113,186994,-42259,4913,4747,5349,4827
A100090,삼강엠앤티,20190117,5010,5150,4915,4965,421157,226625,-71778,4792,4745,5356,4816
A100090,삼강엠앤티,20190116,5170,5680,4925,4945,2094367,223905,-344223,4742,4760,5361,4808
A100090,삼강엠앤티,20190115,4660,4725,4600,4660,68683,334518,-20945,4698,4781,5361,4803
A100090,삼강엠앤티,20190114,4760,4770,4600,4665,91913,324943,-57721,4668,4819,5364,4803
A100090,삼강엠앤티,20190111,4760,4760,4635,4725,85073,317486,-32361,4675,4846,5359,4800
A100090,삼강엠앤티,20190110,4675,4740,4620,4715,50298,297707,-3271,4678,4870,5347,4797
A100090,삼강엠앤티,20190109,4570,4740,4570,4725,79855,299858,-2730,4680,4897,5334,4795
A100090,삼강엠앤티,20190108,4700,4770,4510,4510,88552,268030,-3327,4667,4922,5322,4793
A100090,삼강엠앤티,20190107,4750,4860,4660,4700,131274,265908,-58827,4674,4948,5309,4794
A100090,삼강엠앤티,20190104,4845,4845,4565,4740,76447,263579,-88,4624,4977,5304,4793
A100090,삼강엠앤티,20190103,4700,4970,4660,4725,117601,264721,1912,4530,5008,5299,4790
A100090,삼강엠앤티,20190102,4590,4680,4535,4660,79155,272536,-266,4486,5041,5288,4788
A100090,삼강엠앤티,20181228,4570,4590,4480,4545,49330,278641,0,4544,5086,5278,4787
A100090,삼강엠앤티,20181227,4400,4640,4320,4450,148336,271113,-1461,4635,5144,5272,4787
A100090,삼강엠앤티,20181226,4300,4455,4225,4270,323070,260129,-36570,4775,5206,5267,4789
A100090,삼강엠앤티,20181224,4950,4950,4450,4505,393467,225774,-100489,4979,5291,5264,4792
A100090,삼강엠앤티,20181221,4935,5060,4935,4950,83773,221762,0,5130,5370,5258,4796
A100090,삼강엠앤티,20181220,5150,5180,4910,5000,242917,211373,11134,5216,5427,5246,4796
A100090,삼강엠앤티,20181219,5270,5400,5060,5150,190095,205822,-20632,5300,5484,5232,4797
A100090,삼강엠앤티,20181218,5210,5360,5010,5290,157562,235756,43437,5312,5536,5217,4797
A100090,삼강엠앤티,20181217,5250,5390,5130,5260,104133,240211,26381,5292,5576,5201,4798
A100090,삼강엠앤티,20181214,5460,5560,5330,5380,164572,250704,-377,5292,5596,5186,4802
A100090,삼강엠앤티,20181213,5250,5450,5200,5420,215196,284468,24439,5260,5610,5170,4809
A100090,삼강엠앤티,20181212,5190,5280,5130,5210,136095,259392,13669,5182,5624,5153,4815
A100090,삼강엠앤티,20181211,5260,5360,5170,5190,143502,260720,-5127,5196,5650,5142,4822
A100090,삼강엠앤티,20181210,5200,5330,5090,5260,186592,282410,55416,5230,5680,5130,4833
A100090,삼강엠앤티,20181207,5000,5270,5000,5220,295305,313659,45458,5256,5698,5118,4841
A100090,삼강엠앤티,20181206,5330,5330,4905,5030,381353,271306,-17209,5322,5738,5104,4847
A100090,삼강엠앤티,20181205,5290,5360,5160,5280,272971,275936,-86319,5458,5794,5090,4853
A100090,삼강엠앤티,20181204,5450,5550,5310,5360,234106,254365,14808,5542,5854,5071,4856
A100090,삼강엠앤티,20181203,5650,5660,5180,5390,486158,223735,-40431,5662,5888,5050,4858
A100090,삼강엠앤티,20181130,5730,5730,5450,5550,257513,200609,2260,5800,5910,5029,4859
A100090,삼강엠앤티,20181129,5750,5820,5570,5710,288288,205456,-6855,5910,5918,5004,4858
A100090,삼강엠앤티,20181128,6040,6050,5620,5700,421028,193206,-17500,5996,5911,4978,4854
A100090,삼강엠앤티,20181127,6060,6180,5890,5960,265377,198924,27030,6094,5912,4951,4853
A100090,삼강엠앤티,20181126,6030,6300,6000,6080,183524,206914,41935,6120,5890,4919,4848
A100090,삼강엠앤티,20181123,6200,6270,6080,6100,242950,203440,62222,6034,5854,4887,4842
A100090,삼강엠앤티,20181122,6220,6430,6090,6140,769710,203191,54399,5950,5814,4856,4837
A100090,삼강엠앤티,20181121,6020,6280,5750,6190,652970,224818,128205,5858,5792,4824,4835
