stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A100220,비상교육,20190129,6960,7000,6900,6970,14721,1181729,-28,6928,6568,6671,7354
A100220,비상교육,20190128,6900,7020,6900,6970,31765,1184596,-346,6900,6530,6673,7376
A100220,비상교육,20190125,6870,6940,6860,6940,14282,1189310,-289,6870,6494,6676,7396
A100220,비상교육,20190124,6800,6900,6800,6890,23888,1191906,-721,6804,6460,6675,7414
A100220,비상교육,20190123,6820,6900,6790,6870,21399,1195033,9,6728,6430,6675,7434
A100220,비상교육,20190122,6900,6900,6720,6830,34122,1198603,-34,6664,6400,6680,7452
A100220,비상교육,20190121,6630,7690,6630,6820,435552,1203121,-2003,6622,6370,6687,7471
A100220,비상교육,20190118,6530,6680,6510,6610,12059,1214063,-3101,6578,6344,6693,7492
A100220,비상교육,20190117,6510,6630,6490,6510,14537,1216757,-3071,6588,6320,6704,7513
A100220,비상교육,20190116,6670,6670,6480,6550,8638,1219871,-2171,6580,6305,6718,7538
A100220,비상교육,20190115,6600,6700,6570,6620,10590,1221062,-4152,6556,6284,6730,7562
A100220,비상교육,20190114,6650,6730,6570,6600,20340,1220927,-13,6490,6262,6741,7585
A100220,비상교육,20190111,6530,6690,6480,6660,25471,1224927,214,6408,6240,6756,7611
A100220,비상교육,20190110,6480,6530,6420,6470,13156,1226296,-47,6280,6220,6766,7634
A100220,비상교육,20190109,6280,6470,6280,6430,24875,1227113,5136,6188,6216,6778,7658
A100220,비상교육,20190108,6250,6330,6180,6290,10932,1229536,-975,6124,6228,6788,7682
A100220,비상교육,20190107,6030,6340,6030,6190,26171,1227930,-3987,6108,6256,6800,7706
A100220,비상교육,20190104,5980,6060,5900,6020,19123,1225739,-636,6120,6295,6824,7730
A100220,비상교육,20190103,6210,6210,5990,6010,20484,1227611,234,6168,6348,6851,7756
A100220,비상교육,20190102,6210,6260,6070,6110,17704,1231486,230,6224,6399,6878,7784
A100220,비상교육,20181228,6290,6290,6090,6210,23768,1234146,-2135,6256,6442,6906,7809
A100220,비상교육,20181227,6300,6420,6090,6250,10256,1236288,-4228,6262,6481,6932,7832
A100220,비상교육,20181226,6290,6310,6210,6260,22678,1236443,13639,6272,6516,6956,7855
A100220,비상교육,20181224,6270,6330,6230,6290,21477,1242305,-3147,6246,6550,6978,7876
A100220,비상교육,20181221,6290,6310,6170,6270,14208,1245173,-2382,6228,6584,7000,7899
A100220,비상교육,20181220,6480,6480,6160,6240,22236,1248331,-2371,6198,6616,7022,7922
A100220,비상교육,20181219,6200,6360,6150,6300,25482,1252403,-6483,6186,6651,7044,7945
