stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A100590,머큐리,20190129,11050,11450,10950,11250,848064,0,-19560,11110,11595,0,0
A100590,머큐리,20190128,11500,11650,11100,11100,912883,0,5000,11050,11550,0,0
A100590,머큐리,20190125,11250,12350,11150,11450,5650446,0,-72371,11120,11562,0,0
A100590,머큐리,20190124,10700,11400,10500,11000,1446626,0,362,11000,11545,0,0
A100590,머큐리,20190123,10950,10950,10600,10750,623247,0,0,10900,11548,0,0
A100590,머큐리,20190122,11350,11550,10950,10950,963286,0,346,10950,11538,0,0
A100590,머큐리,20190121,10950,11600,10500,11450,1874756,0,10070,11030,11397,0,0
A100590,머큐리,20190118,10700,11150,10400,10850,1530465,0,18504,10990,11180,0,0
A100590,머큐리,20190117,11100,11250,10400,10500,1493924,0,744,11340,10996,0,0
A100590,머큐리,20190116,11400,11500,10750,11000,1628597,0,-47415,11710,10882,0,0
A100590,머큐리,20190115,11300,11850,11050,11350,2190492,0,352,12140,10722,0,0
A100590,머큐리,20190114,12450,12600,11200,11250,2289361,0,-357804,12580,0,0,0
A100590,머큐리,20190111,12550,12750,11900,12600,1860746,0,-393,13010,0,0,0
A100590,머큐리,20190110,13300,13600,12250,12350,2045108,0,-35779,12890,0,0,0
A100590,머큐리,20190109,13700,14050,13150,13150,1801552,0,-3000,12680,0,0,0
A100590,머큐리,20190108,13200,14500,12750,13550,6487734,0,-3914,12180,0,0,0
A100590,머큐리,20190107,12250,14000,11500,13400,4363702,0,-660,11540,0,0,0
A100590,머큐리,20190104,12050,12500,11350,12000,4124628,0,-2639,11130,0,0,0
A100590,머큐리,20190103,11400,12500,10650,11300,8374530,0,-170447,10950,0,0,0
A100590,머큐리,20190102,10600,11350,10200,10650,3518559,0,-310611,10900,0,0,0
A100590,머큐리,20181228,11300,12350,10200,10350,6409718,0,15614,10880,0,0,0
A100590,머큐리,20181227,11150,11850,10900,11350,4179202,0,0,10438,0,0,0
A100590,머큐리,20181226,10800,11950,10600,11100,5309311,0,-511,9592,0,0,0
A100590,머큐리,20181224,10500,12700,10300,11050,13098217,0,-49768,8806,0,0,0
A100590,머큐리,20181221,7950,10550,7860,10550,15304830,0,29032,8236,0,0,0
A100590,머큐리,20181220,7350,8940,7330,8140,10151855,0,-8243,7686,0,0,0
A100590,머큐리,20181219,7020,7530,6930,7120,1569756,0,26438,0,0,0,0
A100590,머큐리,20181218,8140,8190,7040,7170,2265832,0,-11739,0,0,0,0
A100590,머큐리,20181217,7850,9120,7810,8200,8495871,0,-44403,0,0,0,0
A100590,머큐리,20181214,9630,10200,7800,7800,13443311,0,-1722520,0,0,0,0
