stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A100840,S&TC,20190129,12200,12200,11750,12100,14752,117716,-313,12000,11458,11135,12726
A100840,S&TC,20190128,12150,12200,11950,12100,6832,117850,-1406,11880,11405,11133,12749
A100840,S&TC,20190125,12250,12250,11800,11950,5448,117916,-2502,11800,11338,11139,12770
A100840,S&TC,20190124,11950,12050,11850,12000,4443,117916,-554,11830,11287,11139,12792
A100840,S&TC,20190123,11550,12000,11550,11850,6262,118026,-1920,11810,11237,11142,12814
A100840,S&TC,20190122,11850,12000,11500,11500,3178,117965,-1335,11760,11197,11153,12836
A100840,S&TC,20190121,12100,12250,11650,11700,7873,118032,-3195,11710,11167,11182,12861
A100840,S&TC,20190118,11900,12150,11800,12100,4774,117995,-1023,11610,11120,11210,12888
A100840,S&TC,20190117,11800,12350,11700,11900,22706,117996,-3239,11480,11050,11227,12910
A100840,S&TC,20190116,11450,11900,11450,11600,10289,118259,-2311,11360,10988,11254,12934
A100840,S&TC,20190115,11150,11450,11150,11250,3719,118448,-1435,11230,10941,11288,12962
A100840,S&TC,20190114,11500,11600,11200,11200,3826,118457,-1128,11170,10914,11334,12995
A100840,S&TC,20190111,11450,11450,11200,11450,2655,118462,-790,11130,10886,11378,13028
A100840,S&TC,20190110,11100,11350,10950,11300,12647,118370,-1561,10990,10842,11418,13062
A100840,S&TC,20190109,11050,11200,10800,10950,5098,118455,-1371,10880,10817,11460,13095
A100840,S&TC,20190108,11100,11100,10750,10950,1624,118456,-231,10840,10817,11506,13130
A100840,S&TC,20190107,10750,11050,10650,11000,3896,118541,-1517,10860,10817,11554,13166
A100840,S&TC,20190104,10800,10800,10500,10750,5344,118541,-1685,10810,10819,11601,13200
A100840,S&TC,20190103,10750,10950,10600,10750,2232,119170,-1068,10850,10832,11654,13236
