stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A101060,SBS미디어홀딩스,20190129,2240,2340,2240,2290,82126,4876237,-1749,2253,2220,2231,2329
A101060,SBS미디어홀딩스,20190128,2270,2290,2235,2260,45648,4875790,-15903,2239,2207,2230,2329
A101060,SBS미디어홀딩스,20190125,2220,2270,2220,2270,56106,4880279,-20147,2233,2196,2230,2329
A101060,SBS미디어홀딩스,20190124,2220,2240,2205,2230,53949,4872105,-34032,2224,2182,2229,2329
A101060,SBS미디어홀딩스,20190123,2220,2220,2200,2215,16090,4875780,-5280,2225,2172,2228,2329
A101060,SBS미디어홀딩스,20190122,2210,2235,2200,2220,36470,4877218,-3224,2226,2165,2228,2329
A101060,SBS미디어홀딩스,20190121,2230,2250,2230,2230,13354,4878060,-238,2219,2159,2229,2329
A101060,SBS미디어홀딩스,20190118,2235,2235,2190,2225,43620,4876665,14675,2209,2154,2233,2329
A101060,SBS미디어홀딩스,20190117,2235,2250,2205,2235,58662,4875811,19,2214,2148,2238,2328
A101060,SBS미디어홀딩스,20190116,2190,2250,2190,2220,94445,4870793,-34010,2221,2144,2244,2327
A101060,SBS미디어홀딩스,20190115,2180,2240,2180,2185,68021,4823871,-34313,2237,2142,2250,2327
A101060,SBS미디어홀딩스,20190114,2215,2250,2180,2180,38121,4819491,-28451,2247,2146,2257,2327
A101060,SBS미디어홀딩스,20190111,2255,2270,2205,2250,60413,4813351,-13981,2258,2148,2264,2328
A101060,SBS미디어홀딩스,20190110,2310,2320,2270,2270,36208,4814418,2356,2241,2144,2270,2329
A101060,SBS미디어홀딩스,20190109,2230,2320,2225,2300,93404,4818514,36299,2212,2138,2274,2330
A101060,SBS미디어홀딩스,20190108,2235,2270,2200,2235,70085,4816939,44987,2162,2133,2277,2330
A101060,SBS미디어홀딩스,20190107,2175,2245,2165,2235,93399,4820003,51506,2123,2131,2281,2331
A101060,SBS미디어홀딩스,20190104,2125,2165,2110,2165,34315,4816291,-10762,2084,2132,2287,2332
A101060,SBS미디어홀딩스,20190103,2050,2195,2050,2125,172775,4815677,18614,2050,2139,2295,2333
A101060,SBS미디어홀딩스,20190102,2055,2070,2040,2050,25464,4830440,10649,2029,2148,2304,2335
A101060,SBS미디어홀딩스,20181228,2040,2065,2010,2040,27239,4830023,-16902,2034,2158,2314,2337
A101060,SBS미디어홀딩스,20181227,2000,2040,1995,2040,15271,4878440,1113,2047,2170,2324,2339
A101060,SBS미디어홀딩스,20181226,2000,2000,1965,1995,52505,4878224,-4134,2064,2185,2333,2341
A101060,SBS미디어홀딩스,20181224,2080,2080,2000,2020,80014,4878736,-10778,2089,2204,2342,2343
A101060,SBS미디어홀딩스,20181221,2090,2110,2075,2075,36847,4880428,-5149,2112,2219,2351,2346
A101060,SBS미디어홀딩스,20181220,2125,2130,2105,2105,18199,4889713,-1384,2137,2231,2358,2349
A101060,SBS미디어홀딩스,20181219,2130,2135,2110,2125,18339,4889890,778,2165,2243,2364,2352
A101060,SBS미디어홀딩스,20181218,2110,2135,2085,2120,101829,4888005,15679,2187,2256,2371,2355
A101060,SBS미디어홀딩스,20181217,2185,2200,2120,2135,143733,4900531,-3059,2194,2269,2378,2359
A101060,SBS미디어홀딩스,20181214,2260,2265,2190,2200,25107,4902032,-2803,2198,2283,2384,2362
A101060,SBS미디어홀딩스,20181213,2250,2270,2220,2245,51713,4901437,3573,2199,2292,2390,2365
A101060,SBS미디어홀딩스,20181212,2140,2260,2140,2235,21251,4906695,1271,2190,2299,2395,2368
A101060,SBS미디어홀딩스,20181211,2155,2180,2135,2155,19591,4902993,10381,2193,2304,2399,2371
A101060,SBS미디어홀딩스,20181210,2190,2210,2130,2155,41864,4904806,1437,2222,2311,2404,2375
A101060,SBS미디어홀딩스,20181207,2200,2235,2180,2205,17691,4903021,-5846,2252,2318,2410,2380
A101060,SBS미디어홀딩스,20181206,2250,2275,2200,2200,40641,4903197,-1247,2261,2322,2413,2385
A101060,SBS미디어홀딩스,20181205,2285,2285,2245,2250,25103,4905333,-4489,2278,2325,2417,2391
A101060,SBS미디어홀딩스,20181204,2305,2325,2275,2300,17114,4914572,1950,2295,2323,2420,2397
A101060,SBS미디어홀딩스,20181203,2250,2325,2250,2305,64308,4920320,41144,2309,2319,2423,2401
A101060,SBS미디어홀딩스,20181130,2275,2325,2195,2250,167592,4918154,-2203,2314,2314,2425,2406
A101060,SBS미디어홀딩스,20181129,2345,2365,2285,2285,132771,4915057,-37230,2328,2316,2429,2410
A101060,SBS미디어홀딩스,20181128,2380,2385,2330,2335,6807,4914727,-1912,2339,2314,2433,2415
A101060,SBS미디어홀딩스,20181127,2340,2380,2340,2370,14833,4914409,2181,2348,2310,2433,2419
A101060,SBS미디어홀딩스,20181126,2330,2365,2290,2330,36729,4912219,996,2352,2302,2432,2423
A101060,SBS미디어홀딩스,20181123,2325,2340,2310,2320,19539,4906539,8414,2368,2292,2432,2428
A101060,SBS미디어홀딩스,20181122,2380,2390,2340,2340,25680,4906451,6440,2381,2287,2432,2433
A101060,SBS미디어홀딩스,20181121,2380,2380,2330,2380,15598,4907541,7462,2389,2284,2431,2437
A101060,SBS미디어홀딩스,20181120,2390,2390,2345,2390,7373,4906556,1636,2382,2290,2430,2441
A101060,SBS미디어홀딩스,20181119,2400,2415,2385,2410,14173,4907748,5846,2362,2297,2428,2445
A101060,SBS미디어홀딩스,20181116,2360,2400,2360,2385,16417,4905541,6909,2339,2304,2426,2450
A101060,SBS미디어홀딩스,20181115,2350,2380,2315,2380,30427,4907419,-5725,2319,2315,2425,2455
A101060,SBS미디어홀딩스,20181114,2290,2350,2255,2345,45501,4907788,18653,2294,2326,2424,2460
A101060,SBS미디어홀딩스,20181113,2250,2295,2235,2290,12931,4908320,3985,2268,2338,2423,2465
A101060,SBS미디어홀딩스,20181112,2300,2310,2265,2295,27498,4914077,-261,2252,2354,2422,2470
A101060,SBS미디어홀딩스,20181109,2265,2290,2255,2285,16650,4914417,3806,2237,2365,2422,2476
A101060,SBS미디어홀딩스,20181108,2225,2270,2225,2255,21704,4910351,7774,2236,2377,2422,2482
A101060,SBS미디어홀딩스,20181107,2210,2240,2200,2215,49536,4907527,11850,2236,2387,2422,2488
A101060,SBS미디어홀딩스,20181106,2220,2250,2200,2210,62129,4897659,11064,2243,2406,2423,2494
A101060,SBS미디어홀딩스,20181105,2280,2315,2210,2220,76540,4937807,22253,2241,2427,2425,2501
A101060,SBS미디어홀딩스,20181102,2285,2315,2260,2280,48631,4948424,-1116,2223,2450,2426,2507
A101060,SBS미디어홀딩스,20181101,2245,2280,2225,2255,6434,4926322,-1187,2213,2468,2427,2514
A101060,SBS미디어홀딩스,20181031,2200,2250,2160,2250,12062,4926874,1392,2219,2488,2428,2520
A101060,SBS미디어홀딩스,20181030,1935,2200,1935,2200,92268,4927774,20046,2265,2504,2428,2526
A101060,SBS미디어홀딩스,20181029,2170,2225,2095,2130,38339,4918612,5846,2332,2522,2429,2532
A101060,SBS미디어홀딩스,20181026,2290,2320,2145,2230,74149,4921830,705,2418,2542,2431,2539
A101060,SBS미디어홀딩스,20181025,2400,2450,2275,2285,110438,4916002,-2211,2493,2555,2431,2545
A101060,SBS미디어홀딩스,20181024,2550,2555,2480,2480,12800,4921867,271,2553,2565,2429,2551
A101060,SBS미디어홀딩스,20181023,2540,2590,2495,2535,26703,4914846,7025,2577,2568,2424,2555
A101060,SBS미디어홀딩스,20181022,2520,2590,2520,2560,21130,4916362,38,2590,2567,2418,2558
A101060,SBS미디어홀딩스,20181019,2525,2615,2510,2605,37263,4912759,14318,2582,2566,2411,2560
A101060,SBS미디어홀딩스,20181018,2580,2635,2550,2585,34775,4915013,12944,2566,2562,2403,2563
A101060,SBS미디어홀딩스,20181017,2600,2640,2575,2600,29597,4921675,1129,2541,2560,2398,2565
A101060,SBS미디어홀딩스,20181016,2490,2600,2490,2600,30339,4923456,7190,2537,2554,2393,2568
A101060,SBS미디어홀딩스,20181015,2510,2585,2510,2520,40729,4917466,1867,2546,2548,2388,2570
A101060,SBS미디어홀딩스,20181012,2365,2525,2365,2525,92115,4914624,26229,2578,2546,2386,2572
A101060,SBS미디어홀딩스,20181011,2470,2540,2410,2460,55840,4917463,5055,2599,2541,2383,2575
A101060,SBS미디어홀딩스,20181010,2635,2670,2555,2580,25851,4906025,6757,2637,2538,2381,2579
A101060,SBS미디어홀딩스,20181008,2675,2685,2640,2645,56342,4904991,2390,2638,2533,2377,2582
A101060,SBS미디어홀딩스,20181005,2600,2680,2545,2680,67328,4919219,33981,2619,2523,2372,2584
A101060,SBS미디어홀딩스,20181004,2650,2700,2530,2630,65864,4922837,1287,2589,2510,2365,2585
A101060,SBS미디어홀딩스,20181002,2600,2700,2595,2650,153248,4933963,105,2561,2504,2360,2587
A101060,SBS미디어홀딩스,20181001,2555,2590,2555,2585,46350,4914072,16556,2529,2496,2354,2589
A101060,SBS미디어홀딩스,20180928,2530,2560,2500,2550,48927,4913328,4387,2518,2484,2348,2591
A101060,SBS미디어홀딩스,20180927,2475,2530,2465,2530,17793,4892710,-2692,2514,2473,2344,2594
A101060,SBS미디어홀딩스,20180921,2490,2525,2430,2490,59534,4891100,12135,2514,2462,2341,2598
A101060,SBS미디어홀딩스,20180920,2530,2530,2460,2490,57472,4899778,-14186,2522,2454,2339,2602
