stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A101360,이엔드디,20190129,500,500,500,500,1,0,0,492,587,583,797
A101360,이엔드디,20190128,465,565,465,475,4,0,0,492,584,587,802
A101360,이엔드디,20190125,500,500,500,500,2,0,0,504,584,593,807
A101360,이엔드디,20190124,450,530,450,497,5,0,0,530,580,599,811
A101360,이엔드디,20190123,487,570,486,486,5554,0,0,566,580,604,814
A101360,이엔드디,20190122,465,600,465,500,9004,0,0,590,576,610,817
A101360,이엔드디,20190121,550,720,536,536,6093,0,0,600,572,616,821
A101360,이엔드디,20190118,650,700,630,630,4011,0,0,592,566,621,824
A101360,이엔드디,20190117,515,680,515,679,7023,0,0,581,557,625,825
A101360,이엔드디,20190116,503,605,471,605,22,0,0,581,543,631,828
A101360,이엔드디,20190115,550,550,550,550,1000,0,0,620,534,639,830
A101360,이엔드디,20190114,500,595,495,495,8114,0,0,670,530,647,832
A101360,이엔드디,20190111,578,578,578,578,1121,0,0,713,532,660,835
A101360,이엔드디,20190110,798,798,679,679,3,0,0,728,530,671,837
A101360,이엔드디,20190109,798,798,798,798,0,0,0,706,520,679,838
A101360,이엔드디,20190108,714,798,607,798,3,0,0,646,504,688,838
A101360,이엔드디,20190107,650,714,553,714,1016,0,0,574,492,696,838
A101360,이엔드디,20190104,650,650,650,650,1,0,0,528,483,703,839
A101360,이엔드디,20190103,570,570,570,570,1,0,0,482,478,709,840
A101360,이엔드디,20190102,500,500,500,500,510,0,0,465,476,714,844
A101360,이엔드디,20181228,549,549,435,435,26,0,0,449,480,719,849
A101360,이엔드디,20181227,485,485,485,485,13500,0,0,446,483,727,857
A101360,이엔드디,20181226,556,556,422,422,2,0,0,433,484,732,863
A101360,이엔드디,20181224,484,484,484,484,100,0,0,437,493,737,869
A101360,이엔드디,20181221,482,483,421,421,2568,0,0,418,499,744,872
A101360,이엔드디,20181220,478,478,367,420,652,0,0,420,513,751,876
A101360,이엔드디,20181219,511,511,405,416,53,0,0,432,522,759,879
A101360,이엔드디,20181218,445,445,445,445,50,0,0,456,532,767,883
A101360,이엔드디,20181217,445,495,386,387,4309,0,-2400,473,541,773,886
A101360,이엔드디,20181214,550,550,432,432,2,0,0,489,552,783,890
A101360,이엔드디,20181213,480,480,480,480,1,0,0,500,557,793,893
A101360,이엔드디,20181212,534,534,534,534,0,0,0,514,565,801,896
A101360,이엔드디,20181211,534,534,534,534,50,0,0,518,575,809,899
A101360,이엔드디,20181210,558,558,465,465,2,0,0,521,585,817,902
A101360,이엔드디,20181207,629,629,486,486,2,0,0,531,599,827,907
A101360,이엔드디,20181206,552,552,552,552,13000,0,0,549,612,837,911
A101360,이엔드디,20181205,551,629,551,551,4,0,0,538,623,844,914
A101360,이엔드디,20181204,593,593,516,550,2421,0,0,530,636,853,916
A101360,이엔드디,20181203,659,660,516,516,3026,0,0,540,651,860,918
A101360,이엔드디,20181130,515,575,515,575,2200,0,-2100,557,668,869,920
A101360,이엔드디,20181129,586,586,500,500,2,0,0,582,682,876,923
A101360,이엔드디,20181128,510,510,510,510,16067,0,0,605,695,885,925
A101360,이엔드디,20181127,600,600,600,600,0,0,0,626,712,894,926
A101360,이엔드디,20181126,600,600,600,600,1,0,0,629,724,903,927
A101360,이엔드디,20181123,699,699,699,699,8,0,0,632,733,911,928
A101360,이엔드디,20181122,615,615,615,615,0,0,0,599,741,920,929
A101360,이엔드디,20181121,615,615,615,615,0,0,0,602,752,929,931
A101360,이엔드디,20181120,615,615,615,615,0,0,0,627,764,936,932
A101360,이엔드디,20181119,607,615,607,615,1200,0,0,652,778,944,934
A101360,이엔드디,20181116,535,535,535,535,2108,0,0,677,799,950,936
A101360,이엔드디,20181115,629,848,629,629,4549,0,0,718,824,958,939
A101360,이엔드디,20181114,740,740,740,740,0,0,0,748,846,966,941
A101360,이엔드디,20181113,740,740,740,740,0,0,0,760,871,973,943
A101360,이엔드디,20181112,740,740,740,740,0,0,0,783,896,980,944
A101360,이엔드디,20181109,780,780,740,740,41,0,0,806,917,985,945
A101360,이엔드디,20181108,780,780,780,780,0,0,0,830,948,991,946
A101360,이엔드디,20181107,800,800,800,800,0,0,0,826,973,995,948
A101360,이엔드디,20181106,855,855,855,855,0,0,0,834,990,999,948
A101360,이엔드디,20181105,855,855,855,855,0,0,0,831,997,1002,948
A101360,이엔드디,20181102,860,860,860,860,1,0,0,818,998,1006,948
A101360,이엔드디,20181101,780,780,760,760,1770,0,0,816,994,1010,948
A101360,이엔드디,20181031,840,840,840,840,0,0,0,834,1002,1017,948
A101360,이엔드디,20181030,840,840,840,840,1,0,0,836,1001,1021,948
A101360,이엔드디,20181029,790,790,790,790,0,0,0,845,996,1023,948
A101360,이엔드디,20181026,850,850,850,850,0,0,0,895,999,1024,948
A101360,이엔드디,20181025,850,850,850,850,0,0,0,934,999,1025,949
A101360,이엔드디,20181024,850,850,850,850,0,0,0,976,1001,1026,949
A101360,이엔드디,20181023,885,885,885,885,0,0,0,1055,1004,1027,949
A101360,이엔드디,20181022,1040,1040,1040,1040,0,0,0,1127,1002,1026,949
A101360,이엔드디,20181019,1045,1045,1045,1045,0,0,0,1149,999,1025,947
A101360,이엔드디,20181018,1060,1060,1060,1060,0,0,0,1210,997,1021,945
A101360,이엔드디,20181017,1245,1245,1245,1245,0,0,0,1255,993,1017,943
A101360,이엔드디,20181016,1150,1245,1150,1245,2,0,0,1233,981,1010,939
A101360,이엔드디,20181015,1150,1150,1150,1150,0,0,0,1184,969,1003,936
A101360,이엔드디,20181012,1285,1470,1285,1350,3,0,0,1132,965,997,933
