stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A104540,코렌텍,20190129,6600,6600,6360,6580,4712,158308,0,6604,6480,6390,6705
A104540,코렌텍,20190128,6650,6660,6550,6600,3364,158628,0,6610,6456,6376,6712
A104540,코렌텍,20190125,6610,6630,6530,6620,7399,158626,0,6596,6430,6356,6719
A104540,코렌텍,20190124,6560,6600,6550,6590,2495,158626,0,6606,6396,6332,6725
A104540,코렌텍,20190123,6640,6650,6520,6630,7370,158627,0,6608,6365,6309,6732
A104540,코렌텍,20190122,6540,6690,6520,6610,2811,158923,0,6608,6331,6292,6738
A104540,코렌텍,20190121,6740,6740,6500,6530,11185,159033,246,6608,6308,6278,6741
A104540,코렌텍,20190118,6590,6680,6350,6670,17041,158807,0,6620,6292,6272,6748
A104540,코렌텍,20190117,6630,6640,6520,6600,2687,153520,0,6592,6262,6266,6755
A104540,코렌텍,20190116,6640,6640,6450,6630,4255,153973,849,6560,6241,6262,6764
A104540,코렌텍,20190115,6600,6630,6520,6610,7644,154618,0,6516,6214,6258,6774
A104540,코렌텍,20190114,6530,6620,6440,6590,4063,155195,0,6446,6189,6256,6784
A104540,코렌텍,20190111,6470,6590,6390,6530,7705,153962,0,6376,6170,6255,6796
A104540,코렌텍,20190110,6410,6480,6370,6440,2792,153738,0,6308,6150,6254,6808
A104540,코렌텍,20190109,6260,6440,6260,6410,9347,153414,162,6240,6136,6253,6821
A104540,코렌텍,20190108,6240,6390,6140,6260,10195,153161,0,6194,6132,6254,6832
A104540,코렌텍,20190107,6190,6290,6120,6240,7613,152717,0,6158,6132,6259,6843
A104540,코렌텍,20190104,6190,6190,5910,6190,11263,152408,0,6126,6150,6272,6855
A104540,코렌텍,20190103,6250,6250,6080,6100,4452,152732,0,6080,6176,6290,6866
A104540,코렌텍,20190102,6190,6200,6120,6180,6798,153346,0,6052,6206,6311,6875
A104540,코렌텍,20181228,5790,6270,5790,6080,3672,153270,0,6006,6232,6333,6883
A104540,코렌텍,20181227,5970,6130,5970,6080,3533,166409,0,6020,6265,6353,6892
A104540,코렌텍,20181226,5960,5960,5730,5960,5680,166225,0,6044,6298,6374,6903
A104540,코렌텍,20181224,5870,6050,5800,5960,7203,166988,0,6070,6336,6400,6916
A104540,코렌텍,20181221,5950,6170,5910,5950,11464,167352,0,6112,6372,6429,6931
A104540,코렌텍,20181220,6200,6200,6010,6150,1685,168569,0,6142,6408,6460,6947
A104540,코렌텍,20181219,6090,6300,6090,6200,4481,168797,0,6132,6432,6486,6962
A104540,코렌텍,20181218,5970,6170,5970,6090,2556,169095,0,6132,6452,6512,6977
A104540,코렌텍,20181217,5980,6170,5860,6170,8123,169221,0,6144,6475,6537,6993
A104540,코렌텍,20181214,6100,6100,5890,6100,6883,169770,0,6138,6487,6563,7008
A104540,코렌텍,20181213,6230,6330,6000,6100,5692,170024,0,6188,6503,6591,7024
A104540,코렌텍,20181212,6040,6300,6040,6200,5194,169849,0,6218,6508,6617,7042
A104540,코렌텍,20181211,6280,6280,6000,6150,5591,166897,0,6298,6507,6645,7055
A104540,코렌텍,20181210,6350,6390,6090,6140,4251,167055,0,6408,6508,6673,7072
A104540,코렌텍,20181207,6260,6360,6230,6350,4409,167445,0,6522,6513,6700,7094
A104540,코렌텍,20181206,6670,6670,6220,6250,8284,167688,-241,6592,6518,6724,7114
A104540,코렌텍,20181205,6600,6660,6490,6600,4933,168404,0,6690,6528,6748,7136
A104540,코렌텍,20181204,6710,6750,6520,6700,3037,168933,0,6718,6521,6764,7155
A104540,코렌텍,20181203,6700,6770,6610,6710,3703,169107,0,6722,6508,6776,7175
A104540,코렌텍,20181130,6740,6740,6600,6700,1486,168910,0,6718,6488,6787,7194
A104540,코렌텍,20181129,6750,6800,6660,6740,4144,168872,0,6710,6458,6797,7213
A104540,코렌텍,20181128,6750,6750,6660,6740,5193,169019,0,6688,6408,6806,7232
A104540,코렌텍,20181127,6720,6720,6540,6720,7502,169024,0,6662,6340,6814,7251
A104540,코렌텍,20181126,6660,6700,6480,6690,5127,169340,0,6626,6264,6822,7268
A104540,코렌텍,20181123,6780,6780,6550,6660,1318,170313,0,6570,6189,6827,7286
A104540,코렌텍,20181122,6600,6680,6530,6630,4981,170471,0,6522,6138,6834,7306
A104540,코렌텍,20181121,6520,6800,6320,6610,6092,171325,0,6438,6094,6840,7327
A104540,코렌텍,20181120,6300,6630,6300,6540,8011,172206,0,6350,6072,6843,7348
A104540,코렌텍,20181119,6420,6540,6410,6410,5023,171752,0,6276,6060,6848,7370
A104540,코렌텍,20181116,6400,6430,6200,6420,5548,172618,0,6242,6059,6854,7394
A104540,코렌텍,20181115,6030,6260,6020,6210,5985,173187,0,6246,6058,6859,7419
A104540,코렌텍,20181114,6030,6210,5950,6170,5291,173194,0,6298,6070,6870,7446
A104540,코렌텍,20181113,6240,6240,5990,6170,6951,173698,0,6354,6090,6887,7471
A104540,코렌텍,20181112,6420,6420,6220,6240,10132,173329,0,6410,6105,6904,7499
A104540,코렌텍,20181109,6470,6580,6340,6440,7318,175380,0,6420,6110,6921,7528
