stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A108670,LG하우시스,20190129,64400,66300,64300,66000,37806,1058687,7451,64500,59625,55500,60482
A108670,LG하우시스,20190128,63800,65000,63700,64800,25826,1054581,5039,63400,59155,55212,60505
A108670,LG하우시스,20190125,62900,64800,62600,64500,29884,1043564,14067,62400,58755,54932,60526
A108670,LG하우시스,20190124,63000,64100,62600,63600,30273,1027374,8294,61600,58385,54668,60542
A108670,LG하우시스,20190123,60100,63800,60100,63600,65172,1035866,22745,60700,58070,54418,60570
A108670,LG하우시스,20190122,60400,61000,60100,60500,20202,1024534,1458,59800,57795,54190,60614
A108670,LG하우시스,20190121,60600,60700,59200,59800,22137,1024759,-4535,59520,57640,54077,60669
A108670,LG하우시스,20190118,58800,60800,58800,60500,22988,1024918,2889,59520,57440,54038,60731
A108670,LG하우시스,20190117,58800,59700,58300,59100,22495,1024877,338,59220,57200,53977,60778
A108670,LG하우시스,20190116,58900,60300,58900,59100,27279,1025696,-1201,58960,57020,53972,60848
A108670,LG하우시스,20190115,59300,60500,58600,59100,30292,1028454,1358,58440,56820,53975,60914
A108670,LG하우시스,20190114,58400,60300,58300,59800,37554,1021828,9133,57880,56575,53977,60986
A108670,LG하우시스,20190111,57300,59500,56400,59000,31725,1004630,2394,57140,56345,53977,61058
A108670,LG하우시스,20190110,56700,57800,56100,57800,23865,1003654,-758,56520,56060,53982,61129
A108670,LG하우시스,20190109,56100,58200,56100,56500,34593,1000427,-6899,55840,55830,54045,61217
A108670,LG하우시스,20190108,57300,57300,56100,56300,9841,991771,2408,55760,55670,54125,61318
A108670,LG하우시스,20190107,56100,57300,55800,56100,20041,994307,364,55820,55535,54227,61407
A108670,LG하우시스,20190104,54900,56400,54000,55900,21292,990719,3569,55960,55435,54367,61508
A108670,LG하우시스,20190103,56100,56300,53800,54400,41566,959598,-11547,56200,55365,54538,61608
A108670,LG하우시스,20190102,56600,57100,55600,56100,12996,903940,-1622,56780,55355,54762,61721
A108670,LG하우시스,20181228,56800,57700,56600,56600,11882,898403,-1924,57180,55185,54960,61813
A108670,LG하우시스,20181227,56600,58300,56000,56800,23051,898743,-3104,57340,55030,55192,61900
A108670,LG하우시스,20181226,56000,57500,55900,57100,22837,894480,1590,57140,54890,55422,61986
A108670,LG하우시스,20181224,58000,58500,57300,57300,23151,898340,1395,56860,54730,55642,62077
A108670,LG하우시스,20181221,57900,58700,57200,58100,35982,901757,1405,56500,54515,55863,62178
A108670,LG하우시스,20181220,56000,59400,54900,57400,78796,905605,12536,55900,54245,56095,62273
A108670,LG하우시스,20181219,56200,56400,55300,55800,23232,901493,7073,55260,54000,56305,62372
A108670,LG하우시스,20181218,55800,55800,54300,55700,25905,901624,7598,55140,53885,56543,62502
A108670,LG하우시스,20181217,55500,55800,55000,55500,18068,906768,4183,54660,53715,56802,62641
A108670,LG하우시스,20181214,54200,55900,54200,55100,36198,906761,10408,54200,53585,57058,62773
A108670,LG하우시스,20181213,55000,55400,54200,54200,46539,902826,-14121,53840,53465,57353,62897
A108670,LG하우시스,20181212,53800,55600,53300,55200,29613,899168,6268,53720,53315,57648,63032
A108670,LG하우시스,20181211,52600,53900,52600,53300,16544,888429,4634,53500,53075,57933,63161
A108670,LG하우시스,20181210,52900,53400,52300,53200,16669,961707,3042,53740,52915,58262,63317
A108670,LG하우시스,20181207,53100,53900,52800,53300,12205,994081,42,53940,52805,58592,63494
A108670,LG하우시스,20181206,54600,54600,52800,53600,21068,1013207,2912,53820,52675,58838,63671
