stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A109070,컨버즈,20190129,4455,4485,4380,4385,50312,285792,0,4437,4647,5346,6802
A109070,컨버즈,20190128,4550,4640,4445,4455,114983,292655,-3,4469,4673,5373,6849
A109070,컨버즈,20190125,4495,4675,4410,4530,183990,290141,-877,4507,4680,5393,6895
A109070,컨버즈,20190124,4450,4450,4365,4380,115863,259613,877,4567,4683,5406,6942
A109070,컨버즈,20190123,4500,4620,4390,4435,89846,246615,0,4659,4714,5423,6989
A109070,컨버즈,20190122,4650,4710,4520,4545,100368,247330,-302,4717,4751,5463,7034
A109070,컨버즈,20190121,4840,4875,4625,4645,138325,255044,292,4753,4784,5506,7075
A109070,컨버즈,20190118,4950,5290,4670,4830,223338,273197,0,4771,4819,5558,7112
A109070,컨버즈,20190117,4745,4935,4665,4840,147983,303018,-1,4751,4846,5607,7148
A109070,컨버즈,20190116,4725,4735,4605,4725,70540,276168,-1,4709,4866,5654,7185
A109070,컨버즈,20190115,4795,4795,4500,4725,101891,279324,-55,4689,4890,5674,7219
A109070,컨버즈,20190114,4795,4795,4650,4735,82601,273629,-71,4678,4920,5693,7247
A109070,컨버즈,20190111,4690,4820,4610,4730,175265,272155,64,4686,4950,5714,7276
A109070,컨버즈,20190110,4645,4735,4570,4630,118859,263524,0,4690,4978,5734,7306
A109070,컨버즈,20190109,4665,4790,4565,4625,62914,226034,-7,4686,5010,5757,7343
A109070,컨버즈,20190108,4775,4805,4300,4670,133160,208301,-348,4746,5055,5781,7378
A109070,컨버즈,20190107,4795,4905,4735,4775,54263,208542,345,4792,5099,5807,7412
A109070,컨버즈,20190104,4610,4750,4545,4750,50807,212717,-53,4756,5150,5834,7447
A109070,컨버즈,20190103,4925,5030,4610,4610,73930,211698,5,4724,5211,5876,7478
A109070,컨버즈,20190102,4830,5100,4750,4925,103911,224499,7,4800,5286,5920,7509
A109070,컨버즈,20181228,4675,4960,4595,4900,132626,207254,3,4853,5348,5966,7536
A109070,컨버즈,20181227,4700,4800,4510,4595,63815,162305,59,4913,5410,6011,7567
A109070,컨버즈,20181226,4860,4960,4350,4590,252930,149832,20,5062,5473,6067,7597
A109070,컨버즈,20181224,5190,5220,4920,4990,132672,150821,0,5218,5532,6126,7624
A109070,컨버즈,20181221,5180,5320,5090,5190,104604,155571,-302,5268,5573,6182,7653
A109070,컨버즈,20181220,5380,5380,5060,5200,119885,152414,2,5274,5604,6231,7680
A109070,컨버즈,20181219,5370,5470,5210,5340,49336,157050,11,5298,5644,6278,7710
A109070,컨버즈,20181218,5160,5600,5160,5370,131777,160952,23,5294,5676,6326,7737
A109070,컨버즈,20181217,5120,5270,5100,5240,74433,152292,1,5280,5717,6376,7769
A109070,컨버즈,20181214,5220,5320,5040,5220,100440,145060,0,5288,5770,6433,7802
A109070,컨버즈,20181213,5390,5460,4990,5320,126699,144135,2,5348,5824,6493,7838
A109070,컨버즈,20181212,5220,5430,5220,5320,49059,143955,-11,5392,5862,6552,7877
A109070,컨버즈,20181211,5280,5420,5190,5300,72078,143380,-116,5486,5899,6611,7914
A109070,컨버즈,20181210,5490,5490,5220,5280,97540,145652,12,5622,5938,6674,7957
A109070,컨버즈,20181207,5540,5600,5420,5520,80977,151270,0,5788,5966,6734,8008
A109070,컨버즈,20181206,5750,5830,5410,5540,157056,152343,4,5916,5994,6792,8060
A109070,컨버즈,20181205,5900,5970,5670,5790,131283,166603,1,6038,6022,6849,8110
A109070,컨버즈,20181204,6050,6100,5900,5980,111839,199676,2,6050,6036,6910,8163
A109070,컨버즈,20181203,6130,6200,5850,6110,84953,196463,38,6010,6044,6971,8213
A109070,컨버즈,20181130,6210,6210,5970,6160,117152,190861,3,5948,6050,7031,8264
A109070,컨버즈,20181129,5860,6440,5740,6150,549386,193394,4,5876,6042,7087,8307
A109070,컨버즈,20181128,5800,5900,5660,5850,78579,156500,6,5846,6036,7143,8352
A109070,컨버즈,20181127,5900,5910,5640,5780,73119,158698,7,5876,6026,7206,8398
A109070,컨버즈,20181126,5700,5890,5630,5800,87379,164891,22,5956,6004,7275,8434
A109070,컨버즈,20181123,5950,6060,5700,5800,134834,157675,17,6056,5982,7339,8469
A109070,컨버즈,20181122,6000,6150,5940,6000,88715,154117,3,6158,6034,7399,8504
A109070,컨버즈,20181121,6140,6140,5930,6000,156342,157153,4,6172,6090,7465,8540
A109070,컨버즈,20181120,6130,6200,6020,6180,167969,171647,5,6184,6178,7531,8579
A109070,컨버즈,20181119,6650,6850,6150,6300,490172,152073,156,6164,6259,7584,8611
A109070,컨버즈,20181116,6130,6330,6050,6310,166675,186828,0,6070,6328,7627,8642
A109070,컨버즈,20181115,6000,6080,5930,6070,106259,183280,0,6026,6307,7672,8676
A109070,컨버즈,20181114,6080,6450,5910,6060,373143,183676,0,6034,6297,7720,8718
A109070,컨버즈,20181113,5560,6150,5410,6080,220736,182027,-28,6034,6293,7774,8759
A109070,컨버즈,20181112,6100,6130,5800,5830,122244,166140,0,6048,6287,7829,8805
A109070,컨버즈,20181109,6020,6130,5850,6090,180608,184017,7,6124,6294,7890,8846
A109070,컨버즈,20181108,6160,6200,6020,6110,196316,203185,23,6110,6295,7950,8882
A109070,컨버즈,20181107,6150,6270,5930,6060,156969,178012,0,6090,6300,8009,8916
A109070,컨버즈,20181106,6110,6340,5990,6150,137120,166401,0,6010,6316,8069,8946
A109070,컨버즈,20181105,6000,6360,5770,6210,247862,194060,0,5848,6372,8132,8977
A109070,컨버즈,20181102,5810,6150,5800,6020,201307,190698,-26,5676,6424,8199,9004
A109070,컨버즈,20181101,5720,6070,5450,6010,302178,194767,6,5842,6508,8258,9044
A109070,컨버즈,20181031,5590,5770,5170,5660,270188,156512,15,6064,6588,8325,9100
A109070,컨버즈,20181030,5020,5450,4895,5340,357574,172076,15,6482,6702,8397,9134
A109070,컨버즈,20181029,6570,6810,5350,5350,384646,142378,46,6976,6843,8477,9177
A109070,컨버즈,20181026,7300,7760,6600,6850,803555,130827,9,7440,6990,8556,9230
A109070,컨버즈,20181025,7580,7660,6830,7120,838148,137362,1,7250,7055,8605,9266
A109070,컨버즈,20181024,7650,7850,7340,7750,747697,146061,1,7000,7101,8645,9301
A109070,컨버즈,20181023,8330,8430,7290,7810,2606703,163325,8,6646,7126,8667,9343
A109070,컨버즈,20181022,5900,7670,5890,7670,2161271,207411,0,6276,7154,8688,9398
A109070,컨버즈,20181019,5870,5940,5610,5900,122087,345137,5,5938,7201,8715,9460
A109070,컨버즈,20181018,5990,6180,5750,5870,205748,353572,0,5978,7348,8764,9529
A109070,컨버즈,20181017,6150,6170,5810,5980,136207,347932,45,6046,7496,8801,9632
A109070,컨버즈,20181016,5910,6080,5800,5960,117240,365082,0,6128,7641,8838,9734
A109070,컨버즈,20181015,6170,6340,5900,5980,107552,353226,0,6386,7797,8878,9836
A109070,컨버즈,20181012,6210,6430,5930,6100,188988,330864,2,6642,7940,8929,9902
A109070,컨버즈,20181011,5880,6470,5370,6210,619416,289848,11,6960,8086,8975,9942
A109070,컨버즈,20181010,7070,7220,6390,6390,183586,175977,-2,7242,8224,9016,9984
A109070,컨버즈,20181008,7240,7550,7110,7250,102213,163657,5,7554,8378,9060,10023
A109070,컨버즈,20181005,7750,7750,7230,7260,142891,141658,245,7734,8496,9081,10069
A109070,컨버즈,20181004,7580,7970,7580,7690,87897,149710,0,7940,8618,9099,10109
A109070,컨버즈,20181002,7950,8000,7620,7620,133353,146300,0,8032,8711,9107,10145
A109070,컨버즈,20181001,8150,8150,7940,7950,85698,144075,0,8116,8806,9123,10159
A109070,컨버즈,20180928,8250,8290,7990,8150,121197,145739,28,8174,8891,9126,10152
A109070,컨버즈,20180927,8240,8370,8130,8290,110650,152365,-1,8218,8978,9122,10132
A109070,컨버즈,20180921,8010,8190,7790,8150,219524,162699,-2,8284,9046,9125,10112
A109070,컨버즈,20180920,8150,8340,8000,8040,206735,146526,-2,8424,9108,9130,10094
A109070,컨버즈,20180919,8350,8590,8150,8240,144047,136645,-10000,8582,9203,9142,10078
A109070,컨버즈,20180918,8500,8580,8230,8370,199331,147892,0,8708,9290,9147,10062
A109070,컨버즈,20180917,8740,8950,8500,8620,188605,138301,0,8850,9338,9162,10044
A109070,컨버즈,20180914,8960,8960,8700,8850,161069,143964,0,8896,9352,9172,10021
A109070,컨버즈,20180913,8880,9060,8700,8830,166797,141329,-220,8930,9360,9182,9995
A109070,컨버즈,20180912,9010,9150,8690,8870,309623,149225,-59,8958,9368,9202,9972
A109070,컨버즈,20180911,8900,9200,8800,9080,262122,162005,0,9074,9390,9216,9951
A109070,컨버즈,20180910,9020,9090,8810,8850,112602,128434,-3429,9184,9404,9240,9928
A109070,컨버즈,20180907,8960,9140,8700,9020,245308,140461,0,9354,9436,9282,9906
A109070,컨버즈,20180906,9450,9540,8700,8970,429217,128055,0,9458,9467,9329,9882
A109070,컨버즈,20180905,9630,9690,9370,9450,214523,138439,0,9566,9502,9372,9857
A109070,컨버즈,20180904,9800,9800,9620,9630,213084,154679,0,9608,9514,9416,9824
A109070,컨버즈,20180903,9790,9860,9630,9700,214834,125233,-759,9662,9528,9455,9788
A109070,컨버즈,20180831,9510,9710,9370,9540,196393,139737,0,9648,9554,9498,9753
A109070,컨버즈,20180830,9610,9760,9360,9510,220620,121891,-700,9622,9557,9527,9715
A109070,컨버즈,20180829,9910,9930,9550,9660,285370,129801,0,9706,9581,9560,9674
A109070,컨버즈,20180828,10000,10450,9800,9900,612638,131193,1459,9772,9598,9590,9631
A109070,컨버즈,20180827,9450,9930,9350,9630,237265,168031,0,9656,9610,9594,9586
A109070,컨버즈,20180824,10000,10000,9280,9410,439930,191985,0,9510,9632,9599,9544
A109070,컨버즈,20180823,10100,10350,9900,9930,294587,296871,0,9430,9652,9608,9502
A109070,컨버즈,20180822,9440,10500,9440,9990,1277890,327297,0,9242,9630,9614,9456
A109070,컨버즈,20180821,8810,9690,8810,9320,276172,194840,0,9104,9586,9626,9412
A109070,컨버즈,20180820,8920,9180,8890,8900,134290,177475,0,9114,9573,9639,9371
A109070,컨버즈,20180817,9000,9180,8910,9010,109549,209622,0,9234,9592,9657,9331
A109070,컨버즈,20180816,9250,9250,8800,8990,161289,196467,7773,9358,9582,9681,9288
A109070,컨버즈,20180814,9370,9540,9240,9300,88561,187283,0,9492,9538,9716,9247
A109070,컨버즈,20180813,9500,9580,9300,9370,116366,182942,0,9570,9483,9744,9204
A109070,컨버즈,20180810,9550,9750,9460,9500,112626,172448,0,9682,9434,9782,9161
A109070,컨버즈,20180809,9610,9990,9530,9630,98653,180693,0,9822,9411,9801,9117
A109070,컨버즈,20180808,9630,10000,9480,9660,164275,194919,0,9818,9371,9814,9072
A109070,컨버즈,20180807,9970,10200,9480,9690,255852,194420,31,9884,9324,9823,9027
A109070,컨버즈,20180806,10150,10250,9880,9930,150010,252928,0,9946,9288,9822,8980
A109070,컨버즈,20180803,9610,10900,9580,10200,684689,289607,0,9990,9217,9822,8931
A109070,컨버즈,20180802,9980,9990,9410,9610,195384,233800,0,9960,9124,9810,8878
A109070,컨버즈,20180801,10000,10200,9900,9990,166187,227599,0,10002,9053,9830,8831
A109070,컨버즈,20180731,10050,10250,9930,10000,149712,180133,0,9904,8983,9875,8780
A109070,컨버즈,20180730,10000,10350,9810,10150,229065,188110,0,9724,8890,9872,8730
A109070,컨버즈,20180727,9730,10450,9660,10050,463253,231112,0,9506,8778,9878,8678
A109070,컨버즈,20180726,9500,9820,9260,9820,287157,183112,0,9350,8698,9904,8626
A109070,컨버즈,20180725,9050,9520,8840,9500,229402,181038,0,9150,8629,9926,8576
A109070,컨버즈,20180724,9000,9430,8110,9100,333220,188970,0,8870,8594,9956,8526
A109070,컨버즈,20180723,9290,9500,9010,9060,317132,178250,0,8692,8565,10019,8481
A109070,컨버즈,20180720,8870,9740,8850,9270,908489,169653,0,8556,8574,10107,8435
A109070,컨버즈,20180719,8030,9090,7900,8820,443383,174307,0,8512,8572,10205,8388
A109070,컨버즈,20180718,8070,8200,7670,8100,284854,204507,0,8514,8605,10295,8344
A109070,컨버즈,20180717,8380,8380,8000,8210,193185,223412,0,8636,8700,10463,8306
A109070,컨버즈,20180716,8960,9150,8350,8380,316688,225794,0,8788,8776,10630,8266
A109070,컨버즈,20180713,8770,9200,8710,9050,196158,264362,0,8816,8882,10793,8225
A109070,컨버즈,20180712,8710,8990,8580,8830,141540,256356,0,8676,9000,10876,8179
A109070,컨버즈,20180711,8990,9050,8660,8710,158895,256313,0,8546,9148,10908,8131
A109070,컨버즈,20180710,8660,9470,8520,8970,452103,269640,0,8522,9290,10952,8085
A109070,컨버즈,20180709,8280,8670,8210,8520,135908,261572,0,8354,9446,10987,8036
A109070,컨버즈,20180706,8200,8470,7670,8350,304594,251078,0,8236,9620,11057,7991
A109070,컨버즈,20180705,8540,8680,8160,8180,174981,252519,0,8254,9816,11119,7949
A109070,컨버즈,20180704,8040,8690,7950,8590,263659,271891,0,8306,9972,11183,7909
A109070,컨버즈,20180703,8200,8280,7640,8130,245074,250073,0,8348,10117,11195,7868
A109070,컨버즈,20180702,8440,8800,7800,7930,260218,201831,0,8426,10283,11178,7832
A109070,컨버즈,20180629,8300,8600,8140,8440,181124,218354,0,8686,10392,11141,7798
A109070,컨버즈,20180628,8600,8940,8410,8440,167584,163196,0,8846,10468,11098,7759
A109070,컨버즈,20180627,8400,9230,8320,8800,720817,145286,0,9054,10544,11057,7718
A109070,컨버즈,20180626,9010,9150,8350,8520,590514,162103,0,9294,10619,11014,7674
A109070,컨버즈,20180625,9240,9490,8950,9230,171381,192082,0,9536,10728,10977,7632
A109070,컨버즈,20180622,9350,9770,9170,9240,309751,176982,0,9790,10772,10926,7586
A109070,컨버즈,20180621,9960,10250,9480,9480,282196,155534,227,10222,10807,10870,7540
A109070,컨버즈,20180620,9700,10350,9700,10000,312762,204885,0,10686,10856,10808,7494
A109070,컨버즈,20180619,10550,10550,9660,9730,482033,171774,5003,10996,10910,10743,7444
A109070,컨버즈,20180618,11350,11400,10250,10500,660582,164276,1879,11470,10974,10685,7397
A109070,컨버즈,20180615,12200,12400,11150,11400,665776,172707,0,11770,11029,10615,7342
A109070,컨버즈,20180614,11550,12000,11000,11800,381989,163983,0,11940,10992,10530,7279
A109070,컨버즈,20180612,12100,12450,11000,11550,644301,163017,0,11840,10922,10436,7214
A109070,컨버즈,20180611,12250,12650,11750,12100,549564,155762,0,11830,10856,10343,7152
A109070,컨버즈,20180608,12500,13250,11650,12000,2036542,152468,1493,11700,10732,10233,7086
A109070,컨버즈,20180607,11450,12250,11350,12250,1464556,207632,0,11320,10628,10120,7022
A109070,컨버즈,20180605,11850,12100,10900,11300,943015,213962,0,10866,10490,10007,6955
A109070,컨버즈,20180604,11550,12450,11100,11500,1565132,242139,0,10596,10466,9902,6895
A109070,컨버즈,20180601,10100,11950,9980,11450,2852786,323141,0,10356,10526,9788,6834
A109070,컨버즈,20180531,10000,10250,9750,10100,454711,110941,5000,10206,10442,9671,6774
A109070,컨버즈,20180530,9850,10350,9850,9980,606096,144314,0,10206,10462,9578,6727
A109070,컨버즈,20180529,10450,10450,9800,9950,637277,114897,0,10200,10546,9489,6679
A109070,컨버즈,20180528,10750,10750,10000,10300,817524,130985,0,10300,10606,9396,6630
A109070,컨버즈,20180525,10100,11650,10000,10700,1860065,111819,0,10460,10656,9298,6577
A109070,컨버즈,20180524,9950,10450,9680,10100,534331,162166,0,10520,10764,9198,6516
A109070,컨버즈,20180523,10600,10700,9920,9950,554213,119973,0,10820,10976,9103,6460
A109070,컨버즈,20180521,11200,11300,10400,10450,496528,126407,0,10960,11236,9005,6404
A109070,컨버즈,20180518,11100,11800,10900,11100,798666,128530,0,10950,11424,8895,6344
A109070,컨버즈,20180517,11500,11600,10900,11000,845025,129927,0,10780,11778,8777,6277
A109070,컨버즈,20180516,10650,11900,10650,11600,1920287,117352,0,10502,12138,8665,6212
A109070,컨버즈,20180515,10700,11600,10500,10650,1682446,136716,0,10164,12468,8541,6142
A109070,컨버즈,20180514,10250,10850,9650,10400,917592,131883,0,9936,12636,8434,6079
A109070,컨버즈,20180511,9710,11350,9530,10250,2262569,154319,0,10016,12656,8331,6019
A109070,컨버즈,20180510,9800,9880,9340,9610,813068,195445,0,10506,12708,8230,5961
A109070,컨버즈,20180509,9630,9990,8920,9910,1456626,158662,0,10542,12783,8139,5908
A109070,컨버즈,20180508,10950,11150,9510,9510,1553701,145318,0,10660,12922,8040,5851
A109070,컨버즈,20180504,13100,13300,10800,10800,3493150,149530,0,11088,13052,7946,5797
A109070,컨버즈,20180503,9780,12700,9700,12700,7511962,135144,-1500,11158,13112,7831,5732
A109070,컨버즈,20180502,9850,10500,9410,9790,2613562,312722,0,10878,12942,7685,5652
A109070,컨버즈,20180430,11450,11600,10250,10500,1540176,116409,0,11490,12810,7588,5596
A109070,컨버즈,20180427,11100,11650,10650,11650,1951642,120908,0,12260,12569,7479,5534
A109070,컨버즈,20180426,11300,11750,10700,11150,2209685,132563,0,12960,12280,7348,5464
