stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A109610,에스와이패널,20190129,6240,6380,6030,6080,455587,146793,-21676,6176,5868,5760,6087
A109610,에스와이패널,20190128,6160,6190,6010,6110,155840,214148,-20754,6204,5848,5742,6091
A109610,에스와이패널,20190125,6170,6210,6050,6150,150586,196731,-45966,6220,5827,5721,6093
A109610,에스와이패널,20190124,6470,6470,6140,6160,276825,175249,-22481,6258,5798,5698,6096
A109610,에스와이패널,20190123,6180,6400,6180,6380,241753,264045,25413,6290,5780,5672,6098
A109610,에스와이패널,20190122,6260,6320,6130,6220,226449,246923,-1706,6256,5754,5650,6099
A109610,에스와이패널,20190121,6370,6370,6170,6190,213636,158982,-22936,6164,5741,5634,6098
A109610,에스와이패널,20190118,6290,6470,6160,6340,433873,155096,-1011,6086,5726,5623,6098
A109610,에스와이패널,20190117,6240,6380,6100,6320,533698,146898,-5615,5938,5707,5611,6094
A109610,에스와이패널,20190116,5850,6550,5780,6210,2092914,140936,23809,5776,5687,5603,6092
A109610,에스와이패널,20190115,5850,5880,5680,5760,174646,152984,-26,5628,5674,5599,6091
A109610,에스와이패널,20190114,5790,6060,5640,5800,498800,158895,-2221,5566,5674,5604,6095
A109610,에스와이패널,20190111,5590,5610,5470,5600,105911,194408,-799,5480,5670,5609,6100
A109610,에스와이패널,20190110,5560,5710,5480,5510,138091,169364,-1200,5420,5682,5616,6108
A109610,에스와이패널,20190109,5440,5520,5410,5470,104104,180849,-1400,5382,5710,5616,6118
A109610,에스와이패널,20190108,5440,5520,5350,5450,136310,161213,-3180,5410,5752,5617,6126
A109610,에스와이패널,20190107,5380,5480,5250,5370,131274,137265,-100,5456,5777,5618,6136
A109610,에스와이패널,20190104,5150,5340,5100,5300,159387,127326,0,5522,5826,5626,6144
A109610,에스와이패널,20190103,5610,5690,5250,5320,349647,285190,0,5576,5866,5644,6152
A109610,에스와이패널,20190102,5800,5880,5570,5610,104978,287669,0,5672,5890,5662,6163
A109610,에스와이패널,20181228,5700,5780,5640,5680,50771,292445,0,5722,5878,5679,6168
A109610,에스와이패널,20181227,5600,5760,5600,5700,83454,287358,0,5778,5868,5696,6175
A109610,에스와이패널,20181226,5720,5740,5400,5570,123039,270458,0,5816,5863,5716,6181
A109610,에스와이패널,20181224,5930,5990,5780,5800,86993,268137,0,5894,5870,5739,6187
A109610,에스와이패널,20181221,6010,6120,5810,5860,183358,266559,0,5918,5860,5761,6194
A109610,에스와이패널,20181220,5850,6110,5810,5960,132685,289416,0,5934,5846,5783,6200
