stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A112190,KC산업,20190129,2800,3300,2465,3300,13828,0,0,2934,2708,2889,3032
A112190,KC산업,20190128,2895,2895,2600,2890,64,0,0,2811,2668,2882,3023
A112190,KC산업,20190125,2900,2900,2600,2895,12,0,0,2772,2650,2881,3016
A112190,KC산업,20190124,2905,2905,2700,2900,76,0,0,2732,2645,2886,3009
A112190,KC산업,20190123,2685,2685,2685,2685,1511,0,0,2651,2625,2888,3003
A112190,KC산업,20190122,2685,2685,2685,2685,1,0,0,2571,2630,2901,3000
A112190,KC산업,20190121,2695,2695,2695,2695,1,0,0,2571,2634,2920,2996
A112190,KC산업,20190118,2800,2800,2400,2695,10033,0,0,2570,2649,2938,2992
A112190,KC산업,20190117,2430,2495,2400,2495,6234,0,0,2570,2650,2963,2989
A112190,KC산업,20190116,2695,2695,2285,2285,12913,0,0,2590,2667,2985,2988
A112190,KC산업,20190115,2685,2685,2685,2685,1,0,0,2668,2719,3014,2988
A112190,KC산업,20190114,2690,2690,2690,2690,6000,0,0,2660,2752,3030,2984
A112190,KC산업,20190111,2695,2695,2695,2695,1,0,0,2661,2797,3057,2982
A112190,KC산업,20190110,2695,2695,2595,2595,7280,0,0,2641,2852,3083,2977
A112190,KC산업,20190109,2680,2680,2675,2675,6,0,0,2661,2901,3110,2974
A112190,KC산업,20190108,2695,2695,2450,2645,15410,0,0,2661,2922,3130,2971
A112190,KC산업,20190107,2695,2695,2695,2695,1,0,0,2632,2944,3160,2971
A112190,KC산업,20190104,2680,2685,2450,2595,23301,0,0,2595,2952,3186,2968
A112190,KC산업,20190103,2695,2695,2695,2695,1,0,0,2636,2967,3213,2966
A112190,KC산업,20190102,2695,2695,2675,2675,11315,0,0,2597,2982,3235,2963
A112190,KC산업,20181228,2795,2795,2500,2500,102,0,0,2618,2989,3260,2960
A112190,KC산업,20181227,2510,2510,2510,2510,1946,0,400,2675,3011,3289,2959
A112190,KC산업,20181226,2800,2800,2800,2800,1,0,0,2771,3030,3316,2956
A112190,KC산업,20181224,2500,2500,2500,2500,1,0,0,2751,3035,3329,2953
A112190,KC산업,20181221,2780,2780,2780,2780,40,0,0,2819,3070,3349,2952
A112190,KC산업,20181220,2550,2890,2545,2785,6381,0,0,2929,3071,3363,2948
A112190,KC산업,20181219,2800,2990,2560,2990,18835,0,0,3042,3071,3372,2941
A112190,KC산업,20181218,3190,3190,2700,2700,18030,0,0,3162,3056,3371,2936
A112190,KC산업,20181217,2840,3400,2840,2840,16368,0,0,3382,3072,3377,2935
A112190,KC산업,20181214,3340,3340,2850,3330,16501,0,0,3526,3090,3375,2933
A112190,KC산업,20181213,3490,3490,3055,3350,18589,0,0,3480,3073,3368,2928
A112190,KC산업,20181212,3400,3590,3230,3590,20330,0,0,3428,3060,3357,2922
A112190,KC산업,20181211,3800,3810,3030,3800,15021,0,0,3280,3031,3342,2914
A112190,KC산업,20181210,3500,3560,3000,3560,13366,0,0,3100,2996,3329,2903
A112190,KC산업,20181207,3085,3100,3085,3100,9910,0,0,2988,2976,3320,2896
A112190,KC산업,20181206,3270,3270,2900,3090,16330,0,0,2928,2971,3316,2893
A112190,KC산업,20181205,2850,2850,2840,2850,8720,0,0,2900,2979,3309,2889
A112190,KC산업,20181204,2900,2900,2890,2900,6321,0,0,2908,3001,3306,2889
A112190,KC산업,20181203,3000,3000,3000,3000,1,0,0,2908,3000,3305,2886
A112190,KC산업,20181130,2950,2950,2800,2800,11,0,0,2948,2975,3303,2883
A112190,KC산업,20181129,3000,3200,2900,2950,8970,0,0,2946,2970,3305,2881
A112190,KC산업,20181128,2890,2890,2890,2890,2810,0,0,2914,2967,3302,2880
A112190,KC산업,20181127,3500,3500,2730,2900,7560,0,0,2876,2963,3300,2879
A112190,KC산업,20181126,2900,3200,2550,3200,9450,0,0,2896,2978,3296,2878
A112190,KC산업,20181123,2790,2790,2780,2790,4440,0,0,2896,2968,3287,2877
A112190,KC산업,20181122,2790,2790,2790,2790,2790,0,0,2938,3003,3285,2876
A112190,KC산업,20181121,2700,2700,2560,2700,5242,0,0,3000,3054,3282,2877
A112190,KC산업,20181120,3200,3200,2730,3000,3231,0,0,3060,3109,3283,2876
A112190,KC산업,20181119,3200,3200,3200,3200,2511,0,0,3081,3169,3280,2874
A112190,KC산업,20181116,2700,3000,2700,3000,2511,0,0,3071,3199,3277,2872
A112190,KC산업,20181115,2900,3100,2800,3100,78,0,0,3071,3249,3274,2868
A112190,KC산업,20181114,3000,3000,3000,3000,1,0,0,3101,3276,3267,2865
A112190,KC산업,20181113,2890,3105,2890,3105,5611,0,0,3161,3342,3265,2862
A112190,KC산업,20181112,2700,3150,2700,3150,31,0,0,3115,3401,3258,2859
A112190,KC산업,20181109,3000,3000,3000,3000,10,0,0,2985,3454,3246,2855
A112190,KC산업,20181108,3300,3300,2810,3250,1573,0,0,2924,3499,3236,2854
A112190,KC산업,20181107,3305,3305,3200,3300,49010,0,0,2854,3556,3218,2852
A112190,KC산업,20181106,2695,2875,2695,2875,59010,0,0,2754,3606,3200,2846
A112190,KC산업,20181105,2570,2570,2500,2500,1530,0,390,2819,3672,3188,2846
A112190,KC산업,20181102,2900,2900,2465,2695,18936,0,0,2919,3748,3183,2850
A112190,KC산업,20181101,2900,2900,2900,2900,1,0,0,3080,3823,3175,2850
A112190,KC산업,20181031,2800,2800,2800,2800,5,0,0,3260,3888,3163,2849
A112190,KC산업,20181030,2700,3200,2550,3200,542,0,0,3460,3955,3152,2848
A112190,KC산업,20181029,3600,3600,3000,3000,351,0,0,3660,3975,3133,2842
A112190,KC산업,20181026,3500,3500,3500,3500,100,0,0,3820,4010,3118,2838
A112190,KC산업,20181025,3500,3800,3500,3800,21,0,0,3920,4015,3098,2830
A112190,KC산업,20181024,3800,3800,3800,3800,1,0,0,3891,3992,3072,2820
A112190,KC산업,20181023,3800,4200,3500,4200,12081,0,0,3991,3946,3046,2809
A112190,KC산업,20181022,3800,4100,3400,3800,76,0,0,4011,3892,3014,2795
A112190,KC산업,20181019,3900,4000,3300,4000,92,0,0,4091,3837,2990,2784
A112190,KC산업,20181018,3655,3655,3655,3655,10,0,0,4071,3782,2962,2772
A112190,KC산업,20181017,3700,4300,3700,4300,51,0,0,4220,3734,2939,2763
A112190,KC산업,20181016,3600,4300,3600,4300,61,0,0,4220,3654,2907,2747
A112190,KC산업,20181015,3900,4200,3320,4200,71,0,0,4200,3589,2872,2734
A112190,KC산업,20181012,3900,3900,3740,3900,22,0,0,4160,3529,2838,2722
A112190,KC산업,20181011,3900,4400,3900,4400,31,0,0,4220,3479,2811,2713
A112190,KC산업,20181010,3900,4300,3800,4300,51,0,0,4180,3392,2783,2699
A112190,KC산업,20181008,3400,4200,3400,4200,81,0,0,4148,3309,2750,2687
A112190,KC산업,20181005,3900,4000,3600,4000,41,0,0,4028,3242,2718,2675
A112190,KC산업,20181004,3700,4200,3700,4200,51,0,0,3968,3186,2690,2664
A112190,KC산업,20181002,4000,4200,3520,4200,61,0,0,3848,3122,2659,2652
A112190,KC산업,20181001,3700,4140,3100,4140,81,0,0,3675,3051,2629,2640
A112190,KC산업,20180928,3200,3600,3200,3600,25,0,0,3427,2984,2597,2629
A112190,KC산업,20180927,3200,3700,3100,3700,51,0,0,3328,2936,2576,2622
A112190,KC산업,20180921,2900,3600,2840,3600,61,0,0,3128,2883,2555,2614
A112190,KC산업,20180920,2800,3335,2700,3335,51,0,0,2988,2838,2533,2607
A112190,KC산업,20180919,2900,2900,2900,2900,10,0,0,2861,2801,2510,2603
A112190,KC산업,20180918,2500,3105,2500,3105,47081,0,0,2821,2794,2501,2602
A112190,KC산업,20180917,2500,2700,2500,2700,2319,0,-338,2800,2781,2492,2599
A112190,KC산업,20180914,2900,2900,2900,2900,1,0,0,2860,2796,2492,2599
A112190,KC산업,20180913,3000,3000,2700,2700,11,0,-10,2860,2790,2487,2598
A112190,KC산업,20180912,2700,2700,2700,2700,1,0,0,2850,2790,2486,2600
A112190,KC산업,20180911,2700,3000,2700,3000,2,0,0,2840,2800,2486,2603
A112190,KC산업,20180910,3000,3000,3000,3000,2,0,0,2810,2785,2478,2601
A112190,KC산업,20180907,2900,2900,2900,2900,1,0,0,2790,2755,2473,2599
A112190,KC산업,20180906,2650,2650,2650,2650,798,0,0,2790,2730,2469,2598
A112190,KC산업,20180905,2650,2650,2650,2650,523,0,0,2818,2707,2470,2600
A112190,KC산업,20180904,2850,2850,2850,2850,1,0,0,2848,2683,2472,2602
A112190,KC산업,20180903,2600,2900,2600,2900,102,0,0,2805,2650,2467,2603
A112190,KC산업,20180831,2900,2900,2900,2900,1,0,0,2754,2616,2462,2603
A112190,KC산업,20180830,2790,2790,2790,2790,1,0,0,2713,2580,2457,2604
A112190,KC산업,20180829,2630,2800,2630,2800,221,0,0,2675,2551,2457,2605
A112190,KC산업,20180828,2410,2635,2410,2635,200,0,0,2665,2516,2457,2607
A112190,KC산업,20180827,2415,2645,2415,2645,1400,0,0,2708,2488,2461,2610
A112190,KC산업,20180824,2650,2695,2370,2695,6210,0,0,2778,2461,2467,2612
A112190,KC산업,20180823,2700,2700,2600,2600,1010,0,0,2799,2441,2466,2615
A112190,KC산업,20180822,2750,2750,2750,2750,2000,0,0,2818,2424,2471,2618
A112190,KC산업,20180821,2700,2850,2700,2850,410,0,0,2848,2399,2470,2621
A112190,KC산업,20180820,2600,2995,2600,2995,50,0,0,2818,2370,2467,2626
A112190,KC산업,20180817,2600,2800,2600,2800,80,0,0,2699,2338,2467,2626
A112190,KC산업,20180816,2700,2795,2500,2695,1824,0,0,2617,2313,2463,2626
A112190,KC산업,20180814,2800,2900,2800,2900,20,0,0,2516,2293,2463,2628
A112190,KC산업,20180813,2375,2700,2375,2700,4298,0,0,2372,2266,2459,2629
