stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A112240,에스에프씨,20190129,3080,3115,2980,2995,696848,878968,-3,3016,3044,3396,4119
A112240,에스에프씨,20190128,3025,3160,3000,3095,921813,1041476,-3,3009,3040,3409,4143
A112240,에스에프씨,20190125,3070,3120,2980,3000,789912,884679,-4,2989,3024,3418,4164
A112240,에스에프씨,20190124,2985,3080,2935,3040,567744,851906,-5,3004,3006,3427,4188
A112240,에스에프씨,20190123,2970,3040,2915,2950,386883,734754,-7,3056,2995,3431,4211
A112240,에스에프씨,20190122,3010,3060,2935,2960,461195,684665,-9,3086,2998,3452,4232
A112240,에스에프씨,20190121,3100,3105,2970,2995,797609,670365,-12,3118,3002,3478,4249
A112240,에스에프씨,20190118,3235,3290,3070,3075,1228676,717826,-16,3124,3002,3505,4264
A112240,에스에프씨,20190117,3095,3375,3095,3300,2428951,977916,0,3138,3001,3530,4278
A112240,에스에프씨,20190116,3100,3155,3085,3100,324002,902780,0,3094,2990,3554,4291
A112240,에스에프씨,20190115,3035,3155,3035,3120,519420,891804,0,3093,2996,3581,4305
A112240,에스에프씨,20190114,3145,3160,3020,3025,598433,779003,150,3069,3008,3603,4320
A112240,에스에프씨,20190111,3095,3205,3065,3145,1145979,908724,186,3061,3027,3625,4337
A112240,에스에프씨,20190110,3115,3115,3030,3080,417049,935581,0,3030,3039,3641,4353
A112240,에스에프씨,20190109,2990,3200,2990,3095,906534,948487,0,3002,3055,3657,4369
A112240,에스에프씨,20190108,2985,3025,2970,3000,273757,917403,0,2983,3069,3676,4385
A112240,에스에프씨,20190107,3045,3060,2965,2985,317553,890132,0,2964,3088,3692,4402
A112240,에스에프씨,20190104,2950,3050,2800,2990,400418,888252,0,2923,3124,3716,4421
A112240,에스에프씨,20190103,3200,3200,2890,2940,697083,886122,0,2854,3168,3744,4439
A112240,에스에프씨,20190102,2995,3090,2950,3000,702680,1090417,0,2827,3222,3775,4459
A112240,에스에프씨,20181228,2780,2925,2780,2905,485045,1167261,2,2830,3265,3804,4478
A112240,에스에프씨,20181227,2460,2815,2460,2780,1692576,1076627,5000,2855,3312,3836,4498
A112240,에스에프씨,20181226,2775,2820,2640,2645,628282,719340,0,2900,3367,3870,4519
A112240,에스에프씨,20181224,3005,3005,2730,2805,1109086,642234,0,2983,3428,3907,4542
A112240,에스에프씨,20181221,3170,3240,2975,3015,829129,497143,0,3037,3473,3943,4565
A112240,에스에프씨,20181220,3100,3245,2995,3030,1065116,521630,0,3076,3505,3975,4587
A112240,에스에프씨,20181219,3130,3145,2995,3005,514506,650254,-7848,3146,3543,4008,4609
A112240,에스에프씨,20181218,3000,3145,2905,3060,334816,655724,0,3225,3589,4039,4634
A112240,에스에프씨,20181217,3210,3235,3020,3075,508012,572071,0,3288,3639,4073,4658
A112240,에스에프씨,20181214,3395,3420,3175,3210,430926,518142,0,3355,3679,4110,4682
A112240,에스에프씨,20181213,3400,3520,3370,3380,455217,549962,0,3387,3710,4146,4704
A112240,에스에프씨,20181212,3365,3450,3365,3400,319882,502408,-52885,3389,3717,4179,4724
A112240,에스에프씨,20181211,3440,3585,3335,3375,385575,477081,-3491,3449,3728,4205,4738
A112240,에스에프씨,20181210,3295,3615,3290,3410,540008,485284,-14561,3546,3744,4233,4752
A112240,에스에프씨,20181207,3400,3490,3315,3370,506149,493124,-52146,3671,3755,4258,4769
A112240,에스에프씨,20181206,3730,3770,3390,3390,869470,451312,-105171,3767,3792,4289,4788
A112240,에스에프씨,20181205,3775,3860,3675,3700,668762,460719,20098,3859,3830,4323,4805
A112240,에스에프씨,20181204,4025,4060,3810,3860,686198,552451,0,3895,3856,4352,4821
A112240,에스에프씨,20181203,3875,4075,3870,4035,1054929,682508,13078,3895,3870,4380,4838
A112240,에스에프씨,20181130,3850,3950,3800,3850,308491,559245,7060,3830,3870,4399,4853
A112240,에스에프씨,20181129,3940,4040,3830,3850,686161,561962,63500,3790,3878,4416,4867
A112240,에스에프씨,20181128,3895,4030,3850,3880,849039,541554,64201,3778,3874,4432,4881
A112240,에스에프씨,20181127,3710,3920,3665,3860,592060,533770,65223,3788,3862,4447,4894
A112240,에스에프씨,20181126,3730,3940,3670,3710,748848,406035,0,3826,3845,4464,4904
A112240,에스에프씨,20181123,3790,3870,3615,3650,394870,429406,0,3859,3825,4484,4922
A112240,에스에프씨,20181122,4100,4130,3770,3790,921556,403146,0,3894,3853,4506,4943
A112240,에스에프씨,20181121,4025,4105,3850,3930,708298,595382,0,3842,3889,4526,4964
A112240,에스에프씨,20181120,3795,4050,3750,4050,660783,770682,0,3778,3925,4543,4985
A112240,에스에프씨,20181119,3865,4005,3855,3875,471822,695081,-1,3708,3949,4560,4995
A112240,에스에프씨,20181116,3560,3915,3560,3825,892332,711023,0,3660,3994,4577,5008
A112240,에스에프씨,20181115,3600,3705,3500,3530,335445,603213,-1,3719,4038,4596,5024
A112240,에스에프씨,20181114,3690,3750,3545,3610,495065,650021,-7060,3843,4085,4619,5045
A112240,에스에프씨,20181113,3480,3755,3420,3700,734309,637883,0,3961,4119,4643,5068
A112240,에스에프씨,20181112,4040,4110,3635,3635,744627,513696,0,4049,4140,4664,5089
A112240,에스에프씨,20181109,4095,4165,4010,4120,428920,532524,0,4131,4162,4690,5116
A112240,에스에프씨,20181108,4230,4295,4085,4150,693794,475122,0,4107,4167,4710,5145
A112240,에스에프씨,20181107,4145,4280,3910,4200,616217,499290,0,4031,4158,4729,5183
A112240,에스에프씨,20181106,4100,4300,4000,4140,667023,545070,0,3922,4170,4755,5219
A112240,에스에프씨,20181105,3970,4175,3890,4045,574710,533319,0,3798,4194,4782,5252
