stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A114090,GKL,20190129,24950,25300,24900,25100,111933,7085127,6536,25440,24970,24732,24348
A114090,GKL,20190128,25350,25650,24950,25100,173205,7070403,-44225,25440,24960,24684,24352
A114090,GKL,20190125,25350,25700,25150,25500,147107,7059945,5752,25460,24945,24637,24348
A114090,GKL,20190124,25650,25950,25500,25550,104295,7078290,17437,25430,24910,24575,24339
A114090,GKL,20190123,25450,26200,25250,25950,219481,7103626,61822,25280,24880,24517,24327
A114090,GKL,20190122,25250,25450,25000,25100,137657,7170499,39456,25090,24858,24472,24313
A114090,GKL,20190121,25400,25700,25200,25200,114285,7202649,46731,25070,24900,24442,24307
A114090,GKL,20190118,24850,25550,24850,25350,193687,7174380,81437,25040,24940,24422,24300
A114090,GKL,20190117,25350,25350,24700,24800,140589,7196172,7662,25010,24998,24398,24290
A114090,GKL,20190116,24900,25350,24850,25000,162153,7195887,25762,24980,25082,24393,24283
A114090,GKL,20190115,25500,25500,24850,25000,153243,7199317,44964,24890,25152,24380,24274
A114090,GKL,20190114,24950,25650,24950,25050,206894,7233471,17495,24690,25222,24363,24270
A114090,GKL,20190111,24650,25500,24500,25200,230792,7242860,108446,24660,25320,24340,24267
A114090,GKL,20190110,24350,24750,24250,24650,140229,7320298,41828,24670,25392,24315,24262
A114090,GKL,20190109,24000,25000,23900,24550,169927,7363328,75268,24580,25488,24284,24265
A114090,GKL,20190108,25050,25050,23850,24000,241870,7386479,-69026,24460,25575,24239,24272
A114090,GKL,20190107,25350,26000,24900,24900,305156,7398014,21243,24640,25635,24200,24282
A114090,GKL,20190104,23900,25650,23900,25250,490179,7426858,95075,24620,25645,24165,24285
A114090,GKL,20190103,23850,24600,23800,24200,139720,7449212,13876,24530,25638,24133,24277
A114090,GKL,20190102,24650,24850,23700,23950,220726,7328998,-22439,24680,25688,24122,24280
A114090,GKL,20181228,24800,25400,24600,24900,156444,7304147,32964,24990,25765,24116,24290
A114090,GKL,20181227,24550,25200,24200,24800,195663,7388260,-10795,25200,25778,24099,24293
A114090,GKL,20181226,24950,25200,24550,24800,211216,7385729,15998,25440,25792,24099,24296
A114090,GKL,20181224,25700,25750,24800,24950,275380,7506507,-125670,25780,25808,24102,24301
A114090,GKL,20181221,26000,26200,25100,25500,278802,7428283,-94088,26090,25828,24102,24310
A114090,GKL,20181220,26100,26200,25650,25950,207437,7362194,-1021,26270,25758,24088,24314
A114090,GKL,20181219,26750,26800,26000,26000,200707,7328061,-80728,26360,25655,24075,24315
A114090,GKL,20181218,26750,27000,26050,26500,189258,7263417,7563,26560,25548,24059,24318
A114090,GKL,20181217,26450,27100,26400,26500,145526,7255666,4276,26590,25405,24044,24318
A114090,GKL,20181214,26300,26700,26250,26400,195155,7225660,17781,26600,25255,24028,24313
A114090,GKL,20181213,27100,27350,26250,26400,447073,7193724,-89869,26580,25105,24002,24305
A114090,GKL,20181212,26650,27100,26550,27000,269081,7128902,60759,26340,24952,23967,24308
A114090,GKL,20181211,26550,26900,26200,26650,300388,7137024,133837,25960,24715,23912,24302
A114090,GKL,20181210,26000,26800,25600,26550,531888,7177366,190349,25650,24495,23858,24304
A114090,GKL,20181207,25550,26450,25050,26300,490530,7256592,221676,25380,24265,23805,24309
A114090,GKL,20181206,25250,26350,24700,25200,505484,7292075,87920,25220,24050,23763,24321
A114090,GKL,20181205,24950,25500,24900,25100,246050,7245675,66791,25210,23932,23739,24354
A114090,GKL,20181204,25350,25350,25000,25100,186479,7219442,18931,25210,23810,23724,24388
A114090,GKL,20181203,25500,25700,25050,25200,161715,7219032,18889,25210,23700,23712,24408
A114090,GKL,20181130,25150,25600,24800,25500,198994,7211762,62043,25240,23580,23697,24429
A114090,GKL,20181129,25150,25350,24800,25150,142778,7217414,-2982,24960,23462,23674,24455
A114090,GKL,20181128,25050,25200,24650,25100,110493,7206350,29273,24710,23315,23656,24469
A114090,GKL,20181127,25300,25350,24900,25100,197322,7149569,46078,24460,23172,23640,24483
A114090,GKL,20181126,24100,25400,24100,25350,501151,7173426,174367,24170,23008,23625,24502
A114090,GKL,20181123,23950,24300,23850,24100,156031,7124821,87344,23800,22842,23602,24520
A114090,GKL,20181122,23650,24400,23550,23900,207984,7166263,88648,23660,22800,23608,24548
A114090,GKL,20181121,23200,24000,23100,23850,153097,7204853,81786,23550,22770,23618,24579
A114090,GKL,20181120,23350,23750,23250,23650,130329,7241442,72209,23230,22778,23628,24605
A114090,GKL,20181119,23200,23650,23100,23500,155117,7319951,27973,22950,22790,23642,24641
A114090,GKL,20181116,23200,23550,23050,23400,138811,7325889,40652,22640,22842,23660,24671
A114090,GKL,20181115,22450,23500,22450,23350,415236,7339130,109255,22360,22882,23678,24708
A114090,GKL,20181114,22300,22450,22150,22250,107272,7267378,29682,22260,22915,23689,24752
A114090,GKL,20181113,21800,22400,21450,22250,251768,7304691,100502,22340,22985,23719,24798
A114090,GKL,20181112,21900,22450,21800,21950,170191,7396739,19070,22470,23058,23745,24846
A114090,GKL,20181109,22850,23400,21700,22000,408636,7423090,-61275,22640,23100,23778,24895
A114090,GKL,20181108,23000,23450,22750,22850,259673,7398105,-7607,22870,23092,23803,24929
A114090,GKL,20181107,22950,23350,22600,22650,129816,7419021,47851,22740,23032,23820,24969
A114090,GKL,20181106,22850,23000,22700,22900,129799,7453243,2454,22660,23040,23867,24993
A114090,GKL,20181105,23000,23200,22500,22800,187580,7467690,8743,22440,23062,23900,25017
A114090,GKL,20181102,22300,23550,22300,23150,255519,7506088,75789,22290,23098,23936,25053
A114090,GKL,20181101,22100,22700,21900,22200,96729,7529096,3521,22310,23120,23963,25088
A114090,GKL,20181031,21800,22500,21500,22250,148009,7559773,-8089,22530,23205,24019,25131
A114090,GKL,20181030,22050,22150,21200,21800,223905,7568187,-46330,22880,23332,24059,25172
A114090,GKL,20181029,23250,23500,21800,22050,227650,7547117,-57388,23300,23490,24103,25218
A114090,GKL,20181026,23000,23550,22800,23250,160300,7512378,51913,23800,23638,24137,25255
A114090,GKL,20181025,23600,23800,22900,23300,157853,7511105,-5084,23990,23708,24155,25282
A114090,GKL,20181024,24200,24200,23550,24000,108182,7500332,16487,24130,23800,24172,25318
A114090,GKL,20181023,24350,24650,23700,23900,139196,7490003,-14501,24060,23852,24178,25346
A114090,GKL,20181022,23950,24650,23950,24550,142578,7473149,44741,24020,23938,24182,25360
A114090,GKL,20181019,23800,24450,23500,24200,285490,7435413,75894,23670,23985,24172,25378
A114090,GKL,20181018,23700,24150,23400,24000,156240,7421684,35247,23200,24018,24168,25396
A114090,GKL,20181017,23800,23900,23500,23650,151763,7389987,-488,22730,24032,24176,25418
A114090,GKL,20181016,22850,23750,22800,23700,213292,7295344,95094,22560,24035,24194,25446
A114090,GKL,20181015,21650,22950,21650,22800,297494,7308479,85518,22490,24022,24209,25471
A114090,GKL,20181012,21650,22200,21500,21850,162415,7362503,5591,22630,24050,24246,25488
A114090,GKL,20181011,22250,22500,21450,21650,321375,7404720,-51168,22980,24148,24304,25508
A114090,GKL,20181010,23350,23450,22750,22800,202397,7391976,5980,23430,24252,24364,25532
A114090,GKL,20181008,23300,23600,23250,23350,60829,7461929,-3979,23830,24322,24404,25551
A114090,GKL,20181005,23600,23800,23200,23500,124742,7470732,-30777,24150,24375,24421,25566
A114090,GKL,20181004,23950,24050,23500,23600,126517,7488012,3173,24450,24412,24438,25578
A114090,GKL,20181002,24700,24750,23800,23900,314307,7522274,-63227,24660,24440,24463,25591
A114090,GKL,20181001,25000,25200,24500,24800,188688,7587039,-62892,24910,24448,24487,25610
A114090,GKL,20180928,25200,25300,24650,24950,186700,7609462,-54333,24960,24415,24492,25630
A114090,GKL,20180927,24700,25150,24650,25000,221384,7575812,5736,25090,24378,24500,25649
A114090,GKL,20180921,25200,25350,24550,24650,146082,7473903,-60422,25190,24328,24518,25655
A114090,GKL,20180920,24850,25350,24800,25150,133494,7442384,-20827,25230,24315,24539,25654
A114090,GKL,20180919,25550,25550,24800,25050,201347,7392936,-66397,25060,24285,24556,25645
A114090,GKL,20180918,25350,25700,25200,25600,230758,7325312,-32384,24790,24255,24576,25630
A114090,GKL,20180917,24900,25600,24750,25500,457981,7246543,100590,24360,24200,24592,25608
A114090,GKL,20180914,24400,24900,24200,24850,289093,7131006,60911,23930,24152,24599,25585
A114090,GKL,20180913,24250,24850,24150,24300,671050,7094840,141438,23720,24132,24609,25576
A114090,GKL,20180912,23500,23700,23050,23700,257638,7204610,79040,23610,24120,24650,25577
A114090,GKL,20180911,23300,23600,23200,23450,120276,7300262,-15915,23710,24138,24693,25580
A114090,GKL,20180910,23300,23750,23000,23350,184414,7312155,13250,23900,24155,24750,25587
A114090,GKL,20180907,23800,24100,23600,23800,193866,7352691,19602,24080,24185,24813,25597
A114090,GKL,20180906,24300,24400,23750,23750,217765,7440067,-27469,24150,24170,24878,25602
A114090,GKL,20180905,24550,25000,24100,24200,229385,7523353,-796,24210,24175,24968,25608
A114090,GKL,20180904,24200,24450,24050,24400,166030,7544862,16327,24200,24238,25051,25606
A114090,GKL,20180903,24500,24650,24200,24250,165347,7605755,24338,24160,24262,25103,25612
A114090,GKL,20180831,24050,24200,23750,24150,156589,7596431,31919,24110,24298,25161,25623
A114090,GKL,20180830,24550,24550,24000,24050,216678,7626823,14194,24160,24330,25235,25616
A114090,GKL,20180829,24500,24650,24150,24150,143876,7732879,-14011,24260,24405,25282,25609
A114090,GKL,20180828,24150,24350,24000,24200,160086,7749946,-11042,24320,24430,25326,25603
