stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A114190,웰크론강원,20190129,3280,3350,3085,3145,142998,274641,0,3324,3169,3082,3778
A114190,웰크론강원,20190128,3310,3395,3275,3340,40379,273530,0,3385,3149,3081,3789
A114190,웰크론강원,20190125,3320,3390,3300,3310,68188,274164,0,3407,3117,3076,3798
A114190,웰크론강원,20190124,3435,3435,3340,3390,50030,272350,0,3438,3087,3071,3808
A114190,웰크론강원,20190123,3475,3825,3315,3435,560832,273506,0,3424,3055,3064,3817
A114190,웰크론강원,20190122,3415,3495,3395,3450,80009,301073,0,3411,3021,3059,3826
A114190,웰크론강원,20190121,3460,3485,3400,3450,74250,301875,0,3361,2987,3058,3835
A114190,웰크론강원,20190118,3305,3465,3305,3465,67337,307114,0,3273,2950,3063,3846
A114190,웰크론강원,20190117,3320,3390,3270,3320,75396,297480,0,3174,2911,3069,3856
A114190,웰크론강원,20190116,3340,3795,3200,3370,802062,287840,0,3106,2882,3080,3868
A114190,웰크론강원,20190115,3070,3310,3005,3200,190595,320832,0,3021,2854,3092,3880
A114190,웰크론강원,20190114,2995,3010,2920,3010,47027,306579,0,2966,2836,3108,3893
A114190,웰크론강원,20190111,2990,2995,2900,2970,33964,303197,0,2949,2824,3128,3906
A114190,웰크론강원,20190110,2995,2995,2915,2980,16221,297678,0,2940,2817,3147,3922
A114190,웰크론강원,20190109,2995,2995,2885,2945,17484,299943,19,2932,2811,3165,3939
A114190,웰크론강원,20190108,2920,2930,2865,2925,16004,301658,0,2921,2807,3182,3957
A114190,웰크론강원,20190107,2980,2980,2880,2925,23765,303071,0,2884,2802,3196,3974
A114190,웰크론강원,20190104,2995,2995,2870,2925,46800,306842,0,2839,2806,3214,3989
A114190,웰크론강원,20190103,2960,3050,2850,2940,133209,307219,0,2796,2806,3233,4005
