stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A114750,와이디생명과학,20190129,10950,11850,10950,11100,7195,0,0,11580,11772,18080,19677
A114750,와이디생명과학,20190128,12500,12500,10900,11600,5528,0,0,11620,12330,18276,19740
A114750,와이디생명과학,20190125,12000,12100,11000,11500,7126,0,0,11460,12775,18427,19772
A114750,와이디생명과학,20190124,11900,12350,11750,11750,9070,0,0,11160,13150,18582,19804
A114750,와이디생명과학,20190123,11800,12250,10900,11950,12115,0,0,10840,13558,18749,19830
A114750,와이디생명과학,20190122,12000,12000,10400,11300,7565,0,0,10680,13960,18938,19855
A114750,와이디생명과학,20190121,12700,12700,9500,10800,18345,0,0,10820,14392,19123,19877
A114750,와이디생명과학,20190118,9500,10200,9500,10000,20455,0,0,11150,14858,19320,19902
A114750,와이디생명과학,20190117,10950,11300,10000,10150,26564,0,0,11770,15378,19586,19932
A114750,와이디생명과학,20190116,12400,12400,10500,11150,21364,0,0,12340,15892,19863,19959
A114750,와이디생명과학,20190115,12900,13000,11500,12000,28006,0,0,12650,16348,20128,19978
A114750,와이디생명과학,20190114,13900,13900,12400,12450,8387,0,0,13100,16770,20406,19988
A114750,와이디생명과학,20190111,13300,13400,12800,13100,6658,0,0,13040,17148,20683,19994
A114750,와이디생명과학,20190110,13400,13400,12400,13000,5297,0,0,12620,17492,20838,19999
A114750,와이디생명과학,20190109,15500,15500,12500,12700,29948,0,0,11960,17852,20909,20010
A114750,와이디생명과학,20190108,13900,15650,12400,14250,75162,0,0,12180,18250,20919,20020
A114750,와이디생명과학,20190107,11000,12150,10900,12150,18607,0,0,13780,18568,20852,20022
A114750,와이디생명과학,20190104,6790,11000,6790,11000,166625,0,0,15450,19010,20781,20044
A114750,와이디생명과학,20190103,9700,9750,9700,9700,28347,0,0,17050,19502,20699,20077
A114750,와이디생명과학,20190102,13800,14000,13800,13800,15940,0,0,19090,20058,20616,20117
A114750,와이디생명과학,20181228,14100,22250,14100,22250,56412,0,0,20330,20395,20446,20119
A114750,와이디생명과학,20181227,19850,20600,18600,20500,18300,0,0,19870,20298,20121,20048
A114750,와이디생명과학,20181226,19000,21500,15000,19000,58702,0,0,19790,20310,19815,19994
A114750,와이디생명과학,20181224,20050,20500,19450,19900,21025,0,0,20070,20390,19764,19956
A114750,와이디생명과학,20181221,20150,20400,19950,20000,16059,0,0,20180,20440,19697,19913
A114750,와이디생명과학,20181220,20250,20400,19950,19950,8834,0,0,20230,20488,19630,19841
A114750,와이디생명과학,20181219,20200,20550,19900,20100,15773,0,0,20330,20572,19564,19752
A114750,와이디생명과학,20181218,21100,21100,20000,20400,23701,0,0,20310,20655,19505,19647
A114750,와이디생명과학,20181217,20250,20500,19950,20450,16418,0,0,20230,20728,19448,19531
A114750,와이디생명과학,20181214,21300,21300,19850,20250,9414,0,0,20180,20805,19434,19416
A114750,와이디생명과학,20181213,21000,21000,19500,20450,12820,0,0,20260,20898,19469,19303
A114750,와이디생명과학,20181212,21400,21400,19200,20000,10934,0,0,20290,21002,19450,19190
A114750,와이디생명과학,20181211,21800,21800,19500,20000,16275,0,0,20490,21108,19429,19081
A114750,와이디생명과학,20181210,20300,20900,19800,20200,12407,0,0,20660,21225,19353,18972
A114750,와이디생명과학,20181207,21700,21700,20300,20650,7597,0,0,20780,21340,19274,18859
A114750,와이디생명과학,20181206,14800,23300,14800,20600,6733,0,0,20760,21468,19187,18745
A114750,와이디생명과학,20181205,20700,26900,20700,21000,9033,0,0,20700,21552,19102,18630
A114750,와이디생명과학,20181204,20500,21000,20300,20850,10538,0,0,20650,21640,19135,18511
A114750,와이디생명과학,20181203,21300,21300,19900,20800,11616,0,0,20600,21765,19153,18392
A114750,와이디생명과학,20181130,21400,21400,20300,20550,3281,0,0,20620,21895,19187,18273
A114750,와이디생명과학,20181129,20500,21000,20250,20300,6436,0,0,20700,22072,19211,18156
A114750,와이디생명과학,20181128,21600,21700,20300,20750,4401,0,0,20970,22200,19221,18044
A114750,와이디생명과학,20181127,21000,21000,20300,20600,3059,0,0,21170,22195,19285,17930
A114750,와이디생명과학,20181126,20850,21000,20150,20900,5088,0,0,21420,22205,19375,17815
A114750,와이디생명과학,20181123,21550,21600,20500,20950,4683,0,0,21640,22250,19443,17697
A114750,와이디생명과학,20181122,22200,22200,21350,21650,4331,0,0,21870,22368,19549,17578
A114750,와이디생명과학,20181121,22000,22000,21450,21750,5978,0,0,22050,22405,19672,17454
