stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A115530,씨엔플러스,20190129,839,839,839,839,0,147703,0,839,839,839,838
A115530,씨엔플러스,20190128,839,839,839,839,0,147703,0,839,839,839,838
A115530,씨엔플러스,20190125,839,839,839,839,0,147703,0,839,839,839,838
A115530,씨엔플러스,20190124,839,839,839,839,0,147703,0,839,839,839,836
A115530,씨엔플러스,20190123,839,839,839,839,0,147703,0,839,839,839,835
A115530,씨엔플러스,20190122,839,839,839,839,0,147703,0,839,839,839,834
A115530,씨엔플러스,20190121,839,839,839,839,0,147703,0,839,839,839,832
A115530,씨엔플러스,20190118,839,839,839,839,0,147703,0,839,839,839,831
A115530,씨엔플러스,20190117,839,839,839,839,0,147703,0,839,839,839,829
A115530,씨엔플러스,20190116,839,839,839,839,0,147703,0,839,839,839,828
A115530,씨엔플러스,20190115,839,839,839,839,0,147703,0,839,839,839,827
A115530,씨엔플러스,20190114,839,839,839,839,0,147703,0,839,839,839,827
A115530,씨엔플러스,20190111,839,839,839,839,0,147703,0,839,839,839,825
A115530,씨엔플러스,20190110,839,839,839,839,0,147703,0,839,839,839,823
A115530,씨엔플러스,20190109,839,839,839,839,0,147703,0,839,839,839,822
A115530,씨엔플러스,20190108,839,839,839,839,0,147703,0,839,839,839,820
A115530,씨엔플러스,20190107,839,839,839,839,0,147703,0,839,839,839,818
A115530,씨엔플러스,20190104,839,839,839,839,0,147703,0,839,839,839,816
A115530,씨엔플러스,20190103,839,839,839,839,0,147703,0,839,839,839,815
A115530,씨엔플러스,20190102,839,839,839,839,0,147703,0,839,839,839,813
A115530,씨엔플러스,20181228,839,839,839,839,0,147703,0,839,839,839,812
A115530,씨엔플러스,20181227,839,839,839,839,0,147703,0,839,839,839,811
A115530,씨엔플러스,20181226,839,839,839,839,0,147703,0,839,839,839,810
A115530,씨엔플러스,20181224,839,839,839,839,0,147703,0,839,839,839,808
A115530,씨엔플러스,20181221,839,839,839,839,0,147703,0,839,839,839,808
A115530,씨엔플러스,20181220,839,839,839,839,0,147703,0,839,839,839,806
