stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A117460,KODEX 에너지화학,20190129,11850,11995,11800,11965,2172,0,-57,11801,11406,11386,11798
A117460,KODEX 에너지화학,20190128,11855,11920,11840,11855,1498,0,993,11744,11376,11375,11803
A117460,KODEX 에너지화학,20190125,11580,11885,11580,11845,2926,0,2438,11720,11351,11369,11811
A117460,KODEX 에너지화학,20190124,11610,11670,11570,11640,1278,0,486,11675,11320,11358,11819
A117460,KODEX 에너지화학,20190123,11640,11705,11565,11700,1861,0,-1621,11648,11302,11349,11828
A117460,KODEX 에너지화학,20190122,11735,11765,11645,11680,939,0,576,11599,11282,11341,11836
A117460,KODEX 에너지화학,20190121,11700,11790,11685,11735,3422,0,2422,11540,11255,11341,11842
A117460,KODEX 에너지화학,20190118,11625,11645,11550,11620,1393,0,-217,11447,11229,11338,11845
A117460,KODEX 에너지화학,20190117,11500,11620,11500,11505,1713,0,404,11395,11200,11335,11849
A117460,KODEX 에너지화학,20190116,11385,11455,11385,11455,762,0,-361,11349,11188,11340,11854
A117460,KODEX 에너지화학,20190115,11290,11420,11290,11385,593,0,294,11312,11179,11344,11861
A117460,KODEX 에너지화학,20190114,11355,11405,11250,11270,2684,0,586,11252,11174,11351,11867
A117460,KODEX 에너지화학,20190111,11275,11380,11255,11360,289,0,52,11215,11171,11361,11874
A117460,KODEX 에너지화학,20190110,11350,11350,11210,11275,1107,0,684,11084,11158,11365,11882
A117460,KODEX 에너지화학,20190109,11110,11315,11110,11270,823,0,-367,10970,11147,11372,11890
A117460,KODEX 에너지화학,20190108,11165,11170,11085,11085,823,0,489,10913,11150,11378,11898
A117460,KODEX 에너지화학,20190107,10855,11215,10855,11085,3528,0,581,10968,11165,11384,11906
A117460,KODEX 에너지화학,20190104,10670,10705,10590,10705,267,0,-62,11021,11190,11398,11915
A117460,KODEX 에너지화학,20190103,11020,11020,10700,10705,2210,0,455,11124,11239,11420,11927
A117460,KODEX 에너지화학,20190102,11400,11400,10945,10985,5988,0,-2682,11243,11297,11445,11939
A117460,KODEX 에너지화학,20181228,11350,11360,11315,11360,202,0,153,11304,11321,11465,11947
A117460,KODEX 에너지화학,20181227,11515,11515,11290,11350,1270,0,-45,11260,11322,11485,11951
A117460,KODEX 에너지화학,20181226,11120,11230,11110,11220,5403,0,3843,11232,11321,11507,11955
A117460,KODEX 에너지화학,20181224,11290,11320,11240,11300,1352,0,-257,11195,11330,11530,11961
A117460,KODEX 에너지화학,20181221,11130,11300,11130,11290,1627,0,1038,11192,11329,11550,11972
A117460,KODEX 에너지화학,20181220,11210,11210,11035,11140,2163,0,1032,11187,11328,11568,11982
A117460,KODEX 에너지화학,20181219,11040,11240,11000,11210,5250,0,-1153,11217,11342,11586,11994
A117460,KODEX 에너지화학,20181218,11180,11180,11005,11035,8111,0,-4002,11216,11356,11605,12007
A117460,KODEX 에너지화학,20181217,11325,11405,11285,11285,4481,0,-2846,11228,11376,11628,12022
A117460,KODEX 에너지화학,20181214,11375,11480,11195,11265,729,0,19,11184,11387,11646,12033
A117460,KODEX 에너지화학,20181213,11280,11350,11250,11290,776,0,406,11196,11393,11665,12045
A117460,KODEX 에너지화학,20181212,11165,11240,11150,11205,4064,0,770,11216,11398,11683,12057
A117460,KODEX 에너지화학,20181211,11060,11110,11020,11095,240,0,130,11289,11401,11701,12070
A117460,KODEX 에너지화학,20181210,11230,11230,10990,11065,3731,0,-943,11408,11415,11722,12087
A117460,KODEX 에너지화학,20181207,11445,11445,11255,11325,2458,0,-471,11570,11430,11743,12105
A117460,KODEX 에너지화학,20181206,11550,11570,11345,11390,3375,0,808,11596,11433,11758,12121
A117460,KODEX 에너지화학,20181205,11515,11640,11450,11570,391,0,-260,11594,11439,11772,12138
A117460,KODEX 에너지화학,20181204,11875,11875,11620,11690,1719,0,-336,11548,11433,11785,12154
A117460,KODEX 에너지화학,20181203,11655,11875,11655,11875,2410,0,320,11488,11428,11798,12167
A117460,KODEX 에너지화학,20181130,11425,11490,11415,11455,3917,0,-1384,11371,11417,11809,12178
A117460,KODEX 에너지화학,20181129,11475,11475,11355,11380,2788,0,988,11333,11432,11827,12193
A117460,KODEX 에너지화학,20181128,11420,11420,11255,11340,1108,0,-190,11343,11426,11845,12207
A117460,KODEX 에너지화학,20181127,11350,11390,11210,11390,2058,0,256,11369,11436,11866,12219
A117460,KODEX 에너지화학,20181126,11255,11290,11135,11290,1429,0,1341,11379,11425,11886,12232
A117460,KODEX 에너지화학,20181123,11510,11525,11235,11265,338,0,-28,11422,11415,11908,12243
A117460,KODEX 에너지화학,20181122,11505,11505,11400,11430,701,0,477,11447,11412,11928,12258
A117460,KODEX 에너지화학,20181121,11315,11470,11315,11470,708,0,564,11439,11426,11943,12272
A117460,KODEX 에너지화학,20181120,11495,11510,11345,11440,509,0,358,11399,11428,11958,12284
A117460,KODEX 에너지화학,20181119,11490,11600,11440,11505,474,0,203,11385,11430,11978,12297
A117460,KODEX 에너지화학,20181116,11405,11420,11345,11390,771,0,84,11359,11446,11998,12311
A117460,KODEX 에너지화학,20181115,11245,11390,11200,11390,678,0,-30,11356,11461,12019,12326
A117460,KODEX 에너지화학,20181114,11360,11360,11180,11270,650,0,48,11379,11480,12040,12341
A117460,KODEX 에너지화학,20181113,11245,11370,11025,11370,118,0,-40,11415,11510,12063,12356
A117460,KODEX 에너지화학,20181112,11330,11445,11245,11375,762,0,13,11458,11523,12082,12369
A117460,KODEX 에너지화학,20181109,11505,11510,11315,11375,1107,0,13,11515,11538,12103,12384
A117460,KODEX 에너지화학,20181108,11560,11645,11485,11505,2399,0,115,11591,11551,12125,12400
A117460,KODEX 에너지화학,20181107,11585,11610,11395,11450,813,0,-18,11544,11548,12143,12414
A117460,KODEX 에너지화학,20181106,11695,11695,11520,11585,172,0,-35,11559,11572,12163,12427
A117460,KODEX 에너지화학,20181105,11630,11660,11500,11660,797,0,165,11479,11594,12180,12439
A117460,KODEX 에너지화학,20181102,11380,11755,11380,11755,1797,0,1531,11363,11622,12197,12448
A117460,KODEX 에너지화학,20181101,11525,11540,11270,11270,3455,0,-163,11256,11643,12209,12458
A117460,KODEX 에너지화학,20181031,11200,11525,11105,11525,8189,0,5802,11341,11708,12232,12475
A117460,KODEX 에너지화학,20181030,11080,11300,11030,11185,3127,0,1473,11340,11764,12253,12490
A117460,KODEX 에너지화학,20181029,11355,11540,11070,11080,10485,0,542,11396,11835,12280,12507
A117460,KODEX 에너지화학,20181026,11695,11695,11150,11220,2180,0,-727,11547,11907,12307,12523
A117460,KODEX 에너지화학,20181025,11355,11695,11350,11695,5276,0,4077,11641,11962,12331,12539
A117460,KODEX 에너지화학,20181024,11625,11655,11490,11520,2260,0,1417,11654,11990,12343,12549
A117460,KODEX 에너지화학,20181023,11730,11730,11400,11465,1489,0,25,11724,12030,12352,12565
A117460,KODEX 에너지화학,20181022,11505,11835,11505,11835,1114,0,722,11759,12080,12363,12581
A117460,KODEX 에너지화학,20181019,11645,11695,11365,11690,2120,0,110,11728,12104,12368,12594
A117460,KODEX 에너지화학,20181018,11870,11870,11700,11760,125,0,-74,11717,12142,12377,12609
A117460,KODEX 에너지화학,20181017,11700,11940,11700,11870,14009,0,13424,11655,12171,12383,12623
A117460,KODEX 에너지화학,20181016,11770,11770,11610,11640,207,0,-112,11665,12193,12387,12635
A117460,KODEX 에너지화학,20181015,11635,11750,11515,11680,468,0,256,11744,12227,12398,12649
A117460,KODEX 에너지화학,20181012,11410,11685,11410,11635,13848,0,12780,11848,12259,12409,12664
A117460,KODEX 에너지화학,20181011,11595,11700,11360,11450,9560,0,6723,11958,12290,12417,12680
A117460,KODEX 에너지화학,20181010,12035,12035,11840,11920,4834,0,1078,12181,12330,12428,12696
A117460,KODEX 에너지화학,20181008,12170,12170,12035,12035,753,0,209,12328,12350,12432,12708
A117460,KODEX 에너지화학,20181005,12175,12225,12060,12200,2599,0,-638,12442,12374,12434,12721
A117460,KODEX 에너지화학,20181004,12565,12565,12140,12185,5478,0,-2258,12505,12390,12432,12733
