stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A122090,ARIRANG 코스피50,20190129,19050,19260,18995,19210,50456,0,-54,18951,18212,18038,18681
A122090,ARIRANG 코스피50,20190128,19220,19275,19030,19165,236,0,-6,18806,18134,18014,18688
A122090,ARIRANG 코스피50,20190125,18840,19145,18840,19140,5388,0,-34,18684,18053,17992,18694
A122090,ARIRANG 코스피50,20190124,18600,18735,18565,18725,2942,0,13,18566,17963,17969,18701
A122090,ARIRANG 코스피50,20190123,18380,18565,18380,18515,96,0,13,18508,17903,17950,18711
A122090,ARIRANG 코스피50,20190122,18575,18585,18365,18485,6195,0,183,18473,17853,17937,18723
A122090,ARIRANG 코스피50,20190121,18635,18635,18440,18555,124,0,15,18427,17804,17927,18734
A122090,ARIRANG 코스피50,20190118,18510,18550,18480,18550,7807,0,37,18289,17761,17921,18745
A122090,ARIRANG 코스피50,20190117,18380,18435,18325,18435,1044,0,74,18189,17711,17917,18756
A122090,ARIRANG 코스피50,20190116,18200,18340,18155,18340,138,0,30,18084,17670,17923,18770
A122090,ARIRANG 코스피50,20190115,17920,18255,17905,18255,4837,0,-22,17994,17632,17929,18784
A122090,ARIRANG 코스피50,20190114,18005,18025,17785,17865,13474,0,-1,17842,17613,17935,18798
A122090,ARIRANG 코스피50,20190111,17970,18050,17940,18050,125,0,2,17794,17612,17950,18815
A122090,ARIRANG 코스피50,20190110,17935,17940,17865,17910,154,0,-13,17657,17590,17958,18831
A122090,ARIRANG 코스피50,20190109,17615,17930,17615,17890,108,0,47,17523,17576,17970,18848
A122090,ARIRANG 코스피50,20190108,17520,17640,17440,17495,3500,0,50,17428,17574,17985,18863
A122090,ARIRANG 코스피50,20190107,17540,17645,17530,17625,605,0,-43,17459,17588,18002,18882
A122090,ARIRANG 코스피50,20190104,17230,17365,17125,17365,96361,0,1,17444,17608,18030,18900
A122090,ARIRANG 코스피50,20190103,17325,17395,17205,17240,91979,0,-151,17441,17650,18064,18920
A122090,ARIRANG 코스피50,20190102,17630,17665,17315,17415,65194,0,-18,17498,17710,18100,18940
A122090,ARIRANG 코스피50,20181228,17620,17690,17600,17650,267,0,-13,17516,17744,18134,18958
A122090,ARIRANG 코스피50,20181227,17640,17640,17515,17550,22497,0,-159,17487,17774,18170,18974
A122090,ARIRANG 코스피50,20181226,17305,17400,17220,17350,26749,0,697,17517,17810,18212,18991
A122090,ARIRANG 코스피50,20181224,17455,17540,17435,17525,118,0,67,17557,17852,18257,19010
A122090,ARIRANG 코스피50,20181221,17395,17505,17390,17505,20113,0,-869,17577,17873,18301,19030
A122090,ARIRANG 코스피50,20181220,17545,17615,17430,17505,10117,0,-7,17588,17885,18343,19050
A122090,ARIRANG 코스피50,20181219,17550,17700,17550,17700,121,0,-1,17665,17903,18384,19072
A122090,ARIRANG 코스피50,20181218,17490,17645,17490,17550,2119,0,-7,17694,17912,18417,19093
A122090,ARIRANG 코스피50,20181217,17560,17680,17555,17625,115,0,-4,17706,17934,18454,19114
A122090,ARIRANG 코스피50,20181214,17830,17830,17505,17560,13488,0,-6,17707,17965,18487,19136
A122090,ARIRANG 코스피50,20181213,17830,17970,17780,17890,7715,0,-10,17766,17999,18523,19156
