stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A122260,KOSEF 통안채1년,20190129,101025,101025,100995,100995,4007,0,-427,100999,100966,100769,100546
A122260,KOSEF 통안채1년,20190128,101005,101010,101005,101010,401,0,-219,100998,100959,100761,100538
A122260,KOSEF 통안채1년,20190125,101005,101010,100985,101000,10952,0,37,100991,100951,100753,100530
A122260,KOSEF 통안채1년,20190124,101010,101015,101000,101005,24103,0,-15,100987,100942,100745,100522
A122260,KOSEF 통안채1년,20190123,100990,100995,100980,100985,7601,0,-506,100982,100932,100736,100514
A122260,KOSEF 통안채1년,20190122,100990,100990,100975,100990,76801,0,180,100979,100924,100728,100507
A122260,KOSEF 통안채1년,20190121,100975,100980,100970,100975,5676,0,3,100972,100916,100719,100499
A122260,KOSEF 통안채1년,20190118,100980,100985,100970,100980,47957,0,-26,100967,100908,100710,100491
A122260,KOSEF 통안채1년,20190117,100970,100980,100970,100980,20041,0,18,100964,100899,100702,100484
A122260,KOSEF 통안채1년,20190116,100970,100970,100955,100970,59306,0,-10,100961,100888,100695,100476
A122260,KOSEF 통안채1년,20190115,100965,100965,100955,100955,121236,0,124,100955,100878,100687,100468
A122260,KOSEF 통안채1년,20190114,100965,100965,100950,100950,46,0,-43,100954,100869,100678,100460
A122260,KOSEF 통안채1년,20190111,100965,100975,100955,100965,135394,0,0,100955,100859,100669,100452
A122260,KOSEF 통안채1년,20190110,100970,100970,100955,100965,594885,0,69,100949,100848,100660,100444
A122260,KOSEF 통안채1년,20190109,100955,100960,100940,100940,2461,0,11,100943,100836,100651,100436
A122260,KOSEF 통안채1년,20190108,100955,100960,100945,100950,6270,0,-1350,100932,100825,100642,100428
A122260,KOSEF 통안채1년,20190107,100945,100955,100935,100955,1807,0,-185,100912,100812,100633,100421
A122260,KOSEF 통안채1년,20190104,100930,100955,100915,100935,433759,0,-1250,100892,100798,100623,100412
A122260,KOSEF 통안채1년,20190103,100915,100940,100910,100935,219744,0,-1910,100870,100785,100613,100404
A122260,KOSEF 통안채1년,20190102,100860,100890,100855,100885,42453,0,-161,100843,100772,100604,100396
A122260,KOSEF 통안채1년,20181228,100855,100865,100845,100850,62432,0,-49,100832,100761,100595,100388
A122260,KOSEF 통안채1년,20181227,100860,100860,100845,100855,73,0,-26,100827,100751,100587,100381
A122260,KOSEF 통안채1년,20181226,100832,100832,100823,100823,7704,0,-92,100818,100740,100578,100373
A122260,KOSEF 통안채1년,20181224,100828,100828,100803,100803,81983,0,-193,100812,100730,100570,100365
A122260,KOSEF 통안채1년,20181221,100837,100847,100823,100828,1093050,0,-120,100806,100721,100562,100358
A122260,KOSEF 통안채1년,20181220,100837,100837,100823,100828,1493570,0,-205,100794,100709,100554,100350
A122260,KOSEF 통안채1년,20181219,100818,100823,100808,100808,525720,0,5,100781,100698,100546,100342
A122260,KOSEF 통안채1년,20181218,100788,100808,100788,100793,533200,0,240,100771,100687,100538,100334
A122260,KOSEF 통안채1년,20181217,100773,100783,100773,100773,659080,0,3,100762,100677,100530,100326
A122260,KOSEF 통안채1년,20181214,100768,100788,100768,100768,1320734,0,90,100754,100667,100522,100319
A122260,KOSEF 통안채1년,20181213,100778,100778,100764,100764,1167459,0,13,100742,100658,100515,100311
A122260,KOSEF 통안채1년,20181212,100739,100759,100739,100759,132288,0,-3,100729,100649,100508,100303
A122260,KOSEF 통안채1년,20181211,100734,100744,100734,100744,7030,0,-29,100712,100640,100501,100295
A122260,KOSEF 통안채1년,20181210,100714,100739,100714,100734,31120,0,-97,100698,100631,100494,100287
A122260,KOSEF 통안채1년,20181207,100719,100719,100709,100709,417348,0,-74,100684,100622,100488,100279
A122260,KOSEF 통안채1년,20181206,100700,100705,100695,100700,97899,0,2399,100675,100615,100481,100271
A122260,KOSEF 통안채1년,20181205,100670,100675,100665,100675,214485,0,13,100666,100607,100476,100264
A122260,KOSEF 통안채1년,20181204,100670,100675,100660,100670,481350,0,-2358,100657,100601,100470,100256
A122260,KOSEF 통안채1년,20181203,100675,100685,100665,100665,597432,0,1580,100649,100594,100464,100249
A122260,KOSEF 통안채1년,20181130,100670,100680,100665,100665,447575,0,-1715,100639,100588,100459,100242
