stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A122350,삼기오토모티브,20190129,3330,3330,3190,3250,1841515,530452,1000,3159,2816,2618,2764
A122350,삼기오토모티브,20190128,3505,3610,3260,3280,12728040,490809,-10800,3128,2778,2605,2763
A122350,삼기오토모티브,20190125,3050,3090,2970,3085,2083890,561993,-39038,3152,2738,2590,2761
A122350,삼기오토모티브,20190124,3170,3255,3055,3055,3202242,496542,-83462,3098,2705,2579,2761
A122350,삼기오토모티브,20190123,3105,3160,3075,3125,2233615,545418,-295406,3028,2676,2568,2761
A122350,삼기오토모티브,20190122,3310,3320,3080,3095,3588000,734231,-174900,2928,2643,2559,2760
A122350,삼기오토모티브,20190121,2805,3495,2780,3400,13003899,830799,-168285,2833,2611,2550,2760
A122350,삼기오토모티브,20190118,2675,2900,2675,2815,2575214,1032742,-60000,2674,2566,2538,2757
A122350,삼기오토모티브,20190117,2605,2705,2595,2705,391315,1078338,-60000,2641,2550,2535,2758
A122350,삼기오토모티브,20190116,2655,2660,2590,2625,186018,1050185,-60000,2626,2541,2534,2761
A122350,삼기오토모티브,20190115,2595,2620,2555,2620,167465,1038412,-60000,2620,2535,2534,2765
A122350,삼기오토모티브,20190114,2625,2640,2570,2605,192113,1019040,-60000,2611,2531,2535,2769
A122350,삼기오토모티브,20190111,2630,2675,2595,2650,241074,990808,-60000,2616,2526,2536,2773
A122350,삼기오토모티브,20190110,2590,2650,2545,2630,271793,1008642,-60000,2628,2513,2536,2777
A122350,삼기오토모티브,20190109,2570,2630,2555,2595,198357,1019736,-61000,2595,2503,2535,2781
A122350,삼기오토모티브,20190108,2650,2650,2500,2575,263636,1005490,-60000,2557,2499,2535,2785
A122350,삼기오토모티브,20190107,2660,2685,2605,2630,487817,1010583,-60000,2540,2497,2535,2790
A122350,삼기오토모티브,20190104,2475,2710,2465,2710,1353598,1004839,-35000,2508,2492,2537,2794
A122350,삼기오토모티브,20190103,2410,2650,2400,2465,884615,950047,-30000,2454,2485,2539,2797
A122350,삼기오토모티브,20190102,2500,2500,2405,2405,115867,951542,-29000,2456,2489,2546,2803
A122350,삼기오토모티브,20181228,2490,2525,2455,2490,58496,949195,-29000,2466,2495,2555,2808
A122350,삼기오토모티브,20181227,2460,2600,2415,2470,207763,942757,-27000,2460,2496,2563,2813
A122350,삼기오토모티브,20181226,2435,2465,2405,2440,114880,943191,-6525,2464,2500,2573,2818
A122350,삼기오토모티브,20181224,2440,2490,2440,2475,92133,976812,-12000,2478,2504,2583,2823
A122350,삼기오토모티브,20181221,2430,2500,2430,2455,61710,1053958,-9000,2488,2504,2593,2829
A122350,삼기오토모티브,20181220,2480,2510,2435,2460,99886,1047654,-24000,2497,2504,2603,2835
A122350,삼기오토모티브,20181219,2475,2720,2475,2490,571533,1042625,-129470,2513,2510,2613,2842
A122350,삼기오토모티브,20181218,2505,2520,2480,2510,53991,1100644,-31194,2514,2516,2623,2848
A122350,삼기오토모티브,20181217,2500,2525,2475,2525,44353,1095513,-9740,2491,2524,2633,2855
A122350,삼기오토모티브,20181214,2545,2545,2470,2500,22644,1080787,0,2472,2536,2642,2862
A122350,삼기오토모티브,20181213,2495,2550,2485,2540,38673,1075984,0,2476,2546,2653,2868
A122350,삼기오토모티브,20181212,2390,2515,2390,2495,57438,1071381,0,2474,2542,2661,2875
A122350,삼기오토모티브,20181211,2430,2440,2380,2395,65015,1051854,0,2484,2542,2671,2882
A122350,삼기오토모티브,20181210,2515,2515,2380,2430,136806,1044623,-3429,2518,2547,2682,2889
A122350,삼기오토모티브,20181207,2520,2580,2495,2520,80660,1058152,-14429,2539,2551,2693,2898
A122350,삼기오토모티브,20181206,2545,2590,2490,2530,50764,1045415,-4624,2540,2553,2702,2907
A122350,삼기오토모티브,20181205,2520,2560,2510,2545,37448,1043255,-22,2539,2552,2711,2915
A122350,삼기오토모티브,20181204,2550,2585,2540,2565,69276,637355,-1475,2538,2548,2719,2924
A122350,삼기오토모티브,20181203,2525,2565,2520,2535,66478,626829,-1039,2528,2545,2727,2931
A122350,삼기오토모티브,20181130,2525,2530,2500,2525,65605,615658,-1110,2516,2543,2735,2939
A122350,삼기오토모티브,20181129,2560,2565,2505,2525,54291,608599,0,2501,2544,2744,2947
A122350,삼기오토모티브,20181128,2530,2560,2490,2540,74377,610874,0,2512,2540,2752,2954
A122350,삼기오토모티브,20181127,2490,2520,2450,2515,60792,606608,0,2528,2534,2760,2961
A122350,삼기오토모티브,20181126,2450,2485,2430,2475,108489,600185,-3658,2559,2527,2769,2968
A122350,삼기오토모티브,20181123,2560,2575,2450,2450,262690,591413,0,2618,2524,2778,2973
A122350,삼기오토모티브,20181122,2600,2635,2550,2580,324291,583216,0,2667,2530,2788,2979
A122350,삼기오토모티브,20181121,2675,2680,2595,2620,229220,574371,0,2644,2530,2796,2984
A122350,삼기오토모티브,20181120,2700,2710,2635,2670,424014,630307,0,2620,2533,2803,2988
A122350,삼기오토모티브,20181119,2930,3010,2715,2770,2078565,905486,-43110,2584,2530,2809,2993
A122350,삼기오토모티브,20181116,2495,3105,2415,2695,2134100,934318,22084,2532,2525,2813,2997
A122350,삼기오토모티브,20181115,2495,2495,2415,2465,24967,965061,0,2503,2522,2819,3002
A122350,삼기오토모티브,20181114,2490,2510,2455,2500,12251,964368,-1039,2513,2532,2829,3009
A122350,삼기오토모티브,20181113,2450,2490,2415,2490,23186,965280,0,2506,2540,2837,3016
A122350,삼기오토모티브,20181112,2545,2550,2450,2510,13454,969860,0,2510,2546,2845,3022
A122350,삼기오토모티브,20181109,2515,2555,2465,2550,16682,969926,0,2506,2550,2854,3030
A122350,삼기오토모티브,20181108,2470,2550,2470,2515,16601,968425,0,2503,2554,2863,3036
A122350,삼기오토모티브,20181107,2510,2525,2455,2465,45299,972955,0,2489,2556,2872,3045
A122350,삼기오토모티브,20181106,2500,2520,2470,2510,16967,968601,0,2481,2570,2882,3053
A122350,삼기오토모티브,20181105,2535,2550,2450,2490,27840,968846,0,2455,2586,2892,3062
A122350,삼기오토모티브,20181102,2435,2535,2435,2535,44757,967584,-15037,2438,2607,2902,3070
A122350,삼기오토모티브,20181101,2465,2485,2420,2445,41392,964680,0,2447,2626,2910,3079
A122350,삼기오토모티브,20181031,2365,2435,2365,2425,35834,962002,-14,2476,2653,2921,3088
A122350,삼기오토모티브,20181030,2335,2480,2325,2380,100356,955727,29250,2524,2684,2932,3096
A122350,삼기오토모티브,20181029,2550,2560,2395,2405,153143,962824,-690,2570,2718,2943,3104
A122350,삼기오토모티브,20181026,2595,2635,2525,2580,165649,973885,97467,2623,2751,2954,3112
A122350,삼기오토모티브,20181025,2585,2625,2535,2590,231040,983835,107521,2637,2775,2962,3118
A122350,삼기오토모티브,20181024,2615,2735,2585,2665,160624,996972,89989,2649,2798,2970,3123
A122350,삼기오토모티브,20181023,2660,2685,2565,2610,91687,1006549,-22332,2648,2819,2975,3127
A122350,삼기오토모티브,20181022,2650,2680,2620,2670,10083,1009584,0,2651,2844,2982,3132
A122350,삼기오토모티브,20181019,2615,2665,2600,2650,55643,1009369,-11481,2635,2866,2988,3137
A122350,삼기오토모티브,20181018,2685,2685,2600,2650,16957,1018500,0,2627,2890,2995,3142
A122350,삼기오토모티브,20181017,2625,2690,2605,2660,61692,1023150,-10000,2609,2910,3003,3147
A122350,삼기오토모티브,20181016,2595,2635,2570,2625,72875,1030570,-16633,2629,2931,3010,3152
A122350,삼기오토모티브,20181015,2575,2615,2555,2590,64633,1024681,-17760,2668,2953,3018,3157
A122350,삼기오토모티브,20181012,2555,2630,2550,2610,120187,1033123,-14952,2732,2977,3027,3162
A122350,삼기오토모티브,20181011,2700,2755,2560,2560,218924,1018548,4982,2795,3000,3035,3166
A122350,삼기오토모티브,20181010,2830,2845,2705,2760,138134,1020067,-1,2878,3024,3045,3172
