stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A122870,와이지엔터테인먼트,20190129,42050,42600,40850,41400,279992,2881384,-99334,42290,45445,43541,41843
A122870,와이지엔터테인먼트,20190128,42350,42550,41600,42250,222464,2849865,-37036,42730,45750,43472,41789
A122870,와이지엔터테인먼트,20190125,42950,43450,42300,42500,263678,2836900,-61694,42840,46072,43382,41715
A122870,와이지엔터테인먼트,20190124,42600,43600,41950,43100,378242,2865184,2054,43260,46395,43308,41644
A122870,와이지엔터테인먼트,20190123,43300,43300,41450,42200,419638,2881546,-125747,43580,46602,43188,41584
A122870,와이지엔터테인먼트,20190122,42800,43600,41800,43600,262644,2904818,-54234,44660,46825,43095,41538
A122870,와이지엔터테인먼트,20190121,44950,44950,42400,42800,543780,2905772,-267329,45610,46945,43002,41466
A122870,와이지엔터테인먼트,20190118,44550,45200,43500,44600,341114,2884690,-103228,46390,47125,42906,41405
A122870,와이지엔터테인먼트,20190117,47350,47750,44050,44700,573187,2824456,-233644,46760,47055,42874,41328
A122870,와이지엔터테인먼트,20190116,48550,48600,47400,47600,159574,2848393,-11657,47460,46995,42825,41265
A122870,와이지엔터테인먼트,20190115,46950,48700,46050,48350,399849,2856252,84075,47400,46852,42718,41178
A122870,와이지엔터테인먼트,20190114,46600,47300,45800,46700,240978,2802393,-56538,47410,46715,42579,41090
A122870,와이지엔터테인먼트,20190111,48400,48400,46000,46450,286793,2696994,-86854,47750,46658,42458,41027
A122870,와이지엔터테인먼트,20190110,47250,48300,46750,48200,226132,2748687,7812,48240,46595,42389,40988
A122870,와이지엔터테인먼트,20190109,48800,48800,46850,47300,294914,2779818,-90540,47710,46388,42258,40930
A122870,와이지엔터테인먼트,20190108,48800,49100,47550,48400,170711,2807624,-3888,47430,46220,42149,40873
A122870,와이지엔터테인먼트,20190107,49250,50800,47950,48400,407252,2780491,-22795,47250,45960,42003,40793
A122870,와이지엔터테인먼트,20190104,45650,48900,45450,48900,393319,2780959,43684,47310,45765,41899,40715
A122870,와이지엔터테인먼트,20190103,46200,46750,45450,45550,195936,2706391,-13643,47320,45585,41771,40639
A122870,와이지엔터테인먼트,20190102,47050,47450,45650,45900,284860,2689312,-92412,47660,45490,41732,40572
A122870,와이지엔터테인먼트,20181228,48550,48900,46650,47500,336363,2568947,-93774,47810,45365,41711,40496
A122870,와이지엔터테인먼트,20181227,49150,49300,47550,48700,321447,2623787,-46386,47510,45140,41663,40415
A122870,와이지엔터테인먼트,20181226,46450,49000,46450,48950,482555,2607749,163423,47050,44865,41630,40327
A122870,와이지엔터테인먼트,20181224,46700,48700,46100,47250,400464,2619228,31710,45900,44560,41551,40219
A122870,와이지엔터테인먼트,20181221,45800,46850,45500,46650,225096,2602494,60204,45150,44295,41500,40127
