stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A123310,TIGER 인버스,20190129,7330,7350,7275,7275,170278,12129,-30971,7366,7648,7723,7493
A123310,TIGER 인버스,20190128,7295,7330,7260,7305,377221,47450,-56371,7421,7677,7734,7491
A123310,TIGER 인버스,20190125,7430,7430,7295,7305,3478000,0,-174791,7462,7706,7744,7489
A123310,TIGER 인버스,20190124,7505,7515,7445,7445,24754,0,-4924,7504,7742,7755,7487
A123310,TIGER 인버스,20190123,7585,7585,7490,7500,250087,1526,50230,7529,7764,7764,7483
A123310,TIGER 인버스,20190122,7505,7580,7495,7550,29894,54099,-12216,7546,7784,7772,7480
A123310,TIGER 인버스,20190121,7475,7550,7475,7510,30565,48107,-26056,7561,7801,7776,7476
A123310,TIGER 인버스,20190118,7525,7550,7510,7515,76797,23867,-46280,7614,7816,7779,7472
A123310,TIGER 인버스,20190117,7570,7595,7535,7570,69026,3600,41184,7652,7833,7782,7469
A123310,TIGER 인버스,20190116,7625,7645,7585,7585,150644,2812,-100343,7688,7846,7780,7464
A123310,TIGER 인버스,20190115,7750,7755,7620,7625,190873,1050,-37182,7722,7860,7779,7460
A123310,TIGER 인버스,20190114,7725,7780,7715,7775,40544,33105,-26017,7781,7865,7777,7456
A123310,TIGER 인버스,20190111,7725,7750,7685,7705,29088,30,3295,7798,7865,7772,7449
A123310,TIGER 인버스,20190110,7755,7775,7715,7750,43274,1610,-11438,7854,7874,7769,7444
A123310,TIGER 인버스,20190109,7875,7875,7725,7755,51819,4,-7683,7914,7879,7766,7438
A123310,TIGER 인버스,20190108,7855,7920,7840,7920,59438,17767,1514,7956,7880,7761,7432
A123310,TIGER 인버스,20190107,7870,7890,7810,7860,68915,429,22081,7944,7874,7755,7425
A123310,TIGER 인버스,20190104,8045,8075,7975,7985,126813,27915,21748,7952,7866,7745,7419
A123310,TIGER 인버스,20190103,7970,8050,7960,8050,190030,64437,-33665,7957,7848,7732,7411
A123310,TIGER 인버스,20190102,7800,7990,7800,7965,40192,40521,19210,7925,7824,7718,7404
A123310,TIGER 인버스,20181228,7895,7895,7835,7860,22763,48402,2956,7911,7809,7705,7397
A123310,TIGER 인버스,20181227,7795,7930,7795,7900,495715,54213,-42951,7917,7797,7691,7391
A123310,TIGER 인버스,20181226,8035,8055,7955,8010,728701,5523,29770,7899,7784,7676,7385
A123310,TIGER 인버스,20181224,7905,7940,7890,7890,317713,402,6713,7868,7767,7659,7378
A123310,TIGER 인버스,20181221,7915,7930,7875,7895,98364,10,15834,7857,7760,7643,7370
A123310,TIGER 인버스,20181220,7855,7925,7840,7890,92419,3156,24907,7850,7757,7627,7363
A123310,TIGER 인버스,20181219,7950,7950,7795,7810,81784,8060,-18211,7818,7752,7613,7355
A123310,TIGER 인버스,20181218,7890,7890,7815,7855,155449,0,33367,7810,7750,7600,7348
A123310,TIGER 인버스,20181217,7845,7850,7805,7835,82128,23655,-27201,7816,7745,7588,7340
A123310,TIGER 인버스,20181214,7745,7895,7735,7860,118072,2594,35169,7821,7736,7576,7332
A123310,TIGER 인버스,20181213,7715,7780,7700,7730,24029,5042,-11685,7803,7728,7562,7325
A123310,TIGER 인버스,20181212,7845,7850,7755,7770,45093,0,-5389,7818,7726,7553,7318
A123310,TIGER 인버스,20181211,7850,7905,7850,7885,48392,9064,4050,7802,7726,7543,7311
A123310,TIGER 인버스,20181210,7870,7900,7840,7860,72042,0,6241,7752,7719,7531,7303
A123310,TIGER 인버스,20181207,7765,7810,7745,7770,15089,0,-4454,7691,7710,7519,7294
A123310,TIGER 인버스,20181206,7730,7815,7730,7805,63049,0,21686,7673,7707,7509,7285
A123310,TIGER 인버스,20181205,7740,7745,7660,7690,25924,0,-2046,7636,7699,7498,7276
A123310,TIGER 인버스,20181204,7590,7670,7580,7635,61039,258,44845,7626,7701,7488,7267
A123310,TIGER 인버스,20181203,7565,7625,7535,7555,62402,38305,32984,7633,7704,7478,7259
A123310,TIGER 인버스,20181130,7600,7705,7590,7680,112029,72077,-51193,7669,7713,7469,7251
A123310,TIGER 인버스,20181129,7530,7635,7510,7620,35910,17422,-882,7702,7712,7458,7242
A123310,TIGER 인버스,20181128,7655,7690,7630,7640,36090,21404,-19144,7736,7728,7449,7235
A123310,TIGER 인버스,20181127,7715,7750,7665,7670,59652,499,-33205,7764,7742,7439,7227
A123310,TIGER 인버스,20181126,7815,7815,7735,7735,23028,4,1111,7778,7756,7428,7220
A123310,TIGER 인버스,20181123,7780,7870,7775,7845,65771,0,10989,7765,7770,7417,7212
A123310,TIGER 인버스,20181122,7785,7805,7760,7790,108991,7500,10942,7735,7774,7405,7202
A123310,TIGER 인버스,20181121,7840,7865,7775,7780,159078,15073,14468,7714,7776,7394,7192
A123310,TIGER 인버스,20181120,7760,7765,7710,7740,234940,9540,3270,7711,7772,7384,7182
A123310,TIGER 인버스,20181119,7685,7700,7620,7670,47826,5477,-1713,7712,7768,7374,7172
A123310,TIGER 인버스,20181116,7665,7705,7640,7695,342075,0,-10607,7715,7758,7367,7164
A123310,TIGER 인버스,20181115,7775,7795,7680,7685,166267,7433,-6394,7717,7748,7360,7155
A123310,TIGER 인버스,20181114,7745,7785,7735,7765,67928,4816,13547,7711,7740,7353,7146
A123310,TIGER 인버스,20181113,7800,7880,7730,7745,156223,15863,25312,7704,7725,7343,7137
A123310,TIGER 인버스,20181112,7770,7780,7675,7685,75397,29310,-20883,7692,7715,7334,7128
A123310,TIGER 인버스,20181109,7660,7710,7635,7705,2345168,22689,6456,7702,7708,7325,7120
A123310,TIGER 인버스,20181108,7600,7655,7550,7655,95290,3822,-4581,7692,7697,7314,7110
A123310,TIGER 인버스,20181107,7695,7740,7620,7730,122316,9549,-7225,7751,7692,7304,7102
A123310,TIGER 인버스,20181106,7690,7765,7675,7685,396537,1567,-13616,7790,7669,7293,7092
A123310,TIGER 인버스,20181105,7720,7825,7720,7735,121721,7070,5604,7842,7646,7283,7084
A123310,TIGER 인버스,20181102,7850,7860,7650,7655,262841,0,11840,7897,7618,7272,7075
A123310,TIGER 인버스,20181101,7890,7950,7820,7950,111070,18012,-8418,7954,7594,7264,7066
A123310,TIGER 인버스,20181031,7920,7995,7905,7925,263148,0,35098,7927,7549,7248,7055
A123310,TIGER 인버스,20181030,8035,8050,7885,7945,2496105,29528,-9980,7881,7502,7233,7044
A123310,TIGER 인버스,20181029,7925,8020,7865,8010,441018,9,14513,7825,7452,7218,7031
A123310,TIGER 인버스,20181026,7810,8010,7810,7940,354856,190,60356,7719,7398,7202,7019
A123310,TIGER 인버스,20181025,7870,7935,7815,7815,331845,0,40182,7630,7350,7188,7008
A123310,TIGER 인버스,20181024,7620,7705,7610,7695,224330,8681,-29389,7572,7310,7176,6999
A123310,TIGER 인버스,20181023,7535,7705,7535,7665,2875497,0,50569,7525,7280,7165,6990
A123310,TIGER 인버스,20181022,7550,7570,7465,7480,22741,736,1734,7501,7250,7156,6981
A123310,TIGER 인버스,20181019,7590,7625,7485,7495,163453,0,27445,7512,7232,7149,6974
A123310,TIGER 인버스,20181018,7500,7530,7470,7525,85349,32866,3361,7511,7210,7142,6966
A123310,TIGER 인버스,20181017,7455,7495,7415,7460,2318636,26519,-4068,7518,7192,7134,6958
A123310,TIGER 인버스,20181016,7510,7560,7480,7545,55268,0,4107,7480,7178,7127,6951
A123310,TIGER 인버스,20181015,7500,7555,7495,7535,77790,4290,10127,7414,7159,7119,6944
A123310,TIGER 인버스,20181012,7580,7585,7430,7490,253380,0,21442,7343,7140,7110,6936
A123310,TIGER 인버스,20181011,7450,7575,7410,7560,458971,8325,54655,7279,7123,7103,6930
A123310,TIGER 인버스,20181010,7210,7290,7210,7270,227764,1385,11628,7179,7102,7096,6923
A123310,TIGER 인버스,20181008,7220,7220,7165,7215,22397,10,11401,7121,7094,7092,6918
A123310,TIGER 인버스,20181005,7185,7230,7160,7180,110983,0,8256,7070,7084,7090,6913
A123310,TIGER 인버스,20181004,7055,7180,7055,7170,83624,7569,9449,7020,7078,7089,6910
A123310,TIGER 인버스,20181002,6980,7060,6970,7060,36209,74,19075,6982,7070,7090,6906
A123310,TIGER 인버스,20181001,6960,6995,6940,6980,58298,0,22627,6973,7069,7091,6904
A123310,TIGER 인버스,20180928,6915,6970,6915,6960,14010,21673,7145,6992,7072,7094,6901
A123310,TIGER 인버스,20180927,6995,6995,6920,6930,69199,27233,-26070,7016,7077,7097,6899
A123310,TIGER 인버스,20180921,6950,7015,6950,6980,56655,8330,17577,7053,7084,7098,6896
A123310,TIGER 인버스,20180920,7055,7060,6980,7015,81813,29601,-1831,7068,7090,7099,6894
A123310,TIGER 인버스,20180919,7050,7100,7050,7075,18824,51305,-6599,7100,7096,7097,6891
A123310,TIGER 인버스,20180918,7160,7160,7075,7080,80346,42898,-22383,7118,7100,7095,6888
A123310,TIGER 인버스,20180917,7085,7130,7070,7115,882312,17532,27960,7135,7104,7092,6884
A123310,TIGER 인버스,20180914,7130,7130,7050,7055,863275,30754,-26947,7142,7112,7089,6881
A123310,TIGER 인버스,20180913,7185,7190,7155,7175,756304,13628,-3407,7164,7122,7087,6876
A123310,TIGER 인버스,20180912,7170,7210,7160,7165,828000,10220,8263,7155,7126,7083,6871
A123310,TIGER 인버스,20180911,7160,7200,7120,7165,809806,13328,-9990,7145,7127,7080,6866
A123310,TIGER 인버스,20180910,7170,7170,7135,7150,15403,7391,5370,7116,7130,7075,6861
A123310,TIGER 인버스,20180907,7170,7210,7140,7165,33943,14370,555,7096,7128,7069,6856
A123310,TIGER 인버스,20180906,7130,7140,7095,7130,16811,192,5847,7066,7123,7062,6850
