stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A123570,이엠넷,20190129,2300,2300,2265,2295,21387,6045924,0,2279,2240,2260,2568
A123570,이엠넷,20190128,2290,2310,2285,2300,66232,6046499,0,2282,2234,2259,2571
A123570,이엠넷,20190125,2290,2290,2245,2280,51244,6041006,0,2281,2224,2258,2574
A123570,이엠넷,20190124,2265,2270,2235,2255,43500,6036949,0,2285,2214,2256,2578
A123570,이엠넷,20190123,2310,2310,2220,2265,127580,6031223,25,2293,2208,2253,2582
A123570,이엠넷,20190122,2305,2340,2285,2310,56805,6027568,0,2291,2204,2252,2585
A123570,이엠넷,20190121,2285,2315,2275,2295,82559,6026079,0,2277,2194,2251,2587
A123570,이엠넷,20190118,2310,2330,2250,2300,80804,6022970,0,2268,2185,2253,2588
A123570,이엠넷,20190117,2255,2325,2255,2295,105222,6021727,0,2256,2176,2255,2590
A123570,이엠넷,20190116,2260,2285,2220,2255,55892,6022468,0,2241,2168,2260,2593
A123570,이엠넷,20190115,2250,2285,2220,2240,42865,6024621,0,2237,2170,2266,2596
A123570,이엠넷,20190114,2265,2300,2220,2250,39061,6030174,0,2232,2171,2272,2600
A123570,이엠넷,20190111,2220,2265,2220,2240,27283,6034990,0,2218,2174,2278,2604
A123570,이엠넷,20190110,2270,2270,2205,2220,27250,6044167,0,2201,2177,2283,2608
A123570,이엠넷,20190109,2245,2260,2205,2235,34444,6051633,0,2181,2183,2289,2611
A123570,이엠넷,20190108,2225,2240,2175,2215,27235,6060260,0,2155,2189,2294,2614
A123570,이엠넷,20190107,2160,2245,2135,2180,59180,6065263,0,2143,2196,2300,2616
A123570,이엠넷,20190104,2120,2165,2105,2155,34827,6070309,0,2127,2208,2309,2619
A123570,이엠넷,20190103,2115,2165,2085,2120,29639,6079978,-23,2115,2220,2320,2623
A123570,이엠넷,20190102,2175,2195,2105,2105,47027,6082230,0,2117,2234,2331,2628
A123570,이엠넷,20181228,2100,2165,2100,2155,37665,6092479,0,2131,2248,2344,2633
A123570,이엠넷,20181227,2100,2190,2080,2100,25945,6092292,0,2123,2256,2357,2639
A123570,이엠넷,20181226,2170,2170,2045,2095,72736,6095198,0,2127,2262,2370,2646
A123570,이엠넷,20181224,2140,2220,2130,2130,37685,6098711,0,2134,2268,2383,2651
A123570,이엠넷,20181221,2095,2265,2095,2175,70321,6101744,0,2134,2274,2396,2658
A123570,이엠넷,20181220,2130,2165,2100,2115,60485,6105821,0,2155,2274,2408,2664
A123570,이엠넷,20181219,2105,2170,2105,2120,55992,6106510,0,2187,2279,2421,2670
