stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A128540,에코캡,20190129,3915,3915,3810,3845,358339,33942,0,3974,3776,0,0
A128540,에코캡,20190128,4050,4055,3930,3940,535711,10796,0,4025,3767,0,0
A128540,에코캡,20190125,3960,4040,3925,3990,577145,43487,0,3997,3740,0,0
A128540,에코캡,20190124,4075,4080,3965,3980,598407,33089,-21200,3937,3708,0,0
A128540,에코캡,20190123,4030,4115,3975,4115,1042759,28806,-12300,3892,3687,0,0
A128540,에코캡,20190122,3850,4495,3840,4100,6290805,33712,-33500,3835,3660,0,0
A128540,에코캡,20190121,3705,3855,3690,3800,675664,50745,0,3746,3621,0,0
A128540,에코캡,20190118,3750,3775,3685,3690,287266,11982,0,3706,3602,0,0
A128540,에코캡,20190117,3950,4040,3690,3755,904758,374,-1450,3683,3592,0,0
A128540,에코캡,20190116,3685,3830,3685,3830,931483,2469,11450,3638,3591,0,0
A128540,에코캡,20190115,3645,3715,3625,3655,363751,23317,1000,3599,3586,0,0
A128540,에코캡,20190114,3545,3625,3535,3600,132962,16789,0,3593,3605,0,0
A128540,에코캡,20190111,3550,3665,3550,3575,297183,13969,0,3638,3633,0,0
A128540,에코캡,20190110,3635,3670,3510,3530,320839,7732,18000,3671,3667,0,0
A128540,에코캡,20190109,3605,3710,3590,3635,329555,16367,14500,3697,3699,0,0
A128540,에코캡,20190108,3820,3820,3625,3625,626415,0,0,3696,3718,0,0
A128540,에코캡,20190107,3795,3870,3725,3825,705778,19484,0,3705,3767,0,0
A128540,에코캡,20190104,3970,3990,3660,3740,1747486,5019,0,3621,3842,0,0
A128540,에코캡,20190103,3650,3980,3565,3660,2156393,0,-81000,3540,0,0,0
A128540,에코캡,20190102,3715,3765,3560,3630,659572,0,0,3521,0,0,0
A128540,에코캡,20181228,3430,3960,3390,3670,4141736,36108,-11145,3511,0,0,0
A128540,에코캡,20181227,3415,3515,3350,3405,357389,7421,0,3441,0,0,0
A128540,에코캡,20181226,3445,3600,3335,3335,654796,18230,20000,3445,0,0,0
A128540,에코캡,20181224,3600,3740,3555,3565,1010061,20164,20000,3472,0,0,0
A128540,에코캡,20181221,3350,3880,3300,3580,3797136,7757,21000,3508,0,0,0
A128540,에코캡,20181220,3430,3460,3300,3320,430781,14780,0,3536,0,0,0
A128540,에코캡,20181219,3470,3590,3405,3425,510850,5334,0,3680,0,0,0
A128540,에코캡,20181218,3700,3795,3400,3470,799934,1679,0,3827,0,0,0
A128540,에코캡,20181217,3710,4080,3640,3745,1435843,3609,0,3986,0,0,0
A128540,에코캡,20181214,4065,4125,3660,3720,1193195,5752,-4995,4069,0,0,0
A128540,에코캡,20181213,4190,4205,3990,4040,1610948,0,0,4129,0,0,0
A128540,에코캡,20181212,4135,4335,4070,4160,1909535,6996,0,4241,0,0,0
A128540,에코캡,20181211,4470,4820,4160,4265,7780284,2914,-86678,4475,0,0,0
A128540,에코캡,20181210,4195,4430,4010,4160,4848647,31091,-14206,0,0,0,0
A128540,에코캡,20181207,4480,4490,3930,4020,4072116,5975,-5229,0,0,0,0
A128540,에코캡,20181206,5470,5500,4525,4600,7999000,28383,-212265,0,0,0,0
A128540,에코캡,20181205,4100,5330,4100,5330,12358031,0,-2529986,0,0,0,0
