stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A129050,앤알커뮤니,20190129,580,581,511,578,1667,0,0,576,592,604,617
A129050,앤알커뮤니,20190128,599,599,570,570,1097,0,0,572,594,605,617
A129050,앤알커뮤니,20190125,599,650,590,590,141,0,0,570,600,607,618
A129050,앤알커뮤니,20190124,619,619,580,580,286,0,0,570,600,607,618
A129050,앤알커뮤니,20190123,600,600,560,560,371,0,0,572,602,608,618
A129050,앤알커뮤니,20190122,550,650,550,560,10019,0,0,578,605,609,618
A129050,앤알커뮤니,20190121,597,597,560,560,9415,0,0,586,607,610,619
A129050,앤알커뮤니,20190118,590,598,590,590,401,0,0,594,610,611,619
A129050,앤알커뮤니,20190117,590,590,589,590,294,0,0,594,613,612,619
A129050,앤알커뮤니,20190116,600,600,590,590,1059,0,0,596,616,613,619
A129050,앤알커뮤니,20190115,629,629,599,599,303,0,0,599,618,613,619
A129050,앤알커뮤니,20190114,570,607,530,599,1743,0,0,599,619,613,619
A129050,앤알커뮤니,20190111,600,600,551,594,444,0,0,602,619,614,619
A129050,앤알커뮤니,20190110,600,609,599,600,64,0,0,608,620,614,619
A129050,앤알커뮤니,20190109,600,605,600,605,81,0,0,608,621,615,619
A129050,앤알커뮤니,20190108,601,610,590,599,16782,0,0,613,620,615,619
A129050,앤알커뮤니,20190107,610,610,605,610,2034,0,0,617,621,616,619
A129050,앤알커뮤니,20190104,630,630,625,625,261,0,0,634,622,616,619
A129050,앤알커뮤니,20190103,601,606,601,601,10012,0,0,629,622,617,619
A129050,앤알커뮤니,20190102,650,650,623,630,5202,0,0,632,623,617,619
A129050,앤알커뮤니,20181228,630,680,620,620,16487,0,0,629,623,618,618
A129050,앤알커뮤니,20181227,600,779,600,695,1021,0,0,626,622,618,617
A129050,앤알커뮤니,20181226,602,615,600,601,10773,0,0,611,620,617,617
A129050,앤알커뮤니,20181224,785,785,615,615,3387,0,0,621,620,619,617
A129050,앤알커뮤니,20181221,600,620,600,616,4661,0,0,627,619,622,616
A129050,앤알커뮤니,20181220,630,630,601,601,711,0,0,632,618,622,616
A129050,앤알커뮤니,20181219,649,649,600,624,14097,0,0,635,618,623,616
A129050,앤알커뮤니,20181218,650,650,645,650,646,0,0,631,615,623,616
A129050,앤알커뮤니,20181217,630,643,601,643,4533,0,0,622,609,622,615
A129050,앤알커뮤니,20181214,650,650,600,640,6851,0,0,616,604,622,615
A129050,앤알커뮤니,20181213,620,645,615,620,12885,0,0,608,602,621,614
A129050,앤알커뮤니,20181212,600,600,600,600,1505,0,0,608,601,621,614
A129050,앤알커뮤니,20181211,609,609,595,609,3023,0,0,612,602,622,614
A129050,앤알커뮤니,20181210,605,609,600,609,3079,0,0,614,601,622,615
A129050,앤알커뮤니,20181207,610,610,600,600,2379,0,0,616,601,622,615
A129050,앤알커뮤니,20181206,620,620,620,620,0,0,0,622,601,623,615
A129050,앤알커뮤니,20181205,620,620,620,620,4521,0,0,621,600,624,615
A129050,앤알커뮤니,20181204,630,630,605,620,22646,0,0,625,600,624,615
A129050,앤알커뮤니,20181203,620,620,620,620,1853,0,0,621,600,624,615
A129050,앤알커뮤니,20181130,620,630,588,629,1204,0,0,617,599,624,615
A129050,앤알커뮤니,20181129,620,620,618,618,1657,0,0,613,599,624,615
A129050,앤알커뮤니,20181128,629,640,610,640,5238,0,0,609,600,624,615
A129050,앤알커뮤니,20181127,600,601,600,600,28365,0,0,592,600,623,615
A129050,앤알커뮤니,20181126,600,600,600,600,700,0,0,579,601,624,615
A129050,앤알커뮤니,20181123,564,607,564,607,1809,0,0,567,602,624,615
A129050,앤알커뮤니,20181122,540,600,540,597,4431,0,0,566,604,624,615
A129050,앤알커뮤니,20181121,537,579,532,555,4618,0,0,566,606,624,615
A129050,앤알커뮤니,20181120,510,545,510,537,1029,0,0,578,609,626,616
A129050,앤알커뮤니,20181119,598,599,480,540,23100,0,0,591,614,627,617
A129050,앤알커뮤니,20181116,599,600,587,599,15043,0,0,604,619,628,617
A129050,앤알커뮤니,20181115,585,600,585,600,1060,0,0,605,620,628,618
A129050,앤알커뮤니,20181114,602,617,530,614,9781,0,0,606,620,628,618
A129050,앤알커뮤니,20181113,608,608,600,600,5324,0,0,603,620,628,618
A129050,앤알커뮤니,20181112,608,645,608,608,10740,0,0,608,621,628,619
A129050,앤알커뮤니,20181109,645,645,605,605,631,0,0,608,622,627,619
A129050,앤알커뮤니,20181108,780,780,601,601,8426,0,0,610,624,627,619
A129050,앤알커뮤니,20181107,600,630,600,602,15717,0,0,618,626,627,620
A129050,앤알커뮤니,20181106,634,634,615,625,2794,0,0,628,627,627,620
A129050,앤알커뮤니,20181105,600,639,600,608,13210,0,0,627,629,627,621
A129050,앤알커뮤니,20181102,700,700,600,616,12476,0,0,629,630,628,621
A129050,앤알커뮤니,20181101,625,640,624,640,1500,0,0,634,633,629,621
A129050,앤알커뮤니,20181031,623,650,620,650,7831,0,0,632,632,629,621
A129050,앤알커뮤니,20181030,650,650,620,620,5948,0,0,628,631,629,622
A129050,앤알커뮤니,20181029,640,640,620,620,2152,0,0,629,637,628,623
A129050,앤알커뮤니,20181026,600,640,600,640,3580,0,0,633,645,628,624
A129050,앤알커뮤니,20181025,630,630,630,630,1796,0,0,629,644,628,625
A129050,앤알커뮤니,20181024,627,631,610,629,2523,0,0,623,644,627,625
A129050,앤알커뮤니,20181023,650,650,625,625,369,0,0,622,644,626,625
A129050,앤알커뮤니,20181022,625,640,625,639,2272,0,0,622,644,626,625
A129050,앤알커뮤니,20181019,630,630,619,620,6042,0,0,618,643,625,625
A129050,앤알커뮤니,20181018,624,624,600,602,11169,0,0,622,643,625,626
A129050,앤알커뮤니,20181017,626,629,620,624,3791,0,0,629,644,625,627
A129050,앤알커뮤니,20181016,640,640,623,623,415,0,0,632,643,624,627
A129050,앤알커뮤니,20181015,700,700,610,623,979,0,0,637,643,624,627
A129050,앤알커뮤니,20181012,640,641,635,636,3357,0,0,638,644,624,626
A129050,앤알커뮤니,20181011,640,650,636,640,2350,0,0,646,644,623,625
A129050,앤알커뮤니,20181010,640,640,636,638,9526,0,0,643,646,623,625
A129050,앤알커뮤니,20181008,630,750,627,650,2252,0,0,643,645,622,625
A129050,앤알커뮤니,20181005,623,625,623,625,234,0,0,659,643,621,625
A129050,앤알커뮤니,20181004,621,679,621,679,2302,0,0,690,643,620,627
A129050,앤알커뮤니,20181002,622,629,621,623,1355,0,0,678,640,618,628
A129050,앤알커뮤니,20181001,620,649,620,639,2906,0,0,682,640,617,631
A129050,앤알커뮤니,20180928,624,740,622,729,1236,0,0,679,639,616,633
A129050,앤알커뮤니,20180927,620,780,610,780,4714,0,0,657,634,614,635
A129050,앤알커뮤니,20180921,620,629,618,620,6990,0,0,625,625,611,636
A129050,앤알커뮤니,20180920,669,669,600,644,9194,0,0,625,626,611,639
A129050,앤알커뮤니,20180919,620,630,620,620,861,0,0,620,623,609,641
A129050,앤알커뮤니,20180918,620,621,619,620,2494,0,0,618,623,609,644
