stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A131220,대한과학,20190129,4935,4985,4800,4905,43939,109065,0,5003,4847,4628,4979
A131220,대한과학,20190128,5010,5070,4965,4970,43722,109362,0,5058,4835,4621,4983
A131220,대한과학,20190125,5050,5090,5000,5030,29778,110095,0,5059,4815,4611,4987
A131220,대한과학,20190124,5530,5780,4995,5050,247679,103009,0,5044,4786,4593,4991
A131220,대한과학,20190123,5130,5180,5040,5060,44616,113764,0,5005,4763,4573,4994
A131220,대한과학,20190122,4995,5190,4970,5180,125947,109630,0,4964,4742,4560,4996
A131220,대한과학,20190121,5010,5030,4940,4975,47845,100819,0,4887,4713,4547,4996
A131220,대한과학,20190118,4855,4965,4815,4955,68322,98315,0,4832,4698,4540,4999
A131220,대한과학,20190117,4870,4915,4770,4855,26031,95392,0,4788,4682,4535,5003
A131220,대한과학,20190116,4795,4860,4760,4855,17907,94409,0,4763,4676,4534,5009
A131220,대한과학,20190115,4700,4845,4700,4795,39742,91600,0,4738,4670,4535,5014
A131220,대한과학,20190114,4735,4775,4695,4700,25419,85899,0,4725,4662,4537,5020
A131220,대한과학,20190111,4700,4745,4685,4735,17172,82353,0,4737,4659,4537,5027
A131220,대한과학,20190110,4720,4750,4695,4730,8996,79122,0,4723,4654,4537,5034
A131220,대한과학,20190109,4750,4780,4680,4730,17211,79271,0,4700,4652,4535,5041
A131220,대한과학,20190108,4760,4780,4700,4730,14785,77774,0,4684,4650,4535,5048
A131220,대한과학,20190107,4700,4760,4695,4760,26327,77379,0,4670,4646,4534,5055
A131220,대한과학,20190104,4620,4675,4510,4665,6821,71710,0,4631,4640,4539,5061
A131220,대한과학,20190103,4615,4695,4615,4615,23007,71874,0,4590,4639,4550,5068
A131220,대한과학,20190102,4660,4725,4590,4650,21506,71626,-12,4583,4639,4562,5075
A131220,대한과학,20181228,4555,4660,4555,4660,14563,70764,0,4580,4632,4576,5080
A131220,대한과학,20181227,4515,4630,4515,4565,13937,67032,0,4570,4624,4592,5087
A131220,대한과학,20181226,4500,4540,4445,4460,31069,66547,890,4590,4623,4610,5093
A131220,대한과학,20181224,4635,4670,4580,4580,12107,69525,0,4629,4627,4629,5101
A131220,대한과학,20181221,4535,4685,4535,4635,51570,91140,84,4657,4620,4646,5110
A131220,대한과학,20181220,4600,4690,4585,4610,16023,85672,83,4677,4606,4663,5119
A131220,대한과학,20181219,4650,4690,4615,4665,20482,84531,1705,4682,4596,4680,5131
A131220,대한과학,20181218,4610,4710,4610,4655,18190,78653,0,4677,4582,4696,5143
A131220,대한과학,20181217,4700,4745,4635,4720,14240,78065,0,4676,4566,4713,5155
A131220,대한과학,20181214,4625,4750,4565,4735,48828,81567,6531,4668,4548,4730,5165
A131220,대한과학,20181213,4650,4690,4625,4635,40388,74236,0,4657,4530,4747,5173
A131220,대한과학,20181212,4650,4720,4625,4640,29301,68191,0,4662,4515,4767,5183
A131220,대한과학,20181211,5100,5390,4650,4650,412929,65613,0,4662,4498,4785,5191
A131220,대한과학,20181210,4675,4705,4600,4680,29662,99333,0,4661,4479,4804,5203
A131220,대한과학,20181207,4670,4735,4640,4680,25281,101393,0,4649,4458,4823,5216
A131220,대한과학,20181206,4600,4675,4580,4660,64353,98665,0,4613,4440,4843,5227
A131220,대한과학,20181205,4600,4650,4560,4640,39296,99403,0,4581,4428,4862,5241
A131220,대한과학,20181204,4690,4690,4595,4645,33988,94369,0,4562,4415,4881,5255
A131220,대한과학,20181203,4530,4730,4500,4620,97133,94566,12,4543,4408,4898,5269
A131220,대한과학,20181130,4460,4550,4460,4500,28525,95072,-117,4506,4404,4916,5286
A131220,대한과학,20181129,4580,4580,4500,4500,30139,95862,-287,4476,4404,4936,5302
A131220,대한과학,20181128,4530,4545,4445,4545,29255,98927,-74,4459,4404,4956,5319
A131220,대한과학,20181127,4440,4550,4435,4550,51640,103471,-860,4427,4397,4975,5335
A131220,대한과학,20181126,4350,4445,4350,4435,31642,105995,-571,4385,4366,4993,5352
A131220,대한과학,20181123,4390,4480,4350,4350,52536,101801,-125,4370,4337,5013,5368
A131220,대한과학,20181122,4450,4780,4390,4415,216161,101921,-177,4372,4332,5036,5386
A131220,대한과학,20181121,4270,4385,4235,4385,20332,134378,-2863,4357,4333,5057,5404
A131220,대한과학,20181120,4310,4340,4240,4340,21903,131381,0,4343,4342,5078,5421
A131220,대한과학,20181119,4350,4400,4315,4360,29831,128677,0,4327,4357,5099,5438
A131220,대한과학,20181116,4390,4390,4300,4360,24267,121728,0,4308,4378,5118,5454
A131220,대한과학,20181115,4315,4345,4245,4340,14873,119739,0,4301,4405,5137,5469
A131220,대한과학,20181114,4230,4390,4230,4315,24164,120547,0,4313,4435,5155,5483
A131220,대한과학,20181113,4110,4260,4110,4260,23201,116969,0,4328,4454,5175,5497
A131220,대한과학,20181112,4305,4370,4265,4265,21389,114108,0,4379,4477,5195,5511
A131220,대한과학,20181109,4440,4440,4315,4325,32765,112780,0,4431,4496,5217,5526
A131220,대한과학,20181108,4430,4520,4375,4400,90311,110151,0,4467,4515,5240,5541
A131220,대한과학,20181107,4540,4570,4350,4390,125221,96825,0,4486,4527,5261,5555
A131220,대한과학,20181106,4540,4575,4450,4515,80379,104237,0,4489,4563,5284,5570
A131220,대한과학,20181105,4480,4540,4430,4525,77926,117739,0,4372,4602,5300,5584
A131220,대한과학,20181102,4480,4550,4410,4505,179275,125205,0,4239,4642,5315,5596
A131220,대한과학,20181101,4405,4495,4295,4495,244544,123408,0,4186,4694,5330,5612
A131220,대한과학,20181031,4100,5040,4100,4405,1637648,118289,0,4177,4748,5346,5624
A131220,대한과학,20181030,3860,3945,3625,3930,93084,109023,774,4208,4810,5363,5636
A131220,대한과학,20181029,4100,4320,3860,3860,78532,89775,0,4349,4894,5388,5654
A131220,대한과학,20181026,4430,4470,4030,4240,83096,89338,0,4535,4980,5414,5674
A131220,대한과학,20181025,4400,4485,4300,4450,89263,93203,0,4667,5052,5432,5687
A131220,대한과학,20181024,4710,4710,4410,4560,122817,99826,0,4763,5112,5445,5700
A131220,대한과학,20181023,4750,4845,4595,4635,149381,104524,0,4793,5164,5458,5710
A131220,대한과학,20181022,4900,4945,4745,4790,140849,114225,0,4807,5216,5471,5721
A131220,대한과학,20181019,4830,4935,4750,4900,278069,114070,0,4779,5262,5483,5732
A131220,대한과학,20181018,5460,6120,4930,4930,3918898,106406,0,4739,5306,5493,5741
A131220,대한과학,20181017,4790,4800,4705,4710,27603,165237,0,4683,5351,5502,5748
A131220,대한과학,20181016,4635,4845,4630,4705,25448,165599,5562,4761,5401,5516,5758
A131220,대한과학,20181015,4700,4840,4570,4650,21719,166059,0,4882,5456,5531,5769
A131220,대한과학,20181012,4490,4700,4490,4700,51046,168656,0,5014,5515,5546,5780
A131220,대한과학,20181011,4800,5080,4570,4650,134344,165316,0,5182,5574,5562,5789
A131220,대한과학,20181010,5200,5270,4945,5100,59471,163307,0,5368,5630,5576,5798
A131220,대한과학,20181008,5170,5380,5170,5310,15065,167145,0,5478,5666,5583,5801
A131220,대한과학,20181005,5450,5540,5300,5310,52591,166588,0,5540,5684,5586,5801
A131220,대한과학,20181004,5530,5570,5480,5540,37408,168734,0,5590,5702,5588,5801
A131220,대한과학,20181002,5650,5680,5550,5580,31609,172969,0,5618,5710,5584,5800
A131220,대한과학,20181001,5620,5670,5600,5650,37904,181911,0,5632,5716,5581,5798
A131220,대한과학,20180928,5530,5680,5530,5620,26302,177123,0,5626,5718,5576,5796
A131220,대한과학,20180927,5680,5680,5560,5560,26013,176165,0,5636,5720,5573,5794
A131220,대한과학,20180921,5650,5730,5610,5680,14234,174986,0,5666,5724,5575,5794
A131220,대한과학,20180920,5680,5720,5580,5650,29061,175126,0,5686,5726,5576,5791
A131220,대한과학,20180919,5680,5720,5620,5620,38299,175920,0,5722,5727,5582,5790
A131220,대한과학,20180918,5690,5810,5580,5670,68283,174152,-250,5740,5728,5590,5789
A131220,대한과학,20180917,5770,5770,5660,5710,28819,168281,-211,5768,5723,5597,5788
A131220,대한과학,20180914,5830,5900,5710,5780,37320,170505,7,5790,5714,5600,5785
A131220,대한과학,20180913,5710,5830,5710,5830,33037,169666,0,5808,5698,5599,5785
A131220,대한과학,20180912,5810,5840,5690,5710,23853,166560,0,5798,5680,5599,5786
A131220,대한과학,20180911,5750,5820,5720,5810,33839,168113,-3,5820,5670,5598,5786
A131220,대한과학,20180910,5970,6000,5760,5820,84579,161616,0,5794,5653,5602,5785
A131220,대한과학,20180907,5770,5870,5750,5870,39257,165075,0,5762,5641,5608,5784
A131220,대한과학,20180906,5900,5920,5740,5780,81410,160582,0,5728,5632,5612,5783
A131220,대한과학,20180905,5660,5940,5650,5820,159328,165452,568,5714,5626,5620,5782
A131220,대한과학,20180904,5630,5730,5630,5680,25326,150480,1798,5688,5622,5628,5780
A131220,대한과학,20180903,5700,5710,5630,5660,17055,146004,0,5682,5612,5640,5779
A131220,대한과학,20180831,5700,5760,5540,5700,49113,143754,0,5676,5600,5657,5778
A131220,대한과학,20180830,5700,5800,5630,5710,16356,133500,0,5682,5587,5668,5777
A131220,대한과학,20180829,5650,5740,5640,5690,20992,131505,0,5674,5574,5682,5774
