stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A131370,알서포트,20190129,2165,2210,2155,2195,82539,11297643,10000,2180,2120,2092,2160
A131370,알서포트,20190128,2200,2220,2165,2175,147435,11297402,0,2171,2114,2085,2161
A131370,알서포트,20190125,2240,2240,2175,2190,77759,11279565,0,2178,2109,2078,2161
A131370,알서포트,20190124,2135,2210,2130,2195,108967,11285909,0,2188,2103,2069,2162
A131370,알서포트,20190123,2150,2150,2085,2145,102927,11282752,26,2177,2097,2060,2162
A131370,알서포트,20190122,2210,2215,2140,2150,177467,11276443,0,2172,2096,2056,2162
A131370,알서포트,20190121,2285,2285,2175,2210,390567,11287461,26,2170,2093,2052,2163
A131370,알서포트,20190118,2140,2240,2130,2240,345610,11314968,-1,2146,2090,2048,2162
A131370,알서포트,20190117,2120,2200,2115,2140,292252,11313924,0,2115,2084,2044,2162
A131370,알서포트,20190116,2160,2160,2100,2120,148051,11319050,0,2104,2085,2042,2162
A131370,알서포트,20190115,2080,2150,2080,2140,162610,11343449,27,2092,2085,2041,2164
A131370,알서포트,20190114,2090,2100,2060,2090,53330,11331760,27,2075,2084,2040,2164
A131370,알서포트,20190111,2095,2100,2060,2085,45507,11331169,27,2063,2085,2041,2166
A131370,알서포트,20190110,2060,2090,2050,2085,51354,11332565,0,2051,2082,2040,2167
A131370,알서포트,20190109,2080,2080,2020,2060,97349,11326452,27,2036,2081,2038,2168
A131370,알서포트,20190108,2035,2070,2015,2055,33826,11313962,0,2035,2086,2036,2170
A131370,알서포트,20190107,2035,2100,2025,2030,112446,11315526,0,2042,2091,2034,2172
A131370,알서포트,20190104,1990,2050,1930,2025,125560,11308709,0,2049,2098,2035,2173
A131370,알서포트,20190103,2065,2080,2005,2010,126317,11296013,0,2058,2106,2037,2175
A131370,알서포트,20190102,2120,2145,2050,2055,65859,11308232,0,2070,2112,2039,2176
A131370,알서포트,20181228,2060,2160,2055,2090,168053,11305322,20000,2083,2115,2041,2177
A131370,알서포트,20181227,2100,2115,2060,2065,56564,11326001,0,2086,2115,2043,2178
A131370,알서포트,20181226,2045,2100,2000,2070,186149,11324978,0,2100,2117,2046,2178
A131370,알서포트,20181224,2105,2110,2070,2070,142587,11325230,30000,2114,2120,2049,2178
A131370,알서포트,20181221,2105,2150,2080,2120,102813,11335568,27,2129,2122,2052,2178
A131370,알서포트,20181220,2135,2140,2090,2105,96831,11320050,-27,2131,2120,2055,2178
A131370,알서포트,20181219,2170,2170,2120,2135,171136,11313016,-24,2135,2121,2057,2179
A131370,알서포트,20181218,2140,2185,2120,2140,237234,11306160,0,2129,2115,2060,2179
A131370,알서포트,20181217,2120,2170,2105,2145,156004,11326103,0,2104,2110,2063,2180
A131370,알서포트,20181214,2110,2145,2050,2130,155581,11302318,0,2089,2105,2066,2180
A131370,알서포트,20181213,2125,2150,2090,2125,164299,11289871,-66918,2095,2099,2070,2180
A131370,알서포트,20181212,2015,2130,2015,2105,228634,11234701,49950,2100,2092,2073,2181
A131370,알서포트,20181211,2055,2280,2000,2015,1185597,11178896,30000,2113,2086,2077,2182
A131370,알서포트,20181210,2125,2160,2070,2070,169427,11132362,39999,2150,2084,2083,2183
A131370,알서포트,20181207,2150,2195,2125,2160,70125,11128471,0,2160,2080,2088,2184
A131370,알서포트,20181206,2170,2185,2135,2150,163828,11122728,0,2152,2074,2092,2185
A131370,알서포트,20181205,2145,2200,2140,2170,195626,11131772,0,2139,2071,2096,2187
A131370,알서포트,20181204,2135,2240,2110,2200,524128,11131855,0,2126,2063,2101,2188
A131370,알서포트,20181203,2105,2145,2105,2120,146600,11134437,20000,2114,2058,2104,2190
A131370,알서포트,20181130,2060,2125,2060,2120,78068,11127793,30000,2109,2051,2107,2192
A131370,알서포트,20181129,2120,2135,2070,2085,118284,11131187,-9792,2101,2040,2111,2194
A131370,알서포트,20181128,2155,2155,2090,2105,148843,11135879,-6128,2109,2026,2116,2196
A131370,알서포트,20181127,2095,2145,2080,2140,151972,11154404,0,2093,2006,2122,2198
A131370,알서포트,20181126,2080,2110,2035,2095,154685,11138790,0,2071,1982,2127,2199
A131370,알서포트,20181123,2085,2160,2080,2080,349145,11106482,27,2062,1963,2133,2200
A131370,알서포트,20181122,2025,2400,2015,2125,3015126,11063128,2911,2047,1953,2140,2202
A131370,알서포트,20181121,2010,2045,2005,2025,89822,11052240,30000,2022,1941,2145,2204
A131370,알서포트,20181120,2020,2065,2000,2030,76554,11050882,0,2011,1939,2152,2206
A131370,알서포트,20181119,2040,2060,1990,2050,119548,11046071,30000,2002,1936,2158,2209
A131370,알서포트,20181116,2010,2025,1990,2005,111861,11031616,20000,1990,1937,2165,2212
A131370,알서포트,20181115,1970,2010,1960,2000,134372,11022354,30000,1997,1940,2172,2215
A131370,알서포트,20181114,1970,1995,1950,1970,109911,11031414,-41056,2013,1944,2178,2218
A131370,알서포트,20181113,1960,1995,1910,1985,176402,11012844,0,2023,1951,2185,2221
A131370,알서포트,20181112,2045,2050,1970,1990,203750,11006752,0,2046,1952,2190,2224
A131370,알서포트,20181109,2080,2090,2030,2040,123604,10992525,0,2044,1951,2196,2228
A131370,알서포트,20181108,2025,2105,2025,2080,142941,10972695,0,2015,1948,2203,2233
A131370,알서포트,20181107,2105,2110,2015,2020,264920,10964326,0,1959,1941,2208,2237
A131370,알서포트,20181106,1980,2125,1980,2100,1056915,10981985,41056,1899,1943,2213,2242
A131370,알서포트,20181105,1900,2180,1830,1980,2039412,11001903,0,1810,1945,2216,2246
A131370,알서포트,20181102,1800,1920,1800,1895,159069,11114763,0,1756,1954,2222,2250
A131370,알서포트,20181101,1720,1860,1700,1800,158073,11110131,0,1754,1969,2229,2257
A131370,알서포트,20181031,1660,1740,1655,1720,113094,11116273,0,1770,1988,2237,2264
A131370,알서포트,20181030,1470,1745,1470,1655,362352,11098523,0,1823,2013,2245,2271
A131370,알서포트,20181029,1850,1920,1625,1710,335748,11063492,0,1888,2045,2255,2279
A131370,알서포트,20181026,1880,1930,1835,1885,247265,11061962,1,1959,2072,2264,2286
A131370,알서포트,20181025,1910,1980,1830,1880,275334,11083439,0,1995,2092,2269,2292
A131370,알서포트,20181024,1965,2020,1920,1985,129696,11120228,0,2035,2110,2274,2296
A131370,알서포트,20181023,2065,2070,1980,1980,130721,11116974,0,2058,2127,2277,2301
A131370,알서포트,20181022,2065,2090,2010,2065,51582,11132763,-23,2066,2144,2280,2305
A131370,알서포트,20181019,2075,2095,1995,2065,92673,11140532,0,2046,2157,2283,2309
A131370,알서포트,20181018,2110,2110,2040,2080,125733,11159646,0,2027,2170,2286,2313
A131370,알서포트,20181017,2015,2100,2005,2100,89042,11188686,0,1999,2183,2288,2318
A131370,알서포트,20181016,1980,2020,1970,2020,91579,11205266,0,1992,2196,2291,2322
A131370,알서포트,20181015,1975,2005,1955,1965,162185,11208541,0,2016,2212,2295,2327
A131370,알서포트,20181012,1825,2005,1825,1970,356230,11203337,0,2053,2232,2300,2332
A131370,알서포트,20181011,1970,2080,1940,1940,481173,11182281,5737,2100,2253,2304,2337
A131370,알서포트,20181010,2120,2160,2060,2065,220232,11178484,-23,2146,2278,2309,2342
A131370,알서포트,20181008,2145,2170,2120,2140,52994,11204654,0,2179,2296,2312,2345
A131370,알서포트,20181005,2205,2205,2145,2150,133263,11205320,-24,2210,2308,2313,2348
A131370,알서포트,20181004,2175,2210,2140,2205,172194,11220665,0,2231,2317,2314,2351
A131370,알서포트,20181002,2230,2235,2170,2170,218967,11210092,0,2245,2325,2313,2353
A131370,알서포트,20181001,2295,2305,2215,2230,206275,11218187,-31376,2262,2334,2313,2355
A131370,알서포트,20180928,2255,2310,2255,2295,104230,11259921,0,2279,2345,2311,2356
A131370,알서포트,20180927,2290,2295,2245,2255,102445,11261005,-13983,2282,2354,2306,2358
A131370,알서포트,20180921,2270,2285,2245,2275,131123,11255009,0,2297,2364,2304,2360
A131370,알서포트,20180920,2315,2320,2240,2255,254593,11240840,0,2309,2375,2302,2361
A131370,알서포트,20180919,2350,2370,2295,2315,207210,11239819,0,2326,2384,2300,2362
A131370,알서포트,20180918,2340,2345,2280,2310,148685,11235710,0,2332,2388,2298,2363
A131370,알서포트,20180917,2335,2350,2310,2330,104879,11230903,0,2342,2394,2296,2363
A131370,알서포트,20180914,2350,2370,2320,2335,156851,11228059,0,2347,2400,2294,2364
A131370,알서포트,20180913,2345,2370,2320,2340,144956,11196298,0,2359,2406,2291,2364
A131370,알서포트,20180912,2360,2395,2330,2345,141740,11182451,0,2378,2407,2289,2365
