stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A133750,메가엠디,20190129,2495,2495,2460,2460,66021,974852,-8113,2500,2421,2448,2646
A133750,메가엠디,20190128,2530,2600,2470,2475,234851,978230,8089,2498,2416,2444,2650
A133750,메가엠디,20190125,2515,2530,2490,2520,141014,994372,0,2497,2409,2440,2654
A133750,메가엠디,20190124,2600,2615,2505,2510,268342,980729,0,2485,2398,2432,2656
A133750,메가엠디,20190123,2450,2535,2440,2535,308495,1008241,0,2476,2392,2423,2658
A133750,메가엠디,20190122,2490,2500,2445,2450,98288,1005140,0,2466,2390,2418,2660
A133750,메가엠디,20190121,2500,2510,2455,2470,83540,1003912,0,2470,2392,2416,2662
A133750,메가엠디,20190118,2470,2485,2425,2460,67675,1003014,3149,2459,2396,2416,2664
A133750,메가엠디,20190117,2485,2500,2460,2465,82094,998070,0,2442,2400,2417,2665
A133750,메가엠디,20190116,2470,2495,2450,2485,65258,1004945,0,2425,2398,2420,2669
A133750,메가엠디,20190115,2445,2500,2425,2470,255024,1000469,0,2403,2395,2424,2673
A133750,메가엠디,20190114,2385,2415,2375,2415,133253,1000703,971,2376,2394,2426,2676
A133750,메가엠디,20190111,2375,2425,2355,2375,74660,989265,0,2352,2396,2429,2682
A133750,메가엠디,20190110,2375,2395,2350,2380,72351,985508,0,2337,2394,2434,2687
A133750,메가엠디,20190109,2360,2375,2290,2375,58721,990053,0,2322,2394,2436,2692
A133750,메가엠디,20190108,2305,2365,2305,2335,61425,992595,0,2314,2399,2439,2697
A133750,메가엠디,20190107,2305,2355,2295,2295,62503,990612,0,2321,2406,2440,2701
A133750,메가엠디,20190104,2370,2370,2255,2300,49759,1006041,0,2328,2418,2445,2705
A133750,메가엠디,20190103,2325,2375,2285,2305,69138,1009843,0,2328,2430,2452,2710
A133750,메가엠디,20190102,2365,2415,2335,2335,46589,1016904,24,2347,2442,2459,2715
A133750,메가엠디,20181228,2315,2370,2305,2370,32836,1021123,0,2375,2451,2469,2722
A133750,메가엠디,20181227,2310,2360,2300,2330,53261,1013815,0,2402,2460,2478,2727
A133750,메가엠디,20181226,2355,2395,2270,2300,120183,1010417,0,2445,2468,2488,2732
A133750,메가엠디,20181224,2440,2470,2400,2400,84849,1028298,0,2491,2477,2500,2737
A133750,메가엠디,20181221,2495,2540,2475,2475,63249,1061253,0,2500,2483,2510,2743
A133750,메가엠디,20181220,2510,2550,2490,2505,120582,1057848,0,2488,2481,2519,2747
A133750,메가엠디,20181219,2500,2565,2470,2545,262021,1053622,0,2479,2484,2526,2752
A133750,메가엠디,20181218,2415,2530,2415,2530,265186,1062181,0,2458,2482,2534,2757
A133750,메가엠디,20181217,2420,2485,2395,2445,92278,1056653,0,2422,2483,2542,2762
A133750,메가엠디,20181214,2460,2470,2415,2415,70209,1051260,0,2407,2490,2553,2766
A133750,메가엠디,20181213,2445,2465,2415,2460,48970,1058264,0,2418,2496,2565,2772
A133750,메가엠디,20181212,2350,2450,2350,2440,99212,1039749,0,2421,2500,2578,2777
A133750,메가엠디,20181211,2370,2405,2335,2350,94228,1015018,0,2439,2513,2589,2782
A133750,메가엠디,20181210,2440,2465,2365,2370,143434,996313,0,2481,2526,2603,2789
A133750,메가엠디,20181207,2490,2545,2470,2470,123071,989171,0,2514,2533,2617,2796
A133750,메가엠디,20181206,2525,2545,2455,2475,181029,962813,-6273,2522,2531,2630,2803
A133750,메가엠디,20181205,2500,2545,2480,2530,124199,982263,-3136,2539,2522,2640,2809
A133750,메가엠디,20181204,2545,2605,2540,2560,167828,955223,0,2528,2508,2650,2816
A133750,메가엠디,20181203,2530,2570,2515,2535,142891,937174,0,2515,2496,2661,2823
A133750,메가엠디,20181130,2580,2580,2500,2510,91093,905334,0,2512,2486,2671,2832
A133750,메가엠디,20181129,2480,2645,2480,2560,465598,902579,0,2497,2474,2684,2841
A133750,메가엠디,20181128,2495,2545,2410,2475,103592,877309,0,2498,2455,2695,2852
A133750,메가엠디,20181127,2515,2535,2480,2495,89989,861565,0,2503,2444,2708,2868
A133750,메가엠디,20181126,2435,2540,2430,2520,119378,853374,0,2515,2422,2714,2881
A133750,메가엠디,20181123,2540,2590,2415,2435,205758,836476,0,2525,2393,2721,2896
A133750,메가엠디,20181122,2500,2620,2490,2565,209791,853412,0,2545,2383,2730,2911
A133750,메가엠디,20181121,2550,2550,2460,2500,228279,859291,0,2544,2373,2737,2924
A133750,메가엠디,20181120,2510,2585,2410,2555,353465,852502,0,2581,2370,2745,2938
A133750,메가엠디,20181119,2760,2780,2570,2570,952512,834120,0,2595,2369,2752,2951
A133750,메가엠디,20181116,2560,2610,2485,2535,653551,935031,-4427,2581,2374,2760,2955
A133750,메가엠디,20181115,2700,2720,2540,2560,443807,920486,0,2561,2380,2767,2961
A133750,메가엠디,20181114,2855,2915,2660,2685,2346770,917337,0,2505,2383,2772,2966
A133750,메가엠디,20181113,2510,2720,2505,2625,2606075,977000,4341,2422,2380,2775,2969
A133750,메가엠디,20181112,2470,2590,2400,2500,897251,951351,0,2361,2380,2779,2970
A133750,메가엠디,20181109,2265,2725,2265,2435,3083505,988294,0,2326,2382,2787,2973
A133750,메가엠디,20181108,2285,2335,2270,2280,42913,1052351,0,2293,2387,2796,2977
A133750,메가엠디,20181107,2330,2365,2240,2270,82810,1057027,0,2272,2392,2807,2982
A133750,메가엠디,20181106,2330,2365,2260,2320,81339,1067049,0,2271,2409,2817,2986
A133750,메가엠디,20181105,2275,2370,2210,2325,178626,1090526,0,2216,2429,2826,2991
A133750,메가엠디,20181102,2215,2285,2215,2270,101816,1093872,0,2140,2450,2835,2995
A133750,메가엠디,20181101,2265,2345,2175,2175,242808,1065876,0,2134,2481,2844,2999
A133750,메가엠디,20181031,2035,2300,2035,2265,374613,1064485,0,2170,2518,2857,3005
A133750,메가엠디,20181030,1805,2105,1805,2045,606324,1042911,0,2207,2554,2867,3010
A133750,메가엠디,20181029,2240,2295,1945,1945,390506,929811,0,2304,2600,2880,3017
A133750,메가엠디,20181026,2365,2430,2200,2240,172271,864222,0,2447,2654,2894,3024
A133750,메가엠디,20181025,2435,2435,2305,2355,227081,866204,0,2532,2692,2902,3029
A133750,메가엠디,20181024,2535,2625,2450,2450,128700,827382,0,2584,2721,2907,3033
A133750,메가엠디,20181023,2630,2680,2530,2530,90911,814785,0,2618,2749,2911,3035
A133750,메가엠디,20181022,2630,2690,2625,2660,52844,820645,0,2638,2775,2914,3036
A133750,메가엠디,20181019,2550,2665,2510,2665,79196,825142,0,2616,2795,2917,3036
A133750,메가엠디,20181018,2605,2660,2595,2615,57879,818250,0,2588,2820,2922,3035
A133750,메가엠디,20181017,2610,2680,2610,2620,70554,806538,0,2543,2850,2927,3035
A133750,메가엠디,20181016,2550,2630,2550,2630,55782,797177,0,2541,2876,2934,3035
A133750,메가엠디,20181015,2505,2755,2505,2550,259835,781722,0,2559,2902,2941,3035
A133750,메가엠디,20181012,2365,2600,2350,2525,298134,784395,0,2597,2936,2948,3035
A133750,메가엠디,20181011,2485,2565,2390,2390,391717,762661,0,2670,2971,2954,3035
A133750,메가엠디,20181010,2705,2745,2610,2610,163911,717708,0,2775,3008,2962,3036
A133750,메가엠디,20181008,2740,2795,2705,2720,93746,727275,0,2849,3034,2966,3036
A133750,메가엠디,20181005,2815,2860,2725,2740,239900,693409,0,2901,3056,2967,3035
A133750,메가엠디,20181004,2915,2960,2815,2890,225721,693304,-14,2958,3078,2970,3034
A133750,메가엠디,20181002,2965,2995,2895,2915,204416,687783,0,2980,3096,2974,3033
A133750,메가엠디,20181001,3040,3040,2960,2980,120706,671324,1695,2983,3111,2976,3030
A133750,메가엠디,20180928,3015,3050,2980,2980,196877,663018,0,2987,3124,2976,3027
A133750,메가엠디,20180927,3000,3040,2980,3025,121001,663357,0,3002,3120,2974,3024
A133750,메가엠디,20180921,2950,3015,2925,3000,140846,654523,0,3008,3115,2975,3020
A133750,메가엠디,20180920,3000,3065,2905,2930,330471,618065,0,3041,3115,2976,3016
A133750,메가엠디,20180919,3075,3095,3000,3000,201087,607304,0,3097,3116,2978,3012
A133750,메가엠디,20180918,3055,3105,3030,3055,194632,580172,0,3125,3115,2981,3009
A133750,메가엠디,20180917,3155,3185,2980,3055,507887,551422,0,3146,3114,2982,3005
A133750,메가엠디,20180914,3230,3235,3150,3165,340545,504573,0,3180,3111,2980,3000
A133750,메가엠디,20180913,3140,3215,3105,3210,278305,532954,0,3193,3100,2979,2996
A133750,메가엠디,20180912,3180,3185,3105,3140,252631,491154,0,3175,3084,2977,2991
A133750,메가엠디,20180911,3230,3245,3160,3160,322364,456010,0,3173,3070,2975,2987
A133750,메가엠디,20180910,3200,3250,3165,3225,450415,478388,0,3175,3056,2975,2983
A133750,메가엠디,20180907,3120,3255,3070,3230,1146661,507613,0,3165,3044,2975,2979
A133750,메가엠디,20180906,3130,3170,3080,3120,252981,483426,0,3170,3030,2976,2974
A133750,메가엠디,20180905,3180,3190,3115,3130,370176,486650,0,3189,3021,2978,2971
A133750,메가엠디,20180904,3175,3250,3165,3170,544033,471969,0,3213,3008,2981,2968
A133750,메가엠디,20180903,3250,3300,3170,3175,844236,461900,-8430,3156,2992,2985,2964
A133750,메가엠디,20180831,3220,3255,3150,3255,987821,566474,0,3106,2976,2992,2960
A133750,메가엠디,20180830,3245,3245,3135,3215,1327263,605165,0,3057,2955,2998,2955
A133750,메가엠디,20180829,2895,3300,2895,3250,6699281,663433,0,3004,2941,3010,2949
A133750,메가엠디,20180828,2940,2980,2865,2885,322674,766484,0,2949,2923,3028,2943
A133750,메가엠디,20180827,3005,3060,2925,2925,518917,733864,0,2977,2919,3048,2941
A133750,메가엠디,20180824,2960,3050,2960,3010,394117,787388,0,2992,2912,3071,2939
A133750,메가엠디,20180823,2975,3015,2945,2950,162138,780316,0,2980,2898,3092,2936
A133750,메가엠디,20180822,3020,3045,2920,2975,378228,808747,0,2966,2885,3112,2934
A133750,메가엠디,20180821,2995,3065,2975,3025,496798,817104,0,2943,2870,3132,2932
A133750,메가엠디,20180820,2990,3080,2950,3000,865320,829675,0,2914,2852,3149,2929
A133750,메가엠디,20180817,2880,2980,2860,2950,265457,904639,0,2912,2846,3151,2927
A133750,메가엠디,20180816,2900,2955,2820,2880,383735,855024,1,2914,2845,3155,2924
A133750,메가엠디,20180814,2930,2940,2840,2860,523501,866082,0,2924,2848,3160,2922
A133750,메가엠디,20180813,2995,3000,2815,2880,393528,895394,0,2926,2857,3162,2920
A133750,메가엠디,20180810,2960,3005,2950,2990,212371,977999,0,2922,2864,3161,2917
A133750,메가엠디,20180809,2975,3075,2910,2960,601675,987402,0,2894,2865,3159,2913
A133750,메가엠디,20180808,2860,2930,2860,2930,156169,993912,0,2870,2862,3158,2909
A133750,메가엠디,20180807,2840,2885,2835,2870,60669,966250,0,2869,2858,3157,2906
A133750,메가엠디,20180806,2845,2910,2840,2860,104448,964214,0,2874,2856,3156,2903
A133750,메가엠디,20180803,2835,2970,2825,2850,179136,932797,6223,2862,2853,3156,2900
A133750,메가엠디,20180802,2915,2915,2800,2840,156778,933349,0,2850,2857,3155,2898
A133750,메가엠디,20180801,2885,2995,2860,2925,281667,945900,0,2829,2872,3154,2897
A133750,메가엠디,20180731,2810,3055,2770,2895,1380835,937784,0,2780,2877,3154,2896
A133750,메가엠디,20180730,2770,2815,2765,2800,73517,988933,0,2737,2880,3153,2895
A133750,메가엠디,20180727,2740,2820,2715,2790,93409,985337,0,2710,2884,3154,2894
A133750,메가엠디,20180726,2705,2775,2695,2735,111746,961318,0,2728,2899,3154,2895
A133750,메가엠디,20180725,2670,2715,2605,2680,259403,920234,1,2768,2914,3156,2895
A133750,메가엠디,20180724,2665,2745,2665,2680,120321,886813,0,2820,2932,3158,2896
A133750,메가엠디,20180723,2850,2870,2620,2665,305498,844314,0,2890,2957,3158,2896
A133750,메가엠디,20180720,2900,2950,2860,2880,179170,831632,0,2963,2979,3158,2896
