stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A134610,HK자산관리대부,20190129,180,264,180,249,43,0,0,264,249,260,273
A134610,HK자산관리대부,20190128,213,296,213,296,2,0,0,264,250,261,273
A134610,HK자산관리대부,20190125,269,269,256,256,367,0,0,245,248,261,273
A134610,HK자산관리대부,20190124,242,269,242,269,180,0,0,243,246,262,273
A134610,HK자산관리대부,20190123,201,258,201,252,19,0,0,239,247,262,273
A134610,HK자산관리대부,20190122,278,278,245,245,163,0,0,235,247,262,273
A134610,HK자산관리대부,20190121,238,277,202,202,843,0,0,237,247,262,272
A134610,HK자산관리대부,20190118,269,269,222,245,322,0,0,247,251,264,273
A134610,HK자산관리대부,20190117,210,259,210,251,1729,0,0,246,253,265,273
A134610,HK자산관리대부,20190116,299,299,203,230,32,0,0,245,253,265,273
A134610,HK자산관리대부,20190115,248,260,248,259,2205,0,0,249,253,267,274
A134610,HK자산관리대부,20190114,182,295,182,248,445,0,0,248,250,267,274
A134610,HK자산관리대부,20190111,289,289,240,240,282,0,0,246,252,268,274
A134610,HK자산관리대부,20190110,294,294,178,246,761,0,0,246,253,269,274
A134610,HK자산관리대부,20190109,252,252,252,252,0,0,0,248,253,269,274
A134610,HK자산관리대부,20190108,252,252,252,252,0,0,0,249,254,270,274
A134610,HK자산관리대부,20190107,278,278,240,240,834,0,0,251,253,270,274
A134610,HK자산관리대부,20190104,240,240,240,240,341,0,0,255,254,271,274
A134610,HK자산관리대부,20190103,289,289,240,255,213,0,0,249,256,271,275
A134610,HK자산관리대부,20190102,293,293,240,260,410,0,0,256,258,273,274
A134610,HK자산관리대부,20181228,299,299,230,259,1392,0,0,254,259,273,275
A134610,HK자산관리대부,20181227,287,287,211,259,33,0,0,252,260,273,275
A134610,HK자산관리대부,20181226,222,222,210,210,15136,0,0,256,261,272,275
A134610,HK자산관리대부,20181224,290,290,290,290,1,0,0,271,264,273,275
A134610,HK자산관리대부,20181221,259,259,240,250,55,0,0,263,264,273,275
A134610,HK자산관리대부,20181220,260,260,210,249,267,0,0,259,265,273,275
A134610,HK자산관리대부,20181219,200,280,200,280,344,0,0,251,264,273,275
A134610,HK자산관리대부,20181218,285,285,285,285,1,0,0,251,263,272,275
A134610,HK자산관리대부,20181217,251,251,251,251,300,0,0,245,262,273,275
A134610,HK자산관리대부,20181214,228,228,228,228,659,0,0,247,263,274,275
A134610,HK자산관리대부,20181213,202,265,200,210,1437,0,0,254,265,273,275
A134610,HK자산관리대부,20181212,280,280,280,280,1,0,0,258,268,275,276
A134610,HK자산관리대부,20181211,255,255,255,255,0,0,0,256,268,275,275
A134610,HK자산관리대부,20181210,252,260,250,260,734,0,0,259,269,276,275
A134610,HK자산관리대부,20181207,255,269,255,264,7,0,0,266,270,277,275
A134610,HK자산관리대부,20181206,231,231,231,231,100,0,0,269,270,277,275
A134610,HK자산관리대부,20181205,256,270,256,270,913,0,0,279,273,278,276
A134610,HK자산관리대부,20181204,210,270,203,270,5257,0,0,280,274,278,276
A134610,HK자산관리대부,20181203,202,295,202,295,16,0,0,282,274,279,276
A134610,HK자산관리대부,20181130,280,280,280,280,2,0,0,279,273,279,276
A134610,HK자산관리대부,20181129,245,280,245,280,211,0,0,279,273,279,276
A134610,HK자산관리대부,20181128,276,276,200,276,501,0,0,267,272,281,276
A134610,HK자산관리대부,20181127,279,279,279,279,63,0,0,264,274,281,276
A134610,HK자산관리대부,20181126,279,279,279,279,1,0,0,262,275,283,277
A134610,HK자산관리대부,20181123,238,280,238,280,2,0,0,260,275,285,277
A134610,HK자산관리대부,20181122,220,220,220,220,1,0,0,258,273,286,278
A134610,HK자산관리대부,20181121,251,260,250,260,275,0,0,270,275,287,278
A134610,HK자산관리대부,20181120,220,271,220,270,960,0,0,274,280,288,278
A134610,HK자산관리대부,20181119,189,270,189,270,3597,0,0,272,281,288,279
A134610,HK자산관리대부,20181116,270,270,270,270,1,0,0,274,280,288,279
A134610,HK자산관리대부,20181115,200,280,200,280,7,0,0,276,283,288,279
A134610,HK자산관리대부,20181114,280,280,280,280,1,0,0,277,283,288,279
A134610,HK자산관리대부,20181113,235,258,230,258,833,0,0,279,284,288,279
A134610,HK자산관리대부,20181112,230,280,180,280,823,0,0,279,285,288,280
A134610,HK자산관리대부,20181109,230,280,230,280,101,0,0,279,285,287,280
A134610,HK자산관리대부,20181108,202,290,202,287,1313,0,0,279,285,287,280
A134610,HK자산관리대부,20181107,261,288,246,288,130,0,0,274,284,286,280
A134610,HK자산관리대부,20181106,261,261,259,261,358,0,0,280,284,286,280
A134610,HK자산관리대부,20181105,349,349,251,280,411,0,0,288,285,285,280
A134610,HK자산관리대부,20181102,299,299,280,280,31,0,0,288,287,285,280
A134610,HK자산관리대부,20181101,251,261,251,261,141,0,0,280,287,286,281
A134610,HK자산관리대부,20181031,349,349,230,318,250,0,0,279,287,286,281
A134610,HK자산관리대부,20181030,348,348,270,299,1263,0,0,286,281,285,281
A134610,HK자산관리대부,20181029,240,298,240,280,312,0,0,287,280,285,280
A134610,HK자산관리대부,20181026,320,320,230,240,2887,0,0,279,280,284,280
A134610,HK자산관리대부,20181025,458,458,248,260,861,0,0,299,282,284,281
A134610,HK자산관리대부,20181024,353,353,353,353,50,0,0,300,279,283,281
A134610,HK자산관리대부,20181023,314,314,250,301,370,0,0,292,274,281,281
A134610,HK자산관리대부,20181022,390,390,240,240,884,0,0,287,276,281,281
A134610,HK자산관리대부,20181019,185,343,185,343,21,0,0,294,278,281,281
A134610,HK자산관리대부,20181018,210,265,210,265,291,0,0,281,271,280,281
A134610,HK자산관리대부,20181017,318,318,240,309,830,0,0,284,273,281,281
A134610,HK자산관리대부,20181016,319,319,260,279,76,0,0,277,274,280,281
A134610,HK자산관리대부,20181015,349,349,274,275,2070,0,0,278,276,280,281
A134610,HK자산관리대부,20181012,190,309,190,279,1594,0,0,288,278,279,281
A134610,HK자산관리대부,20181011,190,304,190,276,2945,0,0,286,277,278,281
A134610,HK자산관리대부,20181010,181,278,181,278,2384,0,0,284,276,277,281
A134610,HK자산관리대부,20181008,202,310,202,280,2697,0,0,268,278,278,281
A134610,HK자산관리대부,20181005,202,325,202,325,225,0,0,268,278,278,281
A134610,HK자산관리대부,20181004,265,270,265,270,707,0,0,260,277,276,281
A134610,HK자산관리대부,20181002,220,284,220,265,1249,0,0,262,279,277,282
A134610,HK자산관리대부,20181001,279,279,200,200,4,0,0,250,283,277,282
A134610,HK자산관리대부,20180928,265,280,203,280,1022,0,0,260,288,278,283
A134610,HK자산관리대부,20180927,200,285,200,285,20315,0,0,273,294,278,283
A134610,HK자산관리대부,20180921,280,283,160,280,15,0,0,270,298,278,283
A134610,HK자산관리대부,20180920,309,309,203,203,7,0,0,256,302,276,283
A134610,HK자산관리대부,20180919,252,252,252,252,1,0,0,276,306,276,284
A134610,HK자산관리대부,20180918,220,349,220,344,600,0,0,289,308,277,284
A134610,HK자산관리대부,20180917,273,273,201,273,905,0,0,284,305,276,283
A134610,HK자산관리대부,20180914,210,210,210,210,1,0,0,294,307,276,284
A134610,HK자산관리대부,20180913,300,300,300,300,10,0,0,303,309,277,284
A134610,HK자산관리대부,20180912,319,319,319,319,0,0,0,295,308,277,284
A134610,HK자산관리대부,20180911,319,319,319,319,1,0,0,293,306,275,284
A134610,HK자산관리대부,20180910,258,320,258,320,370,0,0,287,303,274,284
A134610,HK자산관리대부,20180907,258,258,258,258,61,0,0,285,297,272,284
A134610,HK자산관리대부,20180906,258,258,258,258,1,0,0,293,298,273,284
A134610,HK자산관리대부,20180905,216,309,216,309,3,0,0,311,298,274,284
A134610,HK자산관리대부,20180904,390,390,290,290,9,0,0,312,295,274,284
A134610,HK자산관리대부,20180903,310,310,310,310,1,0,0,333,293,273,284
A134610,HK자산관리대부,20180831,214,299,214,299,30,0,0,345,292,272,284
A134610,HK자산관리대부,20180830,218,399,217,349,376,0,0,355,292,272,284
A134610,HK자산관리대부,20180829,308,315,217,310,380,0,0,341,289,272,284
A134610,HK자산관리대부,20180828,300,398,300,398,220,0,0,340,287,271,285
A134610,HK자산관리대부,20180827,202,369,202,369,125,0,0,317,280,271,284
A134610,HK자산관리대부,20180824,280,347,280,347,21,0,0,303,275,270,284
A134610,HK자산관리대부,20180823,395,395,250,280,60,0,0,286,269,270,283
A134610,HK자산관리대부,20180822,308,308,308,308,7,0,0,286,264,269,284
A134610,HK자산관리대부,20180821,365,365,201,280,37,0,0,278,260,269,285
A134610,HK자산관리대부,20180820,204,300,204,300,10,0,0,274,260,270,286
A134610,HK자산관리대부,20180817,300,300,261,261,1230,0,0,255,259,270,287
A134610,HK자산관리대부,20180816,280,280,270,280,2302,0,0,259,261,270,288
A134610,HK자산관리대부,20180814,321,321,260,270,76,0,0,255,261,271,289
A134610,HK자산관리대부,20180813,207,260,207,260,4219,0,0,251,262,271,289
A134610,HK자산관리대부,20180810,206,206,206,206,2,0,0,250,261,271,289
A134610,HK자산관리대부,20180809,290,290,201,279,786,0,0,264,261,273,290
A134610,HK자산관리대부,20180808,345,345,250,261,80,0,0,268,260,274,290
A134610,HK자산관리대부,20180807,201,290,201,250,276,0,0,276,258,274,291
A134610,HK자산관리대부,20180806,252,252,252,252,1,0,0,278,260,274,292
A134610,HK자산관리대부,20180803,211,280,211,278,1118,0,0,279,262,275,292
A134610,HK자산관리대부,20180802,299,300,227,300,1583,0,0,276,260,275,293
A134610,HK자산관리대부,20180801,329,329,300,300,3,0,0,263,261,275,294
A134610,HK자산관리대부,20180731,259,259,259,259,0,0,0,239,257,275,295
A134610,HK자산관리대부,20180730,260,260,202,260,768,0,0,234,258,276,297
A134610,HK자산관리대부,20180727,166,299,166,260,26,0,0,237,259,275,298
A134610,HK자산관리대부,20180726,236,236,236,236,50,0,0,243,260,276,298
A134610,HK자산관리대부,20180725,182,182,182,182,3,0,0,253,259,277,300
A134610,HK자산관리대부,20180724,231,231,231,231,1,0,0,273,260,279,302
A134610,HK자산관리대부,20180723,191,279,191,275,3463,0,0,285,263,280,302
A134610,HK자산관리대부,20180720,270,289,211,289,377,0,0,280,263,281,302
A134610,HK자산관리대부,20180719,201,290,201,290,221,0,0,260,263,281,302
