stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A136660,큐엠씨,20190129,4900,4900,4900,4900,0,0,0,4911,5315,5079,6275
A136660,큐엠씨,20190128,4900,4900,4900,4900,1000,0,0,4918,5360,5097,6298
A136660,큐엠씨,20190125,4755,5000,4755,5000,2083,0,0,4823,5404,5117,6325
A136660,큐엠씨,20190124,4800,5040,4705,4705,503,0,0,4833,5408,5135,6349
A136660,큐엠씨,20190123,5650,5650,5050,5050,2065,0,0,5052,5418,5147,6374
A136660,큐엠씨,20190122,4455,4935,4455,4935,301,0,-300,5220,5400,5163,6397
A136660,큐엠씨,20190121,5500,5500,4370,4425,8785,0,0,5493,5391,5187,6421
A136660,큐엠씨,20190118,5700,5700,5050,5050,191,0,0,5828,5409,5217,6452
A136660,큐엠씨,20190117,5050,5800,5050,5800,3,0,0,5998,5396,5236,6478
A136660,큐엠씨,20190116,5400,7190,5360,5890,3481,0,0,5938,5337,5261,6497
A136660,큐엠씨,20190115,6300,6300,6300,6300,1,0,0,5725,5300,5268,6516
A136660,큐엠씨,20190114,5500,6100,5500,6100,1001,0,0,5397,5232,5272,6535
A136660,큐엠씨,20190111,5900,5900,5900,5900,1,0,0,5235,5202,5285,6556
A136660,큐엠씨,20190110,5530,5530,5500,5500,5256,0,0,5215,5168,5311,6579
A136660,큐엠씨,20190109,5200,5200,4825,4825,5654,0,0,5213,5121,5344,6606
A136660,큐엠씨,20190108,5270,6040,4660,4660,4682,0,0,5404,5125,5389,6641
A136660,큐엠씨,20190107,4950,5290,4930,5290,9681,0,0,5630,5137,5429,6678
A136660,큐엠씨,20190104,5250,5800,5250,5800,801,0,0,5730,5122,5459,6711
A136660,큐엠씨,20190103,4920,5490,4920,5490,5799,0,0,5588,5064,5491,6740
A136660,큐엠씨,20190102,5780,5780,5780,5780,0,0,0,5470,5044,5529,6772
A136660,큐엠씨,20181228,5790,5790,5790,5790,2173,0,0,5251,4978,5554,6799
A136660,큐엠씨,20181227,5790,5790,5790,5790,1,0,0,5043,4913,5583,6827
A136660,큐엠씨,20181226,5620,5620,4265,5090,1584,0,1,4842,4848,5614,6858
A136660,큐엠씨,20181224,4900,4900,4900,4900,1,0,1,4782,4829,5658,6890
A136660,큐엠씨,20181221,4685,4685,4685,4685,1,0,0,4728,4834,5701,6927
A136660,큐엠씨,20181220,4750,4750,4750,4750,0,0,0,4819,4819,5748,6966
A136660,큐엠씨,20181219,4350,4785,4350,4785,1501,0,0,4858,4806,5802,7007
A136660,큐엠씨,20181218,4790,4790,4790,4790,1,0,0,4999,4774,5852,7049
A136660,큐엠씨,20181217,4630,4630,4630,4630,300,0,300,5087,4775,5902,7089
A136660,큐엠씨,20181214,5140,5140,4450,5140,912,0,0,5073,4786,5954,7128
A136660,큐엠씨,20181213,4945,4945,4945,4945,300,0,-300,5025,4771,5996,7164
A136660,큐엠씨,20181212,4460,5490,4460,5490,1501,0,-300,5016,4768,6040,7201
A136660,큐엠씨,20181211,5230,5230,5230,5230,1,0,0,4917,4722,6076,7237
A136660,큐엠씨,20181210,4560,4560,4560,4560,0,0,0,4801,4718,6121,7276
A136660,큐엠씨,20181207,4900,4900,4900,4900,5387,0,0,4907,4747,6171,7321
A136660,큐엠씨,20181206,4250,4900,4250,4900,3702,0,0,4815,4760,6220,7363
A136660,큐엠씨,20181205,4300,4995,4300,4995,2701,0,0,4735,4772,6268,7405
A136660,큐엠씨,20181204,4650,4650,4650,4650,10,0,-10,4636,4812,6316,7443
A136660,큐엠씨,20181203,4445,5090,4300,5090,3988,0,0,4646,4852,6367,7480
A136660,큐엠씨,20181130,4995,4995,4440,4440,997,0,0,4627,4882,6413,7515
A136660,큐엠씨,20181129,4500,5160,4500,4500,111,0,0,4616,4946,6481,7552
A136660,큐엠씨,20181128,4500,4500,4500,4500,1075,0,0,4616,5018,6548,7593
A136660,큐엠씨,20181127,4300,4700,4300,4700,2,0,0,4546,5097,6604,7629
A136660,큐엠씨,20181126,4350,4995,3855,4995,49541,0,33500,4566,5167,6651,7668
A136660,큐엠씨,20181123,4500,4595,4100,4385,7395,0,1934,4536,5188,6706,7705
A136660,큐엠씨,20181122,4205,4500,4145,4500,60184,0,2000,4628,5270,6773,7742
A136660,큐엠씨,20181121,4500,4780,4100,4150,10734,0,0,4707,5364,6830,7779
A136660,큐엠씨,20181120,4500,4800,4450,4800,3511,0,0,4787,5467,6885,7819
A136660,큐엠씨,20181119,4845,4845,4515,4845,4164,0,0,4857,5537,6926,7853
A136660,큐엠씨,20181116,4500,4845,4500,4845,2723,0,0,4918,5659,6966,7887
A136660,큐엠씨,20181115,4655,4895,4535,4895,3878,0,0,4979,5734,7026,7922
A136660,큐엠씨,20181114,4500,5300,4500,4550,1205,0,-300,5030,5814,7082,7959
A136660,큐엠씨,20181113,4860,5150,4860,5150,301,0,299,5280,5931,7142,7996
A136660,큐엠씨,20181112,5150,5150,5150,5150,499,0,400,5340,6048,7191,8028
A136660,큐엠씨,20181109,5150,5150,5150,5150,200,0,0,5446,6164,7239,8060
A136660,큐엠씨,20181108,5510,5510,4950,5150,5233,0,3800,5560,6282,7279,8092
A136660,큐엠씨,20181107,5010,5800,4655,5800,4030,0,3000,5720,6378,7320,8128
A136660,큐엠씨,20181106,4900,5450,4900,5450,911,0,0,5776,6444,7350,8158
A136660,큐엠씨,20181105,5720,5880,4900,5680,1844,0,0,5904,6556,7386,8190
A136660,큐엠씨,20181102,5800,5800,5100,5720,4081,0,0,5854,6660,7432,8218
A136660,큐엠씨,20181101,5950,5950,5950,5950,0,0,0,5912,6739,7470,8245
A136660,큐엠씨,20181031,5360,6080,5360,6080,668,0,0,6000,6816,7499,8270
A136660,큐엠씨,20181030,6100,6100,5310,6090,1919,0,0,6024,6898,7534,8295
A136660,큐엠씨,20181029,5150,6090,5150,5430,340,0,0,6048,6978,7563,8319
A136660,큐엠씨,20181026,6010,6010,6010,6010,200,0,200,6418,7081,7602,8351
A136660,큐엠씨,20181025,6100,6390,6100,6390,201,0,200,6484,7155,7632,8379
A136660,큐엠씨,20181024,6200,6200,6200,6200,300,0,0,6506,7236,7656,8404
A136660,큐엠씨,20181023,6800,6800,6210,6210,152,0,0,6644,7316,7688,8430
A136660,큐엠씨,20181022,7280,7280,7280,7280,1,0,0,6898,7395,7719,8455
A136660,큐엠씨,20181019,6340,6340,6340,6340,0,0,0,6938,7416,7733,8473
A136660,큐엠씨,20181018,6690,6700,6500,6500,4043,0,0,7170,7484,7763,8498
A136660,큐엠씨,20181017,6600,7190,6600,6890,5648,0,0,7288,7539,7799,8520
A136660,큐엠씨,20181016,7480,7480,7480,7480,0,0,0,7330,7574,7828,8543
A136660,큐엠씨,20181015,7480,7480,7480,7480,0,0,0,7374,7598,7848,8555
A136660,큐엠씨,20181012,7090,7780,7090,7500,631,0,0,7430,7602,7869,8568
A136660,큐엠씨,20181011,6600,7090,6600,7090,1141,0,0,7390,7618,7893,8580
A136660,큐엠씨,20181010,7100,7100,7100,7100,1000,0,0,7472,7652,7926,8600
A136660,큐엠씨,20181008,7700,7700,7700,7700,0,0,0,7592,7692,7963,8616
A136660,큐엠씨,20181005,7490,7760,7200,7760,1658,0,-200,7592,7693,7990,8628
A136660,큐엠씨,20181004,7500,7500,7300,7300,30650,0,0,7538,7698,8016,8645
A136660,큐엠씨,20181002,7050,7500,7050,7500,2283,0,0,7576,7758,8044,8668
A136660,큐엠씨,20181001,7300,7700,7300,7700,1220,0,0,7676,7808,8072,8689
A136660,큐엠씨,20180928,7490,7980,7330,7700,1049,0,0,7696,7818,8101,8709
A136660,큐엠씨,20180927,7480,7490,7480,7490,101,0,0,7716,7808,8123,8733
A136660,큐엠씨,20180921,7650,7890,7000,7490,10111,0,0,7758,7848,8153,8759
A136660,큐엠씨,20180920,8000,8000,8000,8000,100,0,0,7800,7894,8185,8786
A136660,큐엠씨,20180919,7800,7800,7800,7800,686,0,0,7720,7889,8212,8811
A136660,큐엠씨,20180918,7700,7800,7560,7800,12989,0,0,7680,7874,8245,8842
A136660,큐엠씨,20180917,7800,7800,7700,7700,4418,0,0,7710,7846,8275,8865
A136660,큐엠씨,20180914,7700,7700,7640,7700,5298,0,0,7680,7824,8303,8881
A136660,큐엠씨,20180913,7620,7700,7600,7600,2087,0,0,7706,7859,8332,8897
A136660,큐엠씨,20180912,7600,7600,7600,7600,100,0,0,7742,7894,8362,8920
A136660,큐엠씨,20180911,7990,7990,7950,7950,116,0,0,7800,7919,8399,8938
A136660,큐엠씨,20180910,7850,7850,7500,7550,6374,0,0,7754,7926,8431,8953
A136660,큐엠씨,20180907,7810,7830,7810,7830,400,0,0,7818,7951,8471,8971
A136660,큐엠씨,20180906,7990,8000,7730,7780,874,0,0,7952,7937,8506,8975
A136660,큐엠씨,20180905,7720,7900,7510,7890,867,0,0,8094,7928,8542,8977
A136660,큐엠씨,20180904,7840,7850,7700,7720,2677,0,0,8096,7914,8571,8978
A136660,큐엠씨,20180903,8500,8500,7620,7870,17553,0,0,8050,7908,8592,8981
A136660,큐엠씨,20180831,8500,8500,8500,8500,470,0,0,8138,7939,8618,8994
A136660,큐엠씨,20180830,7890,8490,7890,8490,1038,0,0,8118,7914,8622,9002
A136660,큐엠씨,20180829,7490,7900,7490,7900,4351,0,0,8000,7872,8638,9012
A136660,큐엠씨,20180828,8190,8190,7490,7490,13596,0,0,7920,7886,8654,9026
A136660,큐엠씨,20180827,8380,9650,7800,8310,11487,0,0,7872,7902,8685,9043
A136660,큐엠씨,20180824,7900,8400,7900,8400,1032,0,0,7660,7877,8703,9052
A136660,큐엠씨,20180823,7700,7900,7700,7900,1260,0,-200,7660,7847,8712,9057
A136660,큐엠씨,20180822,7390,7500,7390,7500,1008,0,0,7740,7842,8728,9063
A136660,큐엠씨,20180821,7690,7690,7250,7250,1502,0,0,7860,7873,8752,9074
A136660,큐엠씨,20180820,7140,8350,7140,7250,33643,0,0,8030,7916,8780,9087
A136660,큐엠씨,20180817,8000,8690,8000,8400,3482,0,0,8188,7960,8808,9101
A136660,큐엠씨,20180816,8100,8300,8100,8300,6583,0,0,8018,7946,8818,9113
A136660,큐엠씨,20180814,8050,8100,8050,8100,3800,0,0,7878,7964,8836,9130
A136660,큐엠씨,20180813,8000,8300,8000,8100,1732,0,0,7778,7991,8850,9150
A136660,큐엠씨,20180810,7800,8500,7600,8040,6783,0,-1700,7678,8018,8865,9169
A136660,큐엠씨,20180809,7550,7550,7550,7550,500,0,200,7770,8054,8881,9188
A136660,큐엠씨,20180808,8000,8700,7600,7600,1156,0,0,7858,8124,8905,9216
A136660,큐엠씨,20180807,7900,7900,7600,7600,201,0,200,7868,8199,8935,9239
A136660,큐엠씨,20180806,7600,7600,7600,7600,200,0,190,7988,8283,8965,9263
A136660,큐엠씨,20180803,8500,8500,8500,8500,1,0,0,8030,8368,8995,9290
A136660,큐엠씨,20180802,7990,7990,7990,7990,1,0,0,7890,8409,9003,9303
A136660,큐엠씨,20180801,7650,7650,7650,7650,200,0,200,7852,8459,9020,9323
A136660,큐엠씨,20180731,8200,8200,8200,8200,1,0,0,7882,8536,9042,9348
A136660,큐엠씨,20180730,7810,7810,7810,7810,107,0,0,7866,8600,9055,9371
A136660,큐엠씨,20180727,7800,7800,7800,7800,0,0,0,7928,8659,9075,9398
A136660,큐엠씨,20180726,7800,7800,7800,7800,0,0,0,7992,8734,9100,9414
A136660,큐엠씨,20180725,7800,7800,7800,7800,13,0,0,8056,8813,9125,9431
A136660,큐엠씨,20180724,8120,8120,8120,8120,0,0,0,8226,8906,9152,9445
A136660,큐엠씨,20180723,8120,8120,8120,8120,55,0,0,8332,8988,9172,9453
A136660,큐엠씨,20180720,8120,8120,8120,8120,0,0,0,8438,9062,9191,9460
A136660,큐엠씨,20180719,8120,8120,8120,8120,200,0,200,8564,9126,9212,9480
A136660,큐엠씨,20180718,8650,8650,8650,8650,100,0,0,8730,9190,9234,9501
A136660,큐엠씨,20180717,8650,8650,8650,8650,0,0,0,8820,9228,9241,9517
A136660,큐엠씨,20180716,8650,8650,8650,8650,0,0,0,8946,9288,9257,9534
A136660,큐엠씨,20180713,8750,8750,8750,8750,0,0,0,9076,9348,9263,9543
A136660,큐엠씨,20180712,8620,8950,8350,8950,551,0,200,9190,9408,9267,9544
A136660,큐엠씨,20180711,8810,9100,8760,9100,301,0,200,9198,9458,9267,9541
A136660,큐엠씨,20180710,8230,9280,8230,9280,91,0,0,9218,9500,9273,9528
A136660,큐엠씨,20180709,9300,9300,8890,9300,181,0,0,9254,9516,9268,9512
A136660,큐엠씨,20180706,8870,9320,8870,9320,201,0,200,9194,9501,9268,9496
A136660,큐엠씨,20180705,8990,8990,8990,8990,50,0,0,9190,9504,9274,9479
A136660,큐엠씨,20180704,8700,9200,8700,9200,202,0,198,9268,9495,9292,9466
A136660,큐엠씨,20180703,9460,9460,9460,9460,1,0,0,9358,9505,9306,9450
A136660,큐엠씨,20180702,8700,9000,8700,9000,201,0,200,9422,9477,9316,9431
A136660,큐엠씨,20180629,9300,9300,9300,9300,0,0,0,9540,9494,9342,9415
A136660,큐엠씨,20180628,9470,9470,8510,9380,2501,0,-500,9560,9499,9364,9399
A136660,큐엠씨,20180627,9150,9650,9150,9650,179,0,177,9564,9475,9387,9378
A136660,큐엠씨,20180626,9780,9780,9780,9780,1,0,0,9514,9438,9410,9355
A136660,큐엠씨,20180625,9600,9600,8220,9590,182,0,0,9528,9394,9440,9338
A136660,큐엠씨,20180622,9400,9400,9400,9400,0,0,0,9580,9360,9454,9319
A136660,큐엠씨,20180621,9400,9400,9400,9400,0,0,0,9690,9338,9458,9298
A136660,큐엠씨,20180620,9400,9400,9400,9400,0,0,0,9800,9317,9462,9278
A136660,큐엠씨,20180619,9850,9850,9850,9850,0,0,0,9910,9317,9478,9258
A136660,큐엠씨,20180618,9850,9850,9850,9850,0,0,0,9860,9272,9476,9236
A136660,큐엠씨,20180615,9950,9950,9950,9950,0,0,0,9690,9230,9476,9215
A136660,큐엠씨,20180614,9950,9950,9950,9950,0,0,0,9578,9182,9470,9193
A136660,큐엠씨,20180612,9390,9950,9390,9950,11070,0,0,9348,9134,9444,9172
A136660,큐엠씨,20180611,9000,9690,8890,9600,2003,0,0,9238,9107,9412,9146
A136660,큐엠씨,20180608,9000,9000,9000,9000,500,0,0,9098,9097,9386,9127
A136660,큐엠씨,20180607,8800,9390,8800,9390,501,0,500,9168,9117,9370,9114
A136660,큐엠씨,20180605,9000,9000,8800,8800,3508,0,3298,9168,9095,9371,9098
A136660,큐엠씨,20180604,8900,9400,8900,9400,390,0,0,9188,9105,9382,9083
A136660,큐엠씨,20180601,8820,8900,8820,8900,400,0,200,9088,9084,9385,9063
A136660,큐엠씨,20180531,9350,9350,9350,9350,0,0,0,9090,9090,9397,9047
A136660,큐엠씨,20180530,9390,9390,9390,9390,1,0,0,9004,9072,9402,9028
A136660,큐엠씨,20180529,8900,8900,8900,8900,10,0,0,8916,9068,9400,9010
A136660,큐엠씨,20180528,8900,8900,8900,8900,0,0,0,8932,9088,9402,8998
A136660,큐엠씨,20180525,8910,8910,8910,8910,0,0,0,9032,9112,9398,8987
A136660,큐엠씨,20180524,8920,8920,8920,8920,0,0,0,9040,9132,9396,8973
A136660,큐엠씨,20180523,8600,8950,8500,8950,361,0,0,9056,9151,9395,8961
A136660,큐엠씨,20180521,9850,9850,8500,8980,2764,0,0,9066,9174,9394,8949
A136660,큐엠씨,20180518,8900,9400,8900,9400,1320,0,0,9070,9194,9408,8929
A136660,큐엠씨,20180517,9000,9000,8010,8950,1865,0,0,9070,9180,9425,8903
A136660,큐엠씨,20180516,9000,9000,9000,9000,200,0,0,9160,9212,9449,8878
A136660,큐엠씨,20180515,9000,9000,9000,9000,0,0,0,9240,9212,9472,8852
A136660,큐엠씨,20180514,9000,9000,9000,9000,500,0,0,9230,9212,9496,8824
A136660,큐엠씨,20180511,9300,9400,9300,9400,2000,0,-400,9230,9210,9526,8795
A136660,큐엠씨,20180510,9100,9400,9100,9400,900,0,900,9148,9212,9543,8762
A136660,큐엠씨,20180509,8990,9400,8990,9400,3470,0,2514,9068,9192,9561,8724
