stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A137930,마이다스 200커버드콜5%OTM,20190129,12460,12460,12460,12460,148,0,-148,12408,12100,12023,12385
A137930,마이다스 200커버드콜5%OTM,20190128,12490,12490,12490,12490,1,0,-1,12369,12068,12012,12390
A137930,마이다스 200커버드콜5%OTM,20190125,12455,12455,12455,12455,0,0,0,12328,12032,12001,12396
A137930,마이다스 200커버드콜5%OTM,20190124,12350,12350,12350,12350,11,0,-11,12292,11994,11988,12401
A137930,마이다스 200커버드콜5%OTM,20190123,12285,12285,12285,12285,0,0,0,12263,11965,11980,12407
A137930,마이다스 200커버드콜5%OTM,20190122,12265,12265,12265,12265,0,0,0,12241,11941,11972,12413
A137930,마이다스 200커버드콜5%OTM,20190121,12285,12285,12285,12285,0,0,0,12210,11918,11966,12420
A137930,마이다스 200커버드콜5%OTM,20190118,12275,12275,12275,12275,0,0,0,12147,11898,11964,12426
A137930,마이다스 200커버드콜5%OTM,20190117,12205,12205,12205,12205,0,0,0,12100,11876,11962,12432
A137930,마이다스 200커버드콜5%OTM,20190116,12175,12175,12175,12175,0,0,0,12051,11860,11963,12439
A137930,마이다스 200커버드콜5%OTM,20190115,12115,12115,12110,12110,11,0,-11,12007,11844,11966,12447
A137930,마이다스 200커버드콜5%OTM,20190114,11970,11970,11970,11970,0,0,0,11937,11839,11970,12454
A137930,마이다스 200커버드콜5%OTM,20190111,12040,12040,12040,12040,1,0,0,11904,11838,11978,12464
A137930,마이다스 200커버드콜5%OTM,20190110,11960,11960,11960,11960,0,0,0,11829,11828,11982,12473
A137930,마이다스 200커버드콜5%OTM,20190109,11955,11955,11955,11955,0,0,0,11757,11821,11988,12482
A137930,마이다스 200커버드콜5%OTM,20190108,11760,11760,11760,11760,0,0,0,11744,11820,11995,12490
A137930,마이다스 200커버드콜5%OTM,20190107,11805,11805,11805,11805,0,0,0,11754,11829,12003,12500
A137930,마이다스 200커버드콜5%OTM,20190104,11665,11665,11665,11665,0,0,0,11751,11844,12018,12511
A137930,마이다스 200커버드콜5%OTM,20190103,11600,11600,11600,11600,0,0,0,11753,11870,12038,12521
A137930,마이다스 200커버드콜5%OTM,20190102,11890,11890,11890,11890,102,0,-102,11788,11903,12059,12532
A137930,마이다스 200커버드콜5%OTM,20181228,11810,11810,11810,11810,0,0,0,11771,11914,12077,12540
A137930,마이다스 200커버드콜5%OTM,20181227,11790,11790,11790,11790,0,0,0,11771,11932,12098,12549
A137930,마이다스 200커버드콜5%OTM,20181226,11675,11675,11675,11675,0,0,0,11790,11950,12122,12558
A137930,마이다스 200커버드콜5%OTM,20181224,11775,11775,11775,11775,3,0,-3,11823,11971,12147,12569
A137930,마이다스 200커버드콜5%OTM,20181221,11805,11805,11805,11805,0,0,0,11842,11984,12171,12580
A137930,마이다스 200커버드콜5%OTM,20181220,11810,11810,11810,11810,0,0,0,11855,11988,12193,12591
A137930,마이다스 200커버드콜5%OTM,20181219,11885,11885,11885,11885,0,0,0,11895,11995,12215,12604
A137930,마이다스 200커버드콜5%OTM,20181218,11840,11840,11840,11840,0,0,0,11908,11994,12234,12615
A137930,마이다스 200커버드콜5%OTM,20181217,11870,11870,11870,11870,0,0,0,11905,12004,12253,12627
A137930,마이다스 200커버드콜5%OTM,20181214,11870,11870,11870,11870,1,0,1,11896,12016,12272,12638
A137930,마이다스 200커버드콜5%OTM,20181213,12010,12010,12010,12010,0,0,0,11912,12028,12291,12650
A137930,마이다스 200커버드콜5%OTM,20181212,11950,11950,11950,11950,0,0,0,11897,12029,12304,12661
A137930,마이다스 200커버드콜5%OTM,20181211,11825,11825,11825,11825,0,0,0,11927,12032,12319,12672
A137930,마이다스 200커버드콜5%OTM,20181210,11910,11910,11825,11825,100,0,-2,11997,12035,12337,12684
A137930,마이다스 200커버드콜5%OTM,20181207,11950,11950,11950,11950,0,0,0,12085,12050,12355,12698
A137930,마이다스 200커버드콜5%OTM,20181206,11935,11935,11935,11935,0,0,0,12117,12058,12371,12711
A137930,마이다스 200커버드콜5%OTM,20181205,12100,12100,12100,12100,0,0,0,12166,12070,12388,12727
A137930,마이다스 200커버드콜5%OTM,20181204,12175,12175,12175,12175,0,0,0,12174,12075,12404,12741
A137930,마이다스 200커버드콜5%OTM,20181203,12265,12265,12265,12265,1,0,-1,12159,12070,12420,12754
A137930,마이다스 200커버드콜5%OTM,20181130,12110,12110,12110,12110,0,0,0,12112,12061,12434,12767
