stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A139270,TIGER 200 금융,20190129,7450,7470,7430,7470,221,0,7,7447,7278,7274,7443
A139270,TIGER 200 금융,20190128,7490,7490,7460,7475,71,0,-52,7418,7268,7269,7446
A139270,TIGER 200 금융,20190125,7460,7510,7415,7510,9721,0,-61,7391,7255,7265,7449
A139270,TIGER 200 금융,20190124,7400,7455,7400,7455,22867,0,78,7365,7238,7261,7452
A139270,TIGER 200 금융,20190123,7325,7360,7325,7325,372,0,18,7361,7231,7262,7454
A139270,TIGER 200 금융,20190122,7330,7330,7305,7325,22,0,-9,7371,7230,7264,7458
A139270,TIGER 200 금융,20190121,7375,7375,7340,7340,393,0,380,7358,7228,7267,7462
A139270,TIGER 200 금융,20190118,7385,7390,7380,7380,30133,0,34,7301,7226,7272,7466
A139270,TIGER 200 금융,20190117,7415,7445,7415,7435,71,0,21,7248,7218,7274,7470
A139270,TIGER 200 금융,20190116,7335,7390,7330,7375,535,0,506,7185,7207,7279,7472
A139270,TIGER 200 금융,20190115,7125,7260,7125,7260,5723,0,1720,7146,7199,7281,7474
A139270,TIGER 200 금융,20190114,7125,7125,7050,7055,201,0,110,7116,7195,7286,7479
A139270,TIGER 200 금융,20190111,7130,7130,7105,7115,270,0,258,7133,7198,7295,7486
A139270,TIGER 200 금융,20190110,7135,7135,7120,7120,1309,0,-1307,7138,7192,7301,7491
A139270,TIGER 200 금융,20190109,7145,7210,7145,7180,511,0,-383,7152,7188,7309,7498
A139270,TIGER 200 금융,20190108,7125,7125,7080,7110,300,0,288,7147,7186,7315,7502
A139270,TIGER 200 금융,20190107,7260,7260,7140,7140,4,0,-4,7180,7191,7323,7508
A139270,TIGER 200 금융,20190104,7185,7185,7140,7140,255,0,229,7195,7197,7337,7514
A139270,TIGER 200 금융,20190103,7155,7190,7155,7190,21,0,12,7201,7202,7351,7521
A139270,TIGER 200 금융,20190102,7260,7260,7155,7155,235,0,63,7227,7203,7366,7527
A139270,TIGER 200 금융,20181228,7280,7280,7275,7275,2,0,0,7257,7204,7381,7531
A139270,TIGER 200 금융,20181227,7265,7265,7190,7215,152,0,-88,7257,7207,7393,7534
A139270,TIGER 200 금융,20181226,7280,7280,7120,7170,4297,0,55,7273,7210,7407,7538
A139270,TIGER 200 금융,20181224,7305,7345,7290,7320,4123,0,57,7287,7220,7421,7542
A139270,TIGER 200 금융,20181221,7255,7305,7240,7305,6020,0,2293,7265,7218,7430,7546
A139270,TIGER 200 금융,20181220,7235,7275,7235,7275,4193,0,-38,7245,7215,7437,7549
A139270,TIGER 200 금융,20181219,7290,7295,7290,7295,216,0,-38,7228,7218,7443,7554
A139270,TIGER 200 금융,20181218,7245,7275,7240,7240,265,0,233,7192,7220,7445,7559
A139270,TIGER 200 금융,20181217,7260,7285,7210,7210,504,0,-148,7144,7223,7449,7565
A139270,TIGER 200 금융,20181214,7230,7230,7205,7205,488,0,-50,7107,7230,7453,7570
A139270,TIGER 200 금융,20181213,7085,7195,7085,7190,1070,0,1034,7096,7237,7460,7575
A139270,TIGER 200 금융,20181212,7055,7115,7055,7115,38,0,28,7099,7246,7466,7582
A139270,TIGER 200 금융,20181211,7000,7020,6955,7000,3014,0,1780,7128,7257,7473,7590
A139270,TIGER 200 금융,20181210,7120,7120,7000,7025,319,0,-19,7174,7278,7481,7599
A139270,TIGER 200 금융,20181207,7185,7185,7150,7150,92,0,-86,7213,7299,7489,7607
A139270,TIGER 200 금융,20181206,7220,7220,7185,7205,85,0,-52,7220,7310,7494,7616
A139270,TIGER 200 금융,20181205,7180,7260,7180,7260,318,0,301,7244,7319,7498,7625
A139270,TIGER 200 금융,20181204,7195,7245,7195,7230,151,0,89,7249,7322,7501,7634
A139270,TIGER 200 금융,20181203,7260,7275,7220,7220,16276,0,-358,7275,7328,7507,7642
A139270,TIGER 200 금융,20181130,7310,7310,7185,7185,3052,0,-1079,7287,7330,7513,7651
A139270,TIGER 200 금융,20181129,7340,7340,7325,7325,163,0,162,7300,7340,7520,7659
A139270,TIGER 200 금융,20181128,7345,7345,7240,7285,346,0,178,7299,7333,7524,7665
A139270,TIGER 200 금융,20181127,7315,7360,7315,7360,4046,0,44,7309,7331,7530,7670
