stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A140520,대창스틸,20190129,3045,3050,2955,2965,49130,382906,-5996,3027,2928,2834,3202
A140520,대창스틸,20190128,3020,3055,2980,3030,38730,387852,0,3032,2917,2832,3208
A140520,대창스틸,20190125,3090,3090,3030,3050,25104,391403,0,3020,2902,2826,3215
A140520,대창스틸,20190124,3055,3075,3015,3050,43396,392697,0,3010,2883,2819,3221
A140520,대창스틸,20190123,2970,3040,2970,3040,66891,392895,0,2992,2868,2810,3228
A140520,대창스틸,20190122,3010,3020,2970,2990,52668,385153,4347,2996,2856,2805,3233
A140520,대창스틸,20190121,3020,3045,2970,2970,39531,385352,0,3009,2842,2802,3238
A140520,대창스틸,20190118,2950,3020,2945,3000,71052,381402,5123,3009,2834,2801,3243
A140520,대창스틸,20190117,3050,3075,2950,2960,74018,361506,0,3001,2818,2803,3247
A140520,대창스틸,20190116,3095,3110,3050,3060,110455,363647,0,2991,2808,2807,3253
A140520,대창스틸,20190115,3005,3075,3000,3055,137896,355992,0,2965,2798,2810,3258
A140520,대창스틸,20190114,2960,3030,2910,2970,84128,343602,0,2925,2788,2813,3264
A140520,대창스틸,20190111,2915,2960,2875,2960,75584,341198,0,2880,2778,2817,3271
A140520,대창스틸,20190110,2950,3010,2875,2910,203164,323493,-3788,2823,2778,2821,3279
A140520,대창스틸,20190109,2870,2950,2845,2930,134232,343309,0,2774,2786,2824,3286
A140520,대창스틸,20190108,2750,2890,2750,2855,202078,334473,3788,2723,2792,2828,3293
A140520,대창스틸,20190107,2705,2780,2700,2745,43039,303773,0,2703,2795,2830,3300
A140520,대창스틸,20190104,2650,2690,2610,2675,28679,291115,0,2699,2807,2838,3308
A140520,대창스틸,20190103,2675,2710,2605,2665,39346,291060,0,2697,2822,2852,3316
A140520,대창스틸,20190102,2755,2780,2665,2675,41207,285456,0,2714,2834,2870,3325
A140520,대창스틸,20181228,2725,2775,2685,2755,43448,292819,0,2738,2841,2888,3334
