stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A141020,포티스,20190129,2300,2380,2170,2315,3970007,1792730,0,2339,2344,2560,2384
A141020,포티스,20190128,2360,2480,2255,2315,3363399,1811073,0,2355,2348,2571,2384
A141020,포티스,20190125,2355,2445,2350,2360,3002122,1951631,0,2375,2348,2584,2383
A141020,포티스,20190124,2340,2475,2300,2345,3498421,1774237,0,2396,2344,2592,2382
A141020,포티스,20190123,2360,2440,2330,2360,1908738,1805808,0,2431,2346,2603,2380
A141020,포티스,20190122,2415,2470,2330,2395,2902181,1813248,-8977,2430,2349,2616,2379
A141020,포티스,20190121,2465,2475,2340,2415,2940057,1845127,0,2422,2352,2625,2377
A141020,포티스,20190118,2535,2630,2315,2465,11414753,1828826,0,2398,2346,2633,2374
A141020,포티스,20190117,2365,2580,2315,2520,8106805,2105299,-39374,2364,2337,2638,2371
A141020,포티스,20190116,2345,2420,2270,2355,780813,1547116,24,2320,2325,2647,2368
A141020,포티스,20190115,2280,2400,2255,2355,1286296,1595554,0,2310,2324,2650,2366
A141020,포티스,20190114,2270,2305,2250,2295,430783,1505396,0,2298,2327,2650,2363
A141020,포티스,20190111,2290,2310,2215,2295,801070,1544783,0,2299,2330,2651,2361
A141020,포티스,20190110,2280,2300,2240,2300,478218,1606040,0,2300,2331,2651,2360
A141020,포티스,20190109,2340,2345,2240,2305,556664,1597022,0,2301,2330,2650,2358
A141020,포티스,20190108,2295,2325,2200,2295,774226,1638898,0,2299,2334,2646,2357
A141020,포티스,20190107,2305,2305,2245,2300,475581,1638662,0,2319,2344,2638,2356
A141020,포티스,20190104,2340,2340,2235,2300,441469,1639802,0,2319,2364,2631,2355
A141020,포티스,20190103,2290,2320,2235,2305,234777,1647246,0,2318,2386,2624,2354
A141020,포티스,20190102,2350,2360,2290,2295,722330,1658719,-70703,2331,2408,2618,2353
A141020,포티스,20181228,2310,2410,2245,2395,501174,1611046,70703,2356,2433,2612,2352
A141020,포티스,20181227,2295,2350,2260,2300,459276,1626442,0,2371,2458,2605,2351
A141020,포티스,20181226,2280,2340,2245,2295,580089,1629311,0,2367,2483,2600,2350
A141020,포티스,20181224,2420,2545,2350,2370,1005115,1595647,-19236,2366,2506,2595,2349
A141020,포티스,20181221,2400,2460,2365,2420,956545,1506515,0,2347,2532,2589,2348
A141020,포티스,20181220,2215,2470,2160,2470,1099150,1491234,0,2333,2554,2584,2346
A141020,포티스,20181219,2240,2285,2175,2280,766207,1512422,0,2321,2576,2578,2345
A141020,포티스,20181218,2260,2290,2090,2290,799392,1526772,-68772,2336,2606,2576,2345
A141020,포티스,20181217,2340,2340,2180,2275,617146,1518708,0,2341,2634,2573,2345
A141020,포티스,20181214,2400,2400,2320,2350,285178,1473266,0,2342,2658,2571,2345
A141020,포티스,20181213,2355,2480,2305,2410,761048,1489002,0,2349,2678,2568,2344
A141020,포티스,20181212,2370,2370,2240,2355,836005,1501397,-1063,2366,2696,2565,2343
A141020,포티스,20181211,2280,2375,2205,2315,734778,1638148,0,2434,2719,2562,2342
A141020,포티스,20181210,2370,2390,2215,2280,713152,1724641,0,2519,2750,2559,2341
A141020,포티스,20181207,2535,2535,2350,2385,1078232,1616490,0,2611,2791,2556,2341
A141020,포티스,20181206,2625,2635,2395,2495,1167231,1563512,0,2694,2816,2551,2341
A141020,포티스,20181205,2685,2715,2590,2695,990741,1583214,0,2775,2837,2542,2339
