stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A141070,맥스로텍,20190129,1305,1320,1270,1275,162515,607910,0,1311,1255,1185,1295
A141070,맥스로텍,20190128,1300,1330,1300,1320,49249,613939,0,1323,1253,1183,1296
A141070,맥스로텍,20190125,1300,1330,1280,1300,117969,609805,-8564,1325,1249,1179,1297
A141070,맥스로텍,20190124,1360,1360,1305,1310,155291,589885,0,1318,1243,1176,1299
A141070,맥스로텍,20190123,1330,1360,1320,1350,209054,603252,-3,1300,1237,1172,1300
A141070,맥스로텍,20190122,1320,1345,1300,1335,206084,597212,-4,1279,1230,1169,1300
A141070,맥스로텍,20190121,1275,1340,1275,1330,432123,586001,44,1257,1221,1166,1301
A141070,맥스로텍,20190118,1230,1265,1220,1265,175335,571393,-1,1234,1212,1164,1302
A141070,맥스로텍,20190117,1245,1250,1215,1220,58747,547658,-4,1231,1206,1164,1303
A141070,맥스로텍,20190116,1230,1250,1225,1245,106263,547675,-3,1236,1204,1166,1305
A141070,맥스로텍,20190115,1210,1245,1200,1225,105593,535467,-2,1231,1201,1167,1307
A141070,맥스로텍,20190114,1240,1250,1215,1215,85334,512379,-4,1233,1199,1168,1309
A141070,맥스로텍,20190111,1265,1290,1230,1250,244286,501653,2119,1232,1193,1169,1311
A141070,맥스로텍,20190110,1245,1260,1215,1245,110602,500313,-50,1218,1185,1170,1313
A141070,맥스로텍,20190109,1235,1265,1210,1220,105963,494408,-3,1201,1176,1170,1315
A141070,맥스로텍,20190108,1210,1265,1165,1235,170622,482022,-6,1198,1169,1170,1317
A141070,맥스로텍,20190107,1185,1210,1160,1210,65446,494283,-6,1200,1163,1170,1318
A141070,맥스로텍,20190104,1160,1190,1130,1180,68540,482541,48,1204,1160,1172,1320
A141070,맥스로텍,20190103,1205,1220,1160,1160,130911,491965,-5952,1206,1160,1176,1322
A141070,맥스로텍,20190102,1245,1255,1190,1205,128239,489680,0,1210,1160,1180,1324
A141070,맥스로텍,20181228,1230,1265,1210,1245,171907,492146,2000,1211,1156,1184,1326
A141070,맥스로텍,20181227,1190,1265,1185,1230,288593,525288,46,1193,1151,1187,1327
A141070,맥스로텍,20181226,1180,1300,1165,1190,774300,523708,544,1178,1146,1190,1329
A141070,맥스로텍,20181224,1220,1220,1170,1180,61381,561146,0,1171,1141,1195,1330
A141070,맥스로텍,20181221,1155,1215,1145,1210,140912,573811,618,1168,1137,1200,1333
A141070,맥스로텍,20181220,1140,1170,1135,1155,78055,577038,603,1163,1131,1204,1335
A141070,맥스로텍,20181219,1170,1200,1150,1155,100042,576709,14060,1169,1130,1209,1338
A141070,맥스로텍,20181218,1155,1165,1140,1155,43373,579545,2075,1158,1128,1213,1342
A141070,맥스로텍,20181217,1155,1185,1140,1165,113975,580820,1075,1145,1127,1218,1345
A141070,맥스로텍,20181214,1190,1200,1135,1185,137182,583356,16470,1123,1126,1223,1348
A141070,맥스로텍,20181213,1100,1205,1100,1185,415470,587049,-2000,1105,1125,1229,1351
A141070,맥스로텍,20181212,1090,1130,1085,1100,35354,593122,0,1090,1122,1235,1354
A141070,맥스로텍,20181211,1055,1120,1055,1090,52930,585580,53,1102,1124,1243,1357
A141070,맥스로텍,20181210,1080,1085,1045,1055,70665,592124,3,1119,1126,1250,1362
A141070,맥스로텍,20181207,1110,1135,1085,1095,66797,595534,0,1139,1132,1258,1367
A141070,맥스로텍,20181206,1160,1165,1100,1110,105913,595957,0,1147,1137,1266,1372
A141070,맥스로텍,20181205,1150,1170,1145,1160,52469,597692,0,1151,1142,1273,1377
A141070,맥스로텍,20181204,1155,1195,1145,1175,68176,596623,0,1145,1144,1280,1382
A141070,맥스로텍,20181203,1150,1160,1130,1155,61592,599633,0,1130,1144,1286,1386
A141070,맥스로텍,20181130,1120,1145,1120,1135,66609,594774,-1164,1117,1144,1292,1391
A141070,맥스로텍,20181129,1135,1165,1125,1130,65801,592607,-946,1108,1145,1298,1395
A141070,맥스로텍,20181128,1105,1185,1105,1130,84623,586173,-2,1109,1144,1304,1400
A141070,맥스로텍,20181127,1105,1105,1090,1100,56968,590514,-758,1106,1144,1311,1405
A141070,맥스로텍,20181126,1090,1110,1080,1090,80518,582861,2324,1113,1142,1318,1410
A141070,맥스로텍,20181123,1135,1150,1085,1090,139228,578425,-438,1127,1142,1324,1414
A141070,맥스로텍,20181122,1115,1140,1110,1135,59447,580309,51,1139,1145,1331,1419
A141070,맥스로텍,20181121,1135,1140,1095,1115,100376,580954,-9852,1136,1148,1338,1424
A141070,맥스로텍,20181120,1160,1160,1120,1135,69874,583964,-46,1143,1154,1344,1429
A141070,맥스로텍,20181119,1155,1165,1135,1160,52447,584659,0,1144,1159,1350,1434
A141070,맥스로텍,20181116,1125,1160,1125,1150,46839,584066,50,1145,1166,1354,1439
A141070,맥스로텍,20181115,1155,1180,1120,1120,51158,577941,49,1155,1174,1359,1444
A141070,맥스로텍,20181114,1150,1175,1105,1150,53571,579633,0,1174,1182,1364,1449
A141070,맥스로텍,20181113,1115,1150,1115,1140,70405,580779,50,1181,1190,1369,1453
A141070,맥스로텍,20181112,1200,1215,1155,1165,62456,578781,0,1187,1197,1373,1457
A141070,맥스로텍,20181109,1220,1225,1190,1200,13506,582424,0,1185,1202,1377,1462
A141070,맥스로텍,20181108,1205,1240,1195,1215,24345,583768,0,1178,1204,1382,1466
A141070,맥스로텍,20181107,1180,1265,1170,1185,167967,590752,0,1157,1204,1386,1470
A141070,맥스로텍,20181106,1160,1175,1140,1170,22294,615849,0,1144,1212,1391,1475
A141070,맥스로텍,20181105,1165,1180,1130,1155,64838,613901,0,1126,1224,1395,1480
A141070,맥스로텍,20181102,1130,1180,1125,1165,71282,615418,-79,1110,1237,1400,1484
A141070,맥스로텍,20181101,1130,1195,1110,1110,97833,604905,0,1109,1250,1404,1490
A141070,맥스로텍,20181031,1060,1125,1060,1120,53451,604304,-28,1126,1265,1410,1495
A141070,맥스로텍,20181030,985,1095,985,1080,149421,595490,2167,1147,1282,1416,1501
A141070,맥스로텍,20181029,1120,1155,1030,1075,182760,581227,0,1180,1300,1421,1506
A141070,맥스로텍,20181026,1195,1215,1125,1160,140959,581064,0,1225,1320,1428,1512
A141070,맥스로텍,20181025,1170,1195,1155,1195,117471,583896,-39,1255,1334,1432,1517
A141070,맥스로텍,20181024,1250,1270,1200,1225,187472,587094,9,1272,1348,1436,1522
A141070,맥스로텍,20181023,1285,1315,1235,1245,122876,583600,44,1289,1359,1439,1526
A141070,맥스로텍,20181022,1320,1320,1280,1300,32099,588928,0,1296,1369,1442,1529
A141070,맥스로텍,20181019,1260,1310,1250,1310,40160,590484,-74,1288,1378,1444,1531
A141070,맥스로텍,20181018,1325,1330,1280,1280,50349,568951,2722,1276,1389,1446,1533
A141070,맥스로텍,20181017,1275,1315,1275,1310,30340,577816,0,1262,1402,1450,1535
A141070,맥스로텍,20181016,1275,1280,1250,1280,19328,579344,2139,1268,1414,1453,1538
A141070,맥스로텍,20181015,1250,1285,1250,1260,32784,577805,0,1293,1427,1457,1540
A141070,맥스로텍,20181012,1210,1270,1200,1250,82723,581222,3426,1326,1441,1460,1543
A141070,맥스로텍,20181011,1290,1320,1200,1210,225620,570082,-35,1358,1455,1463,1546
A141070,맥스로텍,20181010,1390,1420,1325,1340,141039,560461,0,1401,1473,1467,1548
A141070,맥스로텍,20181008,1380,1430,1380,1405,60662,581237,0,1425,1485,1468,1549
A141070,맥스로텍,20181005,1410,1430,1385,1425,59271,571808,2708,1432,1490,1468,1548
A141070,맥스로텍,20181004,1400,1425,1400,1410,63235,581903,0,1441,1494,1468,1548
