stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A145990,삼양사,20190129,59300,59300,58200,58500,8986,533927,-1183,59500,57935,57907,64195
A145990,삼양사,20190128,59700,60200,59200,59400,8590,534492,-76,59720,57760,57918,64365
A145990,삼양사,20190125,58800,60300,58200,60000,8099,535164,2180,59880,57580,57940,64522
A145990,삼양사,20190124,59000,60200,59000,59400,7614,535276,-2050,59760,57410,57938,64678
A145990,삼양사,20190123,59400,60400,59000,60200,8521,537009,449,59440,57320,57960,64840
A145990,삼양사,20190122,60200,60500,59500,59600,5043,535117,490,58900,57130,57992,64999
A145990,삼양사,20190121,59900,60400,58700,60200,10540,536186,2543,58620,56970,58055,65165
A145990,삼양사,20190118,58400,59700,58000,59400,7967,537249,2232,58100,56845,58093,65319
A145990,삼양사,20190117,57800,58600,57200,57800,8360,536211,623,57660,56780,58103,65478
A145990,삼양사,20190116,57600,58800,57200,57500,10386,535246,-3688,57360,56800,58182,65649
A145990,삼양사,20190115,58100,60300,57800,58200,16168,536905,932,57340,56795,58270,65822
A145990,삼양사,20190114,57200,58000,56700,57600,6231,534100,-329,57120,56725,58365,65988
A145990,삼양사,20190111,56100,57800,55500,57200,10825,534844,925,57000,56720,58472,66163
A145990,삼양사,20190110,57500,57900,56300,56300,8406,536048,-2243,56820,56615,58572,66346
A145990,삼양사,20190109,57000,58000,56600,57400,7374,537482,178,56540,56510,58690,66542
A145990,삼양사,20190108,57600,57600,56500,57100,5250,536818,1485,56000,56470,58780,66719
A145990,삼양사,20190107,56400,57600,56000,57000,4857,537240,215,55580,56495,58893,66895
A145990,삼양사,20190104,55900,56700,54900,56300,6873,536778,3189,55340,56595,59060,67072
A145990,삼양사,20190103,54700,56200,54100,54900,11853,536403,1140,55400,56810,59265,67264
A145990,삼양사,20190102,55500,55600,54400,54700,5152,535839,-124,55940,57065,59507,67478
A145990,삼양사,20181228,55800,56500,54700,55000,10349,533765,-2071,56280,57275,59742,67682
A145990,삼양사,20181227,56300,57700,55800,55800,9184,533958,-2342,56560,57460,59990,67888
A145990,삼양사,20181226,56900,57600,56400,56600,8214,534461,228,56940,57600,60257,68091
A145990,삼양사,20181224,56400,57900,56100,57600,8765,538371,2791,57240,57675,60528,68303
A145990,삼양사,20181221,56400,57300,56000,56400,10757,543088,1869,57360,57715,60772,68507
A145990,삼양사,20181220,58100,58100,55900,56400,6306,546808,-1642,57560,57770,61020,68734
A145990,삼양사,20181219,58400,58500,57400,57700,8771,544235,-2027,57640,57955,61263,68948
A145990,삼양사,20181218,58400,58400,57100,58100,8146,545362,625,57600,58055,61488,69133
A145990,삼양사,20181217,57900,58900,57500,58200,7680,547287,1076,57000,58085,61723,69319
A145990,삼양사,20181214,56800,57900,56300,57400,7517,545313,1418,56200,58120,61963,69505
A145990,삼양사,20181213,57600,58400,56700,56800,23869,543013,-9491,56040,58190,62240,69699
A145990,삼양사,20181212,55700,57700,55600,57500,11430,538541,1670,56200,58180,62523,69906
A145990,삼양사,20181211,54500,55500,53900,55100,8264,535807,1269,56500,58150,62817,70116
A145990,삼양사,20181210,55800,56300,53500,54200,26744,537584,-11705,57600,58280,63132,70370
A145990,삼양사,20181207,57300,58000,56600,56600,15656,541014,-4775,58760,58510,63453,70635
A145990,삼양사,20181206,59200,59200,57500,57600,10751,544919,-3182,59220,58640,63718,70891
A145990,삼양사,20181205,59800,60100,58800,59000,12135,546184,-3703,59440,58710,63958,71160
A145990,삼양사,20181204,60000,60900,59700,60600,9898,548414,-115,59360,58630,64193,71425
A145990,삼양사,20181203,59400,60500,58700,60000,12057,546014,965,58860,58535,64397,71675
A145990,삼양사,20181130,58700,59000,57900,58900,15273,545605,408,58540,58450,64607,71932
A145990,삼양사,20181129,59500,59500,58500,58700,7309,547764,-2225,58260,58510,64843,72183
A145990,삼양사,20181128,58000,58900,58000,58600,6501,545859,-933,58540,58535,65068,72431
A145990,삼양사,20181127,58400,59400,57600,58100,15553,545297,-9091,58760,58640,65303,72660
A145990,삼양사,20181126,56900,59400,56900,58400,12085,545137,-1367,58880,58730,65550,72888
A145990,삼양사,20181123,60400,60400,57500,57500,12940,539565,-4817,58980,58845,65787,73108
A145990,삼양사,20181122,60200,60600,59700,60100,5922,542609,40,59240,59075,66037,73342
A145990,삼양사,20181121,57700,60200,57700,59700,11676,543952,-3920,58540,59240,66230,73558
A145990,삼양사,20181120,58500,59300,57900,58700,8767,541281,-3343,57980,59380,66457,73772
A145990,삼양사,20181119,59000,59600,58100,58900,10019,539009,-2946,57780,59445,66738,74015
A145990,삼양사,20181116,56800,59700,56800,58800,23579,539858,-7258,57760,59625,67032,74263
A145990,삼양사,20181115,56100,56600,55800,56600,21810,526282,-10757,57840,59825,67303,74506
A145990,삼양사,20181114,58100,58100,56800,56900,12205,521739,-7752,58320,60190,67622,74775
A145990,삼양사,20181113,58600,58600,56700,57700,17408,520564,-6654,58420,60545,67928,75045
A145990,삼양사,20181112,59300,59900,58600,58800,6660,521082,-1857,58620,60820,68233,75309
A145990,삼양사,20181109,59200,61500,58900,59200,12402,520278,-4023,58520,61050,68545,75560
A145990,삼양사,20181108,58700,59800,57800,59000,20154,517409,-6045,58700,61230,68852,75810
A145990,삼양사,20181107,58700,61900,56900,57400,22646,511791,-6241,58740,61475,69160,76049
A145990,삼양사,20181106,58700,59400,57600,58700,10177,510377,-1899,59400,61955,69507,76302
A145990,삼양사,20181105,60500,60500,58000,58300,11017,507205,-5167,59640,62450,69855,76528
A145990,삼양사,20181102,59400,60800,59400,60100,8083,508481,-4112,60120,63005,70190,76770
A145990,삼양사,20181101,60700,61000,59200,59200,7086,505637,-3622,60520,63440,70483,77022
A145990,삼양사,20181031,59200,61500,57800,60700,10374,505524,-119,61360,63975,70812,77280
A145990,삼양사,20181030,61400,62400,57800,59900,10632,505532,-1417,61720,64530,71105,77531
A145990,삼양사,20181029,62900,63300,59700,60700,7636,505550,2493,61740,65180,71417,77774
A145990,삼양사,20181026,62500,64500,60100,62100,7484,507814,-400,62100,65755,71720,78016
A145990,삼양사,20181025,61700,63600,60800,63400,14193,507154,6016,62240,66215,72007,78252
A145990,삼양사,20181024,60200,62500,59700,62500,14941,506215,-952,62340,66595,72275,78488
A145990,삼양사,20181023,62400,62400,59400,60000,16805,502070,-6684,62640,67030,72545,78732
A145990,삼양사,20181022,62800,63400,61800,62500,9892,500973,-6918,63280,67640,72853,79008
A145990,삼양사,20181019,63800,63800,62100,62800,14230,496500,-8542,63460,68145,73117,79244
A145990,삼양사,20181018,64000,64400,63100,63900,4956,490849,6,63460,68705,73373,79476
A145990,삼양사,20181017,63500,64000,63000,64000,7646,489969,-2541,63460,69200,73612,79715
A145990,삼양사,20181016,63400,63900,62900,63200,4110,486444,-1240,64060,69755,73855,79953
A145990,삼양사,20181015,61300,63900,61300,63400,11992,485502,-2346,65140,70295,74120,80196
A145990,삼양사,20181012,63800,64300,62100,62800,20477,479589,-2680,66340,70800,74395,80405
