stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A152500,KINDEX 레버리지,20190129,5120,5180,5070,5180,13319,1253,6415,5050,4704,4616,4969
A152500,KINDEX 레버리지,20190128,5140,5195,5090,5130,16806,609,1231,4979,4668,4602,4973
A152500,KINDEX 레버리지,20190125,4945,5140,4945,5135,48785,0,38547,4926,4632,4590,4978
A152500,KINDEX 레버리지,20190124,4855,4945,4845,4945,29089,5563,14927,4869,4590,4578,4982
A152500,KINDEX 레버리지,20190123,4770,4885,4770,4860,12047,8231,147,4836,4564,4567,4988
A152500,KINDEX 레버리지,20190122,4865,4885,4780,4825,9241,1985,355,4815,4541,4559,4994
A152500,KINDEX 레버리지,20190121,4890,4910,4800,4865,16922,4749,3699,4792,4521,4555,5001
A152500,KINDEX 레버리지,20190118,4850,4860,4815,4850,22464,2078,8252,4730,4502,4552,5007
A152500,KINDEX 레버리지,20190117,4765,4815,4755,4780,48645,0,23850,4687,4482,4550,5013
A152500,KINDEX 레버리지,20190116,4705,4760,4685,4755,20227,4897,4817,4646,4467,4553,5020
A152500,KINDEX 레버리지,20190115,4550,4720,4550,4710,60552,1853,39695,4605,4451,4555,5027
A152500,KINDEX 레버리지,20190114,4605,4605,4530,4555,16433,0,-7546,4541,4446,4559,5034
A152500,KINDEX 레버리지,20190111,4585,4635,4565,4635,16967,578,5907,4517,4445,4566,5044
A152500,KINDEX 레버리지,20190110,4570,4615,4530,4575,13237,1,3200,4453,4435,4570,5052
A152500,KINDEX 레버리지,20190109,4390,4585,4390,4550,64517,1568,30257,4389,4430,4575,5061
A152500,KINDEX 레버리지,20190108,4445,4465,4380,4390,9757,0,-928,4348,4430,4582,5070
A152500,KINDEX 레버리지,20190107,4430,4505,4415,4435,36755,4420,21599,4360,4436,4590,5080
A152500,KINDEX 레버리지,20190104,4255,4330,4230,4315,21155,5826,-10339,4357,4447,4604,5090
A152500,KINDEX 레버리지,20190103,4340,4350,4245,4255,45424,0,-28206,4353,4466,4622,5100
A152500,KINDEX 레버리지,20190102,4470,4530,4320,4345,26759,0,-6146,4385,4494,4641,5111
A152500,KINDEX 레버리지,20181228,4405,4490,4405,4450,10498,2832,428,4397,4511,4659,5120
A152500,KINDEX 레버리지,20181227,4440,4440,4375,4420,35918,0,11503,4392,4526,4679,5128
A152500,KINDEX 레버리지,20181226,4205,4340,4205,4295,33869,0,-15378,4406,4541,4701,5138
