stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A161390,한국타이어,20190129,41250,42150,41250,41500,152446,50869717,-300,41580,39748,41194,43589
A161390,한국타이어,20190128,41050,42000,41000,41650,143672,50857833,-13214,41530,39680,41157,43619
A161390,한국타이어,20190125,42100,42100,41050,41150,248050,50819526,-30299,41310,39592,41152,43642
A161390,한국타이어,20190124,40950,42050,40800,42050,254674,50823042,-24254,41340,39515,41145,43669
A161390,한국타이어,20190123,41300,41700,40850,41550,215890,50765218,12878,40970,39455,41175,43691
A161390,한국타이어,20190122,40600,41700,40400,41250,246300,50758224,-1337,40360,39452,41222,43713
A161390,한국타이어,20190121,41350,41500,40450,40550,184478,50724887,-4751,39720,39520,41279,43739
A161390,한국타이어,20190118,41000,41400,40350,41300,327305,50722098,46244,39090,39665,41364,43758
A161390,한국타이어,20190117,39500,40350,38650,40200,542448,50687469,44876,38270,39722,41418,43779
A161390,한국타이어,20190116,37900,38650,37750,38500,276710,50580156,2954,37630,39845,41506,43805
A161390,한국타이어,20190115,37400,38250,37400,38050,389931,50597833,60883,37400,39998,41622,43848
A161390,한국타이어,20190114,37150,37550,37000,37400,270601,50619003,-61927,37220,40205,41769,43900
A161390,한국타이어,20190111,37000,37550,37000,37200,330651,50564105,-55126,37690,40432,41916,43960
A161390,한국타이어,20190110,37100,37450,36550,37000,570552,50549962,-61034,38310,40640,42051,44015
A161390,한국타이어,20190109,37200,37550,36750,37350,498142,50614483,-13024,38970,40868,42205,44063
A161390,한국타이어,20190108,39400,39500,36850,37150,761130,50683537,-245723,39650,41120,42341,44097
A161390,한국타이어,20190107,40250,40750,39600,39750,263525,50807203,-32249,40250,41458,42482,44139
A161390,한국타이어,20190104,40700,40750,39300,40300,259219,50783718,-19506,40280,41602,42612,44155
A161390,한국타이어,20190103,40750,40950,40150,40300,184577,50790867,21100,40140,41700,42737,44165
A161390,한국타이어,20190102,40000,40950,40000,40750,189544,50734248,-13714,40250,41860,42867,44175
A161390,한국타이어,20181228,39900,40450,39700,40150,220511,50688804,21616,40400,41962,42983,44171
A161390,한국타이어,20181227,39550,40050,38800,39900,276435,50695296,-6315,40890,42072,43132,44178
A161390,한국타이어,20181226,40500,41200,39450,39600,230966,50772552,32329,41600,42200,43288,44182
