stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A175330,JB금융지주,20190129,5700,5830,5680,5820,447552,86328843,173175,5712,5622,5678,5844
A175330,JB금융지주,20190128,5720,5750,5680,5700,357577,86427906,-45445,5678,5616,5674,5846
A175330,JB금융지주,20190125,5680,5750,5660,5710,329767,86301643,60036,5666,5610,5670,5848
A175330,JB금융지주,20190124,5670,5690,5620,5680,328591,86236887,11605,5658,5608,5669,5850
A175330,JB금융지주,20190123,5620,5680,5600,5650,214267,86180119,-2356,5658,5609,5668,5852
A175330,JB금융지주,20190122,5680,5680,5630,5650,138016,86151715,44916,5644,5607,5672,5855
A175330,JB금융지주,20190121,5680,5680,5620,5640,150548,86159026,-36343,5630,5608,5679,5858
A175330,JB금융지주,20190118,5640,5720,5640,5670,602167,86144067,83293,5594,5607,5684,5860
A175330,JB금융지주,20190117,5620,5680,5600,5680,391072,86120108,162853,5570,5602,5688,5861
A175330,JB금융지주,20190116,5560,5640,5550,5580,235064,86188338,56908,5542,5597,5692,5862
A175330,JB금융지주,20190115,5460,5580,5460,5580,160521,86176262,-34843,5546,5596,5698,5865
A175330,JB금융지주,20190114,5550,5600,5460,5460,260195,86112925,-20637,5554,5596,5701,5869
A175330,JB금융지주,20190111,5550,5600,5550,5550,166805,86160539,-95295,5582,5603,5706,5874
A175330,JB금융지주,20190110,5590,5610,5520,5540,358440,86093331,47676,5590,5600,5710,5878
A175330,JB금융지주,20190109,5620,5620,5570,5600,210863,86098487,-3610,5598,5598,5712,5883
A175330,JB금융지주,20190108,5590,5620,5530,5620,338163,86078846,-66568,5586,5598,5715,5883
A175330,JB금융지주,20190107,5620,5640,5530,5600,259446,85942534,-22095,5602,5603,5714,5884
A175330,JB금융지주,20190104,5520,5600,5500,5590,284005,85884739,5380,5600,5608,5718,5884
A175330,JB금융지주,20190103,5570,5640,5520,5580,332741,85838752,116207,5612,5612,5725,5884
A175330,JB금융지주,20190102,5700,5720,5210,5540,368130,85793279,3136,5638,5616,5732,5884
A175330,JB금융지주,20181228,5630,5700,5560,5700,332075,85837090,143750,5652,5624,5740,5883
A175330,JB금융지주,20181227,5620,5620,5490,5590,343176,85864722,67299,5646,5628,5745,5882
A175330,JB금융지주,20181226,5630,5690,5620,5650,252075,85848547,45657,5652,5640,5752,5881
A175330,JB금융지주,20181224,5620,5710,5610,5710,246625,85846961,58477,5634,5650,5759,5880
A175330,JB금융지주,20181221,5650,5740,5610,5610,686905,85767737,-25788,5610,5656,5764,5879
A175330,JB금융지주,20181220,5620,5680,5570,5670,236648,85828262,81508,5598,5657,5770,5878
A175330,JB금융지주,20181219,5600,5620,5550,5620,268857,85819811,-70058,5584,5658,5775,5878
A175330,JB금융지주,20181218,5550,5610,5540,5560,388760,85751620,-167624,5578,5664,5780,5879
A175330,JB금융지주,20181217,5550,5620,5540,5590,295535,85713671,92778,5562,5673,5787,5881
A175330,JB금융지주,20181214,5610,5640,5550,5550,357380,85685946,-70002,5544,5684,5794,5882
A175330,JB금융지주,20181213,5600,5600,5530,5600,528508,85590438,-18654,5558,5700,5804,5883
A175330,JB금융지주,20181212,5520,5590,5490,5590,7235004,85574926,-62775,5580,5710,5812,5886
A175330,JB금융지주,20181211,5560,5560,5440,5480,240083,85536527,36309,5602,5722,5822,5888
A175330,JB금융지주,20181210,5620,5620,5480,5500,434277,85587286,-17108,5638,5742,5832,5892
A175330,JB금융지주,20181207,5700,5720,5590,5620,315965,85788190,-91090,5672,5762,5842,5895
A175330,JB금융지주,20181206,5700,5760,5660,5710,388952,85868102,22204,5688,5773,5850,5900
A175330,JB금융지주,20181205,5600,5720,5590,5700,286254,85780740,5937,5704,5780,5858,5905
A175330,JB금융지주,20181204,5670,5670,5590,5660,612783,85682706,-60793,5730,5782,5865,5909
A175330,JB금융지주,20181203,5690,5790,5630,5670,463168,85672866,-117293,5764,5788,5874,5914
A175330,JB금융지주,20181130,5770,5800,5700,5700,288676,85792544,78379,5796,5790,5880,5918
A175330,JB금융지주,20181129,5860,5860,5780,5790,128937,85863397,-7590,5784,5789,5888,5921
A175330,JB금융지주,20181128,5830,5830,5770,5830,145283,85883467,40808,5762,5778,5896,5924
A175330,JB금융지주,20181127,5820,5850,5800,5830,221451,85920178,-44247,5746,5760,5901,5925
A175330,JB금융지주,20181126,5680,5830,5660,5830,432470,85852265,92865,5728,5749,5907,5927
A175330,JB금융지주,20181123,5700,5710,5580,5640,179749,85705351,-10292,5724,5740,5912,5928
A175330,JB금융지주,20181122,5750,5770,5640,5680,146373,85704782,-28744,5772,5752,5920,5932
A175330,JB금융지주,20181121,5730,5770,5660,5750,225371,85729186,51915,5796,5770,5928,5936
A175330,JB금융지주,20181120,5770,5780,5720,5740,173208,85780999,-12874,5810,5780,5935,5939
A175330,JB금융지주,20181119,5840,5890,5790,5810,186971,85814220,29622,5838,5789,5943,5942
A175330,JB금융지주,20181116,5800,5900,5750,5880,201484,85853079,123141,5856,5796,5947,5945
A175330,JB금융지주,20181115,5800,5800,5670,5800,245078,85937553,64521,5848,5797,5949,5949
A175330,JB금융지주,20181114,5880,5900,5750,5820,316235,85942237,29141,5858,5796,5953,5953
A175330,JB금융지주,20181113,5880,5910,5800,5880,302187,85960048,181798,5844,5794,5957,5957
A175330,JB금융지주,20181112,5800,5920,5800,5900,220210,86066816,75213,5824,5787,5959,5960
A175330,JB금융지주,20181109,5850,5890,5770,5840,262314,86098112,73345,5782,5778,5964,5963
A175330,JB금융지주,20181108,5790,5900,5790,5850,857374,86127050,56100,5752,5773,5970,5967
A175330,JB금융지주,20181107,5830,5920,5670,5750,901146,85919723,-318019,5694,5759,5977,5970
A175330,JB금융지주,20181106,5690,5830,5670,5780,527370,85682139,30643,5642,5764,5984,5973
A175330,JB금융지주,20181105,5680,5740,5570,5690,427388,85653514,127049,5606,5776,5992,5976
A175330,JB금융지주,20181102,5570,5780,5560,5690,586107,85748154,105654,5600,5792,6002,5980
