stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A176440,에이치엔티,20190129,3420,3535,3380,3515,63224,2909779,0,3425,3287,3255,3566
A176440,에이치엔티,20190128,3490,3490,3350,3455,21643,2911987,0,3384,3262,3242,3577
A176440,에이치엔티,20190125,3380,3525,3325,3445,73839,2910470,0,3377,3223,3230,3588
A176440,에이치엔티,20190124,3390,3390,3335,3345,15030,2901710,0,3362,3180,3218,3600
A176440,에이치엔티,20190123,3310,3385,3280,3365,13281,2900527,0,3336,3146,3209,3614
A176440,에이치엔티,20190122,3440,3440,3285,3310,59994,2897251,0,3319,3114,3203,3628
A176440,에이치엔티,20190121,3445,3450,3325,3420,40841,2893448,410,3306,3089,3202,3643
A176440,에이치엔티,20190118,3205,3380,3200,3370,77074,2894378,0,3277,3063,3200,3656
A176440,에이치엔티,20190117,3245,3300,3215,3215,19145,2881094,0,3259,3040,3199,3670
A176440,에이치엔티,20190116,3245,3315,3230,3280,36692,2882965,0,3241,3024,3204,3685
A176440,에이치엔티,20190115,3275,3300,3225,3245,27740,2876699,0,3220,3010,3209,3701
A176440,에이치엔티,20190114,3275,3275,3185,3275,22068,2874228,0,3201,3002,3214,3716
A176440,에이치엔티,20190111,3125,3340,3125,3280,81812,2873258,0,3172,2992,3217,3730
A176440,에이치엔티,20190110,3130,3210,3105,3125,32613,2861012,0,3148,2974,3217,3744
A176440,에이치엔티,20190109,3150,3210,3130,3175,32078,2856900,0,3150,2965,3220,3757
A176440,에이치엔티,20190108,3110,3190,3065,3150,47193,2849302,0,3184,2965,3222,3768
A176440,에이치엔티,20190107,3195,3250,3100,3130,48936,2843489,0,3157,2972,3222,3780
A176440,에이치엔티,20190104,3110,3320,3010,3160,178169,2838485,0,3065,2986,3225,3792
A176440,에이치엔티,20190103,3280,3390,3100,3135,310229,2852518,1258,2950,3002,3230,3803
A176440,에이치엔티,20190102,3090,3545,3015,3345,1798941,2855820,0,2855,3019,3235,3815
A176440,에이치엔티,20181228,2680,3465,2650,3015,729581,2873643,0,2734,3020,3238,3827
A176440,에이치엔티,20181227,2595,2680,2580,2670,22619,2911276,0,2693,3042,3248,3841
A176440,에이치엔티,20181226,2590,2615,2540,2585,27568,2907787,0,2739,3078,3266,3859
A176440,에이치엔티,20181224,2710,2740,2625,2660,45639,2908887,0,2801,3121,3284,3879
A176440,에이치엔티,20181221,2820,2820,2730,2740,25975,2908903,0,2850,3153,3301,3898
A176440,에이치엔티,20181220,2900,2985,2770,2810,63428,2909041,0,2903,3180,3316,3911
A176440,에이치엔티,20181219,2905,2965,2875,2900,16802,2911221,0,2959,3208,3330,3925
A176440,에이치엔티,20181218,2925,3020,2885,2895,16657,2913246,0,2994,3223,3344,3936
A176440,에이치엔티,20181217,3020,3020,2880,2905,28030,2914691,0,2997,3244,3358,3942
A176440,에이치엔티,20181214,3025,3100,2985,3005,51183,2915164,0,3004,3269,3372,3947
A176440,에이치엔티,20181213,3075,3100,2975,3090,26789,2912237,0,3040,3293,3386,3951
A176440,에이치엔티,20181212,2950,3095,2930,3075,16738,2911415,0,3081,3314,3399,3955
A176440,에이치엔티,20181211,2910,3040,2880,2910,55005,2907707,0,3145,3341,3416,3958
A176440,에이치엔티,20181210,3105,3180,2930,2940,49017,2906465,0,3260,3370,3437,3963
A176440,에이치엔티,20181207,3330,3330,3185,3185,41755,2902124,-769,3368,3403,3458,3968
A176440,에이치엔티,20181206,3400,3415,3285,3295,26911,2900569,-2663,3404,3420,3474,3971
A176440,에이치엔티,20181205,3320,3470,3250,3395,33539,2904275,-1716,3437,3441,3490,3975
A176440,에이치엔티,20181204,3540,3540,3380,3485,26552,2899714,0,3434,3453,3506,3976
A176440,에이치엔티,20181203,3370,3480,3345,3480,25809,2896664,-417,3426,3469,3520,3976
A176440,에이치엔티,20181130,3490,3495,3360,3365,44647,2892331,0,3391,3482,3533,3977
A176440,에이치엔티,20181129,3395,3490,3365,3460,46124,2895968,0,3374,3458,3550,3980
